"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Waldemar Jerzy KRASKA";"Janina Ewa ORZEŁOWSKA";"Liczba obwodów"
"141001";"gmina wiejska";"gm. Huszlew";"łosicki";"mazowieckie";2109;2230;772;1337;2;6;0;0;0;0;0;0;0;1337;0;0;1337;20;3;17;0;1317;953;364;4
"141002";"gmina miejsko-wiejska";"gm. Łosice";"łosicki";"mazowieckie";8263;8797;3161;5100;4;45;0;0;0;0;0;0;0;5100;0;0;5100;104;32;72;0;4996;2798;2198;9
"141003";"gmina wiejska";"gm. Olszanka";"łosicki";"mazowieckie";2255;2359;709;1543;5;5;0;0;0;0;0;0;0;1543;0;0;1543;40;8;32;0;1503;1063;440;4
"141004";"gmina wiejska";"gm. Platerów";"łosicki";"mazowieckie";3564;3912;1510;2054;0;19;0;0;0;0;0;0;0;2053;0;0;2053;45;9;36;0;2008;1197;811;7
"141005";"gmina wiejska";"gm. Sarnaki";"łosicki";"mazowieckie";3598;3863;1383;2214;4;37;1;1;0;0;0;0;1;2212;1;0;2212;60;19;41;0;2152;1361;791;4
"141006";"gmina wiejska";"gm. Stara Kornica";"łosicki";"mazowieckie";3547;3843;1373;2174;5;11;1;1;1;0;0;0;0;2174;0;0;2174;47;6;41;0;2127;1424;703;5
"142601";"gmina wiejska";"gm. Domanice";"siedlecki";"mazowieckie";1909;2071;623;1286;0;2;0;0;0;0;0;0;0;1286;0;0;1286;26;6;20;0;1260;896;364;3
"142602";"gmina wiejska";"gm. Korczew";"siedlecki";"mazowieckie";2002;2223;776;1226;7;20;0;0;0;0;0;0;0;1226;0;0;1226;33;8;25;0;1193;652;541;4
"142603";"gmina wiejska";"gm. Kotuń";"siedlecki";"mazowieckie";6144;6748;2340;3804;4;21;0;0;0;0;0;0;0;3802;0;0;3802;110;26;84;0;3692;2257;1435;7
"142604";"gmina wiejska";"gm. Mokobody";"siedlecki";"mazowieckie";3682;4025;1251;2431;3;11;0;0;0;0;0;0;0;2430;0;3;2427;49;9;40;0;2378;1602;776;3
"142605";"gmina miejsko-wiejska";"gm. Mordy";"siedlecki";"mazowieckie";4341;4701;1577;2764;1;9;0;0;0;0;0;0;0;2764;0;0;2764;68;11;57;0;2696;1732;964;6
