"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Lidia BŁĄDEK";"Marzena KARDASIŃSKA";"Janina Zofia SAGATOWSKA";"Liczba obwodów"
"180801";"gmina miejska";"m. Leżajsk";"leżajski";"podkarpackie";10603;11174;4118;6485;29;60;0;0;0;0;0;0;0;6483;0;1;6482;138;48;90;0;6344;1951;610;3783;9
"180802";"gmina wiejska";"gm. Grodzisko Dolne";"leżajski";"podkarpackie";5919;6437;2228;3691;12;13;0;0;0;0;0;0;0;3689;0;0;3689;93;25;68;0;3596;495;269;2832;7
"180803";"gmina wiejska";"gm. Kuryłówka";"leżajski";"podkarpackie";4189;4574;1740;2448;8;16;0;0;0;0;0;0;0;2448;0;0;2448;49;12;37;0;2399;395;215;1789;6
"180804";"gmina wiejska";"gm. Leżajsk";"leżajski";"podkarpackie";14582;15831;5516;9066;11;24;0;0;0;0;0;0;0;9066;0;2;9064;183;56;127;0;8881;1329;654;6898;15
"180805";"gmina miejsko-wiejska";"gm. Nowa Sarzyna";"leżajski";"podkarpackie";15658;16789;5493;10165;19;31;1;1;0;0;0;0;1;10164;1;0;10164;212;50;162;0;9952;1508;595;7849;17
"181201";"gmina wiejska";"gm. Harasiuki";"niżański";"podkarpackie";4568;4950;1931;2637;4;10;0;0;0;0;0;0;0;2637;0;0;2637;72;17;55;0;2565;588;227;1750;12
"181202";"gmina wiejska";"gm. Jarocin";"niżański";"podkarpackie";4083;4414;1893;2189;3;12;0;0;0;0;0;0;0;2189;0;0;2189;50;12;38;0;2139;574;191;1374;7
"181203";"gmina wiejska";"gm. Jeżowe";"niżański";"podkarpackie";7348;7931;2626;4722;8;18;0;0;0;0;0;0;0;4721;0;0;4721;105;23;82;0;4616;816;240;3560;13
"181204";"gmina wiejska";"gm. Krzeszów";"niżański";"podkarpackie";3168;3477;1421;1747;6;7;0;0;0;0;0;0;0;1747;0;0;1747;44;10;34;0;1703;392;128;1183;5
"181205";"gmina miejsko-wiejska";"gm. Nisko";"niżański";"podkarpackie";16523;17783;6744;9779;11;51;1;1;0;0;0;0;1;9779;1;0;9779;253;64;189;0;9526;2689;1159;5678;15
