"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Zdzisław Stanisław PUPA";"Tadeusz Bronisław URBAN";"Liczba obwodów"
"180301";"gmina miejska";"m. Dębica";"dębicki";"podkarpackie";33431;35775;11028;22403;32;83;1;1;0;0;0;0;1;22396;1;0;22396;692;254;438;0;21704;13129;8575;24
"180302";"gmina miejsko-wiejska";"gm. Brzostek";"dębicki";"podkarpackie";9503;10338;3787;5716;2;37;0;0;0;0;0;0;0;5715;0;1;5714;142;38;104;0;5572;4655;917;12
"180303";"gmina wiejska";"gm. Czarna";"dębicki";"podkarpackie";9428;10365;3336;6092;16;15;0;0;0;0;0;0;0;6092;0;0;6092;175;54;121;0;5917;4585;1332;14
"180304";"gmina wiejska";"gm. Dębica";"dębicki";"podkarpackie";18273;20041;6441;11831;16;25;1;1;0;0;0;0;1;11829;1;0;11829;293;67;226;0;11536;8602;2934;22
"180305";"gmina wiejska";"gm. Jodłowa";"dębicki";"podkarpackie";3893;4315;1657;2238;2;20;0;0;0;0;0;0;0;2238;0;0;2238;69;8;61;0;2169;1724;445;6
"180306";"gmina miejsko-wiejska";"gm. Pilzno";"dębicki";"podkarpackie";13040;14371;4302;8738;11;33;0;0;0;0;0;0;0;8738;0;0;8738;232;52;180;0;8506;6788;1718;17
"180307";"gmina wiejska";"gm. Żyraków";"dębicki";"podkarpackie";10309;11196;3505;6804;9;20;0;0;0;0;0;0;0;6802;0;0;6802;222;52;170;0;6580;5221;1359;14
"180601";"gmina wiejska";"gm. Cmolas";"kolbuszowski";"podkarpackie";5935;6447;2219;3716;6;8;0;0;0;0;0;0;0;3716;0;0;3716;100;20;80;0;3616;2961;655;9
"180602";"gmina miejsko-wiejska";"gm. Kolbuszowa";"kolbuszowski";"podkarpackie";18453;19727;7198;11256;17;42;2;2;0;0;0;0;2;11257;2;0;11257;361;119;242;0;10896;7664;3232;24
"180603";"gmina wiejska";"gm. Majdan Królewski";"kolbuszowski";"podkarpackie";7221;7835;3087;4134;10;7;1;1;0;0;0;0;1;4135;1;0;4135;110;17;93;0;4025;3393;632;8
