"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Maciej Przemysław MASŁOWSKI";"Stanisław OŻÓG";"Liczba obwodów"
"181001";"gmina miejska";"m. Łańcut";"łańcucki";"podkarpackie";13071;14198;4100;8971;21;70;2;2;0;0;0;0;2;8972;2;0;8972;150;56;94;0;8822;3992;4830;14
"181002";"gmina wiejska";"gm. Białobrzegi";"łańcucki";"podkarpackie";6121;6729;2092;4029;4;12;0;0;0;0;0;0;0;4029;0;0;4029;91;17;74;0;3938;1216;2722;5
"181003";"gmina wiejska";"gm. Czarna";"łańcucki";"podkarpackie";8350;9211;2368;5982;5;21;0;0;0;0;0;0;0;5980;0;1;5979;102;15;87;0;5877;1552;4325;8
"181004";"gmina wiejska";"gm. Łańcut";"łańcucki";"podkarpackie";15358;16861;4612;10747;12;47;0;0;0;0;0;0;0;10747;0;0;10747;156;43;113;0;10591;2979;7612;13
"181005";"gmina wiejska";"gm. Markowa";"łańcucki";"podkarpackie";4714;5214;1599;3115;6;13;0;0;0;0;0;0;0;3115;0;0;3115;48;5;43;0;3067;801;2266;4
"181006";"gmina wiejska";"gm. Rakszawa";"łańcucki";"podkarpackie";5179;5786;1588;3591;1;9;0;0;0;0;0;0;0;3591;0;0;3591;80;18;62;0;3511;783;2728;7
"181007";"gmina wiejska";"gm. Żołynia";"łańcucki";"podkarpackie";5012;5499;1774;3238;2;19;0;0;0;0;0;0;0;3230;0;0;3230;51;16;35;0;3179;898;2281;5
"181601";"gmina miejska";"m. Dynów";"rzeszowski";"podkarpackie";4517;4932;1605;2912;2;23;0;0;0;0;0;0;0;2911;0;0;2911;51;13;38;0;2860;923;1937;5
"181602";"gmina miejsko-wiejska";"gm. Błażowa";"rzeszowski";"podkarpackie";7887;8762;2648;5239;3;15;0;0;0;0;0;0;0;5239;0;0;5239;110;11;99;0;5129;1411;3718;9
"181603";"gmina miejsko-wiejska";"gm. Boguchwała";"rzeszowski";"podkarpackie";14602;16063;4072;10530;17;77;1;1;0;0;0;0;1;10530;1;0;10530;186;53;133;0;10344;3960;6384;12
"181604";"gmina wiejska";"gm. Chmielnik";"rzeszowski";"podkarpackie";4967;5391;1492;3475;0;9;0;0;0;0;0;0;0;3473;0;0;3473;66;9;57;0;3407;1136;2271;7
"181605";"gmina wiejska";"gm. Dynów";"rzeszowski";"podkarpackie";5129;5584;2232;2897;7;18;0;0;0;0;0;0;0;2897;0;0;2897;55;6;49;0;2842;731;2111;10
"181606";"gmina miejsko-wiejska";"gm. Głogów Małopolski";"rzeszowski";"podkarpackie";13876;15105;4005;9871;4;49;0;0;0;0;0;0;0;9866;0;0;9866;146;45;101;0;9720;3378;6342;16
"181607";"gmina wiejska";"gm. Hyżne";"rzeszowski";"podkarpackie";5030;5535;1392;3638;11;10;1;1;0;0;0;0;1;3639;1;0;3639;67;14;53;0;3572;745;2827;8
"181608";"gmina wiejska";"gm. Kamień";"rzeszowski";"podkarpackie";5071;5546;1794;3277;11;14;0;0;0;0;0;0;0;3277;0;0;3277;60;9;51;0;3217;649;2568;6
"181609";"gmina wiejska";"gm. Krasne";"rzeszowski";"podkarpackie";8366;8973;2458;5908;6;24;0;0;0;0;0;0;0;5903;0;0;5903;95;18;77;0;5808;2317;3491;6
"181610";"gmina wiejska";"gm. Lubenia";"rzeszowski";"podkarpackie";4739;5199;1417;3322;8;11;0;0;0;0;0;0;0;3322;0;0;3322;57;11;46;0;3265;863;2402;4
"181611";"gmina miejsko-wiejska";"gm. Sokołów Małopolski";"rzeszowski";"podkarpackie";11161;13476;3012;8150;6;1417;0;0;0;0;0;0;0;8149;0;0;8149;144;45;99;0;8005;1872;6133;13
"181612";"gmina wiejska";"gm. Świlcza";"rzeszowski";"podkarpackie";11233;12417;3342;7891;7;36;0;0;0;0;0;0;0;7891;0;0;7891;151;31;120;0;7740;2791;4949;10
"181613";"gmina wiejska";"gm. Trzebownisko";"rzeszowski";"podkarpackie";15370;16805;4466;10903;9;43;1;1;0;0;0;0;1;10902;1;2;10900;171;45;126;0;10729;3858;6871;11
"181614";"gmina miejsko-wiejska";"gm. Tyczyn";"rzeszowski";"podkarpackie";7309;8055;2130;5179;13;30;0;0;0;0;0;0;0;5179;0;0;5179;101;25;76;0;5078;1809;3269;6
"186301";"gmina miejska";"m. Rzeszów";"Rzeszów";"podkarpackie";136188;151191;36864;99323;83;930;13;12;1;0;0;0;11;99290;10;1;99289;2062;687;1375;0;97227;55364;41863;97
