"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Mieczysław Józef GOLBA";"Bartosz ROMOWICZ";"Liczba obwodów"
"180103";"gmina wiejska";"gm. Czarna";"bieszczadzki";"podkarpackie";1780;2016;787;993;1;96;0;0;0;0;0;0;0;993;0;0;993;27;7;20;0;966;532;434;4
"180105";"gmina wiejska";"gm. Lutowiska";"bieszczadzki";"podkarpackie";1829;2234;523;1306;1;395;0;0;0;0;0;0;0;1306;0;0;1306;37;15;22;0;1269;501;768;4
"180108";"gmina miejsko-wiejska";"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";12917;14193;5617;7300;6;240;3;3;2;0;0;0;1;7300;1;0;7300;231;92;139;0;7069;3199;3870;22
"180401";"gmina miejska";"m. Jarosław";"jarosławski";"podkarpackie";28102;30010;10518;17584;48;130;1;1;0;0;0;0;1;17580;1;0;17580;497;162;335;0;17083;10068;7015;23
"180402";"gmina miejska";"m. Radymno";"jarosławski";"podkarpackie";4010;4364;1534;2476;6;9;0;0;0;0;0;0;0;2475;0;0;2475;77;30;47;0;2398;1641;757;3
"180403";"gmina wiejska";"gm. Chłopice";"jarosławski";"podkarpackie";4130;4505;1583;2547;9;7;0;0;0;0;0;0;0;2547;0;0;2547;65;14;51;0;2482;1998;484;6
"180404";"gmina wiejska";"gm. Jarosław";"jarosławski";"podkarpackie";9530;10400;3721;5809;7;22;0;0;0;0;0;0;0;5809;0;0;5809;122;40;82;0;5687;4212;1475;11
"180405";"gmina wiejska";"gm. Laszki";"jarosławski";"podkarpackie";5057;5431;2071;2986;5;5;0;0;0;0;0;0;0;2986;0;0;2986;94;21;73;0;2892;2256;636;12
"180406";"gmina wiejska";"gm. Pawłosiów";"jarosławski";"podkarpackie";6327;6777;2280;4047;3;14;0;0;0;0;0;0;0;4047;0;0;4047;86;22;64;0;3961;2881;1080;10
"180407";"gmina miejsko-wiejska";"gm. Pruchnik";"jarosławski";"podkarpackie";7100;7780;2440;4660;15;19;0;0;0;0;0;0;0;4660;0;0;4660;108;31;77;0;4552;3854;698;11
