"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jan DOBRZYŃSKI";"Mariusz Krzysztof GROMKO";"Wanda JANKOWSKA";"Zbigniew NIKITOROWICZ";"Liczba obwodów"
"200201";"gmina miejsko-wiejska";"gm. Choroszcz";"białostocki";"podlaskie";11665;12705;3874;7790;6;44;1;1;0;0;0;0;1;7790;1;0;7790;138;45;93;0;7652;718;3629;1228;2077;11
"200202";"gmina miejsko-wiejska";"gm. Czarna Białostocka";"białostocki";"podlaskie";8084;8754;3084;5000;15;15;0;0;0;0;0;0;0;5000;0;0;5000;90;42;48;0;4910;556;2423;451;1480;7
"200203";"gmina wiejska";"gm. Dobrzyniewo Duże";"białostocki";"podlaskie";6672;7315;2254;4418;2;21;0;0;0;0;0;0;0;4418;0;0;4418;65;16;49;0;4353;624;2113;458;1158;5
"200204";"gmina wiejska";"gm. Gródek";"białostocki";"podlaskie";3967;4361;1778;2189;8;30;0;0;0;0;0;0;0;2189;0;0;2189;44;11;33;0;2145;242;541;247;1115;10
"200205";"gmina wiejska";"gm. Juchnowiec Kościelny";"białostocki";"podlaskie";11391;12492;3173;8218;7;23;0;0;0;0;0;0;0;8218;0;0;8218;118;30;88;0;8100;754;3999;846;2501;13
"200206";"gmina miejsko-wiejska";"gm. Łapy";"białostocki";"podlaskie";16114;17274;5822;10292;18;32;2;2;0;0;0;0;2;10294;2;0;10294;147;41;106;0;10147;1042;6467;824;1814;16
"200207";"gmina miejsko-wiejska";"gm. Michałowo";"białostocki";"podlaskie";5111;5494;2624;2487;8;22;0;0;0;0;0;0;0;2487;0;0;2487;58;18;40;0;2429;271;924;284;950;12
"200208";"gmina wiejska";"gm. Poświętne";"białostocki";"podlaskie";2548;2755;986;1562;2;0;0;0;0;0;0;0;0;1562;0;0;1562;21;16;5;0;1541;173;1153;93;122;3
"200209";"gmina miejsko-wiejska";"gm. Supraśl";"białostocki";"podlaskie";11217;12242;3157;8060;12;87;0;0;0;0;0;0;0;8061;0;0;8061;133;29;104;0;7928;683;2808;860;3577;10
"200210";"gmina miejsko-wiejska";"gm. Suraż";"białostocki";"podlaskie";1439;1570;475;964;1;3;0;0;0;0;0;0;0;964;0;0;964;12;1;11;0;952;88;653;64;147;4
