"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jacek BOGUCKI";"Aldona Anna SKIRGIEŁŁO";"Igor ŁUKASZUK";"Liczba obwodów"
"200301";"gmina miejska";"m. Bielsk Podlaski";"bielski";"podlaskie";18646;20448;7389;11257;20;57;2;2;0;0;0;0;2;11259;2;0;11259;141;46;95;0;11118;3935;460;6723;14
"200302";"gmina miejska";"m. Brańsk";"bielski";"podlaskie";2904;2966;1142;1762;10;11;0;0;0;0;0;0;0;1762;0;0;1762;27;8;19;0;1735;1330;75;330;3
"200303";"gmina wiejska";"gm. Bielsk Podlaski";"bielski";"podlaskie";5132;5759;2530;2602;7;13;0;0;0;0;0;0;0;2602;0;0;2602;28;5;23;0;2574;1047;136;1391;9
"200304";"gmina wiejska";"gm. Boćki";"bielski";"podlaskie";3295;3633;1459;1836;14;8;0;0;0;0;0;0;0;1836;0;0;1836;41;11;30;0;1795;1187;120;488;5
"200305";"gmina wiejska";"gm. Brańsk";"bielski";"podlaskie";4239;4696;1460;2779;9;13;0;0;0;0;0;0;0;2779;0;0;2779;27;13;14;0;2752;2417;105;230;9
"200306";"gmina wiejska";"gm. Orla";"bielski";"podlaskie";2146;2446;1082;1064;5;9;0;0;0;0;0;0;0;1064;0;0;1064;17;5;12;0;1047;224;55;768;5
"200307";"gmina wiejska";"gm. Rudka";"bielski";"podlaskie";1377;1502;590;787;9;4;0;0;0;0;0;0;0;787;0;0;787;15;4;11;0;772;604;34;134;2
"200308";"gmina wiejska";"gm. Wyszki";"bielski";"podlaskie";3213;3558;1186;2027;9;12;0;0;0;0;0;0;0;2027;0;0;2027;20;9;11;0;2007;1672;70;265;3
"200501";"gmina miejska";"m. Hajnówka";"hajnowski";"podlaskie";15992;17018;6908;9084;5;72;1;1;0;0;0;0;1;9085;1;0;9085;146;44;102;0;8939;2505;579;5855;15
"200502";"gmina wiejska";"gm. Białowieża";"hajnowski";"podlaskie";1818;1995;704;1114;1;3;2;2;0;0;0;0;2;1116;2;0;1116;21;6;15;0;1095;348;88;659;3
