"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Zygmunt Mieczysław FRANKIEWICZ";"Krystian Karol PROBIERZ";"Liczba obwodów"
"240501";"gmina miejska";"m. Knurów";"gliwicki";"śląskie";26148;28597;8230;17918;7;56;0;0;0;0;0;0;0;17916;0;0;17916;470;138;332;0;17446;9215;8231;22
"240502";"gmina miejska";"m. Pyskowice";"gliwicki";"śląskie";12620;13650;5059;7561;5;29;1;1;1;0;0;0;0;7558;0;0;7558;225;43;182;0;7333;4502;2831;9
"240503";"gmina wiejska";"gm. Gierałtowice";"gliwicki";"śląskie";8450;9334;2166;6284;7;32;0;0;0;0;0;0;0;6284;0;0;6284;143;51;92;0;6141;3163;2978;6
"240504";"gmina wiejska";"gm. Pilchowice";"gliwicki";"śląskie";8360;9212;2716;5644;0;25;1;1;0;0;0;0;1;5631;1;0;5631;130;47;83;0;5501;3224;2277;8
"240505";"gmina wiejska";"gm. Rudziniec";"gliwicki";"śląskie";7738;8542;3210;4528;7;27;0;0;0;0;0;0;0;4528;0;0;4528;96;27;69;0;4432;2638;1794;10
"240506";"gmina miejsko-wiejska";"gm. Sośnicowice";"gliwicki";"śląskie";6290;6825;2500;3790;2;14;0;0;0;0;0;0;0;3789;0;0;3789;92;20;72;0;3697;2404;1293;9
"240507";"gmina miejsko-wiejska";"gm. Toszek";"gliwicki";"śląskie";7174;7786;3409;3765;0;15;0;0;0;0;0;0;0;3763;0;0;3763;94;10;84;0;3669;1884;1785;8
"240508";"gmina wiejska";"gm. Wielowieś";"gliwicki";"śląskie";4400;4819;2146;2254;0;5;0;0;0;0;0;0;0;2254;0;0;2254;70;9;61;0;2184;1068;1116;4
"241301";"gmina miejska";"m. Kalety";"tarnogórski";"śląskie";6389;6987;2416;3973;5;12;0;0;0;0;0;0;0;3972;0;0;3972;120;36;84;0;3852;1932;1920;5
"241302";"gmina miejska";"m. Miasteczko Śląskie";"tarnogórski";"śląskie";5231;5739;1981;3249;7;11;0;0;0;0;0;0;0;3249;0;0;3249;120;39;81;0;3129;1307;1822;5
"241303";"gmina miejska";"m. Radzionków";"tarnogórski";"śląskie";11900;12975;3634;8266;12;22;1;1;0;0;0;0;1;8266;1;0;8266;254;59;195;0;8012;3809;4203;8
"241304";"gmina miejska";"m. Tarnowskie Góry";"tarnogórski";"śląskie";44579;48294;13676;30901;25;154;2;2;0;0;0;0;2;30899;2;1;30898;896;209;687;0;30002;17435;12567;32
"241305";"gmina wiejska";"gm. Krupski Młyn";"tarnogórski";"śląskie";2438;2624;849;1589;6;9;0;0;0;0;0;0;0;1589;0;0;1589;44;20;24;0;1545;782;763;4
"241306";"gmina wiejska";"gm. Ożarowice";"tarnogórski";"śląskie";4200;4708;1117;3083;7;59;1;1;0;0;0;0;1;3084;1;0;3084;106;37;69;0;2978;1550;1428;4
"241307";"gmina wiejska";"gm. Świerklaniec";"tarnogórski";"śląskie";8750;9674;2668;6082;3;26;0;0;0;0;0;0;0;6082;0;0;6082;170;43;127;0;5912;3186;2726;6
"241308";"gmina wiejska";"gm. Tworóg";"tarnogórski";"śląskie";6020;6581;2336;3684;5;21;0;0;0;0;0;0;0;3684;0;0;3684;110;19;91;0;3574;1709;1865;9
"241309";"gmina wiejska";"gm. Zbrosławice";"tarnogórski";"śląskie";11268;12331;4609;6659;3;26;0;0;0;0;0;0;0;6657;0;0;6657;169;43;126;0;6488;3941;2547;13
"246601";"gmina miejska";"m. Gliwice";"Gliwice";"śląskie";125780;136344;36145;89632;95;564;13;13;0;0;0;0;13;89609;13;2;89607;2116;563;1553;0;87491;60506;26985;116
