"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Ewa Maria GAWĘDA";"Marek Henryk MIGALSKI";"Liczba obwodów"
"241101";"gmina miejska";"m. Racibórz";"raciborski";"śląskie";39801;41656;17134;22667;25;98;5;5;1;0;0;0;4;22670;4;0;22670;677;205;472;0;21993;9708;12285;28
"241102";"gmina wiejska";"gm. Kornowac";"raciborski";"śląskie";3806;3997;1501;2305;1;6;0;0;0;0;0;0;0;2304;0;1;2303;62;20;42;0;2241;1431;810;5
"241103";"gmina miejsko-wiejska";"gm. Krzanowice";"raciborski";"śląskie";4322;4603;2416;1906;1;1;0;0;0;0;0;0;0;1906;0;0;1906;66;18;48;0;1840;886;954;6
"241104";"gmina wiejska";"gm. Krzyżanowice";"raciborski";"śląskie";8413;8971;4393;4020;5;23;1;1;0;0;0;0;1;4021;1;0;4021;98;25;73;0;3923;1879;2044;7
"241105";"gmina miejsko-wiejska";"gm. Kuźnia Raciborska";"raciborski";"śląskie";8609;9143;4485;4124;3;26;0;0;0;0;0;0;0;4124;0;0;4124;135;38;97;0;3989;1804;2185;6
"241106";"gmina wiejska";"gm. Nędza";"raciborski";"śląskie";5551;5688;2876;2675;2;10;0;0;0;0;0;0;0;2673;0;0;2673;83;20;63;0;2590;1314;1276;8
"241107";"gmina wiejska";"gm. Pietrowice Wielkie";"raciborski";"śląskie";5100;5437;2751;2349;2;7;0;0;0;0;0;0;0;2349;0;0;2349;54;9;45;0;2295;1227;1068;6
"241108";"gmina wiejska";"gm. Rudnik";"raciborski";"śląskie";3959;4095;2199;1760;3;3;1;1;0;0;0;0;1;1759;1;0;1759;37;9;28;0;1722;1015;707;5
"241501";"gmina miejska";"m. Pszów";"wodzisławski";"śląskie";10042;10788;3750;6292;11;14;0;0;0;0;0;0;0;6290;0;2;6288;201;95;106;0;6087;3599;2488;5
"241502";"gmina miejska";"m. Radlin";"wodzisławski";"śląskie";12673;13581;4496;8177;11;23;0;0;0;0;0;0;0;8174;0;0;8174;210;67;143;0;7964;4078;3886;10
"241503";"gmina miejska";"m. Rydułtowy";"wodzisławski";"śląskie";15216;16337;5605;9611;11;20;1;1;0;0;0;0;1;9611;1;1;9610;273;67;206;0;9337;5034;4303;13
"241504";"gmina miejska";"m. Wodzisław Śląski";"wodzisławski";"śląskie";34576;36608;12033;22543;32;58;0;0;0;0;0;0;0;22537;0;0;22537;658;200;458;0;21879;11482;10397;25
"241505";"gmina wiejska";"gm. Godów";"wodzisławski";"śląskie";10284;10807;3347;6937;3;14;0;0;0;0;0;0;0;6936;0;0;6936;203;61;142;0;6733;4159;2574;16
"241506";"gmina wiejska";"gm. Gorzyce";"wodzisławski";"śląskie";15448;16272;5723;9733;4;35;1;1;0;0;0;0;1;9726;1;1;9725;246;82;164;0;9479;5570;3909;15
"241507";"gmina wiejska";"gm. Lubomia";"wodzisławski";"śląskie";5915;6188;2576;3340;1;7;0;0;0;0;0;0;0;3336;0;1;3335;96;31;65;0;3239;2089;1150;7
"241508";"gmina wiejska";"gm. Marklowice";"wodzisławski";"śląskie";3948;4226;1228;2720;6;6;0;0;0;0;0;0;0;2720;0;0;2720;74;27;47;0;2646;1618;1028;4
"241509";"gmina wiejska";"gm. Mszana";"wodzisławski";"śląskie";5500;5911;1599;3901;1;10;0;0;0;0;0;0;0;3901;0;0;3901;88;27;61;0;3813;2803;1010;4
"246701";"gmina miejska";"m. Jastrzębie-Zdrój";"Jastrzębie-Zdrój";"śląskie";64450;68314;22831;41620;43;158;1;1;0;0;0;0;1;41611;1;4;41607;1386;377;1009;0;40221;23582;16639;39
"247901";"gmina miejska";"m. Żory";"Żory";"śląskie";43127;46109;13982;29143;25;111;3;3;0;0;0;0;3;29134;3;0;29134;883;304;579;0;28251;14134;14117;25
