"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Agnieszka Aleksandra GORGOŃ-KOMOR";"Andrzej KAMIŃSKI";"Liczba obwodów"
"240201";"gmina miejska";"m. Szczyrk";"bielski";"śląskie";4349;4882;1206;3143;8;198;0;0;0;0;0;0;0;3142;0;0;3142;69;22;47;0;3073;1296;1777;4
"240202";"gmina wiejska";"gm. Bestwina";"bielski";"śląskie";8517;9195;2403;6112;6;21;0;0;0;0;0;0;0;6113;0;1;6112;222;71;151;0;5890;2981;2909;6
"240203";"gmina wiejska";"gm. Buczkowice";"bielski";"śląskie";8058;8718;2427;5630;5;34;0;0;0;0;0;0;0;5628;0;0;5628;184;42;142;0;5444;2374;3070;6
"240204";"gmina miejsko-wiejska";"gm. Czechowice-Dziedzice";"bielski";"śląskie";32053;34317;9224;22829;28;73;2;2;0;0;0;0;2;22828;2;0;22828;645;177;468;0;22183;11827;10356;23
"240205";"gmina wiejska";"gm. Jasienica";"bielski";"śląskie";17324;18415;4873;12451;8;43;0;0;0;0;0;0;0;12450;0;1;12449;334;75;259;0;12115;6094;6021;19
"240206";"gmina wiejska";"gm. Jaworze";"bielski";"śląskie";5357;5748;1296;4061;7;47;1;1;0;0;0;0;1;4061;1;0;4061;116;35;81;0;3945;2580;1365;4
"240207";"gmina wiejska";"gm. Kozy";"bielski";"śląskie";9293;10059;2380;6913;19;16;1;1;0;0;0;0;1;6912;1;0;6912;191;42;149;0;6721;3435;3286;5
"240208";"gmina wiejska";"gm. Porąbka";"bielski";"śląskie";11469;12309;3523;7946;4;49;0;0;0;0;0;0;0;7946;0;0;7946;225;59;166;0;7721;3252;4469;8
"240209";"gmina miejsko-wiejska";"gm. Wilamowice";"bielski";"śląskie";12498;13479;3455;9043;8;25;1;1;0;0;0;0;1;9044;1;1;9043;271;67;204;0;8772;3503;5269;8
"240210";"gmina wiejska";"gm. Wilkowice";"bielski";"śląskie";10121;10645;2892;7229;15;65;0;0;0;0;0;0;0;7228;0;0;7228;221;55;166;0;7007;3895;3112;10
"241001";"gmina wiejska";"gm. Goczałkowice-Zdrój";"pszczyński";"śląskie";5740;5775;1868;3872;3;129;0;0;0;0;0;0;0;3872;0;0;3872;116;37;79;0;3756;1927;1829;7
"241002";"gmina wiejska";"gm. Kobiór";"pszczyński";"śląskie";3547;3803;965;2582;1;10;0;0;0;0;0;0;0;2580;0;0;2580;67;19;48;0;2513;1073;1440;3
"241003";"gmina wiejska";"gm. Miedźna";"pszczyński";"śląskie";11326;12088;3536;7790;1;28;0;0;0;0;0;0;0;7790;0;1;7789;210;64;146;0;7579;2381;5198;11
"241004";"gmina wiejska";"gm. Pawłowice";"pszczyński";"śląskie";12757;13478;3897;8860;12;29;0;0;0;0;0;0;0;8860;0;0;8860;228;69;159;0;8632;2934;5698;15
"241005";"gmina miejsko-wiejska";"gm. Pszczyna";"pszczyński";"śląskie";37144;39885;10509;26635;31;91;0;0;0;0;0;0;0;26633;0;0;26633;773;199;574;0;25860;12429;13431;31
"241006";"gmina wiejska";"gm. Suszec";"pszczyński";"śląskie";8538;9197;2489;6049;3;19;0;0;0;0;0;0;0;6049;0;0;6049;205;70;135;0;5844;2175;3669;7
"246101";"gmina miejska";"m. Bielsko-Biała";"Bielsko-Biała";"śląskie";123356;131455;34592;88762;123;764;26;26;5;0;0;0;21;88741;21;17;88724;2425;757;1668;0;86299;49957;36342;76
