"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Andrzej Franciszek LASAK";"Jacek Władysław WŁOSOWICZ";"Liczba obwodów"
"260101";"gmina miejsko-wiejska";"gm. Busko-Zdrój";"buski";"świętokrzyskie";25810;27058;9655;16155;12;1045;1;1;0;0;0;0;1;16153;1;1;16152;502;170;332;0;15650;7212;8438;26
"260102";"gmina wiejska";"gm. Gnojno";"buski";"świętokrzyskie";3371;3648;1481;1890;7;8;0;0;0;0;0;0;0;1890;0;0;1890;37;9;28;0;1853;465;1388;5
"260103";"gmina miejsko-wiejska";"gm. Nowy Korczyn";"buski";"świętokrzyskie";4583;4991;1866;2717;27;21;0;0;0;0;0;0;0;2716;0;0;2716;93;23;70;0;2623;1028;1595;5
"260104";"gmina miejsko-wiejska";"gm. Pacanów";"buski";"świętokrzyskie";5615;6111;2527;3088;11;13;0;0;0;0;0;0;0;3088;0;0;3088;78;15;63;0;3010;1026;1984;8
"260105";"gmina wiejska";"gm. Solec-Zdrój";"buski";"świętokrzyskie";4009;4545;1461;2548;2;290;0;0;0;0;0;0;0;2548;0;0;2548;67;21;46;0;2481;1137;1344;8
"260106";"gmina miejsko-wiejska";"gm. Stopnica";"buski";"świętokrzyskie";5715;6175;2393;3322;9;26;0;0;0;0;0;0;0;3322;0;0;3322;79;31;48;0;3243;1086;2157;4
"260107";"gmina wiejska";"gm. Tuczępy";"buski";"świętokrzyskie";2809;3041;1149;1660;1;3;0;0;0;0;0;0;0;1660;0;0;1660;55;7;48;0;1605;479;1126;3
"260108";"gmina miejsko-wiejska";"gm. Wiślica";"buski";"świętokrzyskie";4205;4559;1866;2339;12;13;0;0;0;0;0;0;0;2339;0;0;2339;62;24;38;0;2277;881;1396;5
"260201";"gmina wiejska";"gm. Imielno";"jędrzejowski";"świętokrzyskie";3286;3586;1398;1888;2;9;0;0;0;0;0;0;0;1888;0;0;1888;46;5;41;0;1842;587;1255;4
"260202";"gmina miejsko-wiejska";"gm. Jędrzejów";"jędrzejowski";"świętokrzyskie";20689;22274;7564;13125;12;59;1;1;0;0;0;0;1;13126;1;0;13126;399;120;279;0;12727;5312;7415;23
"260203";"gmina miejsko-wiejska";"gm. Małogoszcz";"jędrzejowski";"świętokrzyskie";8613;9179;3268;5345;8;37;0;0;0;0;0;0;0;5343;0;0;5343;132;28;104;0;5211;1365;3846;7
"260204";"gmina wiejska";"gm. Nagłowice";"jędrzejowski";"świętokrzyskie";3657;3980;1483;2174;6;26;0;0;0;0;0;0;0;2174;0;0;2174;47;10;37;0;2127;585;1542;7
"260205";"gmina wiejska";"gm. Oksa";"jędrzejowski";"świętokrzyskie";3476;3785;1358;2118;3;20;0;0;0;0;0;0;0;2118;0;0;2118;66;14;52;0;2052;617;1435;5
"260206";"gmina miejsko-wiejska";"gm. Sędziszów";"jędrzejowski";"świętokrzyskie";9254;10183;3660;5593;8;41;0;0;0;0;0;0;0;5592;0;0;5592;153;45;108;0;5439;1949;3490;11
"260207";"gmina wiejska";"gm. Słupia (Jędrzejowska)";"jędrzejowski";"świętokrzyskie";3227;3538;1314;1913;3;13;0;0;0;0;0;0;0;1913;0;0;1913;59;21;38;0;1854;599;1255;4
