"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Marcin Rafał BUGAJSKI";"Przemysław Albert GIERADA";"Kazimierz KIK";"Edward RZEPKA";"Krzysztof Marek SŁOŃ";"Liczba obwodów"
"260401";"gmina wiejska";"gm. Bieliny";"kielecki";"świętokrzyskie";7349;8017;2805;4544;7;24;0;0;0;0;0;0;0;4544;0;0;4544;76;13;63;0;4468;266;352;249;522;3079;9
"260402";"gmina miejsko-wiejska";"gm. Bodzentyn";"kielecki";"świętokrzyskie";8463;9267;3491;4972;10;58;0;0;0;0;0;0;0;4972;0;1;4971;103;17;86;0;4868;358;405;310;863;2932;11
"260403";"gmina miejsko-wiejska";"gm. Chęciny";"kielecki";"świętokrzyskie";11301;12325;3793;7508;0;33;0;0;0;0;0;0;0;7506;0;0;7506;135;32;103;0;7371;592;772;564;1305;4138;14
"260404";"gmina miejsko-wiejska";"gm. Chmielnik";"kielecki";"świętokrzyskie";8279;8972;3193;5086;11;35;0;0;0;0;0;0;0;5086;0;0;5086;79;19;60;0;5007;316;391;332;775;3193;11
"260405";"gmina miejsko-wiejska";"gm. Daleszyce";"kielecki";"świętokrzyskie";11550;12581;4218;7332;11;29;0;0;0;0;0;0;0;7331;0;0;7331;110;36;74;0;7221;478;650;396;1522;4175;14
"260406";"gmina wiejska";"gm. Górno";"kielecki";"świętokrzyskie";10244;11257;3216;7028;1;18;0;0;0;0;0;0;0;7027;0;0;7027;110;29;81;0;6917;509;491;374;1039;4504;8
"260407";"gmina miejsko-wiejska";"gm. Łagów";"kielecki";"świętokrzyskie";5061;5570;2129;2932;6;9;0;0;0;0;0;0;0;2932;0;0;2932;38;12;26;0;2894;146;408;131;232;1977;6
"260408";"gmina wiejska";"gm. Łopuszno";"kielecki";"świętokrzyskie";6637;7255;2258;4379;18;16;0;0;0;0;0;0;0;4378;0;5;4373;70;18;52;0;4303;297;304;237;501;2964;10
"260409";"gmina wiejska";"gm. Masłów";"kielecki";"świętokrzyskie";7899;8664;2457;5442;4;46;0;0;0;0;0;0;0;5442;0;1;5441;71;24;47;0;5370;470;525;427;1235;2713;9
"260410";"gmina wiejska";"gm. Miedziana Góra";"kielecki";"świętokrzyskie";8324;9139;2635;5687;3;15;1;1;0;0;0;0;1;5690;1;0;5690;76;23;53;0;5614;627;533;373;1219;2862;7
