"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Janusz Piotr BIELECKI";"Stanisław Andrzej GORCZYCA";"Bogusława ORZECHOWSKA";"Łukasz TULWIŃSKI";"Liczba obwodów"
"280301";"gmina miejska";"m. Działdowo";"działdowski";"warmińsko-mazurskie";15636;16671;6174;9463;6;31;0;0;0;0;0;0;0;9461;0;0;9461;154;35;119;0;9307;1319;3650;3656;682;14
"280302";"gmina wiejska";"gm. Działdowo";"działdowski";"warmińsko-mazurskie";6653;7336;3436;3217;1;5;0;0;0;0;0;0;0;3217;0;0;3217;69;9;60;0;3148;461;799;1628;260;12
"280303";"gmina wiejska";"gm. Iłowo-Osada";"działdowski";"warmińsko-mazurskie";5080;5561;2369;2711;2;10;0;0;0;0;0;0;0;2710;0;0;2710;66;11;55;0;2644;381;738;1287;238;5
"280304";"gmina miejsko-wiejska";"gm. Lidzbark";"działdowski";"warmińsko-mazurskie";10359;11249;4737;5622;6;35;0;0;0;0;0;0;0;5621;0;0;5621;88;23;65;0;5533;2104;1014;2055;360;10
"280305";"gmina wiejska";"gm. Płośnica";"działdowski";"warmińsko-mazurskie";4166;4530;1969;2197;1;7;0;0;0;0;0;0;0;2197;0;0;2197;53;7;46;0;2144;447;462;1067;168;5
"280306";"gmina wiejska";"gm. Rybno";"działdowski";"warmińsko-mazurskie";5186;5762;2116;3070;4;32;0;0;0;0;0;0;0;3070;0;0;3070;95;16;79;0;2975;541;650;1549;235;9
"280701";"gmina miejska";"m. Iława";"iławski";"warmińsko-mazurskie";24586;26767;8762;15824;9;113;5;5;0;0;0;0;5;15829;5;0;15829;237;57;180;0;15592;2080;6405;5774;1333;19
"280702";"gmina miejska";"m. Lubawa";"iławski";"warmińsko-mazurskie";6877;7513;2400;4477;7;20;0;0;0;0;0;0;0;4477;0;0;4477;77;14;63;0;4400;495;1576;1866;463;4
"280703";"gmina wiejska";"gm. Iława";"iławski";"warmińsko-mazurskie";8775;9681;3848;4927;0;43;0;0;0;0;0;0;0;4927;0;0;4927;85;20;65;0;4842;586;1605;2199;452;12
"280704";"gmina miejsko-wiejska";"gm. Kisielice";"iławski";"warmińsko-mazurskie";4334;4739;2198;2136;6;11;0;0;0;0;0;0;0;2136;0;0;2136;30;1;29;0;2106;284;581;1068;173;7
"280705";"gmina wiejska";"gm. Lubawa";"iławski";"warmińsko-mazurskie";7461;8193;3050;4411;1;11;0;0;0;0;0;0;0;4409;0;0;4409;75;10;65;0;4334;509;914;2530;381;8
"280706";"gmina miejsko-wiejska";"gm. Susz";"iławski";"warmińsko-mazurskie";9392;9618;5026;4370;8;23;0;0;0;0;0;0;0;4370;0;0;4370;66;23;43;0;4304;468;1378;1967;491;11
"280707";"gmina miejsko-wiejska";"gm. Zalewo";"iławski";"warmińsko-mazurskie";5055;5507;2696;2359;0;38;0;0;0;0;0;0;0;2359;0;0;2359;46;11;35;0;2313;250;870;994;199;4
"281201";"gmina miejska";"m. Nowe Miasto Lubawskie";"nowomiejski";"warmińsko-mazurskie";7757;8268;2943;4814;10;32;0;0;0;0;0;0;0;4813;0;0;4813;81;18;63;0;4732;613;1950;1837;332;7
"281202";"gmina wiejska";"gm. Biskupiec";"nowomiejski";"warmińsko-mazurskie";6811;7400;3004;3807;2;28;0;0;0;0;0;0;0;3807;0;0;3807;99;14;85;0;3708;486;1141;1801;280;7
"281203";"gmina wiejska";"gm. Grodziczno";"nowomiejski";"warmińsko-mazurskie";4480;4905;1922;2558;4;12;0;0;0;0;0;0;0;2557;0;0;2557;43;10;33;0;2514;432;432;1529;121;6
"281204";"gmina wiejska";"gm. Kurzętnik";"nowomiejski";"warmińsko-mazurskie";6313;6886;2603;3710;3;23;0;0;0;0;0;0;0;3710;0;0;3710;89;24;65;0;3621;445;884;1954;338;5
"281205";"gmina wiejska";"gm. Nowe Miasto Lubawskie";"nowomiejski";"warmińsko-mazurskie";5744;6295;2453;3291;2;11;0;0;0;0;0;0;0;3291;0;0;3291;72;16;56;0;3219;456;898;1589;276;8
"281501";"gmina miejska";"m. Ostróda";"ostródzki";"warmińsko-mazurskie";23689;25401;8507;15182;13;119;1;1;0;1;0;0;0;15181;0;0;15181;216;65;151;0;14965;1673;7218;4886;1188;19
"281502";"gmina wiejska";"gm. Dąbrówno";"ostródzki";"warmińsko-mazurskie";3016;3319;1588;1429;0;14;0;0;0;0;0;0;0;1428;0;0;1428;37;4;33;0;1391;148;445;674;124;4
"281503";"gmina wiejska";"gm. Grunwald";"ostródzki";"warmińsko-mazurskie";3907;4305;2235;1672;2;11;0;0;0;0;0;0;0;1672;0;0;1672;30;4;26;0;1642;189;529;801;123;4
"281504";"gmina wiejska";"gm. Łukta";"ostródzki";"warmińsko-mazurskie";3260;3600;1623;1637;1;35;0;0;0;0;0;0;0;1637;0;0;1637;23;4;19;0;1614;177;728;557;152;3
"281505";"gmina wiejska";"gm. Małdyty";"ostródzki";"warmińsko-mazurskie";4527;4879;2448;2079;2;19;0;0;0;0;0;0;0;2079;0;0;2079;35;7;28;0;2044;215;831;824;174;4
"281506";"gmina miejsko-wiejska";"gm. Miłakowo";"ostródzki";"warmińsko-mazurskie";3914;4275;2031;1883;6;19;0;0;0;0;0;0;0;1883;0;1;1882;23;5;18;0;1859;212;654;850;143;5
"281507";"gmina miejsko-wiejska";"gm. Miłomłyn";"ostródzki";"warmińsko-mazurskie";3601;3979;1686;1915;2;29;0;0;0;0;0;0;0;1913;0;0;1913;48;12;36;0;1865;253;811;664;137;5
"281508";"gmina miejsko-wiejska";"gm. Morąg";"ostródzki";"warmińsko-mazurskie";17418;18855;7632;9786;8;69;1;1;0;0;0;0;1;9787;1;0;9787;220;45;175;0;9567;1031;4369;3424;743;22
"281509";"gmina wiejska";"gm. Ostróda";"ostródzki";"warmińsko-mazurskie";11315;12392;5186;6129;3;98;1;1;0;0;0;0;1;6129;1;0;6129;113;32;81;0;6016;657;2415;2348;596;15
