"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Małgorzata KOPICZKO";"Jolanta PIOTROWSKA";"Stanisław TOŁWIŃSKI";"Liczba obwodów"
"280501";"gmina miejska";"m. Ełk";"ełcki";"warmińsko-mazurskie";41792;44810;17873;23917;35;159;2;2;0;0;0;0;2;23917;2;0;23917;498;137;361;0;23419;9759;9597;4063;22
"280502";"gmina wiejska";"gm. Ełk";"ełcki";"warmińsko-mazurskie";8094;8831;3978;4116;2;40;0;0;0;0;0;0;0;4116;0;0;4116;97;27;70;0;4019;1855;1452;712;12
"280503";"gmina wiejska";"gm. Kalinowo";"ełcki";"warmińsko-mazurskie";4830;5248;2729;2101;5;21;0;0;0;0;0;0;0;2101;0;0;2101;49;12;37;0;2052;1252;466;334;7
"280504";"gmina wiejska";"gm. Prostki";"ełcki";"warmińsko-mazurskie";5136;5568;2951;2184;1;22;0;0;0;0;0;0;0;2185;0;0;2185;46;4;42;0;2139;1215;624;300;8
"280505";"gmina wiejska";"gm. Stare Juchy";"ełcki";"warmińsko-mazurskie";2728;2989;1471;1257;2;31;0;0;0;0;0;0;0;1257;0;0;1257;22;2;20;0;1235;614;414;207;4
"280601";"gmina miejska";"m. Giżycko";"giżycki";"warmińsko-mazurskie";20182;22473;7183;12998;16;141;2;2;0;0;0;0;2;12997;2;2;12995;219;66;153;0;12776;3858;6651;2267;13
"280604";"gmina wiejska";"gm. Giżycko";"giżycki";"warmińsko-mazurskie";6105;6730;2575;3530;6;71;0;0;0;0;0;0;0;3530;0;0;3530;60;17;43;0;3470;1268;1558;644;13
"280605";"gmina wiejska";"gm. Kruklanki";"giżycki";"warmińsko-mazurskie";2279;2471;1039;1240;0;21;0;0;0;0;0;0;0;1240;0;0;1240;29;8;21;0;1211;394;617;200;4
"280606";"gmina wiejska";"gm. Miłki";"giżycki";"warmińsko-mazurskie";2776;3024;1406;1370;1;8;0;0;0;0;0;0;0;1369;0;0;1369;16;2;14;0;1353;627;505;221;3
"280608";"gmina miejsko-wiejska";"gm. Ryn";"giżycki";"warmińsko-mazurskie";4182;4596;2063;2119;4;53;0;0;0;0;0;0;0;2119;0;0;2119;44;7;37;0;2075;860;853;362;7
"280610";"gmina wiejska";"gm. Wydminy";"giżycki";"warmińsko-mazurskie";4610;5078;2245;2365;6;28;0;0;0;0;0;0;0;2365;0;0;2365;46;13;33;0;2319;1018;953;348;8
"280801";"gmina miejska";"m. Kętrzyn";"kętrzyński";"warmińsko-mazurskie";19791;21199;7943;11848;15;75;2;2;0;0;0;0;2;11847;2;0;11847;220;38;182;0;11627;4029;4883;2715;16
"280802";"gmina wiejska";"gm. Barciany";"kętrzyński";"warmińsko-mazurskie";4446;4821;2650;1796;3;14;0;0;0;0;0;0;0;1796;0;0;1796;38;13;25;0;1758;874;492;392;5
"280803";"gmina wiejska";"gm. Kętrzyn";"kętrzyński";"warmińsko-mazurskie";5821;6323;3058;2763;1;12;0;0;0;0;0;0;0;2763;0;0;2763;53;12;41;0;2710;1094;918;698;12
