"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jan AUGUSTYN";"Adam Stanisław SZEJNFELD";"Jolanta Małgorzata TURCZYNOWICZ-KIERYŁŁO";"Liczba obwodów"
"300101";"gmina miejska";"m. Chodzież";"chodzieski";"wielkopolskie";13868;14769;4270;9598;12;49;0;0;0;0;0;0;0;9596;0;0;9596;271;82;189;0;9325;1816;4771;2738;11
"300102";"gmina wiejska";"gm. Budzyń";"chodzieski";"wielkopolskie";5924;6447;2350;3574;7;6;0;0;0;0;0;0;0;3572;0;0;3572;93;13;80;0;3479;643;1588;1248;5
"300103";"gmina wiejska";"gm. Chodzież";"chodzieski";"wielkopolskie";4221;4605;1471;2750;3;9;0;0;0;0;0;0;0;2750;0;0;2750;69;13;56;0;2681;506;1294;881;8
"300104";"gmina miejsko-wiejska";"gm. Margonin";"chodzieski";"wielkopolskie";4510;4935;1414;3096;3;15;0;0;0;0;0;0;0;3095;0;0;3095;95;22;73;0;3000;537;1407;1056;7
"300105";"gmina miejsko-wiejska";"gm. Szamocin";"chodzieski";"wielkopolskie";5405;5818;2252;3153;2;21;0;0;0;0;0;0;0;3153;0;0;3153;67;23;44;0;3086;605;1255;1226;5
"300201";"gmina miejska";"m. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";7846;8457;2559;5287;10;25;0;0;0;0;0;0;0;5287;0;1;5286;120;27;93;0;5166;857;2676;1633;6
"300202";"gmina wiejska";"gm. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";8027;8817;3216;4811;1;30;0;0;0;0;0;0;0;4811;0;0;4811;115;21;94;0;4696;789;1907;2000;11
"300203";"gmina wiejska";"gm. Drawsko";"czarnkowsko-trzcianecki";"wielkopolskie";4232;4615;1604;2628;2;9;0;0;0;0;0;0;0;2627;0;0;2627;68;15;53;0;2559;419;940;1200;5
"300204";"gmina miejsko-wiejska";"gm. Krzyż Wielkopolski";"czarnkowsko-trzcianecki";"wielkopolskie";6250;6860;2648;3602;4;17;0;0;0;0;0;0;0;3601;0;0;3601;96;31;65;0;3505;495;1647;1363;5
"300205";"gmina wiejska";"gm. Lubasz";"czarnkowsko-trzcianecki";"wielkopolskie";5390;5826;1929;3461;0;10;0;0;0;0;0;0;0;3460;0;0;3460;93;24;69;0;3367;643;1458;1266;6
"300206";"gmina wiejska";"gm. Połajewo";"czarnkowsko-trzcianecki";"wielkopolskie";4384;4814;1721;2662;1;6;0;0;0;0;0;0;0;2662;0;0;2662;72;20;52;0;2590;354;1055;1181;4
"300207";"gmina miejsko-wiejska";"gm. Trzcianka";"czarnkowsko-trzcianecki";"wielkopolskie";16944;18425;6066;10878;19;75;1;1;0;0;0;0;1;10877;1;0;10877;290;73;217;0;10587;1978;4999;3610;14
"300208";"gmina miejsko-wiejska";"gm. Wieleń";"czarnkowsko-trzcianecki";"wielkopolskie";8767;9605;3603;5164;3;36;0;0;0;0;0;0;0;5163;0;0;5163;142;24;118;0;5021;833;2033;2155;10
"301901";"gmina miejska";"m. Piła";"pilski";"wielkopolskie";50783;55130;14842;35943;48;241;4;4;0;0;0;0;4;35940;4;0;35940;989;354;635;0;34951;5924;16610;12417;33
"301902";"gmina wiejska";"gm. Białośliwie";"pilski";"wielkopolskie";3398;3706;1198;2200;4;7;0;0;0;0;0;0;0;2200;0;0;2200;63;14;49;0;2137;401;718;1018;5
"301903";"gmina wiejska";"gm. Kaczory";"pilski";"wielkopolskie";5568;6113;1877;3691;9;27;0;0;0;0;0;0;0;3691;0;0;3691;100;56;44;0;3591;685;1196;1710;5
"301904";"gmina miejsko-wiejska";"gm. Łobżenica";"pilski";"wielkopolskie";6702;7343;2874;3828;2;8;0;0;0;0;0;0;0;3828;0;0;3828;92;38;54;0;3736;576;963;2197;6
"301905";"gmina wiejska";"gm. Miasteczko Krajeńskie";"pilski";"wielkopolskie";2293;2504;936;1357;2;6;0;0;0;0;0;0;0;1356;0;5;1351;51;7;44;0;1300;254;509;537;3
