"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Janusz Andrzej PĘCHERZ";"Andrzej Franciszek WOJTYŁA";"Liczba obwodów"
"300601";"gmina miejsko-wiejska";"gm. Jaraczewo";"jarociński";"wielkopolskie";5769;6326;2071;3698;4;5;0;0;0;0;0;0;0;3697;0;0;3697;161;34;127;0;3536;1323;2213;6
"300602";"gmina miejsko-wiejska";"gm. Jarocin";"jarociński";"wielkopolskie";32599;35460;11408;21191;9;96;5;5;0;0;0;0;5;21182;5;0;21182;835;220;615;0;20347;10834;9513;18
"300603";"gmina wiejska";"gm. Kotlin";"jarociński";"wielkopolskie";5088;5557;2065;3023;1;2;0;0;0;0;0;0;0;3023;0;0;3023;144;27;117;0;2879;1188;1691;5
"300604";"gmina miejsko-wiejska";"gm. Żerków";"jarociński";"wielkopolskie";7470;8167;2936;4534;3;13;0;0;0;0;0;0;0;4530;0;0;4530;135;17;118;0;4395;1643;2752;8
"300701";"gmina wiejska";"gm. Blizanów";"kaliski";"wielkopolskie";7261;7946;2781;4480;1;8;0;0;0;0;0;0;0;4478;0;1;4477;149;51;98;0;4328;1735;2593;8
"300702";"gmina wiejska";"gm. Brzeziny";"kaliski";"wielkopolskie";4241;4637;1638;2603;3;8;0;0;0;0;0;0;0;2603;0;0;2603;103;25;78;0;2500;949;1551;7
"300703";"gmina wiejska";"gm. Ceków-Kolonia";"kaliski";"wielkopolskie";3481;3815;1397;2084;1;10;0;0;0;0;0;0;0;2084;0;0;2084;103;11;92;0;1981;928;1053;4
"300704";"gmina wiejska";"gm. Godziesze Wielkie";"kaliski";"wielkopolskie";6978;7565;2491;4487;2;25;0;0;0;0;0;0;0;4487;0;0;4487;159;37;122;0;4328;1790;2538;10
"300705";"gmina wiejska";"gm. Koźminek";"kaliski";"wielkopolskie";5500;6024;2266;3234;2;12;0;0;0;0;0;0;0;3234;0;0;3234;104;21;83;0;3130;1183;1947;5
"300706";"gmina wiejska";"gm. Lisków";"kaliski";"wielkopolskie";3901;4286;1655;2246;2;9;0;0;0;0;0;0;0;2246;0;0;2246;93;25;68;0;2153;824;1329;6
