"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"Lista nr 1 - KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Paweł Jan BEJDA - nr na liście 1";"Jolanta ZIĘBA-GZIK - nr na liście 2";"Adam Paweł NOWAK - nr na liście 3";"Elżbieta Renata NAWROCKA - nr na liście 4";"Bogdan Ryszard JAROTA - nr na liście 5";"Tomasz WOŹNIAK - nr na liście 6";"Zbigniew Marek STASIAK - nr na liście 7";"Michał Tomasz PACHOLSKI - nr na liście 8";"Marek Jan KRAWCZYK - nr na liście 9";"Ewa BEDNAREK - nr na liście 10";"Marek JANKOWSKI - nr na liście 11";"Andrzej KARNISZEWSKI - nr na liście 12";"Paweł Krzysztof PLEWIŃSKI - nr na liście 13";"Michał Waldemar TERKA - nr na liście 14";"Maria KACZOROWSKA - nr na liście 15";"Marcin ŁABĘDZKI - nr na liście 16";"Alina BŁACH - nr na liście 17";"Andrzej ŻÓRAW - nr na liście 18";"Ewa Anna KRAWCZYK - nr na liście 19";"Justyna Agnieszka ROMANOW-PRZYBYLAK - nr na liście 20";"Agnieszka MORGA - nr na liście 21";"Danuta CZUPRYNIAK - nr na liście 22";"Adam GRZEGORY - nr na liście 23";"Andrzej Paweł STĘPIEŃ - nr na liście 24";"Lista nr 2 - KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Joanna Katarzyna LICHOCKA - nr na liście 1";"Piotr Stanisław POLAK - nr na liście 2";"Tadeusz Jacek WOŹNIAK - nr na liście 3";"Beata Anna MATEUSIAK-PIELUCHA - nr na liście 4";"Krzysztof CIEBIADA - nr na liście 5";"Tomasz Piotr RZYMKOWSKI - nr na liście 6";"Paweł Piotr RYCHLIK - nr na liście 7";"Marek MATUSZEWSKI - nr na liście 8";"Iwona Małgorzata WIECZOREK - nr na liście 9";"Andrzej Robert GÓRCZYŃSKI - nr na liście 10";"Ewa RZYMKOWSKA - nr na liście 11";"Krzysztof Jan NOWAK - nr na liście 12";"Michał Bazyli KRZAK - nr na liście 13";"Olga Anna KOŁOSZCZYK - nr na liście 14";"Katarzyna PAPROTA - nr na liście 15";"Mariusz GAŁKA - nr na liście 16";"Sławomir WALCZAK - nr na liście 17";"Iwona CHADRYŚ - nr na liście 18";"Monika Malwina TWARDOWSKA - nr na liście 19";"Elżbieta Beata RATYŃSKA - nr na liście 20";"Sylwia Marianna WRZAŁA - nr na liście 21";"Wieńczysław Jerzy KAŹMIERCZAK - nr na liście 22";"Paweł Tomasz KALETA - nr na liście 23";"Waldemar Jan WOJCIECHOWSKI - nr na liście 24";"Lista nr 3 - KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Paulina MATYSIAK - nr na liście 1";"Cezary Roman OLEJNICZAK - nr na liście 2";"Wiktor IDZIKOWSKI - nr na liście 3";"Iwona Monika KAŹMIERSKA-MAŁYSKA - nr na liście 4";"Henryk WALUDA - nr na liście 5";"Anna Iwona SIKORA - nr na liście 6";"Michał Damian PIETRZAK - nr na liście 7";"Zdzisława Teresa LEWICKA - nr na liście 8";"Patryk LORENC - nr na liście 9";"Marcin KARPIŃSKI - nr na liście 10";"Anna Maria BŁASZCZYK - nr na liście 11";"Sebastian Bartosz WALCZAK - nr na liście 12";"Monika KOŚCIAN - nr na liście 13";"Przemysław RAJ - nr na liście 14";"Agnieszka Czesława BUNDZYLAK-DĄBROWSKA - nr na liście 15";"Anna Maria WOLSKA - nr na liście 16";"Piotr ZIĘBA - nr na liście 17";"Piotr Krzysztof CIUBORSKI - nr na liście 18";"Olga JĘDRYSIAK-URBAŃSKA - nr na liście 19";"Marek PŁÓCIENNIK - nr na liście 20";"Adrian SKOCZYLAS - nr na liście 21";"Kinga BORKIEWICZ - nr na liście 22";"Rafał GRABSKI - nr na liście 23";"Marek Józef GRYGLEWSKI - nr na liście 24";"Lista nr 4 - KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Izabela Anna WALCZAK - nr na liście 1";"Łukasz Mikołaj OWCZAREK - nr na liście 2";"Andrzej KANIEWSKI - nr na liście 3";"Łukasz Artur OŻADOWICZ - nr na liście 4";"Dariusz DYONIZIAK - nr na liście 5";"Ewelina MATUSIAK - nr na liście 6";"Joanna KĘDZIAK - nr na liście 7";"Justyna SOBCZAK - nr na liście 8";"Wojciech Damian NOWAK - nr na liście 9";"Malwina Anna GOGULSKA - nr na liście 10";"Adam Jan WOLNIEWICZ - nr na liście 11";"Angelika SKOWRONEK - nr na liście 12";"Konrad Piotr KOCIŃSKI - nr na liście 13";"Weronika GACKOWSKA - nr na liście 14";"Sebastian Patryk HEJNIAK - nr na liście 15";"Katarzyna Dorota SZCZEŚNIAK - nr na liście 16";"Rafał Andrzej KARDAS - nr na liście 17";"Magdalena Ewa WASIEWICZ - nr na liście 18";"Mateusz Mariusz ZAJĄC - nr na liście 19";"Natalia Paulina ROSIŃSKA - nr na liście 20";"Aleksandra Anna ZIEMBA - nr na liście 21";"Rafał GIEROWSKI - nr na liście 22";"Lista nr 5 - KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Cezary Józef TOMCZYK - nr na liście 1";"Dariusz JOŃSKI - nr na liście 2";"Agnieszka Małgorzata HANAJCZYK - nr na liście 3";"Krzysztof Gabor RĄKOWSKI - nr na liście 4";"Andrzej OWCZAREK - nr na liście 5";"Artur GIERULA - nr na liście 6";"Michał Marian PABICH - nr na liście 7";"Jacek Witold LEWERA - nr na liście 8";"Piotr Jacek SEWERYN - nr na liście 9";"Iwona Elżbieta LEWANDOWSKA - nr na liście 10";"Katarzyna Renata WRÓBEL - nr na liście 11";"Edyta Grażyna STRUMIAN - nr na liście 12";"Zbigniew WÓJCIK - nr na liście 13";"Michał Marcin KOWALCZYK - nr na liście 14";"Anna LIPIŃSKA - nr na liście 15";"Karolina Daria MATUSIAK - nr na liście 16";"Beata Maria ZIELIŃSKA - nr na liście 17";"Tomasz Bernard KĄCKI - nr na liście 18";"Barbara Maria JESIONOWSKA - nr na liście 19";"Marcin Miłosz SIERADZKI - nr na liście 20";"Katarzyna Kinga WOLNA - nr na liście 21";"Nina Barbara OKOŃ-WYDER - nr na liście 22";"Marek Grzegorz JACHIMEK - nr na liście 23";"Małgorzata Iwona GRABARCZYK - nr na liście 24";"Lista nr 8 - KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY - ZPOW-601-10/19";"Przemysław Szczepan SKUPIŃSKI - nr na liście 1";"Wojciech Stanisław GOŹDZIEWICZ - nr na liście 2";"Przemysław Bogusław TOBOLCZYK - nr na liście 3";"Jacek PIETRZAK - nr na liście 4";"Emilia MATUSIAK - nr na liście 5";"Monika Magdalena BACZYŃSKA-SOCHA - nr na liście 6";"Jakub Marcin KLIMKIEWICZ - nr na liście 7";"Jakub Mateusz GAWRON - nr na liście 8";"Lucyna Stanisława BARAŃSKA - nr na liście 9";"Mariusz Janusz DOMINIAK - nr na liście 10";"Edyta Zofia KLIMKIEWICZ - nr na liście 11";"Agnieszka Anna CHRUŚCIEL - nr na liście 12";"Natalia Ewa FURMAŃCZYK - nr na liście 13";"Jerzy BORYS - nr na liście 14";"Magdalena KOLĘDA - nr na liście 15";"Katarzyna OWCZAREK - nr na liście 16";"Marcin Tomasz MAJKOWSKI - nr na liście 17";"Michał Andrzej NEUMAN - nr na liście 18";"Joanna Agnieszka SYNCEREK - nr na liście 19";"Mariusz Tomasz SABELA - nr na liście 20";"Monika BARANIAK - nr na liście 21";"Adrian Piotr ROBACZYŃSKI - nr na liście 22";"Marcin Witold GOŹDZIK - nr na liście 23";"Beata Urszula PLACEK-KUJAWSKA - nr na liście 24"
"bc3d-3d34-58cf-f352-1bf6-0c41-956e-9513";"100201";"11";"1";"miasto";"stały";"Kutnowski Dom Kultury w Kutnie, ul. Żółkiewskiego 4, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"1098";"1211";"307";"791";"3";"7";"0";"0";"0";"0";"0";"0";"0";"791";"0";"0";"791";"6";"5";"1";"0";"785";"42";"22";"1";"1";"5";"1";"3";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"2";"0";"1";"0";"0";"1";"318";"36";"5";"71";"0";"0";"155";"1";"0";"5";"1";"33";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"1";"4";"3";"175";"95";"55";"4";"4";"1";"1";"0";"0";"1";"2";"0";"1";"1";"1";"1";"1";"1";"0";"2";"0";"1";"0";"2";"1";"53";"27";"4";"3";"5";"1";"4";"1";"1";"2";"1";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"186";"88";"46";"2";"1";"0";"29";"0";"0";"1";"1";"1";"0";"3";"1";"0";"7";"3";"0";"0";"0";"1";"1";"0";"1";"11";"1";"1";"3";"0";"1";"0";"1";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"8f84-e0c3-843a-0323-2ed3-c3ce-41b8-10a4";"100201";"11";"2";"miasto";"stały";"Centrum Teatru, Muzyki i Tańca w Kutnie, ul. Teatralna 1, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"1404";"1527";"657";"747";"0";"6";"0";"0";"0";"0";"0";"0";"0";"747";"0";"0";"747";"2";"2";"0";"0";"745";"40";"17";"1";"1";"5";"0";"3";"1";"1";"0";"0";"3";"0";"1";"0";"0";"0";"0";"1";"4";"0";"1";"0";"0";"1";"330";"30";"7";"91";"2";"0";"137";"0";"1";"2";"4";"43";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"4";"5";"119";"74";"33";"4";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"2";"0";"3";"0";"0";"0";"0";"0";"1";"0";"0";"49";"32";"1";"0";"0";"4";"2";"1";"1";"1";"0";"0";"0";"0";"2";"1";"0";"0";"0";"3";"0";"0";"1";"176";"66";"73";"2";"0";"1";"13";"0";"0";"2";"3";"2";"0";"0";"0";"2";"6";"2";"0";"1";"0";"0";"1";"0";"2";"31";"4";"0";"21";"0";"2";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"f472-8863-80db-964f-1f1a-25fe-fade-ab55";"100201";"11";"3";"miasto";"stały";"Zespół Szkół Nr 1 im. St. Staszica w Kutnie, ul. Oporowska 7, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"1414";"1528";"461";"953";"1";"1";"0";"0";"0";"0";"0";"0";"0";"953";"0";"0";"953";"12";"9";"3";"0";"941";"51";"32";"0";"0";"0";"0";"1";"1";"2";"0";"4";"2";"0";"0";"0";"4";"0";"0";"1";"2";"1";"0";"0";"1";"0";"355";"33";"7";"99";"3";"0";"146";"1";"1";"3";"3";"45";"2";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0";"5";"3";"194";"118";"47";"6";"1";"1";"3";"3";"0";"1";"0";"1";"1";"0";"1";"0";"4";"1";"2";"0";"1";"1";"1";"0";"1";"53";"29";"3";"2";"1";"1";"3";"3";"2";"2";"0";"0";"0";"0";"4";"0";"1";"0";"0";"1";"1";"0";"0";"260";"118";"74";"3";"1";"1";"37";"1";"0";"0";"2";"0";"0";"0";"0";"1";"14";"2";"0";"2";"0";"0";"0";"0";"4";"28";"4";"0";"14";"1";"0";"3";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"1";"0"
"e171-7720-ed9f-2ca4-1f35-5395-609b-3c04";"100201";"11";"4";"miasto";"stały";"Świetlica RSM ""Pionier"" w Kutnie, ul. Staszica 21, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"1285";"1380";"485";"800";"1";"2";"0";"0";"0";"0";"0";"0";"0";"800";"0";"0";"800";"5";"2";"3";"0";"795";"39";"20";"3";"3";"1";"0";"2";"1";"1";"0";"1";"0";"0";"1";"0";"2";"1";"1";"0";"0";"0";"2";"0";"0";"0";"418";"48";"7";"131";"6";"1";"166";"1";"4";"4";"3";"28";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"10";"4";"116";"67";"27";"1";"0";"0";"2";"0";"0";"0";"1";"2";"10";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"1";"1";"23";"12";"2";"0";"1";"2";"3";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"185";"91";"58";"1";"1";"2";"13";"2";"0";"0";"6";"2";"0";"0";"1";"0";"4";"1";"0";"1";"0";"0";"0";"0";"2";"14";"3";"0";"5";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"1"
"23cf-0cd6-dc0a-951a-9a50-4b12-0013-68b8";"100201";"11";"5";"miasto";"stały";"Zespół Szkół Nr 3 im. Władysława Grabskiego w Kutnie, ul. Kościuszki 24, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"1018";"1100";"360";"658";"1";"2";"0";"0";"0";"0";"0";"0";"0";"658";"0";"0";"658";"7";"3";"4";"0";"651";"39";"15";"5";"2";"2";"0";"1";"1";"2";"1";"0";"2";"1";"0";"1";"1";"2";"0";"0";"0";"0";"2";"0";"0";"1";"253";"36";"2";"86";"3";"1";"71";"2";"1";"5";"6";"27";"0";"2";"1";"1";"1";"0";"0";"0";"0";"0";"0";"8";"0";"136";"84";"27";"6";"1";"0";"0";"0";"2";"0";"0";"3";"2";"1";"1";"0";"3";"2";"0";"0";"0";"0";"0";"0";"4";"34";"19";"2";"4";"3";"1";"2";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"179";"82";"39";"3";"2";"1";"28";"0";"1";"1";"3";"2";"0";"0";"0";"1";"11";"2";"0";"0";"1";"0";"0";"0";"2";"10";"1";"1";"5";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"79af-f535-817a-21a4-65e5-202f-c1bb-78dd";"100201";"11";"6";"miasto";"stały";"I Liceum Ogólnokształcące im. Gen. J. H. Dąbrowskiego w Kutnie, ul. Generała Dąbrowskiego 1, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"1384";"1484";"442";"942";"2";"5";"0";"0";"0";"0";"0";"0";"0";"941";"0";"0";"941";"5";"3";"2";"0";"936";"48";"35";"2";"0";"4";"1";"0";"0";"3";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"373";"41";"2";"95";"3";"1";"165";"6";"0";"1";"7";"39";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"8";"3";"194";"132";"29";"4";"0";"0";"11";"2";"0";"0";"1";"0";"7";"1";"1";"0";"3";"0";"0";"0";"0";"0";"0";"2";"1";"38";"22";"3";"0";"2";"1";"3";"0";"1";"1";"1";"0";"0";"0";"2";"1";"0";"1";"0";"0";"0";"0";"0";"270";"147";"57";"10";"3";"0";"25";"1";"0";"1";"4";"1";"1";"2";"0";"2";"12";"1";"0";"1";"0";"0";"2";"0";"0";"13";"3";"0";"5";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
"512a-3bee-485b-249d-a4d3-1b0e-ad9b-d9f4";"100201";"11";"7";"miasto";"stały";"Szkoła Podstawowa Nr 2 im. Marszałka Józefa Piłsudskiego w Kutnie, ul. Staszica 6, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"1130";"1198";"358";"772";"1";"1";"0";"0";"0";"0";"0";"0";"0";"772";"0";"0";"772";"5";"3";"2";"0";"767";"54";"27";"2";"2";"3";"2";"7";"0";"0";"2";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"2";"351";"42";"4";"92";"3";"0";"147";"3";"0";"3";"5";"37";"1";"1";"4";"1";"0";"0";"0";"0";"0";"0";"0";"6";"2";"127";"76";"23";"5";"5";"0";"0";"2";"0";"0";"0";"1";"4";"1";"0";"1";"2";"1";"0";"0";"1";"2";"2";"1";"0";"41";"27";"2";"0";"2";"0";"3";"0";"0";"0";"0";"0";"1";"0";"1";"2";"0";"0";"0";"3";"0";"0";"0";"178";"72";"57";"5";"0";"5";"17";"3";"0";"0";"5";"0";"0";"0";"0";"0";"7";"0";"1";"0";"0";"1";"2";"0";"3";"16";"1";"0";"10";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2"
"d15e-bb23-bb0d-97e6-2b7e-c8b9-c46c-db48";"100201";"11";"8";"miasto";"stały";"Przedszkole Miejskie Nr 17 ""NIEZAPOMINAJKA"" w Kutnie, ul. Józefa Wybickiego 1, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"1020";"1110";"339";"681";"4";"5";"1";"1";"0";"0";"0";"0";"1";"682";"1";"1";"681";"5";"2";"3";"0";"676";"31";"15";"4";"0";"2";"0";"3";"0";"1";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"320";"37";"2";"84";"5";"1";"113";"1";"4";"2";"3";"50";"1";"1";"1";"1";"0";"2";"0";"0";"0";"0";"1";"7";"4";"128";"73";"26";"4";"2";"1";"2";"1";"0";"0";"2";"2";"2";"1";"1";"0";"4";"1";"0";"0";"3";"0";"0";"2";"1";"46";"21";"1";"6";"0";"0";"3";"1";"2";"1";"1";"0";"0";"0";"4";"1";"1";"1";"0";"2";"0";"0";"1";"142";"59";"40";"9";"1";"0";"20";"1";"0";"0";"1";"0";"0";"0";"0";"1";"8";"0";"1";"0";"0";"0";"0";"0";"1";"9";"1";"0";"1";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1"
"1ee5-a091-6c01-d888-c14e-003b-226b-2b2e";"100201";"11";"9";"miasto";"stały";"Przedszkole Miejskie Nr 17 ""NIEZAPOMINAJKA"" w Kutnie, ul. Józefa Wybickiego 1, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"1371";"1480";"384";"987";"0";"1";"0";"0";"0";"0";"0";"0";"0";"987";"0";"0";"987";"8";"3";"5";"0";"979";"68";"32";"5";"1";"6";"3";"5";"1";"1";"0";"2";"1";"0";"1";"0";"3";"0";"2";"0";"0";"0";"1";"0";"1";"3";"415";"37";"5";"139";"8";"1";"143";"1";"2";"5";"4";"52";"0";"1";"2";"3";"1";"1";"0";"3";"1";"0";"0";"5";"1";"188";"132";"29";"3";"2";"2";"3";"0";"0";"1";"1";"1";"3";"2";"1";"0";"5";"0";"0";"0";"0";"0";"1";"1";"1";"59";"31";"4";"2";"3";"1";"5";"1";"3";"0";"0";"0";"0";"1";"5";"0";"0";"0";"0";"0";"1";"1";"1";"232";"83";"79";"6";"2";"1";"37";"0";"0";"1";"0";"2";"0";"0";"2";"0";"10";"0";"1";"1";"0";"1";"0";"1";"5";"17";"0";"0";"14";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2"
"8e29-500f-7a34-d94d-a1d8-752b-9a16-56a6";"100201";"11";"10";"miasto";"stały";"Szkoła Podstawowa Nr 1 im. Tadeusza Kościuszki w Kutnie, ul. Kanclerza Andrzeja Zamoyskiego 1, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"1672";"1827";"481";"1191";"3";"8";"0";"0";"0";"0";"0";"0";"0";"1189";"0";"0";"1189";"16";"7";"9";"0";"1173";"76";"35";"5";"2";"8";"2";"7";"2";"2";"0";"4";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"3";"1";"1";"1";"526";"44";"10";"163";"5";"0";"204";"2";"2";"5";"3";"63";"3";"1";"1";"0";"0";"0";"1";"2";"0";"0";"3";"9";"5";"186";"116";"35";"6";"3";"0";"6";"1";"1";"1";"0";"0";"3";"1";"1";"0";"7";"2";"0";"0";"0";"0";"0";"1";"2";"86";"48";"8";"3";"3";"0";"2";"2";"3";"2";"0";"1";"2";"0";"1";"2";"2";"1";"0";"3";"0";"0";"3";"277";"136";"68";"8";"0";"3";"33";"0";"0";"1";"3";"0";"1";"2";"1";"2";"10";"1";"1";"0";"0";"3";"0";"1";"3";"22";"3";"1";"7";"0";"3";"0";"0";"1";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1";"2"
