"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"Lista nr 1 - KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Władysław Marcin KOSINIAK-KAMYSZ - nr na liście 1";"Joanna Ewa KORDULA - nr na liście 2";"Stanisław Andrzej SORYS - nr na liście 3";"Ryszard DROŻDŻAK - nr na liście 4";"Marcin Stanisław GAWEŁ - nr na liście 5";"Bogusław KAMIŃSKI - nr na liście 6";"Grzegorz DUDA - nr na liście 7";"Anna Teresa SKALAK - nr na liście 8";"Adam Roman BIEDROŃ - nr na liście 9";"Maria Stefania ŁAKOMA - nr na liście 10";"Marian Józef ZALEWSKI - nr na liście 11";"Stella Józefa DĄBROŚ - nr na liście 12";"Tadeusz Kazimierz ŻAK - nr na liście 13";"Magdalena Anna POWROŹNIK - nr na liście 14";"Artur Piotr CHMIELA - nr na liście 15";"Beata Maria MYŚKÓW-SKOCZEK - nr na liście 16";"Małgorzata Anna TOKARCZYK-KOZIOŁ - nr na liście 17";"Marcin Krzysztof MIKOS - nr na liście 18";"Lista nr 2 - KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Anna Maria PIECZARKA - nr na liście 1";"Józefa SZCZUREK-ŻELAZKO - nr na liście 2";"Michał Jan WOJTKIEWICZ - nr na liście 3";"Urszula Beata RUSECKA - nr na liście 4";"Wiesław KRAJEWSKI - nr na liście 5";"Piotr Paweł SAK - nr na liście 6";"Anna Małgorzata CZECH - nr na liście 7";"Stanisław Marcin BUKOWIEC - nr na liście 8";"Mariusz Artur ZAJĄC - nr na liście 9";"Norbert Jakub KACZMARCZYK - nr na liście 10";"Jarosław Jan SORYS - nr na liście 11";"Piotr WAJDA - nr na liście 12";"Celina Joanna JACEWICZ - nr na liście 13";"Małgorzata Anna JAŚKO - nr na liście 14";"Magdalena Anna KOPCZYŃSKA - nr na liście 15";"Kazimierz Józef ŻUROWSKI - nr na liście 16";"Dariusz Piotr PIETRUSZKA - nr na liście 17";"Wojciech SKRUCH - nr na liście 18";"Lista nr 3 - KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Jacek Andrzej JABŁOŃSKI - nr na liście 1";"Jerzy Andrzej WOŹNIAK - nr na liście 2";"Ewa SKOWROŃSKA - nr na liście 3";"Dorota KOCOŃ - nr na liście 4";"Stanisław Andrzej PIWOWARSKI - nr na liście 5";"Agnieszka Anna SIENICKA - nr na liście 6";"Antoni CZAPKIEWICZ - nr na liście 7";"Maria Bernadeta WILCZYŃSKA - nr na liście 8";"Przemysław Tomasz DAŃDA - nr na liście 9";"Przemysław WĘGRZYN - nr na liście 10";"Romana Anna JEWUŁA - nr na liście 11";"Renata Lucyna NIZIOŁEK - nr na liście 12";"Liliana Karolina KONOPKA - nr na liście 13";"Artur Łukasz BOROWICZ - nr na liście 14";"Justyna Magdalena MAŁEK - nr na liście 15";"Maciej Jan MROZOWSKI - nr na liście 16";"Alicja Łucja SERWIN - nr na liście 17";"Andrzej Stefan SZTORC - nr na liście 18";"Lista nr 4 - KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Czesław Alfred KWAŚNIAK - nr na liście 1";"Radosław Michał MACOŃ - nr na liście 2";"Konrad Mariusz WÓJCIKIEWICZ - nr na liście 3";"Barbara Janina ŁACH - nr na liście 4";"Grzegorz Wojciech POCIĘGIEL - nr na liście 5";"Andrzej Piotr SZUBA - nr na liście 6";"Agata Magdalena SMOŁA - nr na liście 7";"Ewelina Anna JEZIOREK - nr na liście 8";"Marta Magdalena MUCHA - nr na liście 9";"Maria Barbara LECHOWICZ - nr na liście 10";"Kamil STACHOWICZ - nr na liście 11";"Alina Barbara BORYCZKA - nr na liście 12";"Karol Zygmunt SERAFIN - nr na liście 13";"Maciej Zbigniew SOSIN - nr na liście 14";"Jadwiga Maria NOWAK - nr na liście 15";"Bartłomiej Bogusław NIEDZIUŁKA - nr na liście 16";"Krzysztof Grzegorz GAGATEK - nr na liście 17";"Lista nr 5 - KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Urszula Danuta AUGUSTYN - nr na liście 1";"Robert Marian WARDZAŁA - nr na liście 2";"Jacek Paweł PAJĄK - nr na liście 3";"Lech Jerzy PANKIEWICZ - nr na liście 4";"Barbara Maria KRUPA - nr na liście 5";"Grzegorz Maciej CYGONIK - nr na liście 6";"Jolanta Agata KRAMARCZYK - nr na liście 7";"Krzysztof Tadeusz JANAS - nr na liście 8";"Anna Beata POLAŃSKA - nr na liście 9";"Adam Marian KRAMARCZYK - nr na liście 10";"Rafał Leszek ROJEWSKI - nr na liście 11";"Łukasz SADKIEWICZ - nr na liście 12";"Piotr SZKLARSKI - nr na liście 13";"Magdalena Joanna ŁACNA - nr na liście 14";"Oliwia Julia BŁESZYŃSKA - nr na liście 15";"Tomasz Antoni KLUZA - nr na liście 16";"Dominika Kinga GONDEK-PODOSEK - nr na liście 17";"Bogusław SAMBOR - nr na liście 18"
"fb08-8d4c-eb7e-2e70-062f-877d-fc5e-ff76";"120101";"15";"1";"miasto";"stały";"Szkoła Podstawowa nr 1 im. Stanisława Jachowicza w Bochni, ul. Biała 2, 32-700 Bochnia";"m. Bochnia";"bocheński";"małopolskie";"1078";"1185";"396";"682";"2";"13";"0";"0";"0";"0";"0";"0";"0";"682";"0";"0";"682";"6";"2";"4";"0";"676";"72";"57";"0";"0";"2";"1";"0";"3";"1";"2";"0";"1";"0";"0";"0";"1";"4";"0";"0";"337";"62";"37";"4";"2";"2";"5";"4";"175";"38";"2";"2";"0";"0";"0";"1";"1";"1";"1";"79";"35";"5";"11";"5";"4";"1";"1";"0";"0";"7";"1";"4";"2";"0";"2";"0";"1";"0";"59";"18";"19";"2";"1";"1";"2";"0";"2";"5";"0";"2";"1";"1";"2";"0";"0";"3";"129";"33";"17";"40";"2";"4";"2";"3";"0";"2";"0";"0";"0";"0";"23";"1";"0";"1";"1"
"e58a-4c2e-872c-779f-20d5-2faf-cb43-7b20";"120101";"15";"2";"miasto";"stały";"Świetlica Bocheńskich Zakładów Usług Komunalnych Sp. z o. o. w Bochni, ul. 20 Stycznia 15, 32-700 Bochnia";"m. Bochnia";"bocheński";"małopolskie";"1541";"1680";"466";"1075";"2";"6";"0";"0";"0";"0";"0";"0";"0";"1075";"0";"0";"1075";"9";"6";"3";"0";"1066";"110";"80";"3";"2";"3";"0";"1";"2";"1";"2";"0";"0";"1";"0";"1";"1";"9";"1";"3";"562";"92";"73";"4";"16";"3";"6";"6";"274";"81";"1";"2";"1";"0";"1";"0";"1";"0";"1";"77";"36";"10";"9";"3";"1";"1";"0";"1";"1";"5";"0";"2";"2";"1";"1";"3";"1";"0";"84";"22";"32";"2";"5";"1";"0";"1";"6";"4";"0";"1";"1";"2";"3";"1";"1";"2";"233";"59";"23";"84";"6";"3";"0";"1";"0";"7";"0";"1";"0";"1";"37";"1";"0";"1";"9"
"e9cf-1451-61ce-a64e-8fbb-c2d2-dcda-dc61";"120101";"15";"3";"miasto";"stały";"Miejski Ośrodek Sportu i Rekreacji w Bochni Hala Widowiskowo-Sportowa im. W. Stawiarskiego, ul. Ks. Józefa Poniatowskiego 32, 32-700 Bochnia";"m. Bochnia";"bocheński";"małopolskie";"1528";"1648";"505";"1023";"1";"15";"0";"0";"0";"0";"0";"0";"0";"1023";"0";"0";"1023";"11";"6";"5";"0";"1012";"115";"79";"2";"1";"4";"0";"1";"3";"1";"2";"1";"1";"1";"3";"1";"1";"11";"0";"3";"518";"109";"64";"6";"13";"5";"1";"10";"224";"70";"5";"5";"0";"2";"2";"1";"0";"1";"0";"91";"41";"13";"20";"5";"3";"1";"0";"1";"0";"0";"0";"1";"1";"2";"1";"0";"1";"1";"61";"22";"16";"2";"1";"1";"0";"3";"3";"2";"0";"0";"0";"6";"0";"1";"0";"4";"227";"81";"35";"65";"5";"3";"0";"3";"0";"1";"1";"1";"0";"2";"27";"1";"0";"1";"1"
"cab9-853e-cc89-f5ab-2d78-a4aa-2b95-b722";"120101";"15";"4";"miasto";"stały";"Remiza Ochotniczej Straży Pożarnej Chodenice w Bochni, ul. Chodenicka 57, 32-700 Bochnia";"m. Bochnia";"bocheński";"małopolskie";"992";"1084";"230";"762";"0";"5";"0";"0";"0";"0";"0";"0";"0";"762";"0";"0";"762";"6";"3";"3";"0";"756";"68";"51";"2";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"1";"0";"0";"9";"0";"2";"431";"34";"39";"2";"6";"0";"9";"0";"295";"36";"3";"1";"1";"0";"0";"0";"2";"0";"3";"62";"32";"6";"10";"3";"0";"0";"1";"5";"0";"2";"0";"0";"1";"0";"0";"0";"1";"1";"46";"14";"15";"0";"0";"1";"0";"3";"2";"3";"1";"0";"0";"0";"1";"0";"2";"4";"149";"45";"15";"54";"4";"7";"0";"0";"0";"4";"0";"0";"0";"1";"17";"0";"1";"0";"1"
"a725-98d6-779d-070b-c4c6-1561-c69c-5f47";"120101";"15";"5";"miasto";"stały";"Miejskie Przedszkole nr 5 w Bochni, ul. Kolejowa 14, 32-700 Bochnia";"m. Bochnia";"bocheński";"małopolskie";"1042";"1127";"359";"683";"0";"4";"0";"0";"0";"0";"0";"0";"0";"683";"0";"0";"683";"4";"3";"1";"0";"679";"64";"43";"2";"0";"3";"0";"1";"1";"1";"1";"1";"0";"0";"0";"1";"1";"7";"1";"1";"372";"77";"59";"5";"10";"3";"4";"2";"160";"45";"0";"1";"1";"2";"0";"1";"0";"0";"2";"43";"19";"6";"10";"2";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"1";"0";"1";"0";"62";"13";"27";"4";"0";"1";"0";"4";"0";"4";"1";"1";"0";"2";"1";"0";"1";"3";"138";"41";"9";"54";"2";"0";"0";"0";"0";"1";"0";"0";"1";"1";"26";"1";"0";"1";"1"
"8922-6c2a-cb48-9a3b-c304-6efb-ddb4-d9f8";"120101";"15";"6";"miasto";"stały";"Szkoła Podstawowa Nr 4 im. św. Barbary w Bochni, ul. Konfederatów Barskich 27, 32-700 Bochnia";"m. Bochnia";"bocheński";"małopolskie";"1222";"1331";"262";"960";"1";"4";"0";"0";"0";"0";"0";"0";"0";"960";"0";"0";"960";"2";"0";"2";"0";"958";"111";"75";"2";"1";"8";"0";"1";"2";"0";"3";"0";"0";"0";"2";"1";"0";"13";"2";"1";"482";"108";"43";"7";"7";"4";"2";"6";"241";"50";"8";"3";"0";"1";"0";"2";"0";"0";"0";"89";"50";"9";"12";"6";"0";"2";"0";"2";"1";"2";"0";"0";"2";"0";"0";"0";"3";"0";"84";"24";"29";"3";"5";"0";"3";"3";"5";"2";"0";"3";"0";"3";"0";"1";"0";"3";"192";"65";"27";"63";"2";"2";"1";"0";"0";"3";"0";"0";"1";"3";"23";"0";"0";"0";"2"
"34d1-0b6c-5d36-c56f-0bb1-82f0-c54f-2d05";"120101";"15";"7";"miasto";"stały";"Miejskie Przedszkole nr 6 w Bochni, ul. Murowianka 28, 32-700 Bochnia";"m. Bochnia";"bocheński";"małopolskie";"1618";"1758";"452";"1166";"2";"3";"0";"0";"0";"0";"0";"0";"0";"1165";"0";"0";"1165";"10";"5";"5";"0";"1155";"125";"87";"2";"3";"5";"1";"2";"2";"0";"1";"1";"0";"0";"0";"0";"0";"15";"2";"4";"644";"139";"78";"8";"9";"6";"9";"2";"290";"76";"8";"2";"2";"2";"1";"1";"1";"3";"7";"92";"39";"7";"16";"6";"6";"2";"1";"1";"1";"1";"0";"0";"0";"2";"3";"1";"1";"5";"82";"16";"36";"5";"1";"0";"2";"3";"2";"4";"0";"2";"0";"3";"2";"1";"0";"5";"212";"53";"38";"80";"4";"1";"2";"2";"1";"4";"1";"3";"3";"0";"17";"0";"1";"0";"2"
"9029-b99e-57a9-93c4-df74-f2d2-51f7-e593";"120101";"15";"8";"miasto";"stały";"Urząd Miasta Bochnia, ul. Kazimierza Wielkiego 2, 32-700 Bochnia";"m. Bochnia";"bocheński";"małopolskie";"1916";"2068";"604";"1312";"6";"11";"0";"0";"0";"0";"0";"0";"0";"1312";"0";"0";"1312";"11";"7";"4";"0";"1301";"147";"98";"4";"2";"8";"0";"1";"5";"3";"0";"3";"0";"1";"1";"0";"0";"20";"1";"0";"613";"114";"76";"4";"16";"3";"6";"6";"302";"72";"6";"3";"1";"0";"0";"1";"1";"1";"1";"111";"60";"15";"9";"4";"5";"0";"0";"3";"1";"6";"0";"1";"0";"0";"2";"1";"1";"3";"87";"29";"26";"3";"5";"0";"3";"5";"2";"2";"2";"3";"0";"1";"1";"1";"1";"3";"343";"117";"47";"117";"4";"1";"0";"0";"3";"0";"0";"3";"1";"1";"45";"1";"0";"1";"2"
"f51b-35cd-529b-d2f0-b35d-d49d-2650-73b4";"120101";"15";"9";"miasto";"stały";"Szkoła Podstawowa nr 2 im. Kazimierza Brodzińskiego w Bochni, ul. Oracka 6, 32-700 Bochnia";"m. Bochnia";"bocheński";"małopolskie";"1759";"1888";"504";"1255";"4";"11";"0";"0";"0";"0";"0";"0";"0";"1255";"0";"0";"1255";"14";"9";"5";"0";"1241";"134";"98";"2";"2";"9";"0";"0";"1";"0";"3";"1";"2";"1";"0";"0";"1";"12";"0";"2";"564";"87";"76";"11";"16";"5";"6";"2";"253";"92";"5";"4";"1";"1";"0";"2";"0";"0";"3";"131";"64";"13";"19";"8";"1";"1";"0";"4";"3";"3";"2";"1";"0";"1";"5";"1";"0";"5";"85";"26";"34";"1";"3";"1";"2";"1";"2";"5";"1";"2";"0";"0";"1";"2";"1";"3";"327";"129";"42";"87";"5";"7";"1";"1";"2";"4";"0";"1";"1";"1";"41";"1";"1";"0";"3"
"7ed1-4d53-b8fa-bb36-46aa-b7a3-3b82-f3bc";"120101";"15";"10";"miasto";"stały";"Miejskie Centrum Dzieci i Młodzieży „Ochronka” w Bochni, ul. Henryka Sienkiewicza 2, 32-700 Bochnia";"m. Bochnia";"bocheński";"małopolskie";"1462";"1572";"363";"1099";"2";"6";"0";"0";"0";"0";"0";"0";"0";"1098";"0";"0";"1098";"5";"3";"2";"0";"1093";"154";"116";"2";"1";"9";"0";"1";"0";"0";"2";"0";"0";"1";"0";"0";"1";"17";"0";"4";"531";"79";"67";"7";"11";"2";"4";"4";"265";"79";"5";"2";"1";"0";"1";"1";"0";"1";"2";"101";"48";"14";"16";"2";"2";"3";"2";"3";"0";"3";"0";"1";"1";"3";"2";"0";"0";"1";"59";"20";"20";"0";"3";"1";"0";"1";"1";"2";"1";"0";"0";"1";"2";"0";"2";"5";"248";"78";"27";"80";"3";"3";"1";"1";"2";"1";"1";"3";"0";"1";"45";"0";"1";"0";"1"
