"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"Lista nr 1 - KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Mirosław Stanisław SZEMLA - nr na liście 1";"Marian Albin ORMANIEC - nr na liście 2";"Małgorzata KIEREŚ - nr na liście 3";"Alicja OGIEGŁO - nr na liście 4";"Przemysław MAJOR - nr na liście 5";"Waldemar Michał SZENDERA - nr na liście 6";"Dawid Sylwester JARCO - nr na liście 7";"Ryszard Tadeusz WÓJCIK - nr na liście 8";"Halina Stefania WENGLORZ - nr na liście 9";"Tadeusz ŻYŁA - nr na liście 10";"Edward Stanisław KUĆKA - nr na liście 11";"Magdalena Ewa SZCZEPAŃCZYK-CHROBAK - nr na liście 12";"Justyna Barbara SOSNOWSKA - nr na liście 13";"Brygida Urszula BRZOSKA-KRAWCZYK - nr na liście 14";"Andrzej Bernard GRZYB - nr na liście 15";"Grzegorz Ryszard GAWĘDA - nr na liście 16";"Lucyna BUTOR - nr na liście 17";"Danuta Maria KOŻUSZNIK - nr na liście 18";"Lista nr 2 - KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Stanisław SZWED - nr na liście 1";"Grzegorz Paweł PUDA - nr na liście 2";"Kazimierz Władysław MATUSZNY - nr na liście 3";"Przemysław Mieczysław DRABEK - nr na liście 4";"Magdalena Ewa WÓJCIK - nr na liście 5";"Grzegorz Krzysztof GAŻA - nr na liście 6";"Ryszard Arkadiusz MACURA - nr na liście 7";"Marcela Joanna KANAFEK-LEWANDOWSKA - nr na liście 8";"Barbara Lucyna ADAMSKA - nr na liście 9";"Konrad Tomasz ŁOŚ - nr na liście 10";"Adrian Kamil MIDOR - nr na liście 11";"Jarosław GOWIN - nr na liście 12";"Janusz Witold DZIEDZIC - nr na liście 13";"Agnieszka Magdalena BIEGUN - nr na liście 14";"Magdalena Elżbieta WAWRZECZKO - nr na liście 15";"Renata Anna MICHNIK - nr na liście 16";"Łukasz Grzegorz PASIERBEK - nr na liście 17";"Beata Iwona BIAŁOWĄS - nr na liście 18";"Lista nr 3 - KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Przemysław Adam KOPERSKI - nr na liście 1";"Agnieszka Zofia LAMEK-KOCHANOWSKA - nr na liście 2";"Leszek Zbigniew CZYLOK - nr na liście 3";"Henryk SATŁAWA - nr na liście 4";"Leszek TYRNA - nr na liście 5";"Anna Maria CZAICKA - nr na liście 6";"Magdalena MADZIA - nr na liście 7";"Aleksandra Ewa BANOT - nr na liście 8";"Barbara Jolanta SŁONKA-GIBAS - nr na liście 9";"Władysław PINDEL - nr na liście 10";"Katarzyna Olga GASPARSKA - nr na liście 11";"Alicja ZALEWSKA - nr na liście 12";"Aleksandra Maria HASIOR - nr na liście 13";"Paulina Magdalena GRZYBEK - nr na liście 14";"Michał Jacek BRUDNY - nr na liście 15";"Paweł Piotr MIECH - nr na liście 16";"Artur Jerzy SIĄKAŁA - nr na liście 17";"Zbigniew Henryk NOSKOWSKI - nr na liście 18";"Lista nr 4 - KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Bronisław Edward FOLTYN - nr na liście 1";"Robert Łukasz GRAJNY - nr na liście 2";"Wojciech Tomasz BIELEWICZ - nr na liście 3";"Maria STARZYŃSKA - nr na liście 4";"Artur SKŁODOWSKI - nr na liście 5";"Magdalena Barbara MILCZANOWSKA-SZWEDA - nr na liście 6";"Paweł Adam MAŁYSZ - nr na liście 7";"Marlena Maria WIEWIÓRA-BŁACHUT - nr na liście 8";"Cezary Józef CZAPIGA - nr na liście 9";"Patrycja Joanna KULA - nr na liście 10";"Andrzej Grzegorz POLAŃSKI - nr na liście 11";"Jolanta Maria CIEŚLAR - nr na liście 12";"Ronald Antoni MICHNIK - nr na liście 13";"Grażyna Katarzyna STRZAŁKOWSKA - nr na liście 14";"Dawid Józef RUDNICKI - nr na liście 15";"Katarzyna Elżbieta ŚNIEŻEK - nr na liście 16";"Paweł Teodor WALICZEK - nr na liście 17";"Lista nr 5 - KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Mirosława NYKIEL - nr na liście 1";"Małgorzata Anna PĘPEK - nr na liście 2";"Mirosław Tadeusz SUCHOŃ - nr na liście 3";"Andrzej Jan MOLIN - nr na liście 4";"Edyta Teresa GŁOMBEK - nr na liście 5";"Gabriela Maria LAZAREK - nr na liście 6";"Dariusz Stanisław MICHASIÓW - nr na liście 7";"Rafał Paweł RYPLEWICZ - nr na liście 8";"Łukasz Antoni GIERTLER - nr na liście 9";"Marcin Rafał ŚLĘK - nr na liście 10";"Ewa KASZOK - nr na liście 11";"Jerzy Marcin PIJANOWSKI - nr na liście 12";"Karolina Józefa KRZYŻAK - nr na liście 13";"Beata Anna ŁUKOWICZ - nr na liście 14";"Bogdan Tomasz DESOŃ - nr na liście 15";"Bronisław JAFERNIK - nr na liście 16";"Dorota Maria PIEGZIK-IZYDORCZYK - nr na liście 17";"Maciej Tadeusz TOMCZYKIEWICZ - nr na liście 18"
"260e-f62a-4f72-91e1-ed5d-7219-8d19-5a2f";"240201";"27";"1";"miasto";"stały";"Szkoła Podstawowa nr 1 im. Heleny Marusarzówny w Szczyrku, ul. Szkolna 9, 43-370 Szczyrk";"m. Szczyrk";"bielski";"śląskie";"1450";"1593";"436";"1014";"3";"37";"0";"0";"0";"0";"0";"0";"0";"1014";"0";"0";"1014";"9";"9";"0";"0";"1005";"81";"59";"6";"5";"0";"2";"0";"5";"0";"0";"1";"0";"0";"1";"1";"0";"0";"1";"0";"492";"257";"92";"9";"64";"20";"3";"6";"5";"3";"3";"0";"15";"3";"4";"1";"1";"1";"5";"99";"53";"18";"5";"0";"2";"2";"9";"1";"0";"1";"1";"1";"0";"1";"2";"0";"0";"3";"69";"24";"7";"2";"6";"0";"2";"11";"1";"0";"6";"1";"3";"0";"2";"0";"2";"2";"264";"166";"33";"21";"1";"8";"4";"5";"2";"1";"0";"3";"1";"0";"3";"6";"2";"1";"7"
"a108-9718-9244-58dc-8545-0ab2-49cf-1d84";"240201";"27";"2";"miasto";"stały";"Urząd Miejski w Szczyrku, ul. Beskidzka 4, 43-370 Szczyrk";"m. Szczyrk";"bielski";"śląskie";"1251";"1504";"279";"972";"2";"96";"0";"0";"0";"0";"0";"0";"0";"972";"0";"0";"972";"7";"5";"2";"0";"965";"79";"59";"4";"1";"3";"1";"2";"4";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"3";"513";"265";"98";"12";"56";"34";"0";"1";"2";"4";"5";"6";"11";"3";"3";"1";"2";"5";"5";"93";"70";"4";"2";"0";"1";"1";"7";"1";"0";"2";"0";"0";"1";"0";"1";"1";"0";"2";"70";"32";"4";"2";"2";"1";"3";"14";"2";"0";"3";"2";"3";"0";"0";"0";"0";"2";"210";"138";"28";"11";"1";"3";"6";"4";"1";"1";"2";"1";"2";"1";"1";"1";"1";"1";"7"
"d6eb-5534-3aac-a8d6-4e28-a2d0-75dc-a5bb";"240201";"27";"3";"miasto";"stały";"Szkoła Podstawowa nr 2 im. Królowej Jadwigi w Szczyrku, ul. Myśliwska 154, 43-370 Szczyrk";"m. Szczyrk";"bielski";"śląskie";"647";"676";"174";"473";"2";"24";"0";"0";"0";"0";"0";"0";"0";"473";"0";"0";"473";"3";"2";"1";"0";"470";"43";"24";"3";"2";"1";"3";"1";"1";"0";"0";"2";"1";"3";"0";"1";"0";"1";"0";"0";"264";"126";"40";"7";"43";"13";"4";"1";"1";"4";"4";"2";"9";"0";"2";"2";"2";"1";"3";"43";"25";"3";"3";"1";"0";"0";"1";"2";"1";"2";"0";"1";"0";"3";"1";"0";"0";"0";"39";"14";"3";"3";"1";"3";"1";"7";"3";"1";"1";"2";"0";"0";"0";"0";"0";"0";"81";"47";"7";"10";"1";"0";"0";"3";"0";"1";"1";"2";"0";"1";"1";"5";"0";"0";"2"
"72e0-fa36-c2ac-ab77-1212-1f9a-16f8-8ec0";"240201";"27";"4";"miasto";"stały";"Szkoła Podstawowa nr 2 im. Królowej Jadwigi w Szczyrku, ul. Myśliwska 154, 43-370 Szczyrk";"m. Szczyrk";"bielski";"śląskie";"1001";"1109";"317";"684";"1";"41";"0";"0";"0";"0";"0";"0";"0";"684";"0";"0";"684";"9";"5";"4";"0";"675";"46";"30";"6";"1";"0";"2";"1";"2";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"402";"183";"79";"17";"66";"20";"3";"0";"4";"4";"6";"2";"8";"3";"2";"4";"0";"0";"1";"44";"30";"6";"0";"0";"0";"1";"3";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"46";"19";"3";"0";"2";"1";"1";"13";"1";"0";"0";"0";"1";"0";"2";"1";"1";"1";"137";"79";"20";"9";"9";"1";"10";"3";"1";"0";"0";"1";"1";"1";"0";"1";"0";"0";"1"
"5a85-e79f-6df2-a2db-8869-6399-d0f7-bba2";"240202";"27";"1";"wieś";"stały";"Dom Strażaka, ul. Kościelna 41, 43-512 Bestwina";"gm. Bestwina";"bielski";"śląskie";"1752";"1905";"510";"1242";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1242";"0";"0";"1242";"8";"2";"6";"0";"1234";"123";"45";"9";"1";"11";"3";"0";"0";"2";"0";"5";"2";"4";"0";"1";"1";"32";"3";"4";"578";"238";"81";"6";"48";"19";"2";"1";"3";"5";"15";"0";"7";"3";"3";"1";"1";"140";"5";"135";"79";"12";"14";"3";"1";"1";"5";"3";"3";"1";"2";"2";"0";"4";"0";"4";"1";"0";"96";"48";"13";"3";"4";"1";"5";"4";"5";"3";"1";"1";"2";"1";"1";"0";"2";"2";"302";"191";"29";"29";"0";"5";"6";"8";"1";"2";"2";"0";"9";"1";"5";"1";"1";"0";"12"
"df92-49c4-584b-c3ec-1096-b261-25b4-64ae";"240202";"27";"2";"wieś";"stały";"Szkoła Podstawowa, ul. Szkolna 11, 43-512 Bestwina";"gm. Bestwina";"bielski";"śląskie";"1798";"1923";"469";"1329";"2";"7";"0";"0";"0";"0";"0";"0";"0";"1329";"0";"0";"1329";"14";"9";"5";"0";"1315";"107";"40";"8";"7";"9";"4";"3";"5";"2";"2";"1";"1";"1";"2";"0";"3";"14";"1";"4";"598";"220";"94";"11";"99";"18";"4";"0";"7";"13";"11";"2";"14";"4";"3";"2";"1";"90";"5";"137";"76";"13";"6";"0";"1";"4";"16";"2";"2";"3";"1";"3";"0";"4";"1";"1";"1";"3";"89";"47";"16";"7";"2";"4";"1";"2";"4";"1";"2";"0";"0";"0";"0";"1";"0";"2";"384";"227";"50";"40";"3";"10";"5";"17";"3";"1";"0";"1";"4";"3";"4";"2";"1";"2";"11"
"4533-2dd8-84dc-7975-01a7-f641-2014-4da1";"240202";"27";"3";"wieś";"stały";"Szkoła Podstawowa, Bestwinka ul. Dworkowa 3, 43-512 Bestwina";"gm. Bestwina";"bielski";"śląskie";"1203";"1311";"331";"872";"1";"0";"0";"0";"0";"0";"0";"0";"0";"872";"0";"0";"872";"9";"8";"1";"0";"863";"161";"21";"0";"5";"4";"3";"0";"4";"0";"0";"2";"2";"2";"1";"0";"0";"115";"0";"2";"365";"167";"79";"8";"16";"19";"6";"2";"12";"8";"9";"0";"9";"2";"0";"1";"0";"24";"3";"64";"36";"9";"3";"1";"1";"2";"5";"2";"0";"0";"2";"1";"0";"2";"0";"0";"0";"0";"68";"32";"9";"1";"4";"2";"1";"6";"2";"0";"6";"4";"0";"0";"0";"0";"0";"1";"205";"134";"24";"17";"4";"9";"2";"1";"2";"0";"0";"1";"1";"0";"3";"0";"4";"0";"3"
"4311-c7c8-215a-ac90-5819-cef2-0259-303f";"240202";"27";"4";"wieś";"stały";"Szkoła Podstawowa, Janowice ul. Korczaka 2, 43-512 Bestwina";"gm. Bestwina";"bielski";"śląskie";"1304";"1414";"332";"972";"1";"1";"0";"0";"0";"0";"0";"0";"0";"973";"0";"0";"973";"4";"1";"3";"0";"969";"101";"47";"10";"7";"5";"1";"0";"0";"1";"2";"2";"1";"0";"2";"1";"1";"18";"1";"2";"470";"154";"110";"6";"81";"9";"5";"0";"7";"4";"14";"2";"6";"1";"0";"7";"1";"59";"4";"82";"50";"7";"5";"1";"1";"1";"7";"0";"1";"0";"2";"1";"1";"4";"0";"0";"0";"1";"64";"33";"3";"5";"5";"2";"0";"8";"2";"0";"0";"1";"0";"0";"0";"0";"1";"4";"252";"142";"34";"37";"2";"11";"4";"3";"0";"1";"2";"1";"1";"1";"3";"1";"0";"1";"8"
"2747-e69e-819e-736c-ead4-dd76-cd12-23ec";"240202";"27";"5";"wieś";"stały";"Szkoła Podstawowa, ul. Batalionów Chłopskich 15, 43-514 Kaniów";"gm. Bestwina";"bielski";"śląskie";"1251";"1324";"434";"817";"0";"2";"0";"0";"0";"0";"0";"0";"0";"817";"0";"0";"817";"6";"3";"3";"0";"811";"104";"35";"9";"4";"9";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"5";"37";"0";"1";"311";"147";"44";"10";"21";"16";"8";"1";"4";"12";"8";"0";"0";"1";"3";"0";"1";"28";"7";"109";"64";"8";"10";"3";"2";"6";"3";"0";"0";"1";"2";"4";"1";"1";"1";"2";"1";"0";"71";"30";"15";"5";"1";"1";"2";"7";"1";"1";"3";"1";"0";"0";"0";"1";"0";"3";"216";"128";"32";"9";"2";"5";"1";"3";"0";"0";"2";"1";"1";"0";"21";"0";"0";"2";"9"
"7477-6c5a-8033-2695-6d61-f216-06ce-54cb";"240202";"27";"6";"wieś";"stały";"Szkoła Podstawowa, ul. Batalionów Chłopskich 15, 43-514 Kaniów";"gm. Bestwina";"bielski";"śląskie";"1191";"1318";"311";"880";"2";"4";"0";"0";"0";"0";"0";"0";"0";"880";"0";"0";"880";"10";"10";"0";"0";"870";"111";"34";"3";"2";"4";"1";"3";"0";"3";"1";"4";"0";"0";"1";"0";"0";"50";"2";"3";"354";"150";"76";"9";"23";"15";"11";"1";"10";"10";"4";"0";"6";"3";"1";"0";"0";"30";"5";"101";"57";"11";"3";"4";"3";"4";"5";"3";"2";"1";"0";"0";"0";"4";"1";"1";"2";"0";"71";"22";"14";"5";"4";"3";"4";"6";"1";"0";"0";"1";"0";"0";"1";"3";"2";"5";"233";"131";"35";"28";"2";"6";"2";"0";"1";"0";"0";"2";"5";"0";"15";"0";"0";"3";"3"
