"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"Lista nr 1 - KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Barbara Stanisława CHROBAK - nr na liście 1";"Krzysztof MARKOWSKI - nr na liście 2";"Janusz Kazimierz CIOŁCZYK - nr na liście 3";"Krzysztof Edward PEROŃ - nr na liście 4";"Jan BOSAK - nr na liście 5";"Anna Jadwiga SPORYSZKIEWICZ - nr na liście 6";"Andrzej Marek DUDA - nr na liście 7";"Paweł DRATWA - nr na liście 8";"Stanisław Antoni BORÓWKA - nr na liście 9";"Marcin Grzegorz GÓRALCZYK - nr na liście 10";"Anna Grażyna KAŁUŻA - nr na liście 11";"Ewa Bogusława PARADZIŃSKA - nr na liście 12";"Ewa Barbara JANIK - nr na liście 13";"Cezary Adam DOBROWOLSKI - nr na liście 14";"Agata Elżbieta BEBEŃCA - nr na liście 15";"Eliza Maria LABOCHA - nr na liście 16";"Tomasz Adam KMITA - nr na liście 17";"Stanisław DĄBROWA - nr na liście 18";"Lista nr 2 - KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Ewa Danuta MALIK - nr na liście 1";"Waldemar Franciszek ANDZEL - nr na liście 2";"Robert Piotr WARWAS - nr na liście 3";"Danuta Czesława NOWICKA - nr na liście 4";"Maria MATERLA - nr na liście 5";"Marcin Henryk KOZIK - nr na liście 6";"Małgorzata Wioletta ZARYCHTA-SURÓWKA - nr na liście 7";"Zbigniew Józef PIĄTEK - nr na liście 8";"Bożena Grażyna SZYDLIK - nr na liście 9";"Kazimierz Czesław WILK - nr na liście 10";"Lena Marzena WARDENGA - nr na liście 11";"Maciej Daniel DERELA - nr na liście 12";"Beata Elżbieta CIEŚLIK - nr na liście 13";"Paweł Ludwik SZOPA - nr na liście 14";"Ewa Irena TRAWCZYŃSKA - nr na liście 15";"Zenon Zygmunt GŁĄB - nr na liście 16";"Łukasz CURYŁO - nr na liście 17";"Lista nr 3 - KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Włodzimierz CZARZASTY - nr na liście 1";"Rafał Jan ADAMCZYK - nr na liście 2";"Anita Kornelia ZIEGLER-CHAMIELEC - nr na liście 3";"Wojciech Marcin NITWINKO - nr na liście 4";"Łukasz Karol LITEWKA - nr na liście 5";"Magdalena Monika KOT - nr na liście 6";"Wacław Michał CHUDZIKIEWICZ - nr na liście 7";"Marta DZIUBKA - nr na liście 8";"Adrian Paweł KUŹNICKI - nr na liście 9";"Ewa Katarzyna PÓŁTORAK - nr na liście 10";"Małgorzata ŁUBEK - nr na liście 11";"Marcin Rafał GŁADKOWSKI - nr na liście 12";"Anna Ewa FILIK - nr na liście 13";"Aleksandra Maria GRANAT - nr na liście 14";"Damian Leszek ŁUKASIK - nr na liście 15";"Urszula CZAJER - nr na liście 16";"Łukasz Rafał CIASTOŃ - nr na liście 17";"Lista nr 4 - KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Jerzy Jan JANOSKA - nr na liście 1";"Marcin Czesław KOLCZYK - nr na liście 2";"Waldemar SIKORA - nr na liście 3";"Grzegorz Ryszard OLEKSIEWICZ - nr na liście 4";"Artur Karol JAKÓBIK - nr na liście 5";"Olga Kinga KLARCZYŃSKA - nr na liście 6";"Monika Mirella KRZYŻAK - nr na liście 7";"Jagoda Magda KOCLĘGA - nr na liście 8";"Renata Aleksandra CYGAN - nr na liście 9";"Ryszard Zbigniew MIZDRA - nr na liście 10";"Wojciech Andrzej GRABOWSKI - nr na liście 11";"Dominika Agnieszka SURMIK - nr na liście 12";"Robert Paweł CIEŚLIK - nr na liście 13";"Małgorzata Halina DĄBROWSKA - nr na liście 14";"Magdalena Ilona LOREK - nr na liście 15";"Ewelina Magdalena GOREL - nr na liście 16";"Sylwia OSIAL - nr na liście 17";"Krzysztof Adam PAŁKA - nr na liście 18";"Lista nr 5 - KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Wojciech Paweł SAŁUGA - nr na liście 1";"Barbara DOLNIAK - nr na liście 2";"Mateusz Andrzej BOCHENEK - nr na liście 3";"Anna Ewa NEMŚ - nr na liście 4";"Marek Romuald WĘGRZYNOWICZ - nr na liście 5";"Bożena Irena ŁAPAJ - nr na liście 6";"Maciej Artur KLIMEK - nr na liście 7";"Teresa Mieczysława KOSMALA-GĄSIOR - nr na liście 8";"Marcin Jakub ZAPART - nr na liście 9";"Paweł SZCZEPANEK - nr na liście 10";"Ryszard Tadeusz MILEJ - nr na liście 11";"Jarosław Jacek SOCHACKI - nr na liście 12";"Renata Janina SOLIPIWKO - nr na liście 13";"Ewa Barbara SKOTALCZYK - nr na liście 14";"Marcin Bernard JANECZEK - nr na liście 15";"Małgorzata Agata OCHĘDUSZKO-LUDWIK - nr na liście 16";"Elżbieta Joanna LIEGMANN - nr na liście 17";"Jolanta Izabela MOĆKO - nr na liście 18"
"47a4-9054-9f27-4e76-f813-0a5e-e096-5d97";"240101";"32";"1";"miasto";"stały";"Szkoła Podstawowa nr 11, ul. Władysława Broniewskiego 12, 42-500 Będzin";"m. Będzin";"będziński";"śląskie";"1050";"1170";"328";"722";"0";"4";"0";"0";"0";"0";"0";"0";"0";"722";"0";"0";"722";"8";"0";"8";"0";"714";"30";"8";"0";"1";"4";"4";"0";"1";"0";"0";"0";"2";"0";"2";"2";"0";"0";"5";"1";"230";"62";"105";"23";"3";"1";"2";"3";"3";"0";"3";"3";"5";"1";"10";"3";"0";"3";"195";"47";"105";"14";"3";"12";"1";"0";"4";"1";"0";"0";"0";"1";"1";"0";"1";"5";"34";"14";"3";"3";"2";"2";"2";"2";"0";"0";"1";"2";"1";"0";"1";"1";"0";"0";"0";"225";"17";"149";"12";"4";"16";"13";"0";"0";"0";"2";"0";"0";"2";"0";"0";"4";"1";"5"
"a8c8-1374-dfb3-026d-3fca-9c65-f2d6-a231";"240101";"32";"2";"miasto";"stały";"Przedszkole Miejskie nr 5, ul. Zwycięstwa 21, 42-500 Będzin";"m. Będzin";"będziński";"śląskie";"1600";"1745";"560";"1040";"4";"4";"0";"0";"0";"0";"0";"0";"0";"1040";"0";"0";"1040";"11";"1";"10";"0";"1029";"37";"12";"6";"2";"1";"1";"2";"3";"1";"2";"0";"2";"1";"0";"1";"0";"0";"0";"3";"356";"101";"172";"33";"10";"2";"1";"3";"3";"2";"2";"1";"8";"3";"9";"0";"3";"3";"249";"55";"143";"10";"8";"15";"5";"1";"4";"1";"0";"0";"1";"1";"2";"0";"2";"1";"80";"37";"3";"7";"3";"1";"6";"3";"1";"3";"1";"4";"1";"3";"2";"2";"1";"0";"2";"307";"22";"220";"20";"8";"9";"8";"3";"0";"2";"3";"0";"0";"2";"2";"0";"4";"1";"3"
"71f8-daf5-2c9e-d979-50cd-6d90-c73d-5a81";"240101";"32";"3";"miasto";"stały";"Powiatowy Młodzieżowy Dom Kultury, ul. Powstańców Śląskich 1, 42-500 Będzin";"m. Będzin";"będziński";"śląskie";"1450";"1600";"426";"1024";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1024";"0";"0";"1024";"8";"6";"2";"0";"1016";"36";"15";"1";"2";"3";"4";"2";"1";"0";"0";"0";"1";"1";"1";"1";"0";"0";"4";"0";"344";"99";"151";"29";"6";"3";"4";"12";"5";"2";"3";"2";"2";"3";"15";"2";"2";"4";"269";"69";"160";"8";"4";"2";"13";"0";"3";"0";"1";"0";"3";"0";"2";"0";"2";"2";"53";"25";"6";"2";"3";"1";"0";"1";"1";"4";"0";"4";"0";"0";"0";"1";"2";"1";"2";"314";"20";"234";"17";"9";"10";"10";"3";"0";"0";"0";"0";"0";"2";"0";"0";"8";"0";"1"
"f7af-3590-ec31-953e-0ca6-8363-969c-90d3";"240101";"32";"4";"miasto";"stały";"Szkoła Podstawowa nr 13, ul. Rewolucjonistów 18, 42-500 Będzin";"m. Będzin";"będziński";"śląskie";"1400";"1515";"349";"1051";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1051";"0";"0";"1051";"5";"3";"2";"0";"1046";"38";"19";"0";"0";"0";"0";"0";"5";"1";"2";"1";"3";"0";"0";"0";"1";"0";"4";"2";"365";"103";"166";"26";"5";"7";"2";"4";"3";"2";"3";"0";"3";"2";"30";"0";"1";"8";"244";"56";"141";"16";"2";"15";"5";"0";"2";"0";"0";"0";"2";"1";"0";"0";"2";"2";"52";"24";"7";"3";"0";"3";"2";"2";"2";"2";"1";"2";"0";"1";"1";"0";"0";"1";"1";"347";"21";"245";"25";"9";"14";"17";"5";"0";"1";"1";"0";"0";"2";"3";"0";"1";"0";"3"
"ed9a-8bd3-fe8e-29f7-0d91-9e36-4213-60e9";"240101";"32";"5";"miasto";"stały";"Szkoła Podstawowa nr 13, ul. Rewolucjonistów 18, 42-500 Będzin";"m. Będzin";"będziński";"śląskie";"1450";"1570";"329";"1121";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1121";"0";"0";"1121";"3";"3";"0";"0";"1118";"33";"17";"5";"0";"1";"1";"0";"2";"0";"1";"1";"1";"0";"1";"0";"1";"0";"1";"1";"357";"118";"141";"21";"9";"5";"4";"15";"2";"4";"2";"1";"2";"4";"20";"2";"2";"5";"314";"72";"182";"8";"4";"22";"8";"0";"1";"0";"1";"2";"0";"3";"4";"0";"3";"4";"57";"28";"5";"4";"2";"0";"2";"0";"1";"0";"1";"6";"2";"1";"0";"0";"1";"2";"2";"357";"24";"258";"16";"21";"16";"8";"1";"1";"1";"0";"0";"0";"1";"2";"0";"4";"0";"4"
"ce35-aaca-6090-898d-697e-155a-1a1d-92d0";"240101";"32";"6";"miasto";"stały";"Przedszkole Miejskie nr 13, ul. Stanisława Skalskiego 4, 42-500 Będzin";"m. Będzin";"będziński";"śląskie";"1450";"1598";"387";"1063";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1063";"0";"0";"1063";"9";"7";"2";"0";"1054";"41";"14";"3";"3";"0";"4";"0";"3";"2";"0";"3";"2";"1";"0";"0";"0";"1";"4";"1";"343";"99";"151";"37";"13";"3";"8";"6";"2";"3";"1";"3";"0";"3";"11";"1";"1";"1";"295";"63";"164";"11";"8";"30";"1";"0";"5";"0";"2";"1";"2";"0";"2";"2";"1";"3";"60";"26";"6";"2";"3";"0";"2";"4";"1";"2";"2";"7";"2";"1";"0";"1";"0";"0";"1";"315";"11";"207";"15";"18";"44";"6";"0";"0";"2";"1";"0";"0";"0";"0";"1";"4";"0";"6"
"2eb6-c354-8212-bcd4-ddb1-17ce-b0e6-66a2";"240101";"32";"7";"miasto";"stały";"Przedszkole Miejskie nr 13, ul. Stanisława Skalskiego 4, 42-500 Będzin";"m. Będzin";"będziński";"śląskie";"1350";"1465";"377";"973";"0";"2";"0";"0";"0";"0";"0";"0";"0";"973";"0";"0";"973";"4";"0";"4";"0";"969";"27";"11";"6";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"4";"386";"110";"168";"37";"14";"6";"10";"6";"2";"5";"3";"5";"0";"5";"7";"1";"2";"5";"237";"63";"127";"8";"7";"13";"3";"2";"3";"1";"2";"1";"1";"2";"1";"0";"1";"2";"47";"24";"2";"1";"3";"2";"2";"2";"0";"1";"1";"2";"0";"3";"0";"2";"1";"0";"1";"272";"16";"193";"14";"21";"6";"10";"0";"1";"0";"0";"0";"0";"2";"1";"0";"6";"0";"2"
"2aa1-1032-c02a-4470-26b8-5982-c6a7-6bc4";"240101";"32";"8";"miasto";"stały";"Szkoła Podstawowa nr 1, ul. Szkolna 3, 42-500 Będzin";"m. Będzin";"będziński";"śląskie";"1550";"1713";"309";"1241";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1241";"0";"0";"1241";"12";"6";"6";"0";"1229";"51";"22";"4";"0";"3";"3";"3";"4";"0";"1";"4";"1";"0";"1";"0";"3";"0";"2";"0";"287";"92";"83";"46";"12";"3";"1";"4";"8";"4";"0";"7";"0";"2";"9";"4";"3";"9";"365";"97";"163";"11";"11";"46";"15";"0";"5";"0";"1";"3";"2";"3";"1";"0";"5";"2";"85";"40";"3";"6";"3";"1";"4";"5";"3";"3";"2";"5";"0";"4";"1";"3";"0";"1";"1";"441";"33";"292";"45";"18";"22";"4";"3";"1";"1";"1";"1";"0";"3";"3";"3";"9";"0";"2"
"face-908d-fe3a-2021-5ded-8ace-3efc-2036";"240101";"32";"9";"miasto";"stały";"Szkoła Podstawowa nr 1, ul. Szkolna 3, 42-500 Będzin";"m. Będzin";"będziński";"śląskie";"1300";"1431";"292";"1008";"4";"9";"0";"0";"0";"0";"0";"0";"0";"1008";"0";"0";"1008";"6";"2";"4";"0";"1002";"41";"18";"4";"0";"0";"1";"0";"0";"3";"0";"2";"4";"0";"4";"1";"0";"2";"1";"1";"282";"90";"103";"35";"5";"5";"7";"4";"3";"3";"4";"1";"1";"2";"16";"0";"0";"3";"248";"74";"122";"10";"1";"18";"7";"0";"4";"1";"3";"0";"1";"0";"0";"1";"3";"3";"55";"26";"5";"3";"2";"0";"3";"1";"1";"2";"1";"5";"0";"5";"0";"0";"0";"0";"1";"376";"37";"274";"20";"6";"6";"14";"2";"0";"1";"0";"0";"0";"4";"6";"0";"5";"0";"1"
"d791-b5cb-0e3f-a4e9-994d-92af-fb98-7a6a";"240101";"32";"10";"miasto";"stały";"Akademia WSB (dawne Gimnazjum Nr 3), ul. Krakowska 14, 42-500 Będzin";"m. Będzin";"będziński";"śląskie";"1550";"1705";"602";"948";"1";"4";"0";"0";"0";"0";"0";"0";"0";"946";"0";"0";"946";"12";"8";"4";"0";"934";"38";"11";"4";"0";"0";"4";"4";"4";"0";"1";"1";"2";"0";"1";"1";"1";"0";"2";"2";"303";"76";"132";"42";"13";"5";"3";"0";"6";"7";"3";"2";"0";"3";"4";"1";"1";"5";"272";"62";"140";"14";"4";"26";"7";"1";"5";"0";"1";"0";"1";"1";"3";"0";"4";"3";"60";"21";"8";"3";"5";"4";"2";"0";"1";"4";"1";"4";"1";"1";"0";"0";"0";"0";"5";"261";"11";"180";"17";"13";"15";"10";"1";"1";"1";"3";"0";"0";"3";"1";"0";"2";"1";"2"
