"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"Lista nr 1 - KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Radosław LUBCZYK - nr na liście 1";"Stefan Józef ROMECKI - nr na liście 2";"Elżbieta Henryka GUMIŃSKA-WASIAK - nr na liście 3";"Lech BANY - nr na liście 4";"Jerzy HARŁACZ - nr na liście 5";"Agnieszka Alicja BRODOWSKA - nr na liście 6";"Stanisław KUCZYŃSKI - nr na liście 7";"Aldona Teresa PIASKOWSKA - nr na liście 8";"Adam DRAPAŁA - nr na liście 9";"Roman WIŚNIEWSKI - nr na liście 10";"Sylwia HALAMA - nr na liście 11";"Agata Anna SŁODKOWSKA - nr na liście 12";"Piotr IWAT - nr na liście 13";"Halina SAMEK - nr na liście 14";"Marcin MAJCZYNA - nr na liście 15";"Ryszard Józef MIĆKO - nr na liście 16";"Lista nr 2 - KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Czesław HOC - nr na liście 1";"Paweł Maciej SZEFERNAKER - nr na liście 2";"Małgorzata Joanna GOLIŃSKA - nr na liście 3";"Stefan Zdzisław STRZAŁKOWSKI - nr na liście 4";"Marek Andrzej SUBOCZ - nr na liście 5";"Artur WIŚNIEWSKI - nr na liście 6";"Jan Andrzej OWSIAK - nr na liście 7";"Izabella Marzena SOZAŃSKA-MAJCHRZAK - nr na liście 8";"Jakub Mikołaj PYŻANOWSKI - nr na liście 9";"Ryszard Ambroży CHRUŚCIEL - nr na liście 10";"Barbara NAGÓRSKA - nr na liście 11";"Grzegorz BŁASZCZYK - nr na liście 12";"Barbara KĘDZIOR - nr na liście 13";"Halina Zofia SZTREJA - nr na liście 14";"Jacek Piotr SZADZEWICZ - nr na liście 15";"Emilia Kazimiera NIEMYT - nr na liście 16";"Lista nr 3 - KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Małgorzata Barbara PROKOP-PACZKOWSKA - nr na liście 1";"Jerzy Waldemar KOTLĘGA - nr na liście 2";"Jacek Artur WEZGRAJ - nr na liście 3";"Andrzej LEWANDOWSKI - nr na liście 4";"Agnieszka SZUBA - nr na liście 5";"Lech Antoni FABIAŃCZYK - nr na liście 6";"Agnieszka Katarzyna MASTALERZ - nr na liście 7";"Józef Romuald SZKANDERA - nr na liście 8";"Ewa Bożena KOKOT - nr na liście 9";"Katarzyna Petronela PAPROCKA - nr na liście 10";"Magdalena Teresa KUSIAKIEWICZ - nr na liście 11";"Hanna KUJATH - nr na liście 12";"Marcin Dominik ADAMCZYK - nr na liście 13";"Łukasz Patryk OLSZEWSKI - nr na liście 14";"Maciej Walenty BOCK - nr na liście 15";"Małgorzata Genowefa CHYŁA - nr na liście 16";"Lista nr 4 - KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Krzysztof Robert CHMIELEWSKI - nr na liście 1";"Aleksandra Urszula ZADENCKA - nr na liście 2";"Monika TKACZYK - nr na liście 3";"Edyta BELKA - nr na liście 4";"Piotr KARPIŃSKI - nr na liście 5";"Mieczysław Eugeniusz ARCIUSZKIEWICZ - nr na liście 6";"Małgorzata Dorota KOTWICKA - nr na liście 7";"Mateusz Jacek WOJTASZEWSKI - nr na liście 8";"Agata Anna RADEK - nr na liście 9";"Kamil WĄWOŹNY - nr na liście 10";"Kamilla Maria CZERWIŃSKA - nr na liście 11";"Łukasz KUREK - nr na liście 12";"Artur Jan SZULGANIUK - nr na liście 13";"Michał RAWDANOWICZ - nr na liście 14";"Artur GŁOWACKI - nr na liście 15";"Dariusz Tadeusz KOT - nr na liście 16";"Lista nr 5 - KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Piotr Benedykt ZIENTARSKI - nr na liście 1";"Tomasz CZUCZAK - nr na liście 2";"Marek Tomasz HOK - nr na liście 3";"Barbara Anna GRYGORCEWICZ - nr na liście 4";"Paweł SUSKI - nr na liście 5";"Adam OSTASZEWSKI - nr na liście 6";"Elżbieta Wiesława KARLIŃSKA - nr na liście 7";"Tomasz STRZĄBAŁA - nr na liście 8";"Wioletta KASZAK - nr na liście 9";"Jacek Jerzy KOZŁOWSKI - nr na liście 10";"Marek Tomasz FIRKOWSKI - nr na liście 11";"Marcin Sylwester URBANIAK - nr na liście 12";"Danuta Zofia BUTRYM - nr na liście 13";"Małgorzata LEŚNIEWSKA - nr na liście 14";"Anna BAŃKOWSKA - nr na liście 15";"Jerzy HARDIE-DOUGLAS - nr na liście 16"
"5e63-0ab7-26f3-0dc8-9ae1-796b-a36d-6c10";"320101";"40";"1";"miasto";"stały";"Komenda Powiatowa Państwowej Straży Pożarnej w Białogardzie, ul. Szosa Połczyńska 1, 78-200 Białogard";"m. Białogard";"białogardzki";"zachodniopomorskie";"1196";"1327";"411";"785";"0";"1";"0";"0";"0";"0";"0";"0";"0";"785";"0";"1";"784";"6";"3";"3";"0";"778";"77";"6";"1";"8";"3";"51";"2";"0";"2";"1";"1";"0";"0";"0";"1";"1";"0";"241";"73";"41";"14";"102";"1";"3";"1";"0";"0";"0";"1";"1";"1";"1";"0";"2";"110";"29";"61";"12";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"43";"17";"1";"6";"0";"4";"1";"1";"2";"1";"1";"3";"2";"0";"1";"1";"2";"307";"35";"7";"12";"5";"2";"0";"1";"235";"0";"2";"0";"0";"0";"1";"1";"6"
"b1cc-1159-e44e-02ad-c9b1-a947-5b84-d0f7";"320101";"40";"2";"miasto";"stały";"Szkoła Podstawowa Nr 3 im. Bolesława Krzywoustego w Białogardzie, ul. Chopina 8, 78-200 Białogard";"m. Białogard";"białogardzki";"zachodniopomorskie";"1150";"1257";"456";"694";"0";"5";"0";"0";"0";"0";"0";"0";"0";"694";"0";"0";"694";"19";"10";"9";"0";"675";"66";"6";"3";"3";"1";"46";"0";"2";"0";"0";"0";"2";"0";"3";"0";"0";"0";"222";"60";"36";"12";"95";"8";"4";"1";"2";"2";"0";"0";"0";"2";"0";"0";"0";"84";"17";"48";"11";"1";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"2";"1";"27";"11";"1";"3";"4";"2";"0";"1";"1";"0";"0";"1";"1";"0";"0";"1";"1";"276";"23";"3";"11";"5";"4";"2";"2";"218";"1";"1";"0";"0";"1";"1";"0";"4"
"68b4-dc10-d267-68e3-bbf9-48b8-dda0-3efa";"320101";"40";"3";"miasto";"stały";"Szkoła Podstawowa Nr 3 im. Bolesława Krzywoustego w Białogardzie, ul. Chopina 8, 78-200 Białogard";"m. Białogard";"białogardzki";"zachodniopomorskie";"1060";"1136";"379";"681";"2";"0";"0";"0";"0";"0";"0";"0";"0";"681";"0";"0";"681";"5";"3";"2";"0";"676";"61";"6";"5";"2";"0";"41";"1";"0";"1";"0";"0";"0";"2";"0";"0";"0";"3";"192";"50";"23";"5";"100";"4";"2";"1";"3";"1";"0";"0";"1";"0";"0";"0";"2";"118";"23";"64";"8";"4";"3";"0";"1";"1";"1";"3";"0";"0";"0";"0";"6";"4";"32";"17";"0";"2";"1";"4";"1";"1";"0";"2";"0";"0";"1";"0";"0";"0";"3";"273";"21";"7";"15";"5";"1";"1";"0";"216";"2";"3";"0";"0";"0";"0";"0";"2"
"0d83-df63-c769-6474-9d18-d60c-a0c8-4a1e";"320101";"40";"4";"miasto";"stały";"Szkoła Podstawowa Nr 4 im. Mikołaja Kopernika w Białogardzie, ul. Grunwaldzka 53, 78-200 Białogard";"m. Białogard";"białogardzki";"zachodniopomorskie";"1358";"1460";"552";"806";"1";"2";"0";"0";"0";"0";"0";"0";"0";"805";"0";"0";"805";"12";"5";"7";"0";"793";"64";"8";"4";"3";"2";"44";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"249";"65";"37";"6";"122";"5";"0";"2";"0";"0";"0";"3";"2";"3";"1";"1";"2";"138";"28";"65";"12";"5";"3";"3";"3";"0";"1";"3";"0";"0";"1";"0";"7";"7";"26";"13";"0";"1";"0";"0";"0";"0";"0";"4";"0";"0";"1";"0";"4";"1";"2";"316";"17";"7";"9";"6";"5";"8";"0";"250";"0";"3";"0";"0";"3";"1";"2";"5"
"ae9a-081b-2b74-24c9-bbb1-63bf-c3fc-81a0";"320101";"40";"5";"miasto";"stały";"Klub Osiedlowy Białogardzkiej Spółdzielni Mieszkaniowej w Białogardzie, Kochanowskiego 26, 78-200 Białogard";"m. Białogard";"białogardzki";"zachodniopomorskie";"1319";"1415";"423";"896";"4";"4";"1";"1";"0";"0";"0";"0";"1";"896";"1";"0";"896";"9";"6";"3";"0";"887";"68";"9";"3";"7";"1";"31";"1";"1";"1";"1";"5";"1";"2";"3";"0";"1";"1";"290";"102";"26";"15";"120";"2";"15";"0";"3";"1";"1";"1";"1";"0";"1";"1";"1";"135";"22";"89";"6";"5";"8";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"23";"13";"0";"1";"1";"2";"0";"0";"1";"0";"0";"3";"0";"0";"1";"0";"1";"371";"43";"14";"13";"7";"2";"4";"1";"276";"1";"0";"0";"2";"1";"3";"0";"4"
"8e46-4cf3-ee5e-dbc1-5da7-5131-1b21-d926";"320101";"40";"6";"miasto";"stały";"Centrum Kultury i Spotkań Europejskich w Białogardzie, ul. 1 Maja 15, 78-200 Białogard";"m. Białogard";"białogardzki";"zachodniopomorskie";"1300";"1407";"480";"820";"1";"6";"0";"0";"0";"0";"0";"0";"0";"820";"0";"0";"820";"15";"6";"9";"0";"805";"75";"7";"3";"7";"2";"52";"0";"0";"0";"0";"0";"2";"0";"0";"1";"1";"0";"265";"99";"27";"7";"113";"4";"4";"1";"2";"2";"0";"3";"0";"1";"0";"1";"1";"125";"18";"83";"14";"2";"1";"0";"2";"0";"0";"1";"1";"1";"0";"0";"2";"0";"33";"16";"3";"4";"1";"1";"0";"1";"0";"5";"0";"0";"0";"0";"0";"0";"2";"307";"43";"7";"16";"7";"2";"3";"4";"219";"0";"0";"1";"0";"0";"2";"0";"3"
"b2f9-0301-e2a6-6cfd-602d-bf4a-34a0-d489";"320101";"40";"7";"miasto";"stały";"Zespół Szkół Ponadgimnazjalnych w Białogardzie, ul. Stefana Kardynała Wyszyńskiego 14, 78-200 Białogard";"m. Białogard";"białogardzki";"zachodniopomorskie";"1539";"1680";"510";"1029";"2";"6";"0";"0";"0";"0";"0";"0";"0";"1029";"0";"0";"1029";"11";"7";"4";"0";"1018";"90";"12";"3";"10";"1";"58";"1";"0";"0";"0";"1";"0";"1";"0";"2";"0";"1";"348";"108";"39";"13";"160";"10";"6";"0";"0";"0";"1";"4";"0";"2";"1";"2";"2";"141";"40";"78";"8";"3";"4";"2";"1";"0";"0";"1";"1";"0";"1";"0";"0";"2";"52";"24";"1";"11";"1";"2";"1";"1";"1";"3";"3";"0";"3";"0";"0";"0";"1";"387";"51";"8";"9";"8";"1";"3";"0";"295";"2";"2";"0";"0";"1";"1";"2";"4"
"bf45-de22-0bba-2cf3-45be-6a1e-e744-93d2";"320101";"40";"8";"miasto";"stały";"Szkoła Podstawowa nr 4 im. Mikołaja Kopernika w Białogardzie, ul. Kościelna 1, 78-200 Białogard";"m. Białogard";"białogardzki";"zachodniopomorskie";"701";"764";"362";"339";"1";"0";"0";"0";"0";"0";"0";"0";"0";"339";"0";"0";"339";"10";"3";"7";"0";"329";"47";"2";"1";"0";"1";"40";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"107";"26";"13";"4";"58";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"1";"56";"4";"36";"4";"3";"3";"0";"0";"0";"0";"0";"0";"1";"2";"1";"1";"1";"22";"15";"0";"1";"0";"1";"1";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"97";"12";"1";"2";"0";"2";"2";"0";"73";"3";"0";"0";"0";"0";"0";"0";"2"
"3b0c-b034-ac44-76f0-034c-7284-fcdc-75f3";"320101";"40";"9";"miasto";"stały";"Szkoła Podstawowa nr 4 im. Mikołaja Kopernika w Białogardzie, ul. Kościelna 1, 78-200 Białogard";"m. Białogard";"białogardzki";"zachodniopomorskie";"1031";"1122";"479";"552";"2";"0";"0";"0";"0";"0";"0";"0";"0";"552";"0";"0";"552";"28";"23";"5";"0";"524";"70";"14";"2";"3";"4";"42";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"2";"154";"38";"13";"3";"90";"2";"3";"1";"0";"1";"0";"1";"1";"0";"1";"0";"0";"62";"13";"35";"5";"2";"1";"0";"1";"2";"0";"1";"0";"0";"0";"1";"1";"0";"22";"10";"2";"1";"1";"1";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"4";"216";"19";"3";"6";"2";"2";"0";"0";"176";"1";"3";"0";"0";"0";"0";"1";"3"
"cb40-ac36-a085-0384-c6fb-bc45-0bff-67c2";"320101";"40";"10";"miasto";"stały";"Szkoła Podstawowa nr 1 im. Marii Skłodowskiej-Curie w Białogardzie, ul. Świdwińska 7, 78-200 Białogard";"m. Białogard";"białogardzki";"zachodniopomorskie";"1231";"1350";"470";"761";"1";"5";"0";"0";"0";"0";"0";"0";"0";"761";"0";"0";"761";"18";"12";"6";"0";"743";"65";"9";"6";"3";"0";"45";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"274";"94";"38";"15";"106";"9";"3";"1";"2";"0";"1";"0";"2";"0";"1";"1";"1";"119";"22";"70";"12";"0";"3";"0";"1";"0";"0";"0";"1";"1";"1";"0";"8";"0";"26";"12";"3";"0";"2";"1";"0";"0";"2";"4";"1";"0";"1";"0";"0";"0";"0";"259";"24";"2";"14";"4";"4";"0";"4";"198";"0";"1";"1";"0";"3";"0";"1";"3"
