"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Mikołaj BOGDANOWICZ";"Krzysztof BREJZA";"Jarosław LATAWIEC";"Mieczysław Aureliusz PIWOWAR"
"a3f1-8416-6555-061a-484c-2424-5260-178e";"040701";"10";"1";"miasto";"stały";"Filia nr 4 Biblioteki Miejskiej im. Jana Kasprowicza, ul. Poprzeczna 29, 88-100 Inowrocław";"m. Inowrocław";"inowrocławski";"kujawsko-pomorskie";"1228";"1335";"407";"821";"2";"2";"0";"0";"0";"0";"0";"0";"0";"821";"0";"0";"821";"7";"6";"1";"0";"814";"247";"446";"72";"49"
"8295-6e26-5af7-8de4-03c2-cb25-5686-75f3";"040701";"10";"2";"miasto";"stały";"Szkoła Podstawowa nr 1 im. Św. Wojciecha, ul. Toruńska 46 - 48, 88-100 Inowrocław";"m. Inowrocław";"inowrocławski";"kujawsko-pomorskie";"1030";"1119";"241";"789";"1";"9";"0";"0";"0";"0";"0";"0";"0";"789";"0";"0";"789";"10";"5";"5";"0";"779";"255";"438";"52";"34"
"27fa-3616-4f56-7d68-3bb9-e2d0-f0ff-6697";"040701";"10";"3";"miasto";"stały";"Szkoła Podstawowa nr 1 im. Św. Wojciecha, ul. Toruńska 46 - 48, 88-100 Inowrocław";"m. Inowrocław";"inowrocławski";"kujawsko-pomorskie";"930";"1025";"468";"462";"1";"6";"0";"0";"0";"0";"0";"0";"0";"462";"0";"0";"462";"12";"0";"12";"0";"450";"156";"243";"36";"15"
"a830-f383-00c1-6da6-f523-99fc-1a29-7246";"040701";"10";"4";"miasto";"stały";"Przedszkole Nr 14 ""Muzyczna Kraina"", ul. Marii Skłodowskiej-Curie 41, 88-100 Inowrocław";"m. Inowrocław";"inowrocławski";"kujawsko-pomorskie";"1185";"1325";"373";"812";"0";"1";"0";"0";"0";"0";"0";"0";"0";"812";"0";"0";"812";"13";"4";"9";"0";"799";"293";"445";"45";"16"
"48b4-329e-661b-dcb7-5a36-b1ef-1245-1819";"040701";"10";"5";"miasto";"stały";"Klub ""Kopernik"" Kujawskiej Spółdzielni Mieszkaniowej w Inowrocławiu, ul. Toruńska 60, 88-100 Inowrocław";"m. Inowrocław";"inowrocławski";"kujawsko-pomorskie";"994";"1114";"275";"719";"1";"3";"0";"0";"0";"0";"0";"0";"0";"719";"0";"0";"719";"16";"13";"3";"0";"703";"230";"406";"37";"30"
"fec4-2b09-a1e4-eea3-115c-1a86-168d-0956";"040701";"10";"6";"miasto";"stały";"Środowiskowy Dom Samopomocy, ul. Św. Ducha 90, 88-100 Inowrocław";"m. Inowrocław";"inowrocławski";"kujawsko-pomorskie";"1178";"1290";"453";"725";"0";"1";"0";"0";"0";"0";"0";"0";"0";"725";"0";"0";"725";"6";"3";"3";"0";"719";"187";"468";"35";"29"
"b192-f7c1-7f69-b1c4-14a3-5664-1a46-3266";"040701";"10";"7";"miasto";"stały";"I Liceum Ogólnokształcące im. Jana Kasprowicza z Oddziałami Dwujęzycznymi, ul. 3 Maja 11/13, 88-100 Inowrocław";"m. Inowrocław";"inowrocławski";"kujawsko-pomorskie";"1138";"1219";"554";"584";"1";"2";"0";"0";"0";"0";"0";"0";"0";"583";"0";"0";"583";"15";"3";"12";"0";"568";"201";"296";"49";"22"
"8bf4-a17e-2e00-4810-d1f4-6dc6-71e9-c1df";"040701";"10";"8";"miasto";"stały";"Kujawskie Centrum Kultury, ul. Kasztelańska 22, 88-100 Inowrocław";"m. Inowrocław";"inowrocławski";"kujawsko-pomorskie";"1161";"1268";"547";"614";"0";"3";"0";"0";"0";"0";"0";"0";"0";"614";"0";"0";"614";"6";"2";"4";"0";"608";"187";"370";"35";"16"
"18a7-9668-b39c-7526-09df-bc63-e9ab-4856";"040701";"10";"9";"miasto";"stały";"Biblioteka Miejska im. Jana Kasprowicza, ul. Jana Kilińskiego 16, 88-100 Inowrocław";"m. Inowrocław";"inowrocławski";"kujawsko-pomorskie";"1296";"1416";"690";"606";"1";"8";"0";"0";"0";"0";"0";"0";"0";"606";"0";"0";"606";"6";"2";"4";"0";"600";"247";"285";"44";"24"
"7725-6083-fb27-21dc-53d6-8cb1-3eba-34da";"040701";"10";"10";"miasto";"stały";"Przedsiębiorstwo Gospodarki Komunalnej i Mieszkaniowej sp. z o. o., ul. ks. Piotra Wawrzyniaka 33, 88-100 Inowrocław";"m. Inowrocław";"inowrocławski";"kujawsko-pomorskie";"1111";"1226";"402";"709";"1";"1";"0";"0";"0";"0";"0";"0";"0";"709";"0";"0";"709";"17";"2";"15";"0";"692";"209";"413";"40";"30"
