"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Krzysztof Władysław BEREZOWSKI";"Stanisław GAWŁOWSKI";"Krzysztof NIECKARZ"
"63d2-aa37-dcc9-0ea8-6abc-52c8-8e31-8621";"320901";"100";"1";"wieś";"stały";"Przedszkole ""Promyki Bałtyku"" w Mścicach, ul. Szkolna 1B/sala nr 5, 76-031 Mścice";"gm. Będzino";"koszaliński";"zachodniopomorskie";"1600";"1750";"584";"1016";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1016";"0";"0";"1016";"18";"2";"16";"0";"998";"312";"386";"300"
"8489-9195-74f4-9578-877d-6538-6cd3-0e30";"320901";"100";"2";"wieś";"stały";"Przedszkole ""Promyki Bałtyku"" w Mścicach, ul. Szkolna 1B/sala nr 12, 76-031 Mścice";"gm. Będzino";"koszaliński";"zachodniopomorskie";"750";"815";"313";"437";"0";"1";"0";"0";"0";"0";"0";"0";"0";"437";"0";"0";"437";"5";"1";"4";"0";"432";"125";"134";"173"
"f069-b2e5-7dcf-25ff-93a2-f10c-fef4-0046";"320901";"100";"3";"wieś";"stały";"Gminny Ośrodek Kultury w Będzinie, Będzino 21, 76-037 Będzino";"gm. Będzino";"koszaliński";"zachodniopomorskie";"910";"994";"364";"546";"0";"6";"0";"0";"0";"0";"0";"0";"0";"546";"0";"0";"546";"12";"3";"9";"0";"534";"166";"154";"214"
"80c2-0b30-a70a-ec84-1ee9-6a67-fdff-716e";"320901";"100";"4";"wieś";"stały";"Świetlica w Borkowicach, Borkowice 3, 76-038 Dobrzyca";"gm. Będzino";"koszaliński";"zachodniopomorskie";"800";"874";"364";"436";"1";"2";"0";"0";"0";"0";"0";"0";"0";"436";"0";"0";"436";"15";"3";"12";"0";"421";"113";"103";"205"
"f9f7-84c6-f1fe-7573-2308-2cb0-dee9-2e47";"320901";"100";"5";"wieś";"stały";"Szkoła Podstawowa w Dobrzycy, Dobrzyca 53, 76-038 Dobrzyca";"gm. Będzino";"koszaliński";"zachodniopomorskie";"1280";"1408";"641";"639";"0";"0";"0";"0";"0";"0";"0";"0";"0";"639";"0";"0";"639";"15";"4";"11";"0";"624";"171";"187";"266"
"aa42-dd0c-ea77-f1bd-1895-1378-3a0c-e153";"320901";"100";"6";"wieś";"stały";"Dom Ludowy w Tymieniu, Tymień 45A, 76-035 Tymień";"gm. Będzino";"koszaliński";"zachodniopomorskie";"760";"840";"356";"404";"0";"0";"0";"0";"0";"0";"0";"0";"0";"404";"0";"0";"404";"7";"2";"5";"0";"397";"103";"142";"152"
"d3ed-4dd4-852d-2fec-9d68-6243-d6d5-9313";"320902";"100";"1";"wieś";"stały";"Centrum Zdrowia i Opieki Społecznej w Biesiekierzu, Biesiekierz 13, 76-039 Biesiekierz";"gm. Biesiekierz";"koszaliński";"zachodniopomorskie";"1751";"1927";"687";"1064";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1064";"0";"2";"1062";"18";"3";"15";"0";"1044";"345";"319";"380"
"fbc1-660c-0088-4c5d-6262-3502-bb29-4636";"320902";"100";"2";"wieś";"stały";"Szkoła Podstawowa w Starych Bielicach, Stare Bielice ul. Kościelna 5, 76-039 Biesiekierz";"gm. Biesiekierz";"koszaliński";"zachodniopomorskie";"2599";"2815";"681";"1918";"0";"9";"0";"0";"0";"0";"0";"0";"0";"1918";"0";"0";"1918";"55";"21";"34";"0";"1863";"696";"667";"500"
"4f7b-2d4a-a0c3-aae1-4aa5-5569-cbeb-4da1";"320902";"100";"3";"wieś";"stały";"Szkoła Podstawowa im. Kornela Makuszyńskiego w Świeminie, Świemino 19, 76-039 Biesiekierz";"gm. Biesiekierz";"koszaliński";"zachodniopomorskie";"460";"504";"223";"237";"0";"0";"0";"0";"0";"0";"0";"0";"0";"237";"0";"0";"237";"10";"1";"9";"0";"227";"76";"69";"82"
"1d58-4fd0-59bd-e5d3-3091-a26f-e788-a8e6";"320902";"100";"4";"wieś";"dom pomocy społecznej";"Domu Pomocy Społecznej w Parsowie, Parsowo 25, 76-039 Biesiekierz";"gm. Biesiekierz";"koszaliński";"zachodniopomorskie";"64";"63";"40";"24";"0";"0";"0";"0";"0";"0";"0";"0";"0";"24";"0";"0";"24";"4";"0";"4";"0";"20";"4";"9";"7"
