"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Zbigniew ADAMCZYK";"Ryszard Jakub BOBER";"Andrzej Tadeusz MIODUSZEWSKI";"Marek NOWAK";"Robert ZADURA"
"e6f9-5996-69c9-d2a2-dfd7-9209-a9e3-a2b0";"040201";"12";"1";"miasto";"stały";"Nadleśnictwo Brodnica, ul. Sądowa 16, 87-300 Brodnica";"m. Brodnica";"brodnicki";"kujawsko-pomorskie";"1192";"1333";"383";"809";"1";"3";"0";"0";"0";"0";"0";"0";"0";"809";"0";"0";"809";"5";"2";"3";"0";"804";"35";"424";"252";"37";"56"
"aa46-1751-d967-82a0-44a7-a539-8147-06d8";"040201";"12";"2";"miasto";"stały";"Dom Pomocy Społecznej, ul. Wiejska 1, 87-300 Brodnica";"m. Brodnica";"brodnicki";"kujawsko-pomorskie";"940";"1027";"302";"638";"0";"3";"0";"0";"0";"0";"0";"0";"0";"638";"0";"0";"638";"16";"3";"13";"0";"622";"16";"335";"195";"38";"38"
"6f2d-088d-b079-59a9-b54b-0dd5-87c2-7127";"040201";"12";"3";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Kolejowa 62, 87-300 Brodnica";"m. Brodnica";"brodnicki";"kujawsko-pomorskie";"1736";"1902";"676";"1060";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1060";"0";"0";"1060";"16";"3";"13";"0";"1044";"40";"560";"305";"60";"79"
"3269-2d46-d3e6-f764-1ba8-d6b6-cbca-a9ac";"040201";"12";"4";"miasto";"stały";"Przedszkole Nr 8, ul. Zielona 3, 87-300 Brodnica";"m. Brodnica";"brodnicki";"kujawsko-pomorskie";"1867";"2033";"559";"1308";"2";"4";"0";"0";"0";"0";"0";"0";"0";"1308";"0";"0";"1308";"25";"10";"15";"0";"1283";"60";"642";"411";"102";"68"
"ee4e-e9b8-f59b-f27d-37da-35ea-ddf1-ec2a";"040201";"12";"5";"miasto";"stały";"Brodnicki Dom Kultury, ul. Przykop 43, 87-300 Brodnica";"m. Brodnica";"brodnicki";"kujawsko-pomorskie";"1727";"1870";"651";"1076";"1";"12";"0";"0";"0";"0";"0";"0";"0";"1076";"0";"0";"1076";"18";"7";"11";"0";"1058";"57";"536";"359";"60";"46"
"e0d6-c685-d80e-a2c1-14f8-bd8f-ee80-d8b0";"040201";"12";"6";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. 3 Maja 2, 87-300 Brodnica";"m. Brodnica";"brodnicki";"kujawsko-pomorskie";"820";"897";"399";"421";"0";"2";"0";"0";"0";"0";"0";"0";"0";"421";"0";"0";"421";"8";"4";"4";"0";"413";"26";"150";"156";"57";"24"
"32b2-f1ab-8172-5b14-c4b1-53c3-d222-c9ad";"040201";"12";"7";"miasto";"stały";"Pałac Anny Wazówny, ul. Zamkowa 1, 87-300 Brodnica";"m. Brodnica";"brodnicki";"kujawsko-pomorskie";"950";"1038";"335";"615";"2";"5";"0";"0";"0";"0";"0";"0";"0";"615";"0";"0";"615";"9";"4";"5";"0";"606";"27";"292";"204";"48";"35"
"0413-8f23-c038-ed1e-069c-54fd-56d7-37f3";"040201";"12";"8";"miasto";"stały";"I Liceum Ogólnokształcące, ul. Lidzbarska 14, 87-300 Brodnica";"m. Brodnica";"brodnicki";"kujawsko-pomorskie";"1598";"1728";"651";"947";"4";"2";"0";"0";"0";"0";"0";"0";"0";"947";"0";"0";"947";"13";"3";"10";"0";"934";"48";"460";"304";"83";"39"
"a7a7-d85c-b522-e747-d9c7-85d5-11cb-aeb4";"040201";"12";"9";"miasto";"stały";"Zespół Szkół Nr 1, ul. Matejki 5, 87-300 Brodnica";"m. Brodnica";"brodnicki";"kujawsko-pomorskie";"1620";"1755";"526";"1094";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1094";"0";"0";"1094";"9";"3";"6";"0";"1085";"47";"606";"291";"78";"63"
"2c2b-bbef-6b51-9c4e-abd0-4dcb-0f74-89c3";"040201";"12";"10";"miasto";"stały";"Zespół Szkół Nr 1, ul. Matejki 5, 87-300 Brodnica";"m. Brodnica";"brodnicki";"kujawsko-pomorskie";"873";"943";"306";"567";"0";"2";"1";"1";"0";"0";"0";"0";"1";"568";"1";"0";"568";"5";"4";"1";"0";"563";"17";"287";"181";"39";"39"
"84ef-6d6a-b3e5-c2fd-c2e8-fc4f-26dd-4e29";"040201";"12";"11";"miasto";"stały";"Przedszkole im. Marii Konopnickiej, ul. Wyspiańskiego 12a, 87-300 Brodnica";"m. Brodnica";"brodnicki";"kujawsko-pomorskie";"1088";"1201";"374";"714";"2";"2";"0";"0";"0";"0";"0";"0";"0";"714";"0";"0";"714";"15";"6";"9";"0";"699";"30";"316";"264";"42";"47"
"8fc0-8c53-d668-f4eb-7bf4-3430-96f6-7b6a";"040201";"12";"12";"miasto";"stały";"Przedszkole im. Marii Konopnickiej, ul. Wyspiańskiego 12a, 87-300 Brodnica";"m. Brodnica";"brodnicki";"kujawsko-pomorskie";"1520";"1653";"518";"1002";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1002";"0";"0";"1002";"18";"2";"16";"0";"984";"65";"499";"311";"57";"52"
"b98f-d1f1-5b78-661e-dd4f-fa8e-c111-0765";"040201";"12";"13";"miasto";"stały";"Warsztat Terapii Zajęciowej, ul. Wyspiańskiego 13, 87-300 Brodnica";"m. Brodnica";"brodnicki";"kujawsko-pomorskie";"960";"1062";"295";"665";"1";"7";"0";"0";"0";"0";"0";"0";"0";"665";"0";"0";"665";"10";"7";"3";"0";"655";"25";"320";"222";"48";"40"
"706b-3ed8-708f-578f-83b0-e02d-2366-0dec";"040201";"12";"14";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. Nowa 34, 87-300 Brodnica";"m. Brodnica";"brodnicki";"kujawsko-pomorskie";"1401";"1525";"385";"1016";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1016";"0";"0";"1016";"20";"6";"14";"0";"996";"41";"487";"322";"73";"73"
"0ef6-9118-c803-7f27-1960-08c2-a68e-0714";"040201";"12";"15";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. Nowa 34, 87-300 Brodnica";"m. Brodnica";"brodnicki";"kujawsko-pomorskie";"1110";"1221";"470";"640";"2";"9";"0";"0";"0";"0";"0";"0";"0";"640";"0";"0";"640";"10";"6";"4";"0";"630";"34";"310";"192";"39";"55"
"055e-0cda-b601-3762-add7-4c9c-f691-2efd";"040201";"12";"16";"miasto";"zakład leczniczy";"Szpital, ul. Wiejska 9, 87-300 Brodnica";"m. Brodnica";"brodnicki";"kujawsko-pomorskie";"193";"123";"143";"50";"0";"3";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"50";"2";"0";"2";"0";"48";"2";"21";"19";"3";"3"
"f69f-235e-366a-d9da-5dbd-bc6f-c660-f892";"040202";"12";"1";"wieś";"stały";"Szkoła Podstawowa im. Jana Pawła II, Bobrowo 33, 87-327 Bobrowo";"gm. Bobrowo";"brodnicki";"kujawsko-pomorskie";"890";"991";"366";"524";"0";"10";"1";"1";"0";"0";"0";"0";"1";"525";"1";"0";"525";"16";"2";"14";"0";"509";"28";"241";"172";"33";"35"
"5ccc-9464-d58e-62c1-4c9c-00e4-8afc-e4c1";"040202";"12";"2";"wieś";"stały";"Świetlica Wiejska, Grzybno 56, 87-327 Bobrowo";"gm. Bobrowo";"brodnicki";"kujawsko-pomorskie";"860";"945";"336";"524";"1";"2";"0";"0";"0";"0";"0";"0";"0";"524";"0";"0";"524";"9";"2";"7";"0";"515";"32";"240";"177";"25";"41"
"951d-57ce-3374-447d-fbd8-47ef-20dd-7ec5";"040202";"12";"3";"wieś";"stały";"Wiejski Dom Kultury, Nieżywięć 40, 87-326 Bobrowo";"gm. Bobrowo";"brodnicki";"kujawsko-pomorskie";"1230";"1346";"498";"732";"0";"0";"0";"0";"0";"0";"0";"0";"0";"732";"0";"0";"732";"13";"2";"11";"0";"719";"33";"325";"285";"45";"31"
