"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Henryk KIERZKOWSKI";"Józef Marian LEWANDOWSKI";"Józef Mikołaj ŁYCZAK";"Jerzy Jan WENDERLICH";"Łukasz ZBONIKOWSKI"
"8cc5-6a2c-b471-4df9-b09f-130e-8f24-046c";"040101";"13";"1";"miasto";"stały";"Środowiskowy Dom Samopomocy im. Prof. Jana Władysława Piltza, Bolesława Limanowskiego 12, 87-700 Aleksandrów Kujawski";"m. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";"1200";"1303";"492";"708";"0";"1";"0";"0";"0";"0";"0";"0";"0";"708";"0";"0";"708";"12";"4";"8";"0";"696";"45";"48";"265";"275";"63"
"5657-3faf-1b0f-3ff1-067b-43ed-b5ad-f75c";"040101";"13";"2";"miasto";"stały";"Szkoła Techniczna Bydgoskiego Zakładu Doskonalenia Zawodowego w Aleksandrowie Kujawskim, Długa 8, 87-700 Aleksandrów Kujawski";"m. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";"1198";"1301";"517";"681";"2";"3";"0";"0";"0";"0";"0";"0";"0";"681";"0";"0";"681";"10";"5";"5";"0";"671";"36";"43";"320";"216";"56"
"8be7-3052-8784-97e7-c5c8-1631-5d11-3d67";"040101";"13";"3";"miasto";"stały";"Szkoła Podstawowa Nr 4 im. Jana Pawła II, Strażacka 22, 87-700 Aleksandrów Kujawski";"m. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";"1187";"1296";"498";"689";"0";"5";"0";"0";"0";"0";"0";"0";"0";"689";"0";"0";"689";"10";"3";"7";"0";"679";"40";"40";"254";"285";"60"
"1eed-8375-6f0c-4785-61e7-d30c-e2b7-0856";"040101";"13";"4";"miasto";"stały";"Szkoła Podstawowa Nr 4 im. Jana Pawła II, Strażacka 22, 87-700 Aleksandrów Kujawski";"m. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";"490";"537";"247";"243";"0";"0";"0";"0";"0";"0";"0";"0";"0";"243";"0";"0";"243";"3";"0";"3";"0";"240";"16";"10";"104";"98";"12"
"28a1-fb5c-e198-ae02-6f24-6829-1a80-ab9e";"040101";"13";"5";"miasto";"stały";"Szkoła Podstawowa Nr 1 im. Polskich Podróżników, gen. Władysława Sikorskiego 5, 87-700 Aleksandrów Kujawski";"m. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";"1210";"1397";"391";"819";"0";"31";"0";"0";"0";"0";"0";"0";"0";"819";"0";"0";"819";"15";"4";"11";"0";"804";"34";"59";"287";"353";"71"
"52fd-60d0-628a-f5c8-3a80-21fa-6150-0366";"040101";"13";"6";"miasto";"stały";"Szkoła Podstawowa Nr 3 im. Józefa Wybickiego, Szkolna 6, 87-700 Aleksandrów Kujawski";"m. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";"953";"1054";"349";"604";"1";"7";"0";"0";"0";"0";"0";"0";"0";"604";"0";"0";"604";"10";"4";"6";"0";"594";"30";"35";"167";"314";"48"
"52d9-a681-c0fe-bde7-938c-77a5-accf-0140";"040101";"13";"7";"miasto";"stały";"Miejskie Centrum Kultury, Parkowa 3, 87-700 Aleksandrów Kujawski";"m. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";"1139";"1270";"416";"723";"1";"7";"0";"0";"0";"0";"0";"0";"0";"723";"0";"0";"723";"12";"6";"6";"0";"711";"32";"63";"241";"301";"74"
"8e1e-f2b3-fea3-6527-7477-7d7e-f9d5-9d79";"040101";"13";"8";"miasto";"stały";"Przedszkole im. Juliana Tuwima, Wojska Polskiego 19, 87-700 Aleksandrów Kujawski";"m. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";"1220";"1333";"435";"785";"0";"4";"0";"0";"0";"0";"0";"0";"0";"785";"0";"0";"785";"9";"1";"8";"0";"776";"42";"57";"216";"385";"76"
"0925-4e70-7e3e-77ea-0561-9fe2-20f5-eb96";"040101";"13";"9";"miasto";"zakład leczniczy";"Sala przy Izbie Przyjęć Powiatowego Szpitala w Aleksandrowie Kujawskim Sp. z o. o., Juliusza Słowackiego 18, 87-700 Aleksandrów Kujawski";"m. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";"120";"118";"55";"65";"0";"1";"0";"0";"0";"0";"0";"0";"0";"65";"0";"0";"65";"2";"1";"1";"0";"63";"3";"3";"39";"11";"7"
"005c-7158-2a75-57e3-fd3e-4f4d-ff4a-7593";"040101";"13";"10";"miasto";"zakład leczniczy";"Świetlica Kolejowego Szpitala Uzdrowiskowego Sp. z o. o. w Ciechocinku Oddział Zamiejscowy w Aleksandrowie Kujawskim, Gabriela Narutowicza 12, 87-700 Aleksandrów Kujawski";"m. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";"120";"99";"93";"27";"0";"0";"0";"0";"0";"0";"0";"0";"0";"27";"0";"0";"27";"0";"0";"0";"0";"27";"2";"4";"11";"9";"1"
