"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Grzegorz CZELEJ";"Paweł Adam GÓRNIK";"Krzysztof Zbigniew KAMIŃSKI"
"e105-2fca-38ea-822d-f51a-365f-24b1-85bf";"060501";"15";"1";"wieś";"stały";"Publiczna Szkoła Podstawowa w Aleksandrówce, Aleksandrówka 28, 23-320 Batorz";"gm. Batorz";"janowski";"lubelskie";"377";"411";"99";"278";"0";"2";"0";"0";"0";"0";"0";"0";"0";"278";"0";"0";"278";"7";"2";"5";"0";"271";"220";"16";"35"
"d666-5b88-28ae-bb4e-7829-eb61-2b1b-0d3c";"060501";"15";"2";"wieś";"stały";"Publiczna Szkoła Podstawowa w Batorzu, Batorz Pierwszy 80, 23-320 Batorz";"gm. Batorz";"janowski";"lubelskie";"958";"1028";"291";"667";"2";"0";"0";"0";"0";"0";"0";"0";"0";"667";"0";"0";"667";"21";"9";"12";"0";"646";"487";"39";"120"
"b49d-56fc-26cd-1949-066f-eb70-3133-d6cb";"060501";"15";"3";"wieś";"stały";"Publiczna Szkoła Podstawowa w Błażku, Błażek 196, 23-320 Batorz";"gm. Batorz";"janowski";"lubelskie";"681";"735";"228";"453";"2";"0";"0";"0";"0";"0";"0";"0";"0";"453";"0";"0";"453";"7";"0";"7";"0";"446";"389";"31";"26"
"8ac7-aacb-3c12-517b-84b6-d538-6a17-d46a";"060501";"15";"4";"wieś";"stały";"Remiza Ochotniczej Straży Pożarnej w Stawcach, Stawce 61, 23-320 Batorz";"gm. Batorz";"janowski";"lubelskie";"425";"460";"180";"245";"1";"0";"0";"0";"0";"0";"0";"0";"0";"245";"0";"0";"245";"12";"2";"10";"0";"233";"181";"19";"33"
"ef76-113f-00f1-011a-9647-6097-2117-4cf1";"060502";"15";"1";"wieś";"stały";"Publiczna Szkoła Podstawowa, Chrzanów Pierwszy 81, 23-305 Chrzanów";"gm. Chrzanów";"janowski";"lubelskie";"650";"722";"176";"474";"1";"1";"0";"0";"0";"0";"0";"0";"0";"474";"0";"0";"474";"6";"2";"4";"0";"468";"397";"31";"40"
"6f9e-fe1e-bba0-ed18-3fd2-f09e-285b-d11f";"060502";"15";"2";"wieś";"stały";"Urząd Gminy Chrzanów (sala narad), Chrzanów Trzeci 112, 23-305 Chrzanów";"gm. Chrzanów";"janowski";"lubelskie";"518";"566";"144";"374";"0";"1";"0";"0";"0";"0";"0";"0";"0";"374";"0";"0";"374";"10";"2";"8";"0";"364";"319";"21";"24"
"278d-0f48-8d9f-2c41-a367-b83c-7570-2a64";"060502";"15";"3";"wieś";"stały";"Publiczna Szkoła Podstawowa, Łada 118, 23-305 Chrzanów";"gm. Chrzanów";"janowski";"lubelskie";"619";"666";"212";"407";"3";"4";"0";"0";"0";"0";"0";"0";"0";"407";"0";"0";"407";"3";"3";"0";"0";"404";"347";"24";"33"
"ec8d-7674-8d52-3492-2c4e-1b8b-455c-247f";"060502";"15";"4";"wieś";"stały";"Publiczna Szkoła Podstawowa, Otrocz 32, 23-305 Chrzanów";"gm. Chrzanów";"janowski";"lubelskie";"400";"442";"115";"285";"0";"1";"0";"0";"0";"0";"0";"0";"0";"285";"0";"0";"285";"4";"1";"3";"0";"281";"237";"23";"21"
"b29d-3bbc-d502-3cf2-393c-1fcf-8aff-985e";"060503";"15";"1";"wieś";"stały";"Zespół Szkół w Dzwoli, Dzwola 121B, 23-304 Dzwola";"gm. Dzwola";"janowski";"lubelskie";"1002";"1069";"319";"683";"1";"1";"0";"0";"0";"0";"0";"0";"0";"683";"0";"0";"683";"15";"1";"14";"0";"668";"545";"62";"61"
"d2f9-dd89-857f-1d2a-86e2-30c8-1551-0a3a";"060503";"15";"2";"wieś";"stały";"Zespół Szkół w Krzemieniu, Krzemień Pierwszy 192, 23-304 Dzwola";"gm. Dzwola";"janowski";"lubelskie";"1307";"1420";"486";"821";"6";"2";"0";"0";"0";"0";"0";"0";"0";"821";"0";"0";"821";"18";"9";"9";"0";"803";"681";"56";"66"
