"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jacek BURY";"Wojciech Jan GÓRSKI";"Krzysztof Stefan MICHAŁKIEWICZ"
"c659-b910-a4d1-d138-274a-054f-cc95-c7c1";"066301";"16";"1";"miasto";"stały";"Przedszkole nr 15, ul. Bohaterów Monte Cassino 7, 20-808 Lublin";"m. Lublin";"Lublin";"lubelskie";"1470";"1664";"307";"1163";"2";"17";"0";"0";"0";"0";"0";"0";"0";"1163";"0";"0";"1163";"15";"2";"13";"0";"1148";"600";"96";"452"
"fd6e-aaa9-05d3-aa25-0305-13df-490c-02da";"066301";"16";"2";"miasto";"stały";"Przedszkole nr 25, al. Warszawska 37a, 20-803 Lublin";"m. Lublin";"Lublin";"lubelskie";"1854";"2019";"378";"1476";"4";"10";"0";"0";"0";"0";"0";"0";"0";"1476";"0";"0";"1476";"29";"11";"18";"0";"1447";"731";"112";"604"
"27e8-8d70-73b1-6c75-87bf-22f8-ff76-b6cb";"066301";"16";"3";"miasto";"stały";"Spółdzielnia Mieszkaniowa „Transportowiec”, ul. Kolorowa 3, 20-802 Lublin";"m. Lublin";"Lublin";"lubelskie";"1879";"1898";"440";"1439";"0";"24";"0";"0";"0";"0";"0";"0";"0";"1439";"0";"0";"1439";"35";"9";"26";"0";"1404";"781";"151";"472"
"0693-5df6-fef5-b7af-df6f-80a1-f1b8-2dd3";"066301";"16";"4";"miasto";"stały";"Przedszkole nr 43, ul. Skautów 11a, 20-055 Lublin";"m. Lublin";"Lublin";"lubelskie";"1047";"1166";"262";"785";"2";"11";"0";"0";"0";"0";"0";"0";"0";"785";"0";"0";"785";"11";"3";"8";"0";"774";"370";"51";"353"
"91f4-c79c-d032-d29a-525d-7c66-4168-457a";"066301";"16";"5";"miasto";"stały";"Szkoła Podstawowa nr 18 im. Macieja Rataja, al. Jana Długosza 8, 20-054 Lublin";"m. Lublin";"Lublin";"lubelskie";"1286";"1430";"288";"998";"3";"21";"0";"0";"0";"0";"0";"0";"0";"998";"0";"0";"998";"28";"8";"20";"0";"970";"467";"109";"394"
"1c61-1a01-b624-9daa-3d3e-04c0-abc2-a90a";"066301";"16";"6";"miasto";"stały";"Szkoła Podstawowa nr 21 im. Królowej Jadwigi, ul. Zuchów 1, 20-047 Lublin";"m. Lublin";"Lublin";"lubelskie";"1750";"1917";"449";"1301";"7";"15";"0";"0";"0";"0";"0";"0";"0";"1300";"0";"0";"1300";"15";"2";"13";"0";"1285";"672";"90";"523"
"3cda-fdd0-42a9-fee3-4358-d72b-96a1-c357";"066301";"16";"7";"miasto";"stały";"Bursa Szkolna nr 1, ul. Księdza Jerzego Popiełuszki 7, 20-052 Lublin";"m. Lublin";"Lublin";"lubelskie";"1748";"2037";"437";"1311";"5";"20";"0";"0";"0";"0";"0";"0";"0";"1311";"0";"0";"1311";"18";"3";"15";"0";"1293";"696";"84";"513"
"2b80-f58f-ab55-1d50-2180-fe66-6822-865d";"066301";"16";"8";"miasto";"stały";"Przedszkole nr 65, ul. Mariana Langiewicza 3a, 20-032 Lublin";"m. Lublin";"Lublin";"lubelskie";"1341";"1526";"309";"1032";"1";"27";"0";"0";"0";"0";"0";"0";"0";"1032";"0";"0";"1032";"7";"2";"5";"0";"1025";"608";"91";"326"
"55b0-492c-7da3-d42e-d110-7bf1-fbd2-4742";"066301";"16";"9";"miasto";"stały";"I Liceum Ogólnokształcące im. Stanisława Staszica, Al. Racławickie 26, 20-043 Lublin";"m. Lublin";"Lublin";"lubelskie";"578";"722";"133";"445";"0";"32";"0";"0";"0";"0";"0";"0";"0";"445";"0";"0";"445";"6";"2";"4";"0";"439";"234";"22";"183"
"e576-ba9d-19bf-7e6a-4ff5-8177-308d-2798";"066301";"16";"10";"miasto";"stały";"Szkoła Podstawowa nr 6 im. Romualda Traugutta, ul. Czwartaków 11, 20-045 Lublin";"m. Lublin";"Lublin";"lubelskie";"588";"690";"94";"494";"4";"38";"0";"0";"0";"0";"0";"0";"0";"494";"0";"0";"494";"12";"4";"8";"0";"482";"292";"37";"153"
