"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Grzegorz Michał BIERECKI";"Sławomir Antoni SOSNOWSKI"
"e32a-2807-98b8-32a6-619e-9a8d-eb29-e273";"060101";"17";"1";"miasto";"stały";"Samorządowe Przedszkole Nr 2 w Międzyrzecu Podlaskim, ul. Przedszkolna 2, 21-560 Międzyrzec Podlaski";"m. Międzyrzec Podlaski";"bialski";"lubelskie";"1410";"1512";"601";"809";"1";"1";"0";"0";"0";"0";"0";"0";"0";"809";"0";"0";"809";"27";"4";"23";"0";"782";"480";"302"
"604d-3c33-4096-78b4-f514-9d80-b261-9549";"060101";"17";"2";"miasto";"stały";"Liceum Ogólnokształcące w Międzyrzecu Podlaskim, ul. Lubelska 57, 21-560 Międzyrzec Podlaski";"m. Międzyrzec Podlaski";"bialski";"lubelskie";"620";"681";"268";"352";"0";"0";"0";"0";"0";"0";"0";"0";"0";"352";"0";"0";"352";"2";"1";"1";"0";"350";"240";"110"
"22d9-d29b-9b37-3b37-66a6-096f-1866-8292";"060101";"17";"3";"miasto";"stały";"Zespół Szkół Technicznych w Międzyrzecu Podlaskim, ul. Warszawska 30, 21-560 Międzyrzec Podlaski";"m. Międzyrzec Podlaski";"bialski";"lubelskie";"679";"736";"228";"451";"4";"4";"0";"0";"0";"0";"0";"0";"0";"451";"0";"0";"451";"14";"5";"9";"0";"437";"270";"167"
"9d51-68ce-6fea-57e1-543f-abd1-c45f-56c8";"060101";"17";"4";"miasto";"stały";"Sala gimnastyczna Zespołu Placówek Oświatowych Nr 1 w Międzyrzecu Podlaskim, ul. Warszawska 40, 21-560 Międzyrzec Podlaski";"m. Międzyrzec Podlaski";"bialski";"lubelskie";"790";"849";"272";"518";"0";"6";"0";"0";"0";"0";"0";"0";"0";"518";"0";"0";"518";"16";"5";"11";"0";"502";"329";"173"
"204a-b03c-2e7b-3cd4-8e15-0ca4-a2db-7301";"060101";"17";"5";"miasto";"stały";"Zespół Szkół Ekonomicznych w Międzyrzecu Podlaskim, ul. 3 - go Maja 40/42, 21-560 Międzyrzec Podlaski";"m. Międzyrzec Podlaski";"bialski";"lubelskie";"1610";"1734";"499";"1111";"2";"2";"0";"0";"0";"0";"0";"0";"0";"1111";"0";"0";"1111";"34";"13";"21";"0";"1077";"675";"402"
"1d25-e4d3-1e18-d8b4-9feb-45b1-adc9-83aa";"060101";"17";"6";"miasto";"stały";"Zespół Placówek Oświatowych Nr 3 w Międzyrzecu Podlaskim, ul. Leśna 2, 21-560 Międzyrzec Podlaski";"m. Międzyrzec Podlaski";"bialski";"lubelskie";"1681";"1805";"637";"1044";"2";"6";"1";"1";"1";"0";"0";"0";"0";"1043";"0";"0";"1043";"38";"18";"20";"0";"1005";"628";"377"
"02cd-eaf4-aed6-f760-baf5-d2f1-d7c9-b575";"060101";"17";"7";"miasto";"stały";"Strażnica OSP ""Zawadki"" w Międzyrzecu Podlaskim, ul. Zawadki 8, 21-560 Międzyrzec Podlaski";"m. Międzyrzec Podlaski";"bialski";"lubelskie";"869";"952";"282";"587";"1";"2";"0";"0";"0";"0";"0";"0";"0";"587";"0";"0";"587";"18";"2";"16";"0";"569";"356";"213"
"d40a-d805-8ed2-735a-019a-9fdd-eedc-5737";"060101";"17";"8";"miasto";"stały";"Hala sportowa Zespołu Placówek Oświatowych Nr 2 w Międzyrzecu Podlaskim, ul. Partyzantów 8, 21-560 Międzyrzec Podlaski";"m. Międzyrzec Podlaski";"bialski";"lubelskie";"1708";"1852";"571";"1137";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1135";"0";"0";"1135";"49";"13";"36";"0";"1086";"680";"406"
"3e26-9e16-4fee-3d73-64dd-019f-07cf-88b6";"060101";"17";"9";"miasto";"stały";"Świetlica Zespołu Placówek Oświatowych Nr 2 w Międzyrzecu Podlaskim, ul. Partyzantów 8, 21-560 Międzyrzec Podlaski";"m. Międzyrzec Podlaski";"bialski";"lubelskie";"760";"827";"242";"518";"2";"7";"0";"0";"0";"0";"0";"0";"0";"518";"0";"0";"518";"13";"2";"11";"0";"505";"290";"215"
"daec-79ca-41f2-1c65-1f3f-7ac9-7083-b510";"060101";"17";"10";"miasto";"stały";"Świetlica Spółdzielni Mieszkaniowej w Międzyrzecu Podlaskim, ul. Prymasa Stefana Wyszyńskiego 7, 21-560 Międzyrzec Podlaski";"m. Międzyrzec Podlaski";"bialski";"lubelskie";"2040";"2215";"629";"1411";"1";"20";"0";"0";"0";"0";"0";"0";"0";"1411";"0";"0";"1411";"45";"17";"28";"0";"1366";"794";"572"
"ec15-ee86-558e-180f-0a3d-4498-faf8-59dd";"060101";"17";"11";"miasto";"zakład leczniczy";"Szpital Powiatowy w Międzyrzecu Podlaskim, ul. Warszawska 2 - 4, 21-560 Międzyrzec Podlaski";"m. Międzyrzec Podlaski";"bialski";"lubelskie";"80";"96";"24";"56";"0";"0";"0";"0";"0";"0";"0";"0";"0";"56";"0";"0";"56";"5";"2";"3";"0";"51";"39";"12"
"f05b-bc72-ca2b-cec8-92ae-901c-8e2b-e399";"060102";"17";"1";"miasto";"stały";"Zespół Szkół Publicznych Nr 1, ul. H. Sienkiewicza 27, 21-550 Terespol";"m. Terespol";"bialski";"lubelskie";"1610";"1727";"577";"1033";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1031";"0";"0";"1031";"32";"12";"20";"0";"999";"508";"491"
"2094-ea6d-e4be-d733-f1d0-eb08-284f-10be";"060102";"17";"2";"miasto";"stały";"Miejska Biblioteka Publiczna, ul. Wojska Polskiego 132, 21-550 Terespol";"m. Terespol";"bialski";"lubelskie";"1300";"1372";"498";"802";"1";"4";"1";"1";"0";"0";"0";"0";"1";"803";"1";"0";"803";"29";"4";"25";"0";"774";"396";"378"
