"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jerzy Mieczysław CHRÓŚCIKOWSKI";"Marcin DYBOWSKI";"Józef Jan KUROPATWA"
"1743-58ae-6263-e1a5-683c-1fdb-af6f-0f43";"060201";"19";"1";"miasto";"stały";"Urząd Miasta, Plac Wolności 16, 23-400 Biłgoraj";"m. Biłgoraj";"biłgorajski";"lubelskie";"1720";"1839";"626";"1094";"4";"10";"0";"0";"0";"0";"0";"0";"0";"1094";"0";"0";"1094";"24";"4";"20";"0";"1070";"519";"140";"411"
"edb2-9632-b63c-4f82-a42e-d10d-ae95-1aaf";"060201";"19";"2";"miasto";"stały";"Zespół Szkół Zawodowych i Ogólnokształcących, ul. Przemysłowa 23, 23-400 Biłgoraj";"m. Biłgoraj";"biłgorajski";"lubelskie";"1800";"1918";"679";"1121";"1";"7";"0";"0";"0";"0";"0";"0";"0";"1121";"0";"0";"1121";"35";"14";"21";"0";"1086";"560";"124";"402"
"1f70-25b9-3d61-4a4a-ad67-3356-4977-c5d6";"060201";"19";"3";"miasto";"stały";"Nadleśnictwo Biłgoraj, ul. Zamojska 96, 23-400 Biłgoraj";"m. Biłgoraj";"biłgorajski";"lubelskie";"640";"694";"234";"406";"1";"3";"0";"0";"0";"0";"0";"0";"0";"406";"0";"0";"406";"10";"1";"9";"0";"396";"209";"41";"146"
"5b6e-23ce-db59-864d-4388-cabe-079e-e70a";"060201";"19";"4";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. 3 Maja 3, 23-400 Biłgoraj";"m. Biłgoraj";"biłgorajski";"lubelskie";"1780";"1894";"594";"1186";"4";"11";"0";"0";"0";"0";"0";"0";"0";"1186";"0";"0";"1186";"33";"5";"28";"0";"1153";"565";"160";"428"
"154f-a975-ee4c-ced2-e21f-51a6-9577-4340";"060201";"19";"5";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Tadeusza Kościuszki 41, 23-400 Biłgoraj";"m. Biłgoraj";"biłgorajski";"lubelskie";"910";"950";"317";"593";"0";"8";"0";"0";"0";"0";"0";"0";"0";"593";"0";"0";"593";"15";"4";"11";"0";"578";"286";"72";"220"
"066c-deb0-94e3-1b96-d486-f470-6c16-8688";"060201";"19";"6";"miasto";"stały";"Szkoła Podstawowa Nr 5, ul. Nadstawna 62A, 23-400 Biłgoraj";"m. Biłgoraj";"biłgorajski";"lubelskie";"1730";"1858";"635";"1095";"4";"9";"0";"0";"0";"0";"0";"0";"0";"1095";"0";"0";"1095";"29";"9";"20";"0";"1066";"559";"143";"364"
"09d6-f756-7532-4c89-8ffc-805a-5f05-460f";"060201";"19";"7";"miasto";"stały";"Samorządowe Przedszkole Nr 2, ul. Aleja 400 - Lecia 54, 23-400 Biłgoraj";"m. Biłgoraj";"biłgorajski";"lubelskie";"2022";"2181";"663";"1359";"0";"9";"0";"0";"0";"0";"0";"0";"0";"1359";"0";"0";"1359";"21";"2";"19";"0";"1338";"777";"153";"408"
"9a8e-9212-3032-2989-6e9f-cf1e-1403-235d";"060201";"19";"8";"miasto";"stały";"Zespół Szkół Budowlanych i Ogólnokształcących, ul. Cegielniana 24, 23-400 Biłgoraj";"m. Biłgoraj";"biłgorajski";"lubelskie";"1870";"1989";"645";"1225";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1225";"0";"0";"1225";"39";"12";"27";"0";"1186";"630";"149";"407"
"a617-17e2-31ce-713e-f409-95ae-9b55-0a59";"060201";"19";"9";"miasto";"stały";"Dom Pomocy Społecznej dla Kombatantów, ul. Gen. Komorowskiego 20, 23-400 Biłgoraj";"m. Biłgoraj";"biłgorajski";"lubelskie";"1050";"1122";"372";"678";"0";"3";"0";"0";"0";"0";"0";"0";"0";"677";"0";"0";"677";"12";"3";"9";"0";"665";"340";"80";"245"
"557c-6056-02e1-e191-8b42-d39d-32aa-afde";"060201";"19";"10";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. Polna 3, 23-400 Biłgoraj";"m. Biłgoraj";"biłgorajski";"lubelskie";"2070";"2203";"783";"1287";"1";"13";"1";"1";"0";"0";"0";"0";"1";"1288";"1";"0";"1288";"39";"39";"0";"0";"1249";"625";"156";"468"
