"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Kazimierz Sławomir KLIMEK";"Krzysztof Stanisław MRÓZ";"Jerzy Jan POKÓJ"
"c16f-a28b-5495-75e4-e327-aa76-c815-0083";"020501";"2";"1";"miasto";"stały";"Szkoła Podstawowa Nr 5, ul. Armii Krajowej 9, 59-400 Jawor";"m. Jawor";"jaworski";"dolnośląskie";"1600";"1689";"666";"934";"3";"5";"0";"0";"0";"0";"0";"0";"0";"934";"0";"0";"934";"26";"9";"17";"0";"908";"215";"390";"303"
"7490-1922-b51c-13aa-2d0e-52f2-0895-1c38";"020501";"2";"2";"miasto";"stały";"Europejskie Centrum Młodzieży Euroregionu NYSA, ul. Parkowa 5, 59-400 Jawor";"m. Jawor";"jaworski";"dolnośląskie";"2103";"2226";"692";"1411";"1";"11";"0";"0";"0";"0";"0";"0";"0";"1409";"0";"8";"1401";"29";"12";"17";"0";"1372";"273";"558";"541"
"3e41-3e57-cd54-7b63-abc9-d1f3-ae96-e25d";"020501";"2";"3";"miasto";"stały";"Powiatowe Centrum Kształcenia Zawodowego i Ustawicznego, ul. Wrocławska 30a, 59-400 Jawor";"m. Jawor";"jaworski";"dolnośląskie";"1000";"1070";"356";"644";"2";"1";"0";"0";"0";"0";"0";"0";"0";"644";"0";"0";"644";"21";"8";"13";"0";"623";"117";"304";"202"
"808f-aacc-e6db-9100-aa42-4550-c430-a7d5";"020501";"2";"4";"miasto";"stały";"Szkoła Podstawowa Nr 2, Plac Bankowy 1, 59-400 Jawor";"m. Jawor";"jaworski";"dolnośląskie";"1397";"1495";"610";"787";"1";"5";"0";"0";"0";"0";"0";"0";"0";"787";"0";"0";"787";"27";"8";"19";"0";"760";"147";"384";"229"
"1e5f-425e-84c6-fef3-0acb-4177-791a-48fd";"020501";"2";"5";"miasto";"stały";"Dolnośląski Zespół Szkół w Jaworze, ul. kard. Stefana Wyszyńskiego 1, 59-400 Jawor";"m. Jawor";"jaworski";"dolnośląskie";"1100";"1229";"487";"614";"1";"1";"1";"1";"0";"0";"0";"0";"1";"615";"1";"0";"615";"15";"5";"10";"0";"600";"148";"273";"179"
"0ec0-bed2-2f35-8c8b-1758-fbbd-05a7-8f92";"020501";"2";"6";"miasto";"stały";"Miejska Biblioteka Publiczna, Plac Seniora 4, 59-400 Jawor";"m. Jawor";"jaworski";"dolnośląskie";"1502";"1586";"775";"727";"1";"6";"0";"0";"0";"0";"0";"0";"0";"726";"0";"0";"726";"33";"6";"27";"0";"693";"149";"361";"183"
"77b6-520f-a865-626b-f3f5-56cd-5a10-1f1c";"020501";"2";"7";"miasto";"stały";"Filia Nr 1 Miejskiej Biblioteki Publicznej, ul. Stanisława Moniuszki 10, 59-400 Jawor";"m. Jawor";"jaworski";"dolnośląskie";"1200";"1278";"369";"831";"0";"5";"1";"1";"0";"0";"0";"0";"1";"830";"1";"0";"830";"14";"2";"12";"0";"816";"143";"402";"271"
"cf1b-5e83-0517-5c2f-9f92-e91d-1811-bdce";"020501";"2";"8";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Stanisława Moniuszki 4, 59-400 Jawor";"m. Jawor";"jaworski";"dolnośląskie";"1298";"1403";"461";"839";"3";"3";"0";"0";"0";"0";"0";"0";"0";"839";"0";"0";"839";"20";"2";"18";"0";"819";"154";"395";"270"
"d5d2-8585-3beb-da26-469f-47e4-66b1-27b7";"020501";"2";"9";"miasto";"stały";"Specjalny Ośrodek Szkolno-Wychowawczy, ul. Ignacego Paderewskiego 6, 59-400 Jawor";"m. Jawor";"jaworski";"dolnośląskie";"1600";"1690";"661";"939";"1";"1";"0";"0";"0";"0";"0";"0";"0";"939";"0";"0";"939";"23";"5";"18";"0";"916";"184";"412";"320"
"a64a-756e-f66a-c2c6-c8b4-add5-008e-9aee";"020501";"2";"10";"miasto";"stały";"budynek po byłej Szkole Podstawowej Nr 1, ul. Bolesława Limanowskiego 10, 59-400 Jawor";"m. Jawor";"jaworski";"dolnośląskie";"1400";"1502";"416";"984";"2";"3";"0";"0";"0";"0";"0";"0";"0";"983";"0";"0";"983";"23";"7";"16";"0";"960";"192";"499";"269"
