"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Władysław KOMARNICKI";"Janusz MAKSYMOWICZ";"Marek Tomasz SURMACZ";"Anna SYNOWIEC"
"2f4e-9d5e-de13-9686-23c1-2b82-5ff7-a528";"080101";"21";"1";"miasto";"stały";"Regionalne Centrum Edukacji Ponadgimnazjalnej-Zespół Szkół im. Marii Skłodowskiej-Curie, ul. Komisji Edukacji Narodowej 2, 66-470 Kostrzyn nad Odrą";"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";"800";"892";"225";"574";"0";"8";"0";"0";"0";"0";"0";"0";"0";"575";"0";"1";"574";"8";"2";"6";"0";"566";"261";"29";"141";"135"
"adfc-cc81-e3f0-890f-881e-9521-1f36-6772";"080101";"21";"2";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. Henryka Sienkiewicza 6, 66-470 Kostrzyn nad Odrą";"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";"820";"893";"288";"532";"1";"0";"0";"0";"0";"0";"0";"0";"0";"532";"0";"0";"532";"14";"2";"12";"0";"518";"235";"21";"149";"113"
"5681-be08-de8e-c5f6-f139-0a3b-ef10-e97d";"080101";"21";"3";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. Henryka Sienkiewicza 6, 66-470 Kostrzyn nad Odrą";"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";"810";"887";"285";"525";"0";"1";"0";"0";"0";"0";"0";"0";"0";"525";"0";"0";"525";"15";"3";"12";"0";"510";"229";"25";"119";"137"
"2fed-e99d-03a9-9286-f9b7-860d-c15a-a39c";"080101";"21";"4";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. Henryka Sienkiewicza 6, 66-470 Kostrzyn nad Odrą";"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";"850";"920";"275";"575";"1";"0";"0";"0";"0";"0";"0";"0";"0";"575";"0";"0";"575";"11";"4";"7";"0";"564";"301";"29";"101";"133"
"d34a-4f1a-30d3-b099-8e4e-2c03-2234-97fc";"080101";"21";"5";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. Henryka Sienkiewicza 6, 66-470 Kostrzyn nad Odrą";"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";"840";"920";"251";"589";"1";"3";"0";"0";"0";"0";"0";"0";"0";"589";"0";"0";"589";"15";"3";"12";"0";"574";"271";"20";"147";"136"
"0f9f-5e61-400f-11f8-09c0-3fe9-c068-21d0";"080101";"21";"6";"miasto";"stały";"Szkoła Podstawowa nr 1, ul. Tadeusza Kościuszki 7, 66-470 Kostrzyn nad Odrą";"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";"810";"893";"275";"535";"0";"0";"0";"0";"0";"0";"0";"0";"0";"535";"0";"0";"535";"17";"5";"12";"0";"518";"241";"21";"132";"124"
"e551-2c0c-0610-79ae-936e-fc72-ea2f-1c78";"080101";"21";"7";"miasto";"stały";"Szkoła Podstawowa nr 1, ul. Tadeusza Kościuszki 7, 66-470 Kostrzyn nad Odrą";"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";"830";"915";"354";"476";"0";"0";"0";"0";"0";"0";"0";"0";"0";"476";"0";"0";"476";"6";"2";"4";"0";"470";"220";"13";"130";"107"
"b063-4fe2-3067-23da-461c-a752-91e4-0141";"080101";"21";"8";"miasto";"stały";"Kostrzyńskie Centrum Kultury-Klub Osiedlowy, Osiedle Leśne 5, 66-470 Kostrzyn nad Odrą";"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";"730";"798";"291";"439";"0";"0";"0";"0";"0";"0";"0";"0";"0";"439";"0";"0";"439";"4";"1";"3";"0";"435";"209";"26";"92";"108"
"6cd0-0542-fd4d-9164-62e2-90ee-6839-5d1a";"080101";"21";"9";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Ludwika Banaszaka 1, 66-470 Kostrzyn nad Odrą";"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";"850";"916";"292";"558";"1";"2";"0";"0";"0";"0";"0";"0";"0";"558";"0";"0";"558";"17";"4";"13";"0";"541";"225";"18";"146";"152"
"191a-e318-0afb-d60e-f989-8d02-bc19-f50a";"080101";"21";"10";"miasto";"stały";"Biblioteka Miejska, ul. Dworcowa 7, 66-470 Kostrzyn nad Odrą";"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";"830";"912";"250";"580";"1";"3";"0";"0";"0";"0";"0";"0";"0";"580";"0";"0";"580";"14";"0";"14";"0";"566";"271";"21";"146";"128"
