"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Klaudiusz BALCERZAK";"Robert Jarosław PALUCH";"Wadim TYSZKIEWICZ"
"6de1-bae2-eb7f-a2b5-2b21-13da-4606-ac43";"080401";"22";"1";"miasto";"stały";"Szkoła Podstawowa nr 8, ul. Kasprowicza 8, 67-100 Nowa Sól";"m. Nowa Sól";"nowosolski";"lubuskie";"1859";"2007";"639";"1220";"1";"5";"0";"0";"0";"0";"0";"0";"0";"1220";"0";"1";"1219";"10";"2";"8";"0";"1209";"266";"56";"887"
"a04e-c214-0a1b-82d4-c0f6-b7ee-6204-30c0";"080401";"22";"2";"miasto";"stały";"Szkoła Podstawowa nr 8, ul. Kasprowicza 8, 67-100 Nowa Sól";"m. Nowa Sól";"nowosolski";"lubuskie";"1855";"2010";"466";"1389";"1";"1";"1";"1";"0";"0";"0";"0";"1";"1390";"1";"0";"1390";"8";"8";"0";"0";"1382";"265";"46";"1071"
"5acf-d59a-ec06-fdd9-035f-98cd-ffa4-42c8";"080401";"22";"3";"miasto";"stały";"Szkoła Podstawowa nr 8, Matejki 29, 67-100 Nowa Sól";"m. Nowa Sól";"nowosolski";"lubuskie";"1661";"1802";"425";"1236";"3";"7";"2";"2";"1";"0";"0";"0";"1";"1229";"1";"0";"1229";"15";"5";"10";"0";"1214";"295";"31";"888"
"77b7-6e0f-ff46-4fe6-d613-6e87-13d2-fa09";"080401";"22";"4";"miasto";"stały";"Publiczne Przedszkole Nr 12, Osiedle Konstytucji 3 Maja 12H, 67-100 Nowa Sól";"m. Nowa Sól";"nowosolski";"lubuskie";"1459";"1558";"382";"1077";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1077";"0";"0";"1077";"7";"5";"2";"0";"1070";"231";"49";"790"
"06aa-9f92-0576-7e8d-9e09-7658-7191-d583";"080401";"22";"5";"miasto";"stały";"Szkoła Podstawowa Nr 3, Botaniczna 22, 67-100 Nowa Sól";"m. Nowa Sól";"nowosolski";"lubuskie";"1840";"2000";"542";"1298";"2";"11";"0";"0";"0";"0";"0";"0";"0";"1297";"0";"0";"1297";"14";"8";"6";"0";"1283";"332";"40";"911"
"1346-9b00-ca10-3f64-618a-9d04-c6ca-6a8c";"080401";"22";"6";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Botaniczna 22, 67-100 Nowa Sól";"m. Nowa Sól";"nowosolski";"lubuskie";"929";"1024";"310";"619";"0";"6";"0";"0";"0";"0";"0";"0";"0";"619";"0";"0";"619";"2";"2";"0";"0";"617";"170";"16";"431"
"e6ff-8a04-8810-b5ac-37af-c585-4d3b-50f2";"080401";"22";"7";"miasto";"stały";"Nowosolski Dom Kultury, Piłsudskiego 49, 67-100 Nowa Sól";"m. Nowa Sól";"nowosolski";"lubuskie";"1886";"2065";"725";"1161";"3";"6";"0";"0";"0";"0";"0";"0";"0";"1159";"0";"0";"1159";"11";"5";"6";"0";"1148";"259";"40";"849"
"c696-74e6-4047-b11f-6237-9d37-d6c3-e942";"080401";"22";"8";"miasto";"stały";"Publiczne Przedszkole Nr 11, Matejki 28, 67-100 Nowa Sól";"m. Nowa Sól";"nowosolski";"lubuskie";"1668";"1797";"448";"1220";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1220";"0";"0";"1220";"16";"8";"8";"0";"1204";"239";"34";"931"
"885d-77c4-3cbc-5105-11e0-39a5-6b59-7c54";"080401";"22";"9";"miasto";"stały";"Szkoła Podstawowa nr 8, Matejki 29, 67-100 Nowa Sól";"m. Nowa Sól";"nowosolski";"lubuskie";"1771";"1933";"464";"1307";"0";"2";"1";"1";"0";"0";"0";"0";"1";"1308";"1";"0";"1308";"8";"1";"7";"0";"1300";"277";"43";"980"
"6e42-a824-f817-358b-118e-2a3a-303c-4627";"080401";"22";"10";"miasto";"stały";"Szkoła Podstawowa Nr 5, ul. Młodych 2, 67-100 Nowa Sól";"m. Nowa Sól";"nowosolski";"lubuskie";"1940";"2113";"578";"1362";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1362";"0";"0";"1362";"24";"9";"15";"0";"1338";"323";"56";"959"
