"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Artur Jerzy DUNIN";"Dominik Jan SANKOWSKI"
"6742-a6c7-95c1-e313-b73c-37d3-8396-5273";"106101";"23";"1";"miasto";"stały";"Fitness Club Zielony Romanów, ul. Romanowska 55F, 91-174 Łódź";"m. Łódź";"Łódź";"łódzkie";"970";"1080";"78";"892";"0";"9";"0";"0";"0";"0";"0";"0";"0";"892";"0";"0";"892";"24";"7";"17";"0";"868";"712";"156"
"c4d3-7fe1-4267-9006-a554-f00a-d10e-480d";"106101";"23";"2";"miasto";"stały";"Świetlica Ochotniczej Straży Pożarnej Łódź-Mikołajew, ul. Plonowa 18, 91-156 Łódź";"m. Łódź";"Łódź";"łódzkie";"2387";"2604";"436";"1943";"0";"14";"0";"0";"0";"0";"0";"0";"0";"1943";"0";"0";"1943";"53";"38";"15";"0";"1890";"1264";"626"
"c6ab-22de-d18a-e9ad-280d-54fd-f21e-c5f1";"106101";"23";"3";"miasto";"stały";"XV Liceum Ogólnokształcące im. Jana Kasprowicza, ul. Traktorowa 77, 91-204 Łódź";"m. Łódź";"Łódź";"łódzkie";"790";"861";"365";"425";"0";"4";"0";"0";"0";"0";"0";"0";"0";"425";"0";"0";"425";"16";"3";"13";"0";"409";"252";"157"
"1f2f-5992-2823-8f3a-17e4-5027-301c-dd08";"106101";"23";"4";"miasto";"stały";"Laboratorium Produkcji Ogrodniczej w Zespole Szkół Rzemiosła im. Jana Kilińskiego, ul. Liściasta 181, 91-220 Łódź";"m. Łódź";"Łódź";"łódzkie";"790";"865";"150";"640";"1";"1";"0";"0";"0";"0";"0";"0";"0";"640";"0";"0";"640";"19";"19";"0";"0";"621";"393";"228"
"81a1-1e2d-3d6a-769e-c2d2-96f6-4324-c998";"106101";"23";"5";"miasto";"stały";"Szkoła Podstawowa nr 48 im. Stanisława Moniuszki, ul. Rydzowa 15, 91-211 Łódź";"m. Łódź";"Łódź";"łódzkie";"2259";"2433";"360";"1899";"3";"3";"0";"0";"0";"0";"0";"0";"0";"1898";"0";"2";"1896";"49";"24";"25";"0";"1847";"1276";"571"
"90e1-a7ae-e917-615e-3f8b-1322-2941-2a8c";"106101";"23";"6";"miasto";"stały";"Szkoła Podstawowa nr 71 im. Henryka Sienkiewicza, ul. Rojna 58C, 91-134 Łódź";"m. Łódź";"Łódź";"łódzkie";"2430";"2630";"397";"2033";"0";"8";"0";"0";"0";"0";"0";"0";"0";"2032";"0";"0";"2032";"56";"12";"44";"0";"1976";"1356";"620"
"1d8a-7a37-88a0-cbc5-b3e1-2a53-0bcb-4192";"106101";"23";"7";"miasto";"stały";"Szkoła Podstawowa nr 48 im. Stanisława Moniuszki, ul. Rydzowa 15, 91-211 Łódź";"m. Łódź";"Łódź";"łódzkie";"1970";"2167";"379";"1591";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1589";"0";"0";"1589";"41";"10";"31";"0";"1548";"1026";"522"
"837e-f9d9-ed28-08e6-ff99-0156-24b7-6cd4";"106101";"23";"8";"miasto";"stały";"Szkoła Podstawowa nr 84, ul. Wici 16, 91-213 Łódź";"m. Łódź";"Łódź";"łódzkie";"2649";"2950";"617";"2032";"2";"9";"0";"0";"0";"0";"0";"0";"0";"2032";"0";"0";"2032";"75";"25";"50";"0";"1957";"1238";"719"
"673b-d6f9-9633-7286-b37f-b1e9-106d-1829";"106101";"23";"9";"miasto";"stały";"Szkoła Podstawowa nr 71 im. Henryka Sienkiewicza, ul. Rojna 58C, 91-134 Łódź";"m. Łódź";"Łódź";"łódzkie";"1280";"1443";"269";"1011";"0";"3";"1";"1";"0";"0";"0";"0";"1";"1012";"1";"1";"1011";"39";"8";"31";"0";"972";"692";"280"
"e9f4-46e6-5a0b-ee51-af49-a897-f8d0-3417";"106101";"23";"10";"miasto";"stały";"Szkoła Podstawowa nr 84, ul. Wici 16, 91-213 Łódź";"m. Łódź";"Łódź";"łódzkie";"1957";"2173";"522";"1435";"1";"12";"1";"1";"0";"0";"0";"0";"1";"1436";"1";"0";"1436";"55";"7";"48";"0";"1381";"897";"484"
