"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Krzysztof KWIATKOWSKI";"Marek Sławomir MARKIEWICZ";"Małgorzata Krystyna NIEWIADOMSKA-CUDAK"
"bbe8-8b13-a1c1-96b2-3138-f76d-41fe-f7fe";"100602";"24";"1";"wieś";"stały";"Samorządowe Przedszkole w Andrespolu, ul. Ceramiczna 4, 95-020 Andrespol";"gm. Andrespol";"łódzki wschodni";"łódzkie";"630";"707";"166";"464";"0";"2";"0";"0";"0";"0";"0";"0";"0";"464";"0";"0";"464";"6";"0";"6";"0";"458";"148";"200";"110"
"d6c5-63be-80a5-8df6-c904-f433-557e-441d";"100602";"24";"2";"wieś";"stały";"Samorządowe Przedszkole w Andrespolu, ul. Ceramiczna 4, 95-020 Andrespol";"gm. Andrespol";"łódzki wschodni";"łódzkie";"630";"708";"92";"538";"0";"3";"0";"0";"0";"0";"0";"0";"0";"538";"0";"0";"538";"9";"3";"6";"0";"529";"182";"219";"128"
"5162-30b1-962e-e03a-b73e-6677-8a91-3738";"100602";"24";"3";"wieś";"stały";"Dzienny Dom Seniora, ul. Ceramiczna 2a, 95-020 Andrespol";"gm. Andrespol";"łódzki wschodni";"łódzkie";"660";"709";"144";"516";"1";"8";"0";"0";"0";"0";"0";"0";"0";"516";"0";"0";"516";"8";"3";"5";"0";"508";"164";"238";"106"
"9205-ddd3-eb29-ae2b-d7dc-eecc-8c34-7596";"100602";"24";"4";"wieś";"stały";"Dzienny Dom Seniora, ul. Ceramiczna 2a, 95-020 Andrespol";"gm. Andrespol";"łódzki wschodni";"łódzkie";"610";"690";"164";"446";"1";"3";"0";"0";"0";"0";"0";"0";"0";"446";"0";"0";"446";"5";"2";"3";"0";"441";"127";"192";"122"
"00f7-a0d9-8557-ae66-4056-0b99-4943-bd62";"100602";"24";"5";"wieś";"stały";"Dom Parafialny w Bedoniu Przykościelnym, Bedoń Przykościelny ul. Kościelna 25, 95-020 Andrespol";"gm. Andrespol";"łódzki wschodni";"łódzkie";"1050";"1171";"254";"796";"2";"3";"0";"0";"0";"0";"0";"0";"0";"796";"0";"0";"796";"17";"5";"12";"0";"779";"235";"346";"198"
"5c78-da98-60e9-e2b1-10b4-49cf-2ff6-7049";"100602";"24";"6";"wieś";"stały";"Ochotnicza Straż Pożarna w Bedoniu Wsi, Bedoń Wieś ul. Słowiańska 11, 95-020 Andrespol";"gm. Andrespol";"łódzki wschodni";"łódzkie";"669";"727";"170";"499";"0";"4";"0";"0";"0";"0";"0";"0";"0";"499";"0";"0";"499";"10";"4";"6";"0";"489";"152";"221";"116"
"778d-540b-0bee-15dc-cd9d-2cde-ac7b-29e4";"100602";"24";"7";"wieś";"stały";"Rada Sołecka w Janówce, Janówka ul. Główna 53, 95-020 Andrespol";"gm. Andrespol";"łódzki wschodni";"łódzkie";"730";"839";"140";"590";"1";"2";"0";"0";"0";"0";"0";"0";"0";"590";"0";"0";"590";"14";"5";"9";"0";"576";"254";"164";"158"
"9440-90aa-5731-475e-11ca-803c-8fee-2f2c";"100602";"24";"8";"wieś";"stały";"Szkoła Podstawowa w Justynowie, Justynów ul. Łódzka 17, 95-020 Andrespol";"gm. Andrespol";"łódzki wschodni";"łódzkie";"830";"943";"189";"641";"0";"9";"0";"0";"0";"0";"0";"0";"0";"641";"0";"0";"641";"11";"6";"5";"0";"630";"237";"214";"179"
"76dd-b2dc-d225-2f1e-40a4-55d3-b386-18f0";"100602";"24";"9";"wieś";"stały";"Szkoła Podstawowa w Justynowie, Justynów ul. Łódzka 17, 95-020 Andrespol";"gm. Andrespol";"łódzki wschodni";"łódzkie";"609";"670";"135";"474";"0";"1";"0";"0";"0";"0";"0";"0";"0";"474";"0";"0";"474";"8";"5";"3";"0";"466";"176";"168";"122"
"14d3-bedb-6ddf-d874-8f9b-b5ac-33d5-0b90";"100602";"24";"10";"wieś";"stały";"Szkoła Podstawowa w Justynowie, Justynów ul. Łódzka 17, 95-020 Andrespol";"gm. Andrespol";"łódzki wschodni";"łódzkie";"609";"686";"143";"466";"1";"4";"0";"0";"0";"0";"0";"0";"0";"466";"0";"0";"466";"10";"3";"7";"0";"456";"174";"157";"125"
