"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jakub Jan FILIPOWICZ";"Krzysztof Stefan HABURA";"Maciej Adam ŁUCZAK"
"8c92-5699-1631-248e-15fc-c504-ce04-57f2";"100301";"26";"1";"wieś";"stały";"Szkoła Podstawowa, Szkolna 3, 98-113 Buczek";"gm. Buczek";"łaski";"łódzkie";"1750";"1936";"546";"1204";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1204";"0";"0";"1204";"24";"5";"19";"0";"1180";"203";"325";"652"
"e03f-c408-6bfb-3680-743b-f8bc-c019-2a5a";"100301";"26";"2";"wieś";"stały";"Budynek OSP, Brodnia Górna 45, 98-113 Buczek";"gm. Buczek";"łaski";"łódzkie";"476";"525";"170";"308";"0";"3";"0";"0";"0";"0";"0";"0";"0";"308";"0";"0";"308";"7";"0";"7";"0";"301";"47";"64";"190"
"d901-468a-0058-2d26-2a96-0edc-3782-6b5b";"100301";"26";"3";"wieś";"stały";"Szkoła Podstawowa, Czestków B 10c, 98-113 Buczek";"gm. Buczek";"łaski";"łódzkie";"600";"667";"164";"436";"0";"2";"0";"0";"0";"0";"0";"0";"0";"436";"0";"0";"436";"6";"4";"2";"0";"430";"80";"97";"253"
"b8f4-8731-e222-1bf6-d332-9fa3-f0b7-65d3";"100301";"26";"4";"wieś";"stały";"Budynek po byłej szkole, Malenia 1, 98-113 Buczek";"gm. Buczek";"łaski";"łódzkie";"390";"433";"145";"245";"0";"3";"0";"0";"0";"0";"0";"0";"0";"245";"0";"0";"245";"9";"1";"8";"0";"236";"32";"42";"162"
"b469-9b0b-a3f6-fa36-cd84-05d2-ce47-25da";"100301";"26";"5";"wieś";"stały";"Budynek OSP, Luciejów 50a, 98-113 Buczek";"gm. Buczek";"łaski";"łódzkie";"433";"479";"169";"264";"0";"0";"0";"0";"0";"0";"0";"0";"0";"264";"0";"0";"264";"3";"1";"2";"0";"261";"33";"77";"151"
"787b-9350-d2c6-086a-e56c-c1a5-e052-d8a5";"100302";"26";"1";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Gabriela Narutowicza 28, 98-100 Łask";"gm. Łask";"łaski";"łódzkie";"1508";"1631";"412";"1095";"2";"3";"0";"0";"0";"0";"0";"0";"0";"1095";"0";"0";"1095";"21";"8";"13";"0";"1074";"189";"491";"394"
"d637-8ce5-8175-e3f6-89eb-b689-1691-5a1d";"100302";"26";"2";"miasto";"stały";"Łaski Dom Kultury, ul. Gabriela Narutowicza 11, 98-100 Łask";"gm. Łask";"łaski";"łódzkie";"1508";"1646";"485";"1023";"2";"6";"0";"0";"0";"0";"0";"0";"0";"1021";"0";"0";"1021";"33";"15";"18";"0";"988";"173";"354";"461"
"87c6-bf08-5c8e-6c6f-99d4-928b-5595-f456";"100302";"26";"3";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. 9 Maja 12, 98-100 Łask";"gm. Łask";"łaski";"łódzkie";"1271";"1403";"451";"820";"0";"3";"0";"0";"0";"0";"0";"0";"0";"820";"0";"0";"820";"21";"4";"17";"0";"799";"121";"278";"400"
"0a5b-6731-442b-59a5-933f-74c9-ebea-1fb0";"100302";"26";"4";"miasto";"stały";"Specjalny Ośrodek Szkolno-Wychowawczy, ul. Adama Mickiewicza 6, 98-100 Łask";"gm. Łask";"łaski";"łódzkie";"1267";"1387";"277";"990";"1";"4";"0";"0";"0";"0";"0";"0";"0";"989";"0";"0";"989";"17";"6";"11";"0";"972";"169";"409";"394"
"c915-b79d-0ee9-f70a-e5b5-b40a-c0cb-1470";"100302";"26";"5";"miasto";"stały";"Szkoła Podstawowa Nr 5, ul. Inki-Danuty Siedzikówny (wejście od ul. Stefana Batorego 31) 1, 98-100 Łask";"gm. Łask";"łaski";"łódzkie";"1181";"1293";"396";"785";"2";"1";"0";"0";"0";"0";"0";"0";"0";"785";"0";"0";"785";"21";"4";"17";"0";"764";"106";"323";"335"
