"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Arkadiusz Stanisław CIACH";"Wiesław Józef DOBKOWSKI";"Stanisław WITASZCZYK"
"f6ce-3dc4-ba5a-308f-d587-4088-3c17-d870";"100101";"28";"1";"miasto";"stały";"II Liceum Ogólnokształcące, ul. Czapliniecka 72, 97-400 Bełchatów";"m. Bełchatów";"bełchatowski";"łódzkie";"1571";"1635";"405";"1165";"2";"7";"0";"0";"0";"0";"0";"0";"0";"1165";"0";"0";"1165";"25";"14";"11";"0";"1140";"420";"484";"236"
"2393-717d-a940-fb70-aa9e-c13b-c761-1b1e";"100101";"28";"2";"miasto";"stały";"II Liceum Ogólnokształcące, ul. Czapliniecka 72, 97-400 Bełchatów";"m. Bełchatów";"bełchatowski";"łódzkie";"1345";"1423";"601";"744";"0";"4";"0";"0";"0";"0";"0";"0";"0";"744";"0";"0";"744";"21";"16";"5";"0";"723";"136";"489";"98"
"5151-aa96-387e-e9ba-c8b0-c4b9-f164-8d92";"100101";"28";"3";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. Lipowa 11, 97-400 Bełchatów";"m. Bełchatów";"bełchatowski";"łódzkie";"1837";"1944";"566";"1271";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1271";"0";"0";"1271";"40";"17";"23";"0";"1231";"326";"670";"235"
"e40a-16d2-a9d0-8ef7-0263-ba3b-f5f4-188a";"100101";"28";"4";"miasto";"stały";"Szkoła Podstawowa Nr 8, os. Dolnośląskie 112A, 97-400 Bełchatów";"m. Bełchatów";"bełchatowski";"łódzkie";"1607";"1686";"513";"1094";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1094";"0";"0";"1094";"47";"11";"36";"0";"1047";"264";"610";"173"
"bc30-31a8-732f-bde4-481f-1563-fb13-265c";"100101";"28";"5";"miasto";"stały";"III Liceum Ogólnokształcące, ul. Edwardów 5, 97-400 Bełchatów";"m. Bełchatów";"bełchatowski";"łódzkie";"1658";"1761";"527";"1131";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1131";"0";"0";"1131";"28";"9";"19";"0";"1103";"289";"657";"157"
"f14b-4b19-1041-713f-73d7-c6ab-9974-ddf1";"100101";"28";"6";"miasto";"stały";"III Liceum Ogólnokształcące, ul. Edwardów 5, 97-400 Bełchatów";"m. Bełchatów";"bełchatowski";"łódzkie";"1623";"1684";"467";"1156";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1156";"0";"0";"1156";"42";"16";"26";"0";"1114";"291";"595";"228"
"9583-767f-df36-d349-c05b-9a40-e0c4-3615";"100101";"28";"7";"miasto";"stały";"Przedszkole Samorządowe Nr 5, os. Dolnośląskie 222a, 97-400 Bełchatów";"m. Bełchatów";"bełchatowski";"łódzkie";"1513";"1598";"451";"1062";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1061";"0";"0";"1061";"26";"12";"14";"0";"1035";"266";"576";"193"
"d337-d880-1c8e-d61f-0ed1-e747-763f-ed9f";"100101";"28";"8";"miasto";"stały";"Zespół Szkolno-Przedszkolny Nr 9, os. Dolnośląskie 204A, 97-400 Bełchatów";"m. Bełchatów";"bełchatowski";"łódzkie";"1517";"1597";"522";"995";"0";"0";"0";"0";"0";"0";"0";"0";"0";"995";"0";"0";"995";"30";"14";"16";"0";"965";"230";"592";"143"
"91e4-f05d-bf9c-ac10-3a70-c934-5f95-adb3";"100101";"28";"9";"miasto";"stały";"Zespół Szkolno-Przedszkolny Nr 9, os. Dolnośląskie 204A, 97-400 Bełchatów";"m. Bełchatów";"bełchatowski";"łódzkie";"1455";"1527";"441";"1014";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1014";"0";"0";"1014";"36";"13";"23";"0";"978";"229";"595";"154"
"3422-7d9d-de44-0022-9053-c7d2-7d3b-3530";"100101";"28";"10";"miasto";"stały";"Zespół Szkolno-Przedszkolny Nr 9, os. Dolnośląskie 204A, 97-400 Bełchatów";"m. Bełchatów";"bełchatowski";"łódzkie";"1566";"1678";"482";"1084";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1084";"0";"0";"1084";"36";"13";"23";"0";"1048";"205";"685";"158"
"285b-de2b-e754-4507-116a-b4fd-598c-b679";"100101";"28";"11";"miasto";"stały";"Przedszkole Samorządowe Nr 2, ul. Paderewskiego 3, 97-400 Bełchatów";"m. Bełchatów";"bełchatowski";"łódzkie";"1433";"1498";"565";"868";"0";"2";"0";"0";"0";"0";"0";"0";"0";"868";"0";"0";"868";"25";"7";"18";"0";"843";"219";"483";"141"
"56a4-c62a-d8ee-ef88-0524-aa6f-f44f-e43b";"100101";"28";"12";"miasto";"stały";"Szkoła Podstawowa Nr 13, ul. Słowackiego 8, 97-400 Bełchatów";"m. Bełchatów";"bełchatowski";"łódzkie";"1531";"1629";"435";"1096";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1097";"1";"0";"1097";"40";"9";"31";"0";"1057";"279";"584";"194"
"99e1-bf55-e963-7d24-bfbc-19ed-e91b-8676";"100101";"28";"13";"miasto";"stały";"Szkoła Podstawowa Nr 13, ul. Słowackiego 8, 97-400 Bełchatów";"m. Bełchatów";"bełchatowski";"łódzkie";"1583";"1693";"397";"1186";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1186";"0";"0";"1186";"41";"0";"41";"0";"1145";"344";"585";"216"
"d3e9-31d4-ffc8-1a04-9ad1-6fca-3647-1c1a";"100101";"28";"14";"miasto";"stały";"Szkoła Podstawowa Nr 5, ul. Szkolna 10, 97-400 Bełchatów";"m. Bełchatów";"bełchatowski";"łódzkie";"1619";"1734";"383";"1236";"1";"5";"0";"0";"0";"0";"0";"0";"0";"1236";"0";"0";"1236";"57";"19";"38";"0";"1179";"208";"771";"200"
"7810-413b-d8ec-01cf-63cb-3c7f-3560-e9e8";"100101";"28";"15";"miasto";"stały";"Przedszkole Samorządowe Nr 6, ul. W. Budryka 12, 97-400 Bełchatów";"m. Bełchatów";"bełchatowski";"łódzkie";"1503";"1586";"511";"992";"1";"1";"0";"0";"0";"0";"0";"0";"0";"992";"0";"0";"992";"42";"21";"21";"0";"950";"238";"571";"141"
"409c-6d49-ea01-a661-adef-f069-399a-9e92";"100101";"28";"16";"miasto";"stały";"Szkoła Podstawowa Nr 12, ul. W. Budryka 7, 97-400 Bełchatów";"m. Bełchatów";"bełchatowski";"łódzkie";"1464";"1513";"444";"1020";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1020";"0";"0";"1020";"30";"11";"19";"0";"990";"222";"626";"142"
"b606-2fd5-a0c3-1e6e-605d-c5d3-b7ff-4bff";"100101";"28";"17";"miasto";"stały";"Szkoła Podstawowa Nr 12, ul. W. Budryka 7, 97-400 Bełchatów";"m. Bełchatów";"bełchatowski";"łódzkie";"1498";"1565";"382";"1116";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1116";"0";"0";"1116";"48";"17";"31";"0";"1068";"332";"517";"219"
"47ef-d248-fdbd-cfd2-d0ae-6f0c-53bf-3b32";"100101";"28";"18";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Dąbrowskiego 11, 97-400 Bełchatów";"m. Bełchatów";"bełchatowski";"łódzkie";"1802";"1871";"547";"1255";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1255";"0";"0";"1255";"58";"23";"35";"0";"1197";"351";"630";"216"
"9c0f-8b9a-215a-93f2-aa69-68a3-6bbf-79ef";"100101";"28";"19";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Dąbrowskiego 11, 97-400 Bełchatów";"m. Bełchatów";"bełchatowski";"łódzkie";"1772";"1861";"587";"1185";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1185";"0";"0";"1185";"31";"9";"22";"0";"1154";"278";"679";"197"
"310a-2a0e-b995-0785-94ff-c0dc-9ac4-ff15";"100101";"28";"20";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Dąbrowskiego 11, 97-400 Bełchatów";"m. Bełchatów";"bełchatowski";"łódzkie";"1702";"1753";"543";"1159";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1159";"0";"0";"1159";"31";"15";"16";"0";"1128";"295";"679";"154"
"f710-8843-863d-6e60-8001-0e17-47b3-d671";"100101";"28";"21";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Sienkiewicza 25, 97-400 Bełchatów";"m. Bełchatów";"bełchatowski";"łódzkie";"1989";"2122";"512";"1477";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1477";"0";"0";"1477";"54";"27";"27";"0";"1423";"362";"769";"292"
"c78c-0fe6-41ef-63cc-4cc8-2f1f-6e17-01a9";"100101";"28";"22";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Sienkiewicza 25, 97-400 Bełchatów";"m. Bełchatów";"bełchatowski";"łódzkie";"1836";"1947";"604";"1232";"3";"3";"0";"0";"0";"0";"0";"0";"0";"1232";"0";"0";"1232";"38";"14";"24";"0";"1194";"319";"686";"189"
"ddd6-014e-e9ed-5af7-6ef4-9ebd-83d1-2c31";"100101";"28";"23";"miasto";"stały";"Urząd Miasta Bełchatowa, ul. Czyżewskiego 7, 97-400 Bełchatów";"m. Bełchatów";"bełchatowski";"łódzkie";"1912";"2039";"591";"1321";"1";"12";"0";"0";"0";"0";"0";"0";"0";"1321";"0";"0";"1321";"45";"18";"27";"0";"1276";"346";"712";"218"
"6642-e7ad-b1ea-0f6c-9ce1-a1a3-a5ab-f776";"100101";"28";"24";"miasto";"stały";"Przedszkole Samorządowe Nr 4, os. 1 Maja 8, 97-400 Bełchatów";"m. Bełchatów";"bełchatowski";"łódzkie";"1758";"1933";"579";"1179";"3";"3";"0";"0";"0";"0";"0";"0";"0";"1179";"0";"0";"1179";"42";"22";"20";"0";"1137";"299";"669";"169"
"5496-418d-026b-9b89-0482-dee3-175c-214a";"100101";"28";"25";"miasto";"stały";"Miejska i Powiatowa Biblioteka Publiczna, ul. Kościuszki 9, 97-400 Bełchatów";"m. Bełchatów";"bełchatowski";"łódzkie";"1366";"1435";"493";"873";"2";"4";"0";"0";"0";"0";"0";"0";"0";"873";"0";"0";"873";"32";"8";"24";"0";"841";"239";"472";"130"
"a2fb-2ec1-f0ab-f189-d5c9-60c7-4170-8096";"100101";"28";"26";"miasto";"stały";"Miejskie Centrum Kultury, Plac Narutowicza 1a, 97-400 Bełchatów";"m. Bełchatów";"bełchatowski";"łódzkie";"1346";"1487";"509";"837";"0";"1";"0";"0";"0";"0";"0";"0";"0";"837";"0";"0";"837";"28";"6";"22";"0";"809";"232";"443";"134"
"b47d-1d68-e0bf-0a67-ccd3-ada7-a99f-f79f";"100101";"28";"27";"miasto";"zakład leczniczy";"Szpital Wojewódzki im. Jana Pawła II, ul. Czapliniecka 123, 97-400 Bełchatów";"m. Bełchatów";"bełchatowski";"łódzkie";"613";"354";"455";"158";"0";"1";"0";"0";"0";"0";"0";"0";"0";"158";"0";"0";"158";"7";"1";"6";"0";"151";"25";"107";"19"
"1e39-a4d9-034b-b1ff-e6dc-84d1-2445-85c6";"100101";"28";"28";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej, ul. Dąbrowskiego 2, 97-400 Bełchatów";"m. Bełchatów";"bełchatowski";"łódzkie";"101";"67";"51";"50";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"50";"1";"0";"1";"0";"49";"2";"46";"1"
"be37-e244-d798-54f9-0544-ddc6-493d-20b0";"100102";"28";"1";"wieś";"stały";"Szkoła Podstawowa, Dobrzelów ul. Górna 7, 97-400 Bełchatów";"gm. Bełchatów";"bełchatowski";"łódzkie";"1787";"1940";"428";"1359";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1358";"0";"0";"1358";"38";"11";"27";"0";"1320";"281";"831";"208"
"9387-ee6f-e238-37b6-8f65-6b6d-22ab-628c";"100102";"28";"2";"wieś";"stały";"Szkoła Podstawowa, Korczew 37, 97-400 Bełchatów";"gm. Bełchatów";"bełchatowski";"łódzkie";"954";"1032";"345";"609";"0";"1";"0";"0";"0";"0";"0";"0";"0";"609";"0";"0";"609";"19";"5";"14";"0";"590";"97";"398";"95"
"fe2f-46bd-6d55-870a-385e-244c-219a-a583";"100102";"28";"3";"wieś";"stały";"Szkoła Podstawowa w Janowie, Janów 1, 97-400 Bełchatów";"gm. Bełchatów";"bełchatowski";"łódzkie";"1397";"1496";"386";"1011";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1011";"0";"0";"1011";"41";"14";"27";"0";"970";"135";"707";"128"
"85e4-ba72-2f9e-155d-e005-4196-0e5d-229e";"100102";"28";"4";"wieś";"stały";"Szkoła Podstawowa, Łękawa 4, 97-400 Bełchatów";"gm. Bełchatów";"bełchatowski";"łódzkie";"872";"943";"265";"607";"0";"0";"0";"0";"0";"0";"0";"0";"0";"607";"0";"0";"607";"22";"4";"18";"0";"585";"66";"444";"75"
"9d7f-c924-f598-ba89-150e-a080-500e-03c8";"100102";"28";"5";"wieś";"stały";"Strażnica OSP, Oleśnik 59, 97-400 Bełchatów";"gm. Bełchatów";"bełchatowski";"łódzkie";"1157";"1244";"296";"861";"0";"2";"0";"0";"0";"0";"0";"0";"0";"861";"0";"0";"861";"27";"13";"14";"0";"834";"163";"551";"120"
"5fdf-84f7-4845-69be-4cc7-54d5-ecfa-2874";"100102";"28";"6";"wieś";"stały";"Szkoła Podstawowa, Domiechowice ul. Grabowa 80, 97-400 Bełchatów";"gm. Bełchatów";"bełchatowski";"łódzkie";"1264";"1364";"324";"940";"0";"4";"0";"0";"0";"0";"0";"0";"0";"940";"0";"0";"940";"22";"13";"9";"0";"918";"215";"572";"131"
"80fa-6f83-9ff1-7618-4643-312e-e98c-3733";"100102";"28";"7";"wieś";"stały";"Strażnica OSP, Podwody 30, 97-400 Bełchatów";"gm. Bełchatów";"bełchatowski";"łódzkie";"358";"400";"123";"235";"0";"3";"0";"0";"0";"0";"0";"0";"0";"235";"0";"0";"235";"10";"3";"7";"0";"225";"19";"176";"30"
"4062-f4e1-5c9a-2678-3a0d-1bc1-0ab6-36dc";"100102";"28";"8";"wieś";"stały";"Szkoła Podstawowa w Kurnosie Drugim, Kurnos Drugi 175, 97-400 Bełchatów";"gm. Bełchatów";"bełchatowski";"łódzkie";"594";"639";"131";"463";"0";"2";"0";"0";"0";"0";"0";"0";"0";"463";"0";"0";"463";"12";"5";"7";"0";"451";"88";"280";"83"
"c7db-e14a-8ba6-10f9-29d1-393d-09a6-2622";"100103";"28";"1";"wieś";"stały";"Szkoła Podstawowa w Wadlewie, Wadlew 59, 97-403 Drużbice";"gm. Drużbice";"bełchatowski";"łódzkie";"577";"627";"207";"370";"0";"0";"0";"0";"0";"0";"0";"0";"0";"369";"0";"0";"369";"12";"3";"9";"0";"357";"57";"240";"60"
"b45f-b1f5-195a-4f8a-0ff0-bc6e-4a92-a25e";"100103";"28";"2";"wieś";"stały";"Szkoła Podstawowa w Wadlewie, Wadlew 59, 97-403 Drużbice";"gm. Drużbice";"bełchatowski";"łódzkie";"524";"577";"223";"301";"1";"2";"0";"0";"0";"0";"0";"0";"0";"301";"0";"0";"301";"5";"1";"4";"0";"296";"29";"221";"46"
"0351-5d40-2311-2459-416f-0b05-a729-4d30";"100103";"28";"3";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Drużbicach, Drużbice 15, 97-403 Drużbice";"gm. Drużbice";"bełchatowski";"łódzkie";"634";"675";"216";"418";"0";"3";"0";"0";"0";"0";"0";"0";"0";"418";"0";"0";"418";"12";"1";"11";"0";"406";"105";"215";"86"
"154d-b380-ce47-6bae-9728-0877-54f7-2706";"100103";"28";"4";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Drużbicach, Drużbice 15, 97-403 Drużbice";"gm. Drużbice";"bełchatowski";"łódzkie";"717";"774";"247";"470";"2";"3";"0";"0";"0";"0";"0";"0";"0";"470";"0";"0";"470";"15";"5";"10";"0";"455";"85";"296";"74"
"f227-9ce3-4a86-8efc-fdd5-67a0-5ab9-9172";"100103";"28";"5";"wieś";"stały";"Budynek byłej Szkoły Podstawowej w Suchcicach, Suchcice 61, 97-403 Drużbice";"gm. Drużbice";"bełchatowski";"łódzkie";"692";"758";"207";"485";"1";"3";"0";"0";"0";"0";"0";"0";"0";"485";"0";"0";"485";"14";"1";"13";"0";"471";"60";"324";"87"
"993f-582c-e133-3c33-be40-8bdf-b0b9-40a7";"100103";"28";"6";"wieś";"stały";"Szkoła Podstawowa w Rasach, Rasy 27, 97-403 Drużbice";"gm. Drużbice";"bełchatowski";"łódzkie";"781";"849";"242";"539";"0";"5";"0";"0";"0";"0";"0";"0";"0";"540";"0";"1";"539";"13";"3";"10";"0";"526";"86";"351";"89"
"8ead-7727-a423-175f-3e47-9af9-88d5-1a32";"100104";"28";"1";"wieś";"stały";"Dom Kultury w Żłobnicy, Żłobnica 25, 97-410 Kleszczów";"gm. Kleszczów";"bełchatowski";"łódzkie";"528";"577";"196";"332";"0";"1";"0";"0";"0";"0";"0";"0";"0";"332";"0";"0";"332";"12";"4";"8";"0";"320";"66";"194";"60"
"5ad6-ddc3-c0a8-0325-93a6-b8b2-8af5-55cc";"100104";"28";"2";"wieś";"stały";"Szkoła Podstawowa w Kleszczowie, ul. Szkolna 4, 97-410 Kleszczów";"gm. Kleszczów";"bełchatowski";"łódzkie";"1438";"1538";"457";"981";"0";"5";"0";"0";"0";"0";"0";"0";"0";"981";"0";"3";"978";"27";"6";"21";"0";"951";"232";"513";"206"
"3240-5d13-0014-8f1a-c4eb-7d28-6d77-c277";"100104";"28";"3";"wieś";"stały";"Szkoła Podstawowa w Łękińsku, Łękińsko ul. Szkolna 20, 97-410 Kleszczów";"gm. Kleszczów";"bełchatowski";"łódzkie";"1313";"1398";"397";"916";"1";"0";"0";"0";"0";"0";"0";"0";"0";"916";"0";"0";"916";"29";"13";"16";"0";"887";"163";"558";"166"
"0127-b384-6952-dacf-a03a-4099-30a4-4718";"100104";"28";"4";"wieś";"stały";"Publiczne Przedszkole Samorządowe w Łuszczanowicach, Łuszczanowice 104B, 97-410 Kleszczów";"gm. Kleszczów";"bełchatowski";"łódzkie";"930";"1004";"266";"664";"0";"7";"0";"0";"0";"0";"0";"0";"0";"664";"0";"0";"664";"24";"7";"17";"0";"640";"126";"407";"107"
"9207-c060-8a90-82d2-2d59-0ff9-c26d-744c";"100104";"28";"5";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej św. Barbary, ul. Ogrodowa 1, 97-410 Kleszczów";"gm. Kleszczów";"bełchatowski";"łódzkie";"45";"26";"19";"26";"0";"3";"0";"0";"0";"0";"0";"0";"0";"26";"0";"0";"26";"7";"0";"7";"0";"19";"4";"12";"3"
"d7bc-afa0-aaf5-2234-c452-3ea4-7e41-b43d";"100105";"28";"1";"wieś";"stały";"Zespół Szkół, ul. Szkolna 4, 97-415 Kluki";"gm. Kluki";"bełchatowski";"łódzkie";"1385";"1507";"499";"886";"1";"3";"0";"0";"0";"0";"0";"0";"0";"885";"0";"0";"885";"21";"5";"16";"0";"864";"142";"606";"116"
"b66e-3491-97dd-71a7-51e2-35c8-77e0-599a";"100105";"28";"2";"wieś";"stały";"Szkoła Podstawowa, Kaszewice 48, 97-415 Kluki";"gm. Kluki";"bełchatowski";"łódzkie";"1074";"1169";"333";"741";"0";"0";"0";"0";"0";"0";"0";"0";"0";"741";"0";"0";"741";"24";"5";"19";"0";"717";"97";"536";"84"
"4a7e-17fe-cf30-2ae7-66fc-c314-43ef-99ab";"100105";"28";"3";"wieś";"stały";"Szkoła Podstawowa, Parzno 33, 97-415 Kluki";"gm. Kluki";"bełchatowski";"łódzkie";"801";"865";"294";"507";"1";"2";"0";"0";"0";"0";"0";"0";"0";"507";"0";"0";"507";"21";"5";"16";"0";"486";"89";"317";"80"
"7f92-4fb1-3bba-cba2-2b60-3dd7-fdd7-3e1e";"100106";"28";"1";"wieś";"stały";"Urząd Gminy w Ruścu, ul. Wieluńska 35, 97-438 Rusiec";"gm. Rusiec";"bełchatowski";"łódzkie";"917";"1004";"306";"611";"4";"5";"0";"0";"0";"0";"0";"0";"0";"611";"0";"0";"611";"15";"10";"5";"0";"596";"74";"417";"105"
"6630-762b-834b-bec6-04cb-97e2-0b51-8ee7";"100106";"28";"2";"wieś";"stały";"Gminny Ośrodek Kultury w Ruścu, ul. Koniecpolskiego 5, 97-438 Rusiec";"gm. Rusiec";"bełchatowski";"łódzkie";"964";"1041";"264";"700";"2";"5";"0";"0";"0";"0";"0";"0";"0";"700";"0";"0";"700";"9";"2";"7";"0";"691";"112";"428";"151"
"9df3-c43b-c85b-46d3-7106-931a-b81c-77ee";"100106";"28";"3";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Woli Wiązowej, Wola Wiązowa 42, 97-438 Rusiec";"gm. Rusiec";"bełchatowski";"łódzkie";"951";"1021";"278";"673";"0";"3";"0";"0";"0";"0";"0";"0";"0";"672";"0";"0";"672";"14";"6";"8";"0";"658";"118";"412";"128"
