"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Rafał Michał AMBROZIK";"Artur Jan BAGIEŃSKI"
"72e1-8ec9-d22b-80c7-dabd-5ed3-0ffd-21dc";"100701";"29";"1";"wieś";"stały";"Świetlica Wiejska w Białaczowie, ul. Piotrkowska 6, 26-307 Białaczów";"gm. Białaczów";"opoczyński";"łódzkie";"886";"981";"314";"572";"3";"1";"0";"0";"0";"0";"0";"0";"0";"572";"0";"0";"572";"8";"4";"4";"0";"564";"170";"394"
"5f33-28f9-37d4-77e8-33a1-9539-91f1-9c8e";"100701";"29";"2";"wieś";"stały";"Szkoła Podstawowa w Białaczowie, ul. Szkolna 36, 26-307 Białaczów";"gm. Białaczów";"opoczyński";"łódzkie";"587";"645";"279";"308";"1";"1";"0";"0";"0";"0";"0";"0";"0";"308";"0";"0";"308";"3";"0";"3";"0";"305";"155";"150"
"04e1-1b11-7e4a-7b9c-b520-ac5d-10f6-b86b";"100701";"29";"3";"wieś";"stały";"Świetlica Wiejska w Żelazowicach, Żelazowice 127, 26-307 Białaczów";"gm. Białaczów";"opoczyński";"łódzkie";"400";"433";"104";"296";"0";"0";"0";"0";"0";"0";"0";"0";"0";"296";"0";"0";"296";"3";"0";"3";"0";"293";"74";"219"
"d69f-ff70-e270-a98a-71b3-8be0-042f-ef5a";"100701";"29";"4";"wieś";"stały";"Szkoła Podstawowa w Miedznej Drewnianej, Miedzna Drewniana 259, 26-307 Białaczów";"gm. Białaczów";"opoczyński";"łódzkie";"726";"799";"230";"496";"0";"7";"0";"0";"0";"0";"0";"0";"0";"496";"0";"0";"496";"8";"4";"4";"0";"488";"206";"282"
"a480-a050-9541-066d-04ba-b438-9db0-b403";"100701";"29";"5";"wieś";"stały";"Szkoła Podstawowa w Petrykozach, Petrykozy 1, 26-307 Białaczów";"gm. Białaczów";"opoczyński";"łódzkie";"810";"889";"280";"530";"3";"5";"0";"0";"0";"0";"0";"0";"0";"527";"0";"0";"527";"10";"2";"8";"0";"517";"237";"280"
"21bd-9a75-e962-fe5a-311c-6df4-438b-1c08";"100701";"29";"6";"wieś";"stały";"Szkoła Podstawowa w Skroninie, Skronina 156, 26-307 Białaczów";"gm. Białaczów";"opoczyński";"łódzkie";"843";"930";"342";"501";"0";"0";"0";"0";"0";"0";"0";"0";"0";"501";"0";"0";"501";"17";"3";"14";"0";"484";"282";"202"
"9b89-15df-33ba-3703-57be-4178-7ffa-c36f";"100702";"29";"1";"miasto";"stały";"Regionalne Centrum Kultury w Drzewicy, ul. Stawowa 27A, 26-340 Drzewica";"gm. Drzewica";"opoczyński";"łódzkie";"1006";"1084";"359";"647";"0";"1";"0";"0";"0";"0";"0";"0";"0";"647";"0";"0";"647";"25";"9";"16";"0";"622";"320";"302"
"a479-96b1-d066-428e-1f4e-0660-8ca7-16d8";"100702";"29";"2";"miasto";"stały";"Przedszkole Samorządowe w Drzewicy, ul. Stawowa 58, 26-340 Drzewica";"gm. Drzewica";"opoczyński";"łódzkie";"657";"702";"220";"437";"0";"0";"0";"0";"0";"0";"0";"0";"0";"437";"0";"0";"437";"14";"2";"12";"0";"423";"200";"223"
"9aa3-cdb7-3d11-4d4e-594e-077d-f6c2-6842";"100702";"29";"3";"miasto";"stały";"Remiza OSP w Drzewicy, Plac Gabriela Narutowicza 17, 26-340 Drzewica";"gm. Drzewica";"opoczyński";"łódzkie";"1145";"1256";"355";"790";"0";"7";"0";"0";"0";"0";"0";"0";"0";"790";"0";"0";"790";"31";"8";"23";"0";"759";"442";"317"
"5cbe-c1cc-dc18-c753-0650-6d72-ba57-7271";"100702";"29";"4";"wieś";"stały";"Szkoła Podstawowa w Domasznie, Domaszno 31, 26-340 Drzewica";"gm. Drzewica";"opoczyński";"łódzkie";"372";"416";"87";"285";"0";"2";"0";"0";"0";"0";"0";"0";"0";"285";"0";"0";"285";"5";"1";"4";"0";"280";"211";"69"
"6393-5e39-1e31-3b5e-529b-1758-fc4b-b9e0";"100702";"29";"5";"wieś";"stały";"Świetlica Wiejska w Zakościelu, Zakościele 86a, 26-340 Drzewica";"gm. Drzewica";"opoczyński";"łódzkie";"623";"690";"165";"458";"0";"1";"0";"0";"0";"0";"0";"0";"0";"458";"0";"0";"458";"20";"9";"11";"0";"438";"313";"125"
"5fc5-10c7-767a-0df6-74ab-f767-f568-3f18";"100702";"29";"6";"wieś";"stały";"Szkoła Podstawowa w Brzustowcu, Brzustowiec 152, 26-340 Drzewica";"gm. Drzewica";"opoczyński";"łódzkie";"535";"584";"183";"352";"1";"2";"0";"0";"0";"0";"0";"0";"0";"352";"0";"0";"352";"9";"3";"6";"0";"343";"215";"128"
"60bd-bee5-6c9a-346b-f334-c090-ec7f-15b0";"100702";"29";"7";"wieś";"stały";"Szkoła Podstawowa w Idzikowicach, Idzikowice 30b, 26-340 Drzewica";"gm. Drzewica";"opoczyński";"łódzkie";"463";"513";"131";"332";"0";"0";"0";"0";"0";"0";"0";"0";"0";"332";"0";"0";"332";"9";"0";"9";"0";"323";"197";"126"
