"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Dorota CZUDOWSKA";"Tymoteusz Dominik MYRDA";"Elżbieta Krystyna STĘPIEŃ"
"2e7f-65fb-7321-0b0a-81d7-d23a-5d26-477c";"020301";"3";"1";"miasto";"stały";"Państwowa Wyższa Szkoła Zawodowa, ul. Piotra Skargi 5, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"2199";"2538";"589";"1610";"0";"15";"0";"0";"0";"0";"0";"0";"0";"1610";"0";"0";"1610";"32";"10";"22";"0";"1578";"577";"321";"680"
"25c6-cf60-06fc-4cae-1cae-cfbb-ce20-8d2a";"020301";"3";"2";"miasto";"stały";"Zespół Szkół Politechnicznych, Plac Jana z Głogowa 7, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"1801";"1955";"655";"1146";"2";"6";"0";"0";"0";"0";"0";"0";"0";"1146";"0";"0";"1146";"23";"3";"20";"0";"1123";"454";"213";"456"
"a9c1-e3b8-db2b-3f40-5877-a301-bdab-8c5c";"020301";"3";"3";"miasto";"stały";"Zespół Szkół Ogólnokształcących, ul. Jedności Robotniczej 10, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"1900";"2117";"749";"1151";"2";"12";"0";"0";"0";"0";"0";"0";"0";"1151";"0";"0";"1151";"31";"8";"23";"0";"1120";"540";"190";"390"
"8c08-94ec-152f-23c6-cb6f-5a49-bd24-6f12";"020301";"3";"4";"miasto";"stały";"Szkoła Podstawowa nr 2, Aleja Wolności 74, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"1785";"1949";"774";"1011";"0";"8";"0";"0";"0";"0";"0";"0";"0";"1011";"0";"0";"1011";"23";"10";"13";"0";"988";"428";"196";"364"
"2608-d4a6-b717-c501-93a6-8748-6a25-f9e2";"020301";"3";"5";"miasto";"stały";"Szkoła Podstawowa nr 8, ul. Gustawa Morcinka 2, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"900";"1005";"232";"668";"0";"2";"0";"0";"0";"0";"0";"0";"0";"668";"0";"0";"668";"18";"3";"15";"0";"650";"303";"118";"229"
"88f7-8f53-3214-1822-9567-e2b7-802b-c58e";"020301";"3";"6";"miasto";"stały";"Miejska Biblioteka Publiczna, ul. Jedności Robotniczej 15, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"1200";"1308";"355";"845";"0";"38";"0";"0";"0";"0";"0";"0";"0";"844";"0";"0";"844";"24";"6";"18";"0";"820";"382";"134";"304"
"7e63-d801-6070-4d47-c404-3c0d-8c55-d1fc";"020301";"3";"7";"miasto";"stały";"Przedszkole Publiczne nr 6, ul. Gustawa Morcinka 6, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"1204";"1342";"408";"796";"4";"4";"0";"0";"0";"0";"0";"0";"0";"796";"0";"0";"796";"20";"0";"20";"0";"776";"334";"144";"298"
"cec1-71ea-e0b1-5ca3-6f8b-c6d1-aa38-dc97";"020301";"3";"8";"miasto";"stały";"Szkoła Podstawowa nr 8, ul. Gustawa Morcinka 2, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"1000";"1066";"337";"663";"1";"2";"0";"0";"0";"0";"0";"0";"0";"663";"0";"0";"663";"10";"2";"8";"0";"653";"308";"80";"265"
"953a-4157-3e0e-fbd2-c4e8-f347-1539-2464";"020301";"3";"9";"miasto";"stały";"Szkoła Podstawowa nr 6, ul. Kościuszki 18, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"1000";"1132";"269";"731";"1";"7";"0";"0";"0";"0";"0";"0";"0";"731";"0";"0";"731";"18";"3";"15";"0";"713";"299";"125";"289"
"5657-d066-e87a-6cfb-e8e2-e3f5-aab3-1fe6";"020301";"3";"10";"miasto";"stały";"Szkoła Podstawowa nr 12, ul. Mikołaja Gomółki 43, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"1100";"1236";"359";"741";"0";"4";"1";"1";"0";"0";"0";"0";"1";"742";"1";"0";"742";"15";"3";"12";"0";"727";"293";"137";"297"
"637b-d0c2-234a-3dfe-cf22-2f85-8339-9665";"020301";"3";"11";"miasto";"stały";"Stowarzyszenie na Rzecz Integracji i Usamodzielniania ""Dom w Głogowie"", ul. Okrężna 21, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"700";"750";"234";"466";"0";"2";"0";"0";"0";"0";"0";"0";"0";"466";"0";"2";"464";"11";"1";"10";"0";"453";"180";"86";"187"
"c791-5483-8a6f-0e24-c6c8-7634-193e-f254";"020301";"3";"12";"miasto";"stały";"Przedszkole Publiczne nr 9, ul. Perseusza 3, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"1400";"1539";"403";"997";"0";"5";"0";"0";"0";"0";"0";"0";"0";"997";"0";"0";"997";"18";"18";"0";"0";"979";"375";"175";"429"
"a201-1f1e-1a7f-a99b-1de7-9d18-b111-f156";"020301";"3";"13";"miasto";"stały";"Szkoła Podstawowa nr 12, ul. Mikołaja Gomółki 43, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"1700";"1868";"511";"1189";"1";"5";"0";"0";"0";"0";"0";"0";"0";"1189";"0";"0";"1189";"15";"6";"9";"0";"1174";"513";"200";"461"
"3e1b-227d-7dee-c6ce-fbf1-8e67-0d41-5e88";"020301";"3";"14";"miasto";"stały";"Przedszkole Publiczne nr 19, ul. Plutona 3, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"1798";"1920";"620";"1178";"1";"10";"0";"0";"0";"0";"0";"0";"0";"1177";"0";"0";"1177";"26";"3";"23";"0";"1151";"529";"192";"430"
"4d6d-f6c6-5db9-ea60-f413-9b08-4673-cc6c";"020301";"3";"15";"miasto";"stały";"Szkoła Podstawowa nr 10, ul. Andromedy 62, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"1800";"1941";"546";"1254";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1253";"0";"0";"1253";"22";"1";"21";"0";"1231";"510";"207";"514"
"3608-dd1d-20f3-71b3-62c4-cdf0-6da1-7a18";"020301";"3";"16";"miasto";"stały";"Szkoła Podstawowa nr 11, ul. Gwiaździsta 2, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"2000";"2159";"689";"1311";"1";"3";"0";"0";"0";"0";"0";"0";"0";"1311";"0";"0";"1311";"21";"6";"15";"0";"1290";"575";"220";"495"
"d799-a4f9-595f-0d99-5410-1989-8a97-d932";"020301";"3";"17";"miasto";"stały";"Szkoła Podstawowa nr 11, ul. Gwiaździsta 2, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"1899";"2077";"589";"1310";"1";"3";"0";"0";"0";"0";"0";"0";"0";"1310";"0";"1";"1309";"31";"0";"31";"0";"1278";"533";"221";"524"
"9484-cfd3-cf03-05e2-3e8d-707a-9ae1-4db8";"020301";"3";"18";"miasto";"stały";"Przedszkole Publiczne nr 20, ul. Herkulesa 4, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"1700";"1777";"548";"1152";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1151";"0";"0";"1151";"21";"5";"16";"0";"1130";"494";"170";"466"
