"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jan Tadeusz DUDA";"Jerzy Feliks FEDOROWICZ"
"7317-d8b2-f8bb-77af-dd12-cdea-f002-3606";"126101";"32";"24";"miasto";"stały";"Zespół Szkół Ogólnokształcących Mistrzostwa Sportowego, ul. Grochowska 20, 31-521 Kraków";"m. Kraków";"Kraków";"małopolskie";"1370";"1468";"272";"1098";"0";"10";"1";"1";"0";"0";"0";"0";"1";"1099";"1";"0";"1099";"31";"6";"25";"0";"1068";"402";"666"
"f3bf-250d-3f33-a0b4-03ac-c6e8-1504-9bf6";"126101";"32";"25";"miasto";"stały";"Zespół Szkół Ogólnokształcących Mistrzostwa Sportowego, ul. Grochowska 20, 31-521 Kraków";"m. Kraków";"Kraków";"małopolskie";"900";"1035";"89";"811";"3";"30";"0";"0";"0";"0";"0";"0";"0";"811";"0";"0";"811";"33";"12";"21";"0";"778";"226";"552"
"587e-255b-db6d-8e16-54b7-d185-9758-0872";"126101";"32";"26";"miasto";"stały";"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 3, ul. Topolowa 22, 31-506 Kraków";"m. Kraków";"Kraków";"małopolskie";"1520";"1840";"244";"1276";"1";"109";"1";"1";"0";"0";"0";"0";"1";"1277";"1";"0";"1277";"45";"16";"29";"0";"1232";"383";"849"
"0c8a-11dc-de07-541f-2082-3f1b-725e-374a";"126101";"32";"27";"miasto";"stały";"Urząd Miasta Krakowa, ul. Kasprowicza 29, 31-523 Kraków";"m. Kraków";"Kraków";"małopolskie";"1080";"1186";"217";"863";"1";"22";"2";"2";"0";"0";"0";"0";"2";"865";"2";"0";"865";"25";"7";"18";"0";"840";"297";"543"
"e59a-79b3-af78-76c2-eeba-d593-3f06-1c28";"126101";"32";"28";"miasto";"stały";"Zespół Szkół Ogólnokształcących Nr 11, ul. Wilka-Wyrwińskiego 1, 31-517 Kraków";"m. Kraków";"Kraków";"małopolskie";"1090";"1210";"187";"903";"4";"23";"1";"0";"0";"0";"0";"0";"0";"902";"0";"0";"902";"22";"9";"13";"0";"880";"252";"628"
"14a5-f3a1-8a6e-69a3-f54a-b834-60d2-c4a9";"126101";"32";"29";"miasto";"stały";"Młodzieżowy Dom Kultury, ul. Grunwaldzka 5, 31-526 Kraków";"m. Kraków";"Kraków";"małopolskie";"1069";"1199";"192";"877";"3";"17";"0";"0";"0";"0";"0";"0";"0";"877";"0";"0";"877";"35";"9";"26";"0";"842";"282";"560"
"a042-0dd7-b4ae-a080-d64a-630b-f6c6-b9ab";"126101";"32";"30";"miasto";"stały";"Szkoła Podstawowa Nr 38, ul. Pułkownika Nullo 23, 31-543 Kraków";"m. Kraków";"Kraków";"małopolskie";"2090";"2365";"297";"1793";"3";"58";"1";"1";"0";"0";"0";"0";"1";"1747";"1";"0";"1747";"47";"22";"25";"0";"1700";"498";"1202"
"2039-b8a4-113b-9b8f-6a7c-19b6-fc1d-67e7";"126101";"32";"31";"miasto";"stały";"Szkoła Podstawowa Nr 38, ul. Pułkownika Nullo 23, 31-543 Kraków";"m. Kraków";"Kraków";"małopolskie";"1958";"2183";"383";"1575";"2";"46";"0";"0";"0";"0";"0";"0";"0";"1575";"0";"0";"1575";"31";"5";"26";"0";"1544";"470";"1074"
"315c-ad80-0826-b157-c087-49bf-3aef-c87c";"126101";"32";"32";"miasto";"stały";"XIII Liceum Ogólnokształcące, ul. Sądowa 4, 31-542 Kraków";"m. Kraków";"Kraków";"małopolskie";"1220";"1500";"49";"1171";"1";"45";"0";"0";"0";"0";"0";"0";"0";"1171";"0";"0";"1171";"35";"11";"24";"0";"1136";"266";"870"
"89f0-a1c0-2ad0-df0d-169b-0e45-691a-62fc";"126101";"32";"33";"miasto";"stały";"XIII Liceum Ogólnokształcące, ul. Sądowa 4, 31-542 Kraków";"m. Kraków";"Kraków";"małopolskie";"1368";"1605";"137";"1231";"6";"25";"1";"1";"0";"0";"0";"0";"1";"1232";"1";"0";"1232";"32";"13";"19";"0";"1200";"345";"855"
