"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Włodzimierz BERNACKI";"Mirosław Adam CHODUR";"Wojciech KOZAK";"Artur Stanisław KOZIOŁ"
"f3fd-5726-fe8b-991b-79fa-fb5c-2169-429b";"120101";"34";"1";"miasto";"stały";"Szkoła Podstawowa nr 1 im. Stanisława Jachowicza w Bochni, ul. Biała 2, 32-700 Bochnia";"m. Bochnia";"bocheński";"małopolskie";"1078";"1185";"396";"682";"2";"13";"0";"0";"0";"0";"0";"0";"0";"681";"0";"0";"681";"14";"3";"11";"0";"667";"319";"51";"70";"227"
"fdd7-7dc7-7be1-bdbf-f5f5-9e0b-691f-db94";"120101";"34";"2";"miasto";"stały";"Świetlica Bocheńskich Zakładów Usług Komunalnych Sp. z o. o. w Bochni, ul. 20 Stycznia 15, 32-700 Bochnia";"m. Bochnia";"bocheński";"małopolskie";"1541";"1680";"466";"1075";"2";"6";"0";"0";"0";"0";"0";"0";"0";"1075";"0";"0";"1075";"14";"4";"10";"0";"1061";"521";"161";"87";"292"
"778e-b4a2-573a-7dab-49de-90d0-e091-f77d";"120101";"34";"3";"miasto";"stały";"Miejski Ośrodek Sportu i Rekreacji w Bochni Hala Widowiskowo-Sportowa im. W. Stawiarskiego, ul. Ks. Józefa Poniatowskiego 32, 32-700 Bochnia";"m. Bochnia";"bocheński";"małopolskie";"1528";"1648";"505";"1023";"1";"15";"0";"0";"0";"0";"0";"0";"0";"1023";"0";"0";"1023";"22";"6";"16";"0";"1001";"472";"90";"134";"305"
"dddd-d9c6-d1be-3eac-83c6-70ca-41c7-6a3e";"120101";"34";"4";"miasto";"stały";"Remiza Ochotniczej Straży Pożarnej Chodenice w Bochni, ul. Chodenicka 57, 32-700 Bochnia";"m. Bochnia";"bocheński";"małopolskie";"992";"1084";"230";"762";"0";"5";"0";"0";"0";"0";"0";"0";"0";"761";"0";"0";"761";"23";"7";"16";"0";"738";"363";"71";"92";"212"
"f98e-c8f7-5cd2-9884-f293-53b7-e92c-98af";"120101";"34";"5";"miasto";"stały";"Miejskie Przedszkole nr 5 w Bochni, ul. Kolejowa 14, 32-700 Bochnia";"m. Bochnia";"bocheński";"małopolskie";"1045";"1127";"362";"683";"0";"4";"0";"0";"0";"0";"0";"0";"0";"683";"0";"0";"683";"10";"2";"8";"0";"673";"335";"80";"89";"169"
"8c5d-750b-4ca6-4973-e3da-7dcf-65c8-2ae3";"120101";"34";"6";"miasto";"stały";"Szkoła Podstawowa Nr 4 im. św. Barbary w Bochni, ul. Konfederatów Barskich 27, 32-700 Bochnia";"m. Bochnia";"bocheński";"małopolskie";"1224";"1331";"264";"960";"1";"4";"0";"0";"0";"0";"0";"0";"0";"960";"0";"0";"960";"22";"7";"15";"0";"938";"445";"123";"143";"227"
"8862-654b-c687-0056-756e-ae1c-56f9-e996";"120101";"34";"7";"miasto";"stały";"Miejskie Przedszkole nr 6 w Bochni, ul. Murowianka 28, 32-700 Bochnia";"m. Bochnia";"bocheński";"małopolskie";"1620";"1758";"454";"1166";"2";"3";"0";"0";"0";"0";"0";"0";"0";"1166";"0";"0";"1166";"18";"3";"15";"0";"1148";"583";"135";"147";"283"
"7d81-312c-3d02-d505-cf2e-fcf1-8f5a-287f";"120101";"34";"8";"miasto";"stały";"Urząd Miasta Bochnia, ul. Kazimierza Wielkiego 2, 32-700 Bochnia";"m. Bochnia";"bocheński";"małopolskie";"1921";"2068";"609";"1312";"6";"11";"0";"0";"0";"0";"0";"0";"0";"1312";"0";"0";"1312";"25";"4";"21";"0";"1287";"573";"107";"172";"435"
"1aaa-7180-d439-a4e1-57bf-9a08-df56-bba2";"120101";"34";"9";"miasto";"stały";"Szkoła Podstawowa nr 2 im. Kazimierza Brodzińskiego w Bochni, ul. Oracka 6, 32-700 Bochnia";"m. Bochnia";"bocheński";"małopolskie";"1765";"1888";"510";"1255";"4";"11";"0";"0";"0";"0";"0";"0";"0";"1255";"0";"0";"1255";"29";"6";"23";"0";"1226";"513";"106";"179";"428"
"8cc0-1348-e861-cf1e-6bf4-b61b-2bf8-42df";"120101";"34";"10";"miasto";"stały";"Miejskie Centrum Dzieci i Młodzieży „Ochronka” w Bochni, ul. Henryka Sienkiewicza 2, 32-700 Bochnia";"m. Bochnia";"bocheński";"małopolskie";"1464";"1572";"365";"1099";"2";"6";"0";"0";"0";"0";"0";"0";"0";"1099";"0";"0";"1099";"13";"2";"11";"0";"1086";"474";"109";"173";"330"
"f48d-8f77-e3ce-db25-5a1e-42d2-7c7c-7c66";"120101";"34";"11";"miasto";"stały";"Bursa Szkolna im. Polski Niepodległej w Bochni, ul. Kazimierza Wielkiego 67, 32-700 Bochnia";"m. Bochnia";"bocheński";"małopolskie";"1322";"1455";"372";"950";"3";"3";"0";"0";"0";"0";"0";"0";"0";"950";"0";"0";"950";"19";"9";"10";"0";"931";"438";"110";"139";"244"
