"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Zbigniew KARCIŃSKI";"Dariusz Zbigniew KLICH";"Kazimierz Adam WIATR"
"ef0c-3a9d-94e6-6146-1f3e-07c0-b051-ef8a";"120401";"35";"1";"wieś";"stały";"Urząd Gminy w Bolesławiu, Bolesław 68, 33-220 Bolesław";"gm. Bolesław";"dąbrowski";"małopolskie";"1586";"1698";"881";"705";"1";"6";"0";"0";"0";"0";"0";"0";"0";"705";"0";"0";"705";"21";"6";"15";"0";"684";"204";"64";"416"
"d3c0-bf5f-3e5d-835d-6e19-47ea-a4bd-7dbc";"120401";"35";"2";"wieś";"stały";"Dom Ludowy w Samocicach, Samocice 70, 33-220 Bolesław";"gm. Bolesław";"dąbrowski";"małopolskie";"490";"531";"266";"224";"0";"3";"0";"0";"0";"0";"0";"0";"0";"224";"0";"0";"224";"3";"1";"2";"0";"221";"35";"9";"177"
"6cd6-8778-96fc-a3cb-ed76-26f5-a08d-6f2c";"120402";"35";"1";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 3 w Dąbrowie Tarnowskiej, ul. Zazamcze 3, 33-200 Dąbrowa Tarnowska";"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";"1245";"1345";"481";"764";"1";"1";"0";"0";"0";"0";"0";"0";"0";"764";"0";"0";"764";"23";"7";"16";"0";"741";"240";"108";"393"
"b33d-4b3a-8595-8a01-4cb8-1ea7-9fc1-4514";"120402";"35";"2";"miasto";"stały";"Dąbrowski Dom Kultury, ul. Kościuszki 11, 33-200 Dąbrowa Tarnowska";"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";"1190";"1295";"404";"786";"2";"6";"0";"0";"0";"0";"0";"0";"0";"786";"0";"0";"786";"13";"0";"13";"0";"773";"196";"98";"479"
"19aa-c1bc-e75f-8959-750d-ba66-fd16-6e5d";"120402";"35";"3";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 2, ul. Zaręby 22, 33-200 Dąbrowa Tarnowska";"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";"1866";"2000";"691";"1175";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1175";"0";"0";"1175";"32";"3";"29";"0";"1143";"346";"135";"662"
"71b8-1b8f-265e-5a61-9e67-bddc-7924-b9f9";"120402";"35";"4";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 2 budynek przy ul. Matejki 8, ul. Matejki 8, 33-200 Dąbrowa Tarnowska";"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";"772";"829";"313";"459";"0";"5";"0";"0";"0";"0";"0";"0";"0";"459";"0";"0";"459";"10";"1";"9";"0";"449";"138";"67";"244"
"cef9-cd54-8f71-0eed-e7d4-667a-db28-4f94";"120402";"35";"5";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 1, ul. Kościelna 25A, 33-200 Dąbrowa Tarnowska";"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";"1840";"1977";"685";"1155";"2";"5";"0";"0";"0";"0";"0";"0";"0";"1155";"0";"0";"1155";"20";"10";"10";"0";"1135";"280";"179";"676"
"886c-7733-9dd7-dd16-d510-27d7-099e-a0da";"120402";"35";"6";"miasto";"stały";"Żłobek Samorządowy, ul. Kościelna 25A, 33-200 Dąbrowa Tarnowska";"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";"1141";"1231";"393";"748";"0";"8";"0";"0";"0";"0";"0";"0";"0";"748";"0";"0";"748";"12";"4";"8";"0";"736";"238";"105";"393"
"8556-95d4-68d6-652e-d339-7c74-28f3-ea37";"120402";"35";"7";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 1, ul. Kościelna 25A, 33-200 Dąbrowa Tarnowska";"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";"803";"860";"301";"502";"0";"0";"0";"0";"0";"0";"0";"0";"0";"502";"0";"0";"502";"4";"2";"2";"0";"498";"129";"74";"295"
"256b-b6d1-e7eb-f38d-7363-8141-dc33-2ac2";"120402";"35";"8";"wieś";"stały";"Dom Ludowy, Brnik 36a, 33-200 Dąbrowa Tarnowska";"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";"410";"439";"133";"277";"0";"0";"0";"0";"0";"0";"0";"0";"0";"277";"0";"0";"277";"3";"0";"3";"0";"274";"26";"21";"227"
