"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Wiktor Michał DURLAK";"Stanisław KOGUT"
"8400-316b-2236-c532-a4f3-daba-1d91-6c39";"120501";"37";"1";"miasto";"stały";"Siedziba Zarządu Osiedla Nr 10, ul. Kolejowa 4, 38-300 Gorlice";"m. Gorlice";"gorlicki";"małopolskie";"525";"558";"215";"310";"0";"4";"0";"0";"0";"0";"0";"0";"0";"310";"0";"0";"310";"41";"14";"27";"0";"269";"148";"121"
"c911-832c-dcfd-196f-67ca-63eb-9708-7ebb";"120501";"37";"2";"miasto";"stały";"Gorlickie Centrum Kultury, ul. Michalusa 4, 38-300 Gorlice";"m. Gorlice";"gorlicki";"małopolskie";"654";"717";"299";"355";"0";"0";"0";"0";"0";"0";"0";"0";"0";"354";"0";"0";"354";"63";"21";"42";"0";"291";"174";"117"
"5556-f35c-642f-c38a-5abe-2d41-7403-abd2";"120501";"37";"3";"miasto";"stały";"Miejski Zespół Szkół Nr 3, ul. Wyszyńskiego 16, 38-300 Gorlice";"m. Gorlice";"gorlicki";"małopolskie";"1546";"1646";"590";"956";"2";"1";"0";"0";"0";"0";"0";"0";"0";"955";"0";"0";"955";"146";"57";"89";"0";"809";"483";"326"
"e8f4-32f8-a8ef-757d-2806-f2ab-4fbb-52cf";"120501";"37";"4";"miasto";"stały";"Miejskie Przedszkole Nr 8, ul. Hallera 17, 38-300 Gorlice";"m. Gorlice";"gorlicki";"małopolskie";"954";"1011";"324";"630";"1";"9";"0";"0";"0";"0";"0";"0";"0";"630";"0";"0";"630";"112";"49";"63";"0";"518";"297";"221"
"6e5c-b027-adbc-6cda-355c-6513-9e89-c71d";"120501";"37";"5";"miasto";"stały";"Świetlica Spółdzielni Mieszkaniowej ""Małopolska"", ul. Hallera 81, 38-300 Gorlice";"m. Gorlice";"gorlicki";"małopolskie";"835";"886";"310";"525";"0";"3";"3";"3";"0";"0";"0";"0";"3";"528";"3";"0";"528";"94";"34";"60";"0";"434";"249";"185"
"e25f-b272-5470-f25d-b544-2508-553b-514f";"120501";"37";"6";"miasto";"stały";"I Liceum Ogólnokształcące im. M. Kromera, ul. M. Kromera 1, 38-300 Gorlice";"m. Gorlice";"gorlicki";"małopolskie";"879";"939";"268";"611";"1";"4";"0";"0";"0";"0";"0";"0";"0";"611";"0";"0";"611";"108";"69";"39";"0";"503";"285";"218"
"4d0f-61c6-9231-e2f3-9093-a4b1-c864-29f9";"120501";"37";"7";"miasto";"stały";"Siedziba Zarządu Osiedla Nr 5, ul. Marii Konopnickiej 17, 38-300 Gorlice";"m. Gorlice";"gorlicki";"małopolskie";"1051";"1096";"396";"655";"0";"3";"1";"1";"0";"0";"0";"0";"1";"656";"1";"0";"656";"128";"57";"71";"0";"528";"337";"191"
"6238-d553-0a3d-3671-3b21-1395-09e8-d54d";"120501";"37";"8";"miasto";"stały";"Świetlica Towarzystwa Przyjaciół Dzieci, ul. Marii Konopnickiej 17, 38-300 Gorlice";"m. Gorlice";"gorlicki";"małopolskie";"776";"935";"254";"522";"0";"2";"0";"0";"0";"0";"0";"0";"0";"522";"0";"0";"522";"86";"32";"54";"0";"436";"245";"191"
"0635-cd08-67a5-cf70-1bc0-8745-2a35-2fb6";"120501";"37";"9";"miasto";"stały";"Starostwo Powiatowe, ul. Biecka 3, 38-300 Gorlice";"m. Gorlice";"gorlicki";"małopolskie";"1019";"1068";"443";"576";"1";"2";"0";"0";"0";"0";"0";"0";"0";"576";"0";"0";"576";"119";"49";"70";"0";"457";"275";"182"
"5068-f71b-fbbc-bdd1-ac2e-1faa-a160-e553";"120501";"37";"10";"miasto";"stały";"Miejski Zespół Szkół Nr 4, ul. Krasińskiego 9, 38-300 Gorlice";"m. Gorlice";"gorlicki";"małopolskie";"1250";"1331";"449";"801";"0";"5";"0";"0";"0";"0";"0";"0";"0";"801";"0";"0";"801";"164";"62";"102";"0";"637";"372";"265"
