"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Marek Eryk MARTYNOWSKI";"Waldemar PAWLAK"
"10b9-2dc0-a52c-afde-2c30-7d68-bace-aa51";"140401";"38";"1";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Gen. Józefa Bema 23, 09-500 Gostynin";"m. Gostynin";"gostyniński";"mazowieckie";"860";"944";"286";"574";"2";"0";"0";"0";"0";"0";"0";"0";"0";"574";"0";"0";"574";"15";"9";"6";"0";"559";"234";"325"
"eefe-9161-643b-c6d1-bbee-d676-e693-c21a";"140401";"38";"2";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Gen. Józefa Bema 23, 09-500 Gostynin";"m. Gostynin";"gostyniński";"mazowieckie";"1070";"1151";"357";"713";"2";"2";"0";"0";"0";"0";"0";"0";"0";"712";"0";"0";"712";"25";"7";"18";"0";"687";"344";"343"
"5a02-0583-3a37-b93a-929d-31b2-9642-5032";"140401";"38";"3";"miasto";"stały";"Dom Nauczyciela, ul. Wojska Polskiego 10, 09-500 Gostynin";"m. Gostynin";"gostyniński";"mazowieckie";"770";"829";"246";"524";"0";"4";"0";"0";"0";"0";"0";"0";"0";"522";"0";"0";"522";"6";"1";"5";"0";"516";"245";"271"
"3c71-2665-1e4a-b150-8396-17a1-61f0-9767";"140401";"38";"4";"miasto";"stały";"Przedszkole Nr 4, ul. Armii Krajowej 7, 09-500 Gostynin";"m. Gostynin";"gostyniński";"mazowieckie";"990";"1073";"295";"695";"0";"2";"0";"0";"0";"0";"0";"0";"0";"695";"0";"0";"695";"22";"10";"12";"0";"673";"316";"357"
"c672-5e62-c252-42b0-37dd-71d3-815b-c703";"140401";"38";"5";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Wojska Polskiego 23, 09-500 Gostynin";"m. Gostynin";"gostyniński";"mazowieckie";"949";"1034";"360";"589";"1";"1";"0";"0";"0";"0";"0";"0";"0";"589";"0";"0";"589";"29";"7";"22";"0";"560";"271";"289"
"44ef-4fc1-39d9-11f1-bbce-b48a-ff85-64f6";"140401";"38";"6";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Józefa Ozdowskiego 2, 09-500 Gostynin";"m. Gostynin";"gostyniński";"mazowieckie";"1009";"1096";"283";"726";"3";"2";"1";"1";"0";"0";"0";"0";"1";"727";"1";"0";"727";"19";"4";"15";"0";"708";"317";"391"
"8602-6111-a677-c735-0971-175a-c8e3-b0bc";"140401";"38";"7";"miasto";"stały";"Zespół Szkół, ul. Kowalska 5, 09-500 Gostynin";"m. Gostynin";"gostyniński";"mazowieckie";"939";"1026";"459";"480";"0";"2";"0";"0";"0";"0";"0";"0";"0";"480";"0";"0";"480";"13";"5";"8";"0";"467";"212";"255"
"b67b-dd2c-1be6-1841-3c98-38ae-eca6-4523";"140401";"38";"8";"miasto";"stały";"Urząd Miasta Gostynina, ul. Parkowa 22, 09-500 Gostynin";"m. Gostynin";"gostyniński";"mazowieckie";"779";"855";"273";"506";"0";"1";"0";"0";"0";"0";"0";"0";"0";"506";"0";"0";"506";"35";"10";"25";"0";"471";"224";"247"
"da65-b1d6-b6b8-1233-04f5-483d-37d9-e642";"140401";"38";"9";"miasto";"stały";"Liceum Ogólnokształcące, ul. 3 Maja 15, 09-500 Gostynin";"m. Gostynin";"gostyniński";"mazowieckie";"849";"896";"362";"487";"2";"5";"0";"0";"0";"0";"0";"0";"0";"487";"0";"0";"487";"12";"6";"6";"0";"475";"258";"217"
"0614-7633-bdf0-7c77-a559-f163-951f-40b1";"140401";"38";"10";"miasto";"stały";"Przedszkole Nr 2, ul. Wojska Polskiego 54, 09-500 Gostynin";"m. Gostynin";"gostyniński";"mazowieckie";"1058";"1148";"342";"716";"1";"0";"0";"0";"0";"0";"0";"0";"0";"716";"0";"0";"716";"29";"7";"22";"0";"687";"324";"363"
