"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jan Maria JACKOWSKI";"Andrzej Juliusz KAMASA";"Piotr Daniel MIERZWA"
"224c-6454-8abf-3033-49f2-c486-8cb9-c6b5";"140201";"39";"1";"miasto";"stały";"Szkoła Podstawowa nr 3, ul. Powstańców Wielkopolskich 1, 06-400 Ciechanów";"m. Ciechanów";"ciechanowski";"mazowieckie";"1653";"1828";"517";"1135";"1";"6";"0";"0";"0";"0";"0";"0";"0";"1135";"0";"0";"1135";"17";"4";"13";"0";"1118";"496";"432";"190"
"d0a1-55ef-2e76-20ed-1a42-9213-1213-40f2";"140201";"39";"2";"miasto";"stały";"Państwowa Wyższa Szkoła Zawodowa, ul. Wojska Polskiego 51, 06-400 Ciechanów";"m. Ciechanów";"ciechanowski";"mazowieckie";"1230";"1322";"449";"781";"1";"1";"0";"0";"0";"0";"0";"0";"0";"781";"0";"0";"781";"14";"5";"9";"0";"767";"389";"279";"99"
"f3f0-121e-b5c5-300b-fefe-d0aa-e88d-b4de";"140201";"39";"3";"miasto";"stały";"Szkoła Podstawowa nr 6, ul. 17 Stycznia 17, 06-400 Ciechanów";"m. Ciechanów";"ciechanowski";"mazowieckie";"1312";"1398";"419";"893";"2";"6";"0";"0";"0";"0";"0";"0";"0";"893";"0";"0";"893";"12";"5";"7";"0";"881";"387";"380";"114"
"a76e-746b-1914-46fa-b90f-ea6a-c7a2-ce1c";"140201";"39";"4";"miasto";"stały";"Hala Sportowo-Widowiskowa, ul. Ignacego Kraszewskiego 8, 06-400 Ciechanów";"m. Ciechanów";"ciechanowski";"mazowieckie";"1670";"1821";"410";"1260";"3";"11";"0";"0";"0";"0";"0";"0";"0";"1260";"0";"0";"1260";"28";"16";"12";"0";"1232";"515";"522";"195"
"4d92-dcf2-c3a8-0089-9b0f-252f-521b-93b9";"140201";"39";"5";"miasto";"stały";"Szkoła Podstawowa nr 5, ul. Władysława Broniewskiego 1, 06-400 Ciechanów";"m. Ciechanów";"ciechanowski";"mazowieckie";"1610";"1795";"402";"1208";"1";"9";"0";"0";"0";"0";"0";"0";"0";"1208";"0";"0";"1208";"19";"4";"15";"0";"1189";"558";"486";"145"
"c516-9349-7289-8b8c-cbd6-071a-0972-02d7";"140201";"39";"6";"miasto";"stały";"Szkoła Podstawowa nr 6, ul. 17 Stycznia 17, 06-400 Ciechanów";"m. Ciechanów";"ciechanowski";"mazowieckie";"1190";"1292";"445";"745";"2";"3";"0";"0";"0";"0";"0";"0";"0";"744";"0";"0";"744";"12";"0";"12";"0";"732";"359";"289";"84"
"4ea9-7e9e-bc2d-79de-86fb-d34e-e782-075c";"140201";"39";"7";"miasto";"stały";"Miejski Ośrodek Pomocy Społecznej, ul. Sienkiewicza 32d, 06-400 Ciechanów";"m. Ciechanów";"ciechanowski";"mazowieckie";"1380";"1507";"549";"831";"1";"3";"0";"0";"0";"0";"0";"0";"0";"830";"0";"0";"830";"21";"2";"19";"0";"809";"407";"285";"117"
"c7de-983b-872e-5f01-f16a-f703-74c0-4f14";"140201";"39";"8";"miasto";"stały";"Zespół Szkół nr 3, ul. Stefana Okrzei 6, 06-400 Ciechanów";"m. Ciechanów";"ciechanowski";"mazowieckie";"1620";"1760";"782";"838";"0";"5";"0";"0";"0";"0";"0";"0";"0";"838";"0";"0";"838";"19";"6";"13";"0";"819";"418";"306";"95"
"7518-e8c7-58b5-ea51-5e34-6249-6bc1-9a2d";"140201";"39";"9";"miasto";"stały";"Szkoła Podstawowa nr 7, ul. Stefana Czarnieckiego 40, 06-400 Ciechanów";"m. Ciechanów";"ciechanowski";"mazowieckie";"1570";"1731";"503";"1067";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1066";"0";"0";"1066";"18";"6";"12";"0";"1048";"530";"374";"144"
"9772-cca7-36d4-b379-1559-dcaa-1cf1-d32f";"140201";"39";"10";"miasto";"stały";"Szkoła Podstawowa nr 7, ul. Stefana Czarnieckiego 40, 06-400 Ciechanów";"m. Ciechanów";"ciechanowski";"mazowieckie";"1410";"1513";"350";"1060";"1";"3";"0";"0";"0";"0";"0";"0";"0";"1060";"0";"0";"1060";"18";"4";"14";"0";"1042";"533";"342";"167"
