"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jolanta Emilia HIBNER";"Jan Krzysztof ŻARYN"
"db8e-c9cd-37e3-5a3f-2151-ff97-1ea5-2614";"140801";"40";"1";"miasto";"stały";"Powiatowy Zespół Szkół Ponadgimnazjalnych im. Jerzego Siwińskiego, ul. Targowa 73A, 05-120 Legionowo";"m. Legionowo";"legionowski";"mazowieckie";"1543";"1704";"296";"1247";"1";"14";"0";"0";"0";"0";"0";"0";"0";"1246";"0";"0";"1246";"46";"12";"34";"0";"1200";"671";"529"
"710d-bdbf-e5c8-dbe6-1719-1f17-1cdc-6d75";"140801";"40";"2";"miasto";"stały";"Przedszkole Miejskie Nr 1 im. Marii Kownackiej, ul. Olszankowa E, 05-120 Legionowo";"m. Legionowo";"legionowski";"mazowieckie";"1741";"1919";"461";"1280";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1280";"0";"0";"1280";"35";"4";"31";"0";"1245";"720";"525"
"4436-443d-ba88-0523-1805-f3e2-4ffe-6450";"140801";"40";"3";"miasto";"stały";"Zespół Szkolno-Przedszkolny im. Legionów Polskich 1914 - 1918, ul. Jana Pawła I 2, 05-119 Legionowo";"m. Legionowo";"legionowski";"mazowieckie";"1708";"1893";"333";"1376";"2";"4";"3";"3";"0";"0";"0";"0";"3";"1379";"3";"1";"1378";"55";"12";"43";"0";"1323";"729";"594"
"b2af-af1a-db00-c9c9-c0bf-2ec6-7f4c-6173";"140801";"40";"4";"miasto";"stały";"Szkoła Podstawowa nr 8 im. 1 Warszawskiej Dywizji Piechoty Hol główny-wejście główne do budynku, ul. Zegrzyńska 3, 05-119 Legionowo";"m. Legionowo";"legionowski";"mazowieckie";"1344";"1537";"110";"1226";"2";"7";"0";"0";"0";"0";"0";"0";"0";"1227";"0";"0";"1227";"36";"14";"22";"0";"1191";"837";"354"
"6a2b-1b13-7a01-b390-dabd-941e-d4fb-3fdf";"140801";"40";"5";"miasto";"stały";"Szkoła Podstawowa nr 8 im. 1 Warszawskiej Dywizji Piechoty Hol przy małej sali gimnastycznej-wejście schodami przy stołówce, ul. Zegrzyńska 3, 05-119 Legionowo";"m. Legionowo";"legionowski";"mazowieckie";"2105";"2224";"733";"1372";"1";"9";"1";"1";"0";"0";"0";"0";"1";"1370";"1";"0";"1370";"52";"10";"42";"0";"1318";"907";"411"
"7f75-f286-e1c4-a9db-9160-01c4-a71f-68e7";"140801";"40";"6";"miasto";"stały";"Przedszkole Miejskie Nr 11, ul. Zegrzyńska 9, 05-119 Legionowo";"m. Legionowo";"legionowski";"mazowieckie";"1886";"2099";"217";"1669";"2";"10";"0";"0";"0";"0";"0";"0";"0";"1669";"0";"1";"1668";"67";"20";"47";"0";"1601";"1122";"479"
"d8ce-4ae1-b19f-8146-1237-67b1-cc55-288f";"140801";"40";"7";"miasto";"stały";"Przedszkole Miejskie Nr 3 im. Koszałka Opałka, ul. Zegrzyńska 71, 05-119 Legionowo";"m. Legionowo";"legionowski";"mazowieckie";"2241";"2459";"468";"1773";"0";"13";"0";"0";"0";"0";"0";"0";"0";"1773";"0";"0";"1773";"69";"13";"56";"0";"1704";"1136";"568"
"8b20-00d7-7e1d-c705-7d82-b973-1975-9a38";"140801";"40";"8";"miasto";"stały";"Szkoła Podstawowa Nr 1 im. Mikołaja Kopernika, ul. Zakopiańska 4, 05-120 Legionowo";"m. Legionowo";"legionowski";"mazowieckie";"1750";"1935";"319";"1431";"2";"14";"0";"0";"0";"0";"0";"0";"0";"1431";"0";"0";"1431";"32";"9";"23";"0";"1399";"838";"561"
"1525-9f62-295b-4c36-8d75-87f0-1153-0230";"140801";"40";"9";"miasto";"stały";"KZB Legionowo Sp. z o. o., ul. marsz. Józefa Piłsudskiego 3, 05-120 Legionowo";"m. Legionowo";"legionowski";"mazowieckie";"1830";"2080";"364";"1466";"1";"15";"0";"0";"0";"0";"0";"0";"0";"1465";"0";"0";"1465";"55";"15";"40";"0";"1410";"837";"573"
"e82e-9152-45d9-bb10-ff6c-f18c-bb57-460e";"140801";"40";"10";"miasto";"stały";"Urząd Miasta Legionowo, ul. marsz. Józefa Piłsudskiego 41, 05-120 Legionowo";"m. Legionowo";"legionowski";"mazowieckie";"1940";"2153";"319";"1621";"2";"14";"1";"1";"0";"0";"0";"0";"1";"1622";"1";"0";"1622";"43";"9";"34";"0";"1579";"924";"655"
"ef68-8b78-9797-1369-8b6c-7e08-9cd2-4f9d";"140801";"40";"11";"miasto";"stały";"Zespół Szkolno-Przedszkolny Nr 2 Hol przy Szkole Podstawowej nr 2 im. Kornela Makuszyńskiego, ul. Jagiellońska 67, 05-120 Legionowo";"m. Legionowo";"legionowski";"mazowieckie";"931";"949";"240";"691";"0";"7";"0";"0";"0";"0";"0";"0";"0";"691";"0";"0";"691";"23";"10";"13";"0";"668";"364";"304"
"1b9b-f6a0-0a4d-e563-6fa6-83da-3785-9a1e";"140801";"40";"12";"miasto";"stały";"Zespół Szkolno-Przedszkolny Nr 2 Hol w Przedszkolu nr 2 im. Doroty Gellner, ul. Jagiellońska 67, 05-120 Legionowo";"m. Legionowo";"legionowski";"mazowieckie";"1589";"1640";"355";"1232";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1233";"0";"0";"1233";"47";"14";"33";"0";"1186";"662";"524"
"6bc5-ad1e-9cad-d603-ee51-452c-74a9-2d3c";"140801";"40";"13";"miasto";"stały";"Arena Legionowo, ul. Bolesława Chrobrego 50B, 05-120 Legionowo";"m. Legionowo";"legionowski";"mazowieckie";"1157";"1265";"154";"1003";"1";"9";"0";"0";"0";"0";"0";"0";"0";"1003";"0";"0";"1003";"27";"9";"18";"0";"976";"545";"431"
"f526-6001-8a73-4a0e-447d-4630-0e99-0ef7";"140801";"40";"14";"miasto";"stały";"Przedszkole Miejskie z Oddziałami Integracyjnymi Nr 7 im. Janusza Korczaka Sala nr 21, ul. Husarska 18A, 05-120 Legionowo";"m. Legionowo";"legionowski";"mazowieckie";"1462";"1590";"288";"1174";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1173";"0";"0";"1173";"27";"6";"21";"0";"1146";"641";"505"
"c61b-8157-2b21-f71b-25dd-9c08-1111-6a5a";"140801";"40";"15";"miasto";"stały";"Przedszkole Miejskie z Oddziałami Integracyjnymi Nr 7 im. Janusza Korczaka Korytarz główny przedszkola, ul. Husarska 18A, 05-120 Legionowo";"m. Legionowo";"legionowski";"mazowieckie";"1407";"1548";"264";"1143";"1";"5";"0";"0";"0";"0";"0";"0";"0";"1143";"0";"0";"1143";"31";"6";"25";"0";"1112";"617";"495"
"bab0-8461-f3cf-90ba-55d0-3df1-cf92-c25c";"140801";"40";"16";"miasto";"stały";"Szkoła Podstawowa nr 7 im. VII Obwodu ""Obroża"" AK, ul. Królowej Jadwigi 7, 05-120 Legionowo";"m. Legionowo";"legionowski";"mazowieckie";"1325";"1464";"271";"1054";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1054";"0";"0";"1054";"20";"2";"18";"0";"1034";"581";"453"
"724e-506f-512b-eeeb-174f-0d67-8573-501e";"140801";"40";"17";"miasto";"stały";"Miejski Ośrodek Kultury im. Charlesa Spencera Chaplina, ul. Cypriana Kamila Norwida 10, 05-120 Legionowo";"m. Legionowo";"legionowski";"mazowieckie";"1599";"1829";"277";"1322";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1322";"0";"0";"1322";"52";"12";"40";"0";"1270";"721";"549"
"8cca-3f09-b997-1d75-f561-70c8-10dd-eaf5";"140801";"40";"18";"miasto";"stały";"""Scena 210"", ul. Husarska 12, 05-120 Legionowo";"m. Legionowo";"legionowski";"mazowieckie";"1699";"1873";"328";"1371";"2";"5";"1";"1";"0";"0";"0";"0";"1";"1372";"1";"0";"1372";"40";"10";"30";"0";"1332";"748";"584"
"427e-1c04-71b2-73c5-b706-36df-a312-403a";"140801";"40";"19";"miasto";"stały";"Szkoła Podstawowa Nr 3 im. Janusza Kusocińskiego, ul. Władysława Broniewskiego 7, 05-120 Legionowo";"m. Legionowo";"legionowski";"mazowieckie";"1413";"1563";"246";"1167";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1166";"0";"0";"1166";"28";"5";"23";"0";"1138";"637";"501"
"2148-78a5-f819-b76f-1255-ddf6-168a-29a1";"140801";"40";"20";"miasto";"stały";"Przedszkole Miejskie Nr 6 Tęczowa Szóstka, ul. Władysława Broniewskiego 3, 05-120 Legionowo";"m. Legionowo";"legionowski";"mazowieckie";"1331";"1464";"291";"1040";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1038";"0";"0";"1038";"39";"9";"30";"0";"999";"569";"430"
"b28a-7429-8b4f-5b4d-d7ba-98b0-b72b-7d24";"140801";"40";"21";"miasto";"stały";"Żłobek Miejski Motylkowy Świat, ul. ppłk. Edwarda Dietricha 1, 05-120 Legionowo";"m. Legionowo";"legionowski";"mazowieckie";"1510";"1663";"327";"1183";"1";"3";"1";"1";"0";"0";"0";"0";"1";"1183";"1";"0";"1183";"40";"16";"24";"0";"1143";"611";"532"
"8e7c-34f4-0ddd-1f70-91d8-9466-d7f4-acde";"140801";"40";"22";"miasto";"stały";"Powiatowy Zespół Szkół Ogólnokształcących, ul. marsz. Józefa Piłsudskiego 26, 05-120 Legionowo";"m. Legionowo";"legionowski";"mazowieckie";"1768";"1931";"388";"1380";"2";"9";"1";"1";"0";"0";"0";"0";"1";"1381";"1";"0";"1381";"48";"5";"43";"0";"1333";"772";"561"
"6faa-4a24-a18e-f550-179c-d936-cf51-8d3d";"140801";"40";"23";"miasto";"stały";"Powiatowy Zespół Szkół i Placówek Specjalnych, Jagiellońska 69, 05-120 Legionowo";"m. Legionowo";"legionowski";"mazowieckie";"1179";"1296";"212";"966";"2";"6";"1";"1";"0";"0";"0";"0";"1";"967";"1";"0";"967";"21";"8";"13";"0";"946";"556";"390"
"126a-929b-d784-740f-badc-0792-502b-a26b";"140801";"40";"24";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej ""Kombatant"", ul. Jagiellońska 71, 05-120 Legionowo";"m. Legionowo";"legionowski";"mazowieckie";"90";"86";"36";"54";"0";"0";"0";"0";"0";"0";"0";"0";"0";"54";"0";"0";"54";"5";"0";"5";"0";"49";"15";"34"
"3047-53e4-9945-6cf3-af42-e0c8-2dac-c6f0";"140802";"40";"1";"wieś";"stały";"Szkoła Podstawowa im. Armii Krajowej, Jabłonna Szkolna 2, 05-110 JABŁONNA";"gm. Jabłonna";"legionowski";"mazowieckie";"1620";"1811";"303";"1317";"2";"27";"0";"0";"0";"0";"0";"0";"0";"1318";"0";"0";"1318";"50";"12";"38";"0";"1268";"777";"491"
"eb47-e910-8815-19b4-afb2-5626-e960-d5f3";"140802";"40";"2";"wieś";"stały";"Szkoła Podstawowa im. Armii Krajowej, Jabłonna Szkolna 2, 05-110 JABŁONNA";"gm. Jabłonna";"legionowski";"mazowieckie";"1865";"2095";"281";"1584";"2";"9";"0";"0";"0";"0";"0";"0";"0";"1583";"0";"0";"1583";"49";"19";"30";"0";"1534";"994";"540"
"71eb-c8f8-f768-2247-fc56-674b-0a0d-4621";"140802";"40";"3";"wieś";"stały";"Szkoła Podstawowa im. Armii Krajowej, Jabłonna Szkolna 2, 05-110 JABŁONNA";"gm. Jabłonna";"legionowski";"mazowieckie";"1190";"1290";"244";"946";"3";"14";"0";"0";"0";"0";"0";"0";"0";"946";"0";"0";"946";"19";"9";"10";"0";"927";"658";"269"
"a403-7a05-2e4a-6502-6b4a-9b9e-ce93-9394";"140802";"40";"4";"wieś";"stały";"Szkoła Podstawowa im. Armii Krajowej, Jabłonna Szkolna 2, 05-110 JABŁONNA";"gm. Jabłonna";"legionowski";"mazowieckie";"1248";"1411";"265";"983";"2";"3";"0";"0";"0";"0";"0";"0";"0";"982";"0";"0";"982";"26";"3";"23";"0";"956";"504";"452"
