"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Michał Tomasz KAMIŃSKI";"Konstanty RADZIWIŁŁ"
"cdf3-f759-65f0-b2b6-68ac-e2ce-8b05-643f";"140501";"41";"1";"miasto";"stały";"Szkoła Podstawowa nr 2, ul. Literacka 20, 05-822 Milanówek";"m. Milanówek";"grodziski";"mazowieckie";"1350";"1462";"240";"1110";"2";"16";"0";"0";"0";"0";"0";"0";"0";"1110";"0";"0";"1110";"36";"10";"26";"0";"1074";"722";"352"
"6cd5-cd29-61ae-dfd8-cb5f-a81c-81c1-bf8d";"140501";"41";"2";"miasto";"stały";"Zespół Szkół nr 2 im. gen. J. Bema, ul. Wójtowska 3, 05-822 Milanówek";"m. Milanówek";"grodziski";"mazowieckie";"1618";"1799";"345";"1274";"3";"5";"32";"32";"0";"0";"0";"0";"32";"1305";"32";"0";"1305";"34";"4";"30";"0";"1271";"811";"460"
"b85e-7aa2-9b59-8c69-6f19-30ca-b5a6-7d68";"140501";"41";"3";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Żabie Oczko 1, 05-822 Milanówek";"m. Milanówek";"grodziski";"mazowieckie";"2201";"2219";"510";"1691";"3";"18";"2";"2";"0";"0";"0";"0";"2";"1693";"2";"0";"1693";"58";"16";"42";"0";"1635";"1031";"604"
"76c0-eabf-8934-cb9b-8aea-3899-0dc8-7232";"140501";"41";"4";"miasto";"stały";"Ochotnicza Straż Pożarna, ul. Warszawska 18, 05-822 Milanówek";"m. Milanówek";"grodziski";"mazowieckie";"1450";"1590";"230";"1220";"0";"14";"0";"0";"0";"0";"0";"0";"0";"1220";"0";"0";"1220";"33";"9";"24";"0";"1187";"751";"436"
"57a5-1ceb-4ff5-39b4-692a-5272-066a-599c";"140501";"41";"5";"miasto";"stały";"Klub G. S. M., ul. Brzozowa 7, 05-822 Milanówek";"m. Milanówek";"grodziski";"mazowieckie";"1784";"1998";"423";"1361";"7";"5";"2";"2";"0";"0";"0";"0";"2";"1362";"2";"0";"1362";"50";"12";"38";"0";"1312";"763";"549"
"3a1e-ca1f-71fc-9183-4c59-15e8-e7b9-dc4e";"140501";"41";"6";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Królewska 69, 05-822 Milanówek";"m. Milanówek";"grodziski";"mazowieckie";"1760";"1916";"295";"1465";"2";"15";"0";"0";"0";"0";"0";"0";"0";"1465";"0";"0";"1465";"44";"13";"31";"0";"1421";"847";"574"
"b281-8637-74e7-491f-33e0-6c77-01be-3d9e";"140501";"41";"7";"miasto";"stały";"Archiwum Dokumentacji Osobowej i Płacowej w Milanówku, Okrzei 1, 05-822 Milanówek";"m. Milanówek";"grodziski";"mazowieckie";"1560";"1724";"323";"1237";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1237";"0";"0";"1237";"43";"9";"34";"0";"1194";"683";"511"
"8bdb-c7ca-8d0a-9a61-61fd-344b-ec99-57d8";"140502";"41";"1";"miasto";"stały";"Centrum Kultury i Inicjatyw Obywatelskich w Podkowie Leśnej, ul. Świerkowa 1, 05-807 Podkowa Leśna";"m. Podkowa Leśna";"grodziski";"mazowieckie";"1610";"1587";"318";"1292";"3";"26";"0";"0";"0";"0";"0";"0";"0";"1292";"0";"0";"1292";"44";"12";"32";"0";"1248";"860";"388"
"c970-df25-8468-6260-f32b-de57-4869-19e4";"140502";"41";"2";"miasto";"stały";"Szkoła Podstawowa w Podkowie Leśnej, ul. Jana Pawła II 20, 05-807 Podkowa Leśna";"m. Podkowa Leśna";"grodziski";"mazowieckie";"1390";"1513";"171";"1219";"3";"20";"0";"0";"0";"0";"0";"0";"0";"1219";"0";"0";"1219";"34";"18";"16";"0";"1185";"786";"399"
"5ee5-9cad-2a73-df44-38c7-d614-d03b-c959";"140503";"41";"1";"wieś";"stały";"Szkoła Podstawowa w Baranowie, Armii Krajowej 49, 96-314 Baranów";"gm. Baranów";"grodziski";"mazowieckie";"1210";"1362";"414";"795";"1";"2";"0";"0";"0";"0";"0";"0";"0";"796";"0";"0";"796";"36";"15";"21";"0";"760";"328";"432"
