"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Barbara BORYS-DAMIĘCKA";"Monika Anna JARUZELSKA";"Lech Włodzimierz JAWORSKI"
"1a3a-b4e8-ce46-61ed-7066-c629-dd62-93f1";"146505";"43";"81";"miasto";"stały";"Szkoła Podstawowa Nr 70 z Oddziałami Integracyjnymi im. Bohaterów Monte Cassino, Mokotów ul. G. Bruna 11, 02-594 Warszawa";"Mokotów";"Warszawa";"mazowieckie";"1800";"2058";"102";"1697";"7";"26";"1";"1";"0";"0";"0";"0";"1";"1690";"1";"0";"1690";"34";"5";"29";"0";"1656";"965";"293";"398"
"3149-a269-9151-ab48-c55e-ab4f-542f-d34d";"146505";"43";"82";"miasto";"stały";"Szkoła Podstawowa Nr 70 z Oddziałami Integracyjnymi im. Bohaterów Monte Cassino, Mokotów ul. G. Bruna 11, 02-594 Warszawa";"Mokotów";"Warszawa";"mazowieckie";"2013";"2254";"79";"1934";"7";"64";"0";"0";"0";"0";"0";"0";"0";"1934";"0";"0";"1934";"29";"8";"21";"0";"1905";"1230";"338";"337"
"e082-ad10-18a0-81f9-b455-7ec0-a8eb-a65f";"146505";"43";"83";"miasto";"stały";"Instytut Hematologii i Transfuzjologii, Mokotów ul. Chocimska 5, 00-791 Warszawa";"Mokotów";"Warszawa";"mazowieckie";"1635";"1840";"247";"1388";"2";"28";"1";"1";"0";"0";"0";"0";"1";"1388";"1";"0";"1388";"15";"5";"10";"0";"1373";"741";"291";"341"
"3831-8e3d-5efe-8659-70a1-193e-6b4e-6aa6";"146505";"43";"84";"miasto";"stały";"Szkoła Podstawowa Nr 98 z Oddziałami Integracyjnymi im. Lucy Maud Montgomery, Mokotów A. Grottgera 22, 00-785 Warszawa";"Mokotów";"Warszawa";"mazowieckie";"1549";"1819";"263";"1286";"2";"25";"0";"0";"0";"0";"0";"0";"0";"1278";"0";"0";"1278";"33";"9";"24";"0";"1245";"863";"272";"110"
"223b-c631-3ab1-5786-7d27-ca06-9234-751a";"146505";"43";"85";"miasto";"stały";"Szkoła Podstawowa Nr 157 im. Adama Mickiewicza, Mokotów ul. Kazimierzowska 16, 02-589 Warszawa";"Mokotów";"Warszawa";"mazowieckie";"1129";"1289";"194";"935";"2";"20";"0";"0";"0";"0";"0";"0";"0";"935";"0";"0";"935";"29";"14";"15";"0";"906";"447";"210";"249"
"ff8c-16dd-e0e2-9c0d-afb9-508a-eda6-63d0";"146505";"43";"86";"miasto";"stały";"Zespół Szkół Odzieżowych, Fryzjerskich i Kosmetycznych Nr 22, Mokotów ul. Kazimierzowska 60, 02-543 Warszawa";"Mokotów";"Warszawa";"mazowieckie";"1072";"1281";"105";"967";"1";"34";"0";"0";"0";"0";"0";"0";"0";"967";"0";"0";"967";"19";"7";"12";"0";"948";"503";"217";"228"
"aaab-5548-3170-a687-827a-5523-3be8-0105";"146505";"43";"87";"miasto";"stały";"Centrum ""Łowicka"" Dom Kultury w Dzielnicy Mokotów m. st. Warszawy, Mokotów ul. Łowicka 21, 02-502 Warszawa";"Mokotów";"Warszawa";"mazowieckie";"2199";"2522";"161";"2038";"8";"63";"1";"1";"0";"0";"0";"0";"1";"2038";"1";"0";"2038";"44";"17";"27";"0";"1994";"1123";"401";"470"
"090e-11b0-ad0b-daf9-c0cf-3baf-de6c-4ebc";"146505";"43";"88";"miasto";"stały";"XLII Liceum Ogólnokształcące im. Marii Konopnickiej, Mokotów ul. A. J. Madalińskiego 22, 02-513 Warszawa";"Mokotów";"Warszawa";"mazowieckie";"1568";"1803";"153";"1415";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1415";"0";"0";"1415";"23";"21";"2";"0";"1392";"788";"298";"306"
"857c-b2f5-9615-60dc-aa89-9b8f-1021-7e0f";"146505";"43";"89";"miasto";"stały";"XLII Liceum Ogólnokształcące im. Marii Konopnickiej, Mokotów ul. A. J. Madalińskiego 22, 02-513 Warszawa";"Mokotów";"Warszawa";"mazowieckie";"1530";"1723";"156";"1374";"2";"38";"2";"2";"0";"0";"0";"0";"2";"1374";"2";"0";"1374";"24";"7";"17";"0";"1350";"744";"312";"294"
"adc4-951b-389a-6889-0381-484c-16d5-4f66";"146505";"43";"90";"miasto";"stały";"Szkoła Podstawowa Nr 85 im. Benito Juareza, Mokotów ul. L. Narbutta 14, 02-541 Warszawa";"Mokotów";"Warszawa";"mazowieckie";"2389";"2797";"258";"2130";"1";"73";"1";"1";"0";"0";"0";"0";"1";"2131";"1";"0";"2131";"39";"12";"27";"0";"2092";"1017";"509";"566"
"d339-af30-a252-3379-aa2e-4a3d-a035-4a4f";"146505";"43";"91";"miasto";"stały";"LXVIII Liceum Ogólnokształcące im. Tytusa Chałubińskiego, Mokotów ul. L. Narbutta 65/71, 02-524 Warszawa";"Mokotów";"Warszawa";"mazowieckie";"1349";"1520";"179";"1170";"2";"17";"0";"0";"0";"0";"0";"0";"0";"1169";"0";"0";"1169";"32";"3";"29";"0";"1137";"619";"246";"272"
"04f0-d1eb-692c-be16-895e-053b-c309-42cd";"146505";"43";"92";"miasto";"stały";"Przedszkole Specjalne Nr 393, Mokotów ul. Puławska 97, 02-595 Warszawa";"Mokotów";"Warszawa";"mazowieckie";"630";"713";"69";"561";"1";"7";"0";"0";"0";"0";"0";"0";"0";"561";"0";"0";"561";"12";"5";"7";"0";"549";"270";"157";"122"
"075e-988c-4c05-9db2-57e1-9466-da63-337f";"146505";"43";"93";"miasto";"stały";"Państwowy Instytut Geologiczny-Państwowy Instytut Badawczy, Mokotów ul. Rakowiecka 4, 02-519 Warszawa";"Mokotów";"Warszawa";"mazowieckie";"972";"1007";"142";"830";"5";"57";"1";"1";"0";"0";"0";"0";"1";"830";"1";"0";"830";"27";"13";"14";"0";"803";"398";"169";"236"
"3a47-a7fb-5353-ed99-868d-aa87-1cd0-71e1";"146505";"43";"94";"miasto";"stały";"Przedszkole Nr 142, Mokotów ul. J. Dąbrowskiego 25, 02-561 Warszawa";"Mokotów";"Warszawa";"mazowieckie";"2249";"2707";"365";"1884";"8";"36";"0";"0";"0";"0";"0";"0";"0";"1884";"0";"0";"1884";"43";"22";"21";"0";"1841";"977";"367";"497"
"18a7-02c3-d40f-8841-de84-0087-4876-03e9";"146505";"43";"95";"miasto";"stały";"VI Liceum Ogólnokształcące im. Tadeusza Reytana, Mokotów ul. Wiktorska 30/32, 02-587 Warszawa";"Mokotów";"Warszawa";"mazowieckie";"1440";"1605";"271";"1169";"0";"19";"0";"0";"0";"0";"0";"0";"0";"1166";"0";"0";"1166";"22";"7";"15";"0";"1144";"535";"284";"325"
"b139-34f4-4cda-35ce-36b6-3295-d619-a8df";"146505";"43";"96";"miasto";"stały";"Szkoła Podstawowa Nr 69, Mokotów ul. Wiktorska 73, 02-582 Warszawa";"Mokotów";"Warszawa";"mazowieckie";"1110";"1269";"140";"970";"2";"19";"0";"0";"0";"0";"0";"0";"0";"970";"0";"0";"970";"23";"8";"15";"0";"947";"497";"204";"246"
"0d8b-2a9a-9aee-e65a-c55b-22e1-4e12-de5e";"146505";"43";"97";"miasto";"stały";"XXVIII Liceum Ogólnokształcące im. Jana Kochanowskiego, Mokotów ul. Wiktorska 99, 02-575 Warszawa";"Mokotów";"Warszawa";"mazowieckie";"1550";"1764";"264";"1287";"5";"28";"0";"0";"0";"0";"0";"0";"0";"1285";"0";"0";"1285";"30";"10";"20";"0";"1255";"660";"266";"329"
"f86c-1b04-5485-d90a-2659-465d-62c2-069f";"146505";"43";"98";"miasto";"stały";"LXVIII Liceum Ogólnokształcące im. Tytusa Chałubińskiego, Mokotów ul. L. Narbutta 31, 02-536 Warszawa";"Mokotów";"Warszawa";"mazowieckie";"1019";"1142";"150";"869";"2";"19";"2";"2";"0";"1";"0";"0";"2";"870";"1";"0";"870";"14";"8";"6";"0";"856";"441";"165";"250"
"37df-f1ee-2dd2-9848-51dc-38f7-1cbb-a286";"146505";"43";"99";"miasto";"stały";"Przedszkole Nr 330 ""Pod Modrzewiem"", Mokotów al. Niepodległości 17, 02-653 Warszawa";"Mokotów";"Warszawa";"mazowieckie";"2387";"2798";"211";"2175";"0";"35";"0";"0";"0";"0";"0";"0";"0";"2177";"0";"8";"2169";"48";"17";"31";"0";"2121";"1029";"469";"623"
"a848-aa29-5f95-04c6-a84b-227f-d597-f5b5";"146505";"43";"100";"miasto";"stały";"XLIII Liceum Ogólnokształcące im. Kazimierza Wielkiego, Mokotów al. Niepodległości 27, 02-653 Warszawa";"Mokotów";"Warszawa";"mazowieckie";"1739";"1965";"264";"1475";"1";"45";"1";"1";"0";"0";"0";"0";"1";"1476";"1";"0";"1476";"20";"5";"15";"0";"1456";"772";"403";"281"
"92e3-dac1-7ad6-7816-39b8-f8f2-c868-5ea8";"146505";"43";"101";"miasto";"stały";"XLIII Liceum Ogólnokształcące im. Kazimierza Wielkiego, Mokotów al. Niepodległości 27, 02-653 Warszawa";"Mokotów";"Warszawa";"mazowieckie";"2350";"2771";"92";"2258";"1";"48";"1";"1";"0";"0";"0";"0";"1";"2245";"1";"0";"2245";"55";"13";"42";"0";"2190";"1192";"408";"590"
"d2ae-81ee-c264-a7d6-64e6-b538-e1ae-2e75";"146505";"43";"102";"miasto";"stały";"Zespół Szkół Nr 39 im. prof. Edmunda Jankowskiego, Mokotów ul. Bełska 1/3, 02-638 Warszawa";"Mokotów";"Warszawa";"mazowieckie";"1321";"1509";"61";"1259";"1";"36";"1";"1";"0";"0";"0";"0";"1";"1260";"1";"0";"1260";"29";"10";"19";"0";"1231";"688";"221";"322"
"7a24-336a-97e2-8885-08b8-f5b0-dd1e-30e4";"146505";"43";"103";"miasto";"stały";"Szkoła Podstawowa nr 119 im. 3 Berlińskiego Pułku Piechoty, Mokotów ul. Pułku AK „Baszta” 3, 02-649 Warszawa";"Mokotów";"Warszawa";"mazowieckie";"1427";"1739";"222";"1205";"2";"19";"1";"1";"0";"0";"0";"0";"1";"1206";"1";"0";"1206";"19";"6";"13";"0";"1187";"552";"301";"334"
"b100-5d0b-c2e3-2a39-d5f5-e3e1-742e-0744";"146505";"43";"104";"miasto";"stały";"Szkoła Podstawowa Nr 202 im. 34 Pułku Strzelców Budziszyńskich, Mokotów ul. J. Bytnara „Rudego"" 19, 02-645 Warszawa";"Mokotów";"Warszawa";"mazowieckie";"1620";"1850";"258";"1362";"1";"37";"1";"1";"0";"0";"0";"0";"1";"1363";"1";"0";"1363";"35";"15";"20";"0";"1328";"628";"321";"379"
"695e-e400-537f-4894-8abe-a1db-c1ed-ec51";"146505";"43";"105";"miasto";"stały";"Szkoła Podstawowa Nr 146 im. Janusza Korczaka, Mokotów ul. Domaniewska 33, 02-672 Warszawa";"Mokotów";"Warszawa";"mazowieckie";"1645";"1999";"45";"1600";"0";"32";"0";"0";"0";"0";"0";"0";"0";"1599";"0";"0";"1599";"30";"11";"19";"0";"1569";"827";"346";"396"
"c611-6c54-0cb5-ba54-da42-7154-6a31-18cd";"146505";"43";"106";"miasto";"stały";"Szkoła Podstawowa Nr 146 im. Janusza Korczaka, Mokotów ul. Domaniewska 33, 02-672 Warszawa";"Mokotów";"Warszawa";"mazowieckie";"1600";"1826";"167";"1429";"1";"28";"0";"0";"0";"0";"0";"0";"0";"1429";"0";"0";"1429";"21";"10";"11";"0";"1408";"672";"291";"445"
"fd53-5e5a-f01e-d355-045d-34cd-af6b-747f";"146505";"43";"107";"miasto";"stały";"Szkoła Podstawowa Specjalna nr 394, Mokotów ul. M. Gandhiego 13, 02-645 Warszawa";"Mokotów";"Warszawa";"mazowieckie";"1510";"1793";"259";"1251";"0";"19";"1";"1";"0";"0";"0";"0";"1";"1250";"1";"0";"1250";"20";"8";"12";"0";"1230";"617";"336";"277"
"49bc-2b3d-6e76-7f20-1384-e931-367b-d016";"146505";"43";"108";"miasto";"stały";"Przedszkole Nr 145 ""Czterolistna Koniczynka"", Mokotów ul. S. Goszczyńskiego 17A, 02-610 Warszawa";"Mokotów";"Warszawa";"mazowieckie";"890";"1089";"114";"776";"1";"22";"0";"0";"0";"0";"0";"0";"0";"776";"0";"0";"776";"15";"5";"10";"0";"761";"417";"166";"178"
"b9d7-9b90-2e1e-4696-f21e-0258-c075-1517";"146505";"43";"109";"miasto";"stały";"Zespół Szkół Nr 3 im. 2 Armii Wojska Polskiego, Mokotów ul. F. Joliot-Curie 13, 02-646 Warszawa";"Mokotów";"Warszawa";"mazowieckie";"1550";"1840";"198";"1352";"1";"24";"2";"2";"0";"0";"0";"0";"2";"1352";"2";"0";"1352";"43";"11";"32";"0";"1309";"602";"334";"373"
"93ea-f557-9cfd-301d-4c9b-5b80-48b4-5560";"146505";"43";"110";"miasto";"stały";"XLIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Johanna Wolfganga Goethego, Mokotów ul. F. Joliot-Curie 14, 02-646 Warszawa";"Mokotów";"Warszawa";"mazowieckie";"1508";"1845";"204";"1303";"3";"27";"1";"1";"0";"0";"0";"0";"1";"1305";"1";"0";"1305";"26";"10";"16";"0";"1279";"604";"308";"367"
"3bf3-5fe1-4944-d8b0-3fe5-23ee-26c7-ee4d";"146505";"43";"111";"miasto";"stały";"Przedszkole Nr 189 ""Na Wierzbnie"", Mokotów ul. T. Lenartowicza 27, 02-614 Warszawa";"Mokotów";"Warszawa";"mazowieckie";"1240";"1481";"214";"1026";"2";"12";"0";"0";"0";"0";"0";"0";"0";"1026";"0";"0";"1026";"19";"8";"11";"0";"1007";"545";"235";"227"
"9566-8a89-c901-ec51-c65e-894e-113b-d394";"146505";"43";"112";"miasto";"stały";"Mokotowskie Centrum Integracji Mieszkańców, Mokotów ul. J. P. Woronicza 44A, 02-640 Warszawa";"Mokotów";"Warszawa";"mazowieckie";"1568";"1828";"311";"1256";"2";"16";"0";"0";"0";"0";"0";"0";"0";"1256";"0";"0";"1256";"29";"12";"17";"0";"1227";"584";"268";"375"
"0b36-2efe-ef70-b2c7-fda2-a3e0-0843-49f8";"146505";"43";"113";"miasto";"stały";"Szkoła Podstawowa Nr 205 im. Żołnierzy Powstania Warszawskiego, Mokotów ul. Spartańska 4, 02-637 Warszawa";"Mokotów";"Warszawa";"mazowieckie";"2257";"2618";"82";"2187";"1";"76";"0";"0";"0";"0";"0";"0";"0";"2189";"0";"0";"2189";"38";"17";"21";"0";"2151";"1276";"394";"481"
"b597-6eee-42aa-5ed9-e25f-c69c-223c-1707";"146505";"43";"114";"miasto";"stały";"Szkoła Podstawowa Nr 205 im. Żołnierzy Powstania Warszawskiego, Mokotów ul. Spartańska 4, 02-637 Warszawa";"Mokotów";"Warszawa";"mazowieckie";"1670";"1989";"206";"1564";"2";"28";"0";"0";"0";"0";"0";"0";"0";"1564";"0";"0";"1564";"35";"22";"13";"0";"1529";"874";"291";"364"
