"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Cezary Paweł KASPRZAK";"Marek RUDNICKI";"Kazimierz Michał UJAZDOWSKI"
"6844-4baa-9b09-fa90-feeb-8a14-cc5d-2543";"146503";"44";"850";"miasto";"stały";"Szkoła Podstawowa nr 356, Białołęka Głębocka 66, 03-287 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"1798";"2064";"155";"1643";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1641";"0";"0";"1641";"28";"12";"16";"0";"1613";"257";"448";"908"
"dc47-7b75-1cd6-2697-e54b-cb68-e726-b8d8";"146503";"44";"851";"miasto";"stały";"Szkoła Podstawowa Nr 118, Białołęka Myśliborska 25, 03-185 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"2389";"2799";"89";"2300";"0";"53";"0";"0";"0";"0";"0";"0";"0";"2300";"0";"0";"2300";"49";"22";"27";"0";"2251";"408";"555";"1288"
"672c-f55f-b865-264d-142a-8a59-63a9-c1a0";"146503";"44";"852";"miasto";"stały";"CV Liceum Ogólnokształcące, Białołęka ul. Van Gogha 1, 03-188 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"820";"903";"119";"701";"0";"4";"1";"1";"0";"0";"0";"0";"1";"702";"1";"1";"701";"10";"3";"7";"0";"691";"82";"252";"357"
"0c91-58ef-2c9f-0c28-5635-934f-da34-0818";"146503";"44";"853";"miasto";"stały";"Szkoła Podstawowa Nr 314, Białołęka Porajów 3, 03-188 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"1480";"1735";"168";"1312";"1";"16";"0";"0";"0";"0";"0";"0";"0";"1312";"0";"0";"1312";"39";"16";"23";"0";"1273";"197";"388";"688"
"3180-9d50-1a5f-adcc-a7cc-b1ea-4498-617e";"146503";"44";"854";"miasto";"stały";"CV Liceum Ogólnokształcące, Białołęka ul. Van Gogha 1, 03-188 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"1799";"2032";"155";"1644";"1";"7";"0";"0";"0";"0";"0";"0";"0";"1644";"0";"0";"1644";"34";"9";"25";"0";"1610";"254";"354";"1002"
"fcbb-8120-cd1e-fb7d-ebe8-7995-f7c0-8d7b";"146503";"44";"855";"miasto";"stały";"CV Liceum Ogólnokształcące, Białołęka ul. Van Gogha 1, 03-188 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"900";"1016";"104";"796";"0";"17";"0";"0";"0";"0";"0";"0";"0";"796";"0";"0";"796";"19";"4";"15";"0";"777";"116";"312";"349"
"28bf-17e9-089a-a403-e232-171a-165d-6dd2";"146503";"44";"856";"miasto";"stały";"Szkoła Podstawowa Nr 314, Białołęka ul. Porajów 3, 03-188 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"788";"892";"80";"708";"0";"13";"1";"1";"0";"0";"0";"0";"1";"709";"1";"0";"709";"7";"3";"4";"0";"702";"78";"277";"347"
"ea6c-a3cd-881f-94bf-f0f1-6c2d-0851-7991";"146503";"44";"857";"miasto";"stały";"Szkoła Podstawowa Nr 314, Białołęka ul. Porajów 3, 03-188 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"879";"971";"172";"707";"0";"6";"0";"0";"0";"0";"0";"0";"0";"707";"0";"0";"707";"14";"3";"11";"0";"693";"81";"307";"305"
"ed2a-0eae-e830-9d6a-b371-f583-ac86-14c9";"146503";"44";"858";"miasto";"stały";"Szkoła Podstawowa Nr 314, Białołęka Porajów 3, 03-188 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"939";"1031";"126";"813";"0";"5";"0";"0";"0";"0";"0";"0";"0";"813";"0";"0";"813";"10";"2";"8";"0";"803";"105";"280";"418"
"929b-1f03-4693-3eb3-9aea-1b79-95c3-7fe1";"146503";"44";"859";"miasto";"stały";"Szkoła Podstawowa nr 31, Białołęka ul. Kobiałka 49, 03-044 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"1540";"1775";"152";"1388";"0";"13";"0";"0";"0";"0";"0";"0";"0";"1388";"0";"0";"1388";"24";"8";"16";"0";"1364";"748";"410";"206"
"0f74-4e0a-18b4-7676-11cb-8d0c-326e-bb5d";"146503";"44";"860";"miasto";"stały";"Szkoła Podstawowa nr 231, Białołęka ul. Juranda ze Spychowa 10, 03-257 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"2652";"2875";"339";"2313";"1";"25";"0";"0";"0";"0";"0";"0";"0";"2312";"0";"0";"2312";"46";"15";"31";"0";"2266";"299";"616";"1351"
"6451-7966-3318-1deb-90ae-ef1d-7281-9122";"146503";"44";"861";"miasto";"stały";"Szkoła Podstawowa Nr 356, Białołęka ul. Głębocka 66, 03-287 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"1522";"1580";"257";"1265";"0";"22";"0";"0";"0";"0";"0";"0";"0";"1265";"0";"0";"1265";"21";"6";"15";"0";"1244";"182";"303";"759"
"0dfa-067e-1c4c-a17e-1834-fb1e-8215-ce88";"146503";"44";"862";"miasto";"stały";"Szkoła Podstawowa Nr 118, Białołęka ul. Leszczynowa 5, 03-197 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"2890";"3307";"408";"2480";"0";"49";"0";"0";"0";"0";"0";"0";"0";"2482";"0";"1";"2481";"33";"8";"25";"0";"2448";"389";"784";"1275"
"b105-fb1d-d643-e22a-e3e4-53d1-7f3f-77e0";"146503";"44";"863";"miasto";"stały";"Szkoła Podstawowa Nr 112, Białołęka ul. Zaułek 34, 03-289 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"2630";"2889";"563";"2067";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2065";"0";"0";"2065";"36";"12";"24";"0";"2029";"305";"649";"1075"
"3b2e-c6f2-5391-fc41-5b97-70ce-22c3-0ae8";"146503";"44";"864";"miasto";"stały";"Szkoła Podstawowa Nr 314, Białołęka ul. Porajów 3, 03-188 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"1160";"1253";"206";"954";"2";"3";"0";"0";"0";"0";"0";"0";"0";"953";"0";"0";"953";"20";"5";"15";"0";"933";"128";"319";"486"
"906e-6351-5218-3ba5-b25a-1f25-ec7c-a20d";"146503";"44";"865";"miasto";"stały";"Szkoła Podstawowa Nr 344, Białołęka Erazma z Zakroczymia 15, 03-185 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"1169";"1404";"43";"1126";"0";"24";"0";"0";"0";"0";"0";"0";"0";"1126";"0";"0";"1126";"31";"9";"22";"0";"1095";"166";"298";"631"
"292d-d07b-a0c0-6066-b717-3d52-604e-b1a9";"146503";"44";"866";"miasto";"stały";"Przedszkole nr 65, Białołęka Pancera 3, 03-187 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"800";"883";"97";"703";"0";"12";"0";"0";"0";"0";"0";"0";"0";"703";"0";"0";"703";"19";"11";"8";"0";"684";"90";"284";"310"
"c3a0-c525-fa5b-50fe-bc1e-dfab-cb9e-de66";"146503";"44";"867";"miasto";"stały";"Przedszkole nr 65, Białołęka ul. Pancera 3, 03-187 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"1050";"1162";"131";"919";"0";"4";"0";"0";"0";"0";"0";"0";"0";"919";"0";"0";"919";"12";"2";"10";"0";"907";"136";"292";"479"
"33f7-eca6-9e79-0617-8c8f-4ecc-0e55-67dd";"146503";"44";"868";"miasto";"stały";"Szkoła Podstawowa Nr 344, Białołęka Erazma z Zakroczymia 15, 03-185 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"1402";"1518";"200";"1202";"0";"11";"0";"0";"0";"0";"0";"0";"0";"1202";"0";"0";"1202";"14";"5";"9";"0";"1188";"191";"388";"609"
"c889-4459-1aef-a6ec-48e1-9506-0819-7781";"146503";"44";"869";"miasto";"stały";"Szkoła Podstawowa Nr 344, Białołęka Erazma z Zakroczymia 15, 03-185 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"1350";"1502";"184";"1166";"0";"11";"1";"1";"0";"0";"0";"0";"1";"1160";"1";"0";"1160";"18";"11";"7";"0";"1142";"154";"433";"555"
