"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Maria Zofia KOC";"Mirosław KRUSIEWICZ";"Krzysztof Paweł PROKOPCZYK";"Leszek Bogdan SZYMAŃSKI"
"2d22-ed63-2766-7d3b-82f4-ef9e-7372-4fd1";"140301";"47";"1";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 1, Aleja Żwirki i Wigury 16, 08-400 Garwolin";"m. Garwolin";"garwoliński";"mazowieckie";"819";"893";"181";"638";"0";"8";"0";"0";"0";"0";"0";"0";"0";"638";"0";"0";"638";"9";"2";"7";"0";"629";"335";"233";"24";"37"
"22cf-5d63-638a-05a4-3878-ff97-b5de-e4e1";"140301";"47";"2";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 1, Aleja Żwirki i Wigury 16, 08-400 Garwolin";"m. Garwolin";"garwoliński";"mazowieckie";"707";"780";"244";"463";"0";"0";"0";"0";"0";"0";"0";"0";"0";"463";"0";"0";"463";"9";"2";"7";"0";"454";"263";"143";"19";"29"
"185d-e70a-ec5b-13e1-4b49-0425-6ec5-de2f";"140301";"47";"3";"miasto";"stały";"Centrum Sportu i Kultury, Nadwodna 1, 08-400 Garwolin";"m. Garwolin";"garwoliński";"mazowieckie";"532";"588";"110";"422";"1";"9";"0";"0";"0";"0";"0";"0";"0";"422";"0";"0";"422";"4";"1";"3";"0";"418";"242";"128";"30";"18"
"dbd9-f65a-0e31-3c45-309c-74c8-72f4-3dd6";"140301";"47";"4";"miasto";"stały";"Centrum Sportu i Kultury, Nadwodna 1, 08-400 Garwolin";"m. Garwolin";"garwoliński";"mazowieckie";"770";"842";"222";"548";"0";"5";"0";"0";"0";"0";"0";"0";"0";"548";"0";"0";"548";"4";"4";"0";"0";"544";"279";"201";"34";"30"
"db93-574f-d670-ca82-a913-8417-98ec-e3d7";"140301";"47";"5";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 2, Aleja Legionów 21, 08-400 Garwolin";"m. Garwolin";"garwoliński";"mazowieckie";"977";"1071";"200";"777";"0";"0";"0";"0";"0";"0";"0";"0";"0";"776";"0";"0";"776";"11";"3";"8";"0";"765";"452";"256";"34";"23"
"b366-298a-4e48-c43b-779a-26b9-0829-980c";"140301";"47";"6";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 2, Aleja Legionów 21, 08-400 Garwolin";"m. Garwolin";"garwoliński";"mazowieckie";"937";"1023";"275";"662";"2";"1";"0";"0";"0";"0";"0";"0";"0";"662";"0";"0";"662";"11";"6";"5";"0";"651";"363";"222";"37";"29"
"a80b-af1f-2719-bb3f-7fef-0306-ff92-5776";"140301";"47";"7";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 2, Aleja Legionów 21, 08-400 Garwolin";"m. Garwolin";"garwoliński";"mazowieckie";"856";"943";"244";"612";"2";"6";"0";"0";"0";"0";"0";"0";"0";"612";"0";"0";"612";"8";"4";"4";"0";"604";"346";"194";"27";"37"
"df73-bcf5-3c7b-d3cd-ae43-7e58-45fd-8756";"140301";"47";"8";"miasto";"stały";"I Liceum Ogólnokształcące, Długa 35, 08-400 Garwolin";"m. Garwolin";"garwoliński";"mazowieckie";"1080";"1181";"254";"826";"0";"0";"0";"0";"0";"0";"0";"0";"0";"826";"0";"0";"826";"8";"4";"4";"0";"818";"447";"264";"53";"54"
"0093-0742-e92d-584a-5d32-e00e-b4b9-d54d";"140301";"47";"9";"miasto";"stały";"I Liceum Ogólnokształcące, Długa 35, 08-400 Garwolin";"m. Garwolin";"garwoliński";"mazowieckie";"800";"878";"168";"632";"2";"4";"0";"0";"0";"0";"0";"0";"0";"631";"0";"0";"631";"16";"7";"9";"0";"615";"351";"217";"25";"22"
"a11a-8d7d-175d-feae-feef-4d26-5815-269b";"140301";"47";"10";"miasto";"stały";"I Liceum Ogólnokształcące, Długa 35, 08-400 Garwolin";"m. Garwolin";"garwoliński";"mazowieckie";"861";"943";"213";"648";"1";"6";"0";"0";"0";"0";"0";"0";"0";"648";"0";"0";"648";"18";"6";"12";"0";"630";"352";"214";"41";"23"
