"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Stanisław KARCZEWSKI";"Leszek Janusz PRZYBYTNIAK"
"7b92-9a99-fe6a-f23d-e8c7-d757-bf1c-2a32";"140101";"49";"1";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 1 im. Komisji Edukacji Narodowej w Białobrzegach, ul. Rzemieślnicza 21/31, 26-800 Białobrzegi";"gm. Białobrzegi";"białobrzeski";"mazowieckie";"1390";"1496";"375";"1015";"1";"5";"0";"0";"0";"0";"0";"0";"0";"1015";"0";"0";"1015";"29";"9";"20";"0";"986";"512";"474"
"9523-c18c-c56c-136e-d69f-5a3f-7a89-dcc0";"140101";"49";"2";"miasto";"stały";"Publiczne Przedszkole Nr 2 im. Kubusia Puchatka w Białobrzegach, ul. Marii Konopnickiej 1, 26-800 Białobrzegi";"gm. Białobrzegi";"białobrzeski";"mazowieckie";"1632";"1753";"466";"1166";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1166";"0";"1";"1165";"33";"7";"26";"0";"1132";"643";"489"
"efcb-fbb0-8cf6-127c-65ff-532e-0eab-c54b";"140101";"49";"3";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 1 im. Komisji Edukacji Narodowej w Białobrzegach, ul. Rzemieślnicza 21/31, 26-800 Białobrzegi";"gm. Białobrzegi";"białobrzeski";"mazowieckie";"1240";"1363";"406";"834";"0";"11";"0";"0";"0";"0";"0";"0";"0";"834";"0";"0";"834";"18";"10";"8";"0";"816";"537";"279"
"42f3-be39-57ba-d592-85de-1a6c-f683-9450";"140101";"49";"4";"miasto";"stały";"Miejsko-Gminny Ośrodek Kultury w Białobrzegach, ul. Kościelna 31, 26-800 Białobrzegi";"gm. Białobrzegi";"białobrzeski";"mazowieckie";"1650";"1770";"467";"1183";"1";"9";"0";"0";"0";"0";"0";"0";"0";"1181";"0";"0";"1181";"31";"3";"28";"0";"1150";"676";"474"
"7cfe-27d8-4be1-6591-61a0-f69a-fcd3-a032";"140101";"49";"5";"wieś";"stały";"Publiczna Szkoła Podstawowa w Suchej, Sucha ul. Szlachecka 88A, 26-800 Białobrzegi";"gm. Białobrzegi";"białobrzeski";"mazowieckie";"1450";"1623";"457";"993";"1";"1";"0";"0";"0";"0";"0";"0";"0";"993";"0";"0";"993";"18";"5";"13";"0";"975";"625";"350"
"b28f-0234-0407-3f9c-7284-41a4-7146-0b2a";"140101";"49";"6";"wieś";"oddział zewnętrzny aresztu śledczego";"Oddział Zewnętrzny w Stawiszynie, Stawiszyn 31C, 26-800 Białobrzegi";"gm. Białobrzegi";"białobrzeski";"mazowieckie";"186";"171";"82";"104";"0";"0";"0";"0";"0";"0";"0";"0";"0";"104";"0";"0";"104";"4";"0";"4";"0";"100";"7";"93"
"4e8a-464e-2303-551b-db43-33b3-f76f-8dea";"140102";"49";"1";"wieś";"stały";"Urząd Gminy w Promnie, Promna-Kolonia 5, 26-803 Promna";"gm. Promna";"białobrzeski";"mazowieckie";"1883";"2071";"681";"1202";"3";"14";"0";"0";"0";"0";"0";"0";"0";"1202";"0";"0";"1202";"32";"10";"22";"0";"1170";"706";"464"
"9cbf-cc8c-3613-01ce-544e-8a2a-a05f-19e8";"140102";"49";"2";"wieś";"stały";"Remiza OSP w Olszamach, Olszamy 23, 05-610 Goszczyn";"gm. Promna";"białobrzeski";"mazowieckie";"790";"847";"278";"512";"1";"1";"0";"0";"0";"0";"0";"0";"0";"512";"0";"0";"512";"10";"2";"8";"0";"502";"317";"185"
"adf2-2610-7122-16bf-acb3-f954-95c6-9d2f";"140102";"49";"3";"wieś";"stały";"Świetlica wiejska, Lisów 4A, 05-610 Goszczyn";"gm. Promna";"białobrzeski";"mazowieckie";"662";"723";"276";"386";"0";"0";"0";"0";"0";"0";"0";"0";"0";"386";"0";"0";"386";"10";"1";"9";"0";"376";"257";"119"
"efdd-06b1-6181-e1ee-88ea-f912-33e6-31bf";"140102";"49";"4";"wieś";"stały";"Szkoła Podstawowa w Przybyszewie, Przybyszew ul. Władysława Rosłońca 5, 26-803 Promna";"gm. Promna";"białobrzeski";"mazowieckie";"757";"825";"260";"497";"0";"4";"0";"0";"0";"0";"0";"0";"0";"497";"0";"0";"497";"14";"4";"10";"0";"483";"362";"121"
"e4eb-7e0e-6b19-3046-a747-299b-14b6-73c0";"140103";"49";"1";"wieś";"stały";"Świetlica Wiejska w Radzanowie, Radzanów 25, 26-807 Radzanów";"gm. Radzanów";"białobrzeski";"mazowieckie";"1505";"1657";"490";"1015";"2";"5";"0";"0";"0";"0";"0";"0";"0";"1015";"0";"0";"1015";"28";"3";"25";"0";"987";"725";"262"
"1d83-96bf-64dd-2128-c1c5-2b5f-817d-70bc";"140103";"49";"2";"wieś";"stały";"Świetlica Wiejska w Bukównie, Bukówno 31, 26-807 Radzanów";"gm. Radzanów";"białobrzeski";"mazowieckie";"1240";"1361";"397";"843";"0";"0";"0";"0";"0";"0";"0";"0";"0";"843";"0";"0";"843";"24";"9";"15";"0";"819";"629";"190"
"803a-c19c-21a1-3ff1-3ce1-0abb-99a0-328e";"140104";"49";"1";"wieś";"stały";"Publiczna Szkoła Podstawowa w Starej Błotnicy, Stara Błotnica 49, 26-806 Stara Błotnica";"gm. Stara Błotnica";"białobrzeski";"mazowieckie";"1692";"1873";"572";"1120";"2";"2";"0";"0";"0";"0";"0";"0";"0";"1120";"0";"0";"1120";"21";"4";"17";"0";"1099";"847";"252"
"d8c6-73f4-dad1-7af3-3975-fa0b-831f-057a";"140104";"49";"2";"wieś";"stały";"Publiczna Szkoła Podstawowa w Starym Goździe, Stary Gózd 90, 26-806 Stara Błotnica";"gm. Stara Błotnica";"białobrzeski";"mazowieckie";"1700";"1875";"573";"1127";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1127";"0";"0";"1127";"17";"6";"11";"0";"1110";"941";"169"
"19d9-f1e6-8886-29a9-3eec-1b9b-2c1b-76d8";"140104";"49";"3";"wieś";"stały";"Publiczna Szkoła Podstawowa w Kaszowie, Kaszów 37, 26-806 Stara Błotnica";"gm. Stara Błotnica";"białobrzeski";"mazowieckie";"435";"473";"149";"286";"0";"0";"0";"0";"0";"0";"0";"0";"0";"286";"0";"0";"286";"2";"0";"2";"0";"284";"242";"42"
"df93-e18f-603a-7067-076c-7a24-ec44-e123";"140105";"49";"1";"wieś";"stały";"Publiczna Szkoła Podstawowa w Bobrku, Bobrek-Kolonia 24, 26-804 Stromiec";"gm. Stromiec";"białobrzeski";"mazowieckie";"448";"462";"154";"294";"0";"1";"0";"0";"0";"0";"0";"0";"0";"294";"0";"0";"294";"6";"0";"6";"0";"288";"237";"51"
"b574-5965-1488-7bcb-95c4-99a4-a9d3-882a";"140105";"49";"2";"wieś";"stały";"Publiczna Szkoła Podstawowa w Bożem, Boże 1, 26-804 Stromiec";"gm. Stromiec";"białobrzeski";"mazowieckie";"630";"705";"245";"385";"1";"5";"0";"0";"0";"0";"0";"0";"0";"385";"0";"0";"385";"15";"8";"7";"0";"370";"279";"91"
"1a11-d8f1-7ed1-e8f6-7cce-e9fb-17c5-dd06";"140105";"49";"3";"wieś";"stały";"Świetlica Wiejska w Dobieszynie, Dobieszyn Leśna 4B, 26-804 Stromiec";"gm. Stromiec";"białobrzeski";"mazowieckie";"845";"899";"378";"467";"0";"1";"1";"1";"0";"0";"0";"0";"1";"468";"1";"0";"468";"12";"4";"8";"0";"456";"348";"108"
"394f-ec56-c567-fcd9-bf24-b3f7-5b8b-1254";"140105";"49";"4";"wieś";"stały";"Publiczna Szkoła Podstawowa w Podlesiu Dużym, Podlesie Duże 71, 26-804 Stromiec";"gm. Stromiec";"białobrzeski";"mazowieckie";"553";"619";"264";"289";"1";"3";"0";"0";"0";"0";"0";"0";"0";"289";"0";"0";"289";"10";"0";"10";"0";"279";"245";"34"
"0775-859a-ec53-a79c-07f9-23a6-4510-2a87";"140105";"49";"5";"wieś";"stały";"Publiczna Szkoła Podstawowa w Stromcu, ul. Radomska 27, 26-804 Stromiec";"gm. Stromiec";"białobrzeski";"mazowieckie";"870";"933";"420";"449";"0";"8";"0";"0";"0";"0";"0";"0";"0";"450";"0";"0";"450";"20";"2";"18";"0";"430";"309";"121"
"e0f6-f5c7-8b12-77a6-80da-ee8f-fa1b-34b6";"140105";"49";"6";"wieś";"stały";"Publiczna Szkoła Podstawowa w Stromcu, ul. Radomska 27, 26-804 Stromiec";"gm. Stromiec";"białobrzeski";"mazowieckie";"770";"823";"259";"511";"0";"3";"0";"0";"0";"0";"0";"0";"0";"511";"0";"0";"511";"7";"4";"3";"0";"504";"372";"132"
"88f6-abaa-d7db-f8ce-dff3-60ec-6155-fcfa";"140106";"49";"1";"wieś";"stały";"Klub Seniora w Wyśmierzycach, ul. Plac Wolności 11, 26-811 Wyśmierzyce";"gm. Wyśmierzyce";"białobrzeski";"mazowieckie";"1252";"1416";"405";"847";"3";"7";"0";"0";"0";"0";"0";"0";"0";"847";"0";"0";"847";"25";"4";"21";"0";"822";"616";"206"
"5895-6579-f578-79d1-c3f8-5de3-4b1f-5d9e";"140106";"49";"2";"wieś";"stały";"Remiza OSP w Witaszynie, Witaszyn 18 A, 26-811 Wyśmierzyce";"gm. Wyśmierzyce";"białobrzeski";"mazowieckie";"327";"366";"103";"224";"0";"3";"0";"0";"0";"0";"0";"0";"0";"224";"0";"0";"224";"2";"1";"1";"0";"222";"179";"43"
"c415-987c-cfdf-c026-5969-4de7-4b6c-f640";"140106";"49";"3";"wieś";"stały";"Publiczna Szkoła Podstawowa w Kostrzynie, Kostrzyn 66A, 26-811 Wyśmierzyce";"gm. Wyśmierzyce";"białobrzeski";"mazowieckie";"537";"572";"218";"319";"0";"0";"0";"0";"0";"0";"0";"0";"0";"319";"0";"0";"319";"7";"0";"7";"0";"312";"243";"69"
"0be9-b156-72ed-c622-ff1d-deb7-2ae1-b549";"140601";"49";"1";"wieś";"stały";"Budynek Urzędu Gminy w Belsku Dużym, ul. Jana Kozietulskiego 4, 05-622 Belsk Duży";"gm. Belsk Duży";"grójecki";"mazowieckie";"1040";"1140";"363";"677";"0";"4";"0";"0";"0";"0";"0";"0";"0";"677";"0";"0";"677";"17";"7";"10";"0";"660";"296";"364"
"8178-c7ea-4b19-5f15-2dcf-7f11-4bf0-9be0";"140601";"49";"2";"wieś";"stały";"Publiczna Szkoła Podstawowa w Lewiczynie, Lewiczyn 94, 05-622 Belsk Duży";"gm. Belsk Duży";"grójecki";"mazowieckie";"564";"623";"162";"401";"1";"1";"0";"0";"0";"0";"0";"0";"0";"402";"0";"0";"402";"9";"4";"5";"0";"393";"224";"169"
"2e2b-a4d0-dd22-97e8-5d98-dba1-9687-d8ba";"140601";"49";"3";"wieś";"stały";"Publiczna Szkoła Podstawowa w Łęczeszycach, Łęczeszyce 47, 05-622 Belsk Duży";"gm. Belsk Duży";"grójecki";"mazowieckie";"750";"843";"184";"566";"0";"1";"0";"0";"0";"0";"0";"0";"0";"566";"0";"0";"566";"8";"7";"1";"0";"558";"304";"254"
"5a7a-66d0-f069-e360-792b-e07e-28d1-8cb6";"140601";"49";"4";"wieś";"stały";"Remiza OSP w Wilczogórze, Wilczogóra 12a, 05-622 Belsk Duży";"gm. Belsk Duży";"grójecki";"mazowieckie";"300";"324";"109";"191";"1";"0";"0";"0";"0";"0";"0";"0";"0";"191";"0";"0";"191";"1";"0";"1";"0";"190";"77";"113"
"0b9f-0f47-08ce-f9b7-3188-54b3-817a-e640";"140601";"49";"5";"wieś";"stały";"Remiza OSP w Rożcach, Rożce 9, 05-622 Belsk Duży";"gm. Belsk Duży";"grójecki";"mazowieckie";"441";"482";"191";"250";"0";"0";"0";"0";"0";"0";"0";"0";"0";"250";"0";"0";"250";"8";"1";"7";"0";"242";"127";"115"
"6e49-456c-af28-84d6-e9ed-8237-713d-566a";"140601";"49";"6";"wieś";"stały";"Publiczna Szkoła Podstawowa w Zaborowie, Zaborów 40, 05-622 Belsk Duży";"gm. Belsk Duży";"grójecki";"mazowieckie";"539";"594";"177";"362";"0";"0";"0";"0";"0";"0";"0";"0";"0";"362";"0";"0";"362";"4";"2";"2";"0";"358";"238";"120"
"6823-86d7-ec4e-b9fd-b3f6-0604-2cd5-fef0";"140601";"49";"7";"wieś";"stały";"Budynek Urzędu Gminy w Belsku Dużym, ul. Jana Kozietulskiego 4, 05-622 Belsk Duży";"gm. Belsk Duży";"grójecki";"mazowieckie";"881";"975";"331";"550";"0";"4";"0";"0";"0";"0";"0";"0";"0";"550";"0";"0";"550";"12";"5";"7";"0";"538";"315";"223"
"b8e1-5adb-8d84-b902-4874-956f-f12f-2537";"140601";"49";"8";"wieś";"stały";"Budynek Świetlicy Wiejskiej w Bodzewie, Bodzew 13, 05-622 Belsk Duży";"gm. Belsk Duży";"grójecki";"mazowieckie";"230";"252";"54";"176";"0";"0";"0";"0";"0";"0";"0";"0";"0";"176";"0";"0";"176";"1";"0";"1";"0";"175";"77";"98"
"997f-1b8e-7f20-bafb-8c44-4e28-bdde-50dc";"140602";"49";"1";"wieś";"stały";"Publiczna Szkoła Podstawowa w Błędowie, ul. Stary Rynek 9, 05-620 Błędów";"gm. Błędów";"grójecki";"mazowieckie";"1084";"1182";"294";"790";"2";"1";"0";"0";"0";"0";"0";"0";"0";"790";"0";"0";"790";"38";"29";"9";"0";"752";"472";"280"
"d64e-c599-79e4-dad2-ee62-6ee2-17fa-4ade";"140602";"49";"2";"wieś";"stały";"Publiczna Szkoła Podstawowa w Gołoszach, Gołosze 28, 05-620 Błędów";"gm. Błędów";"grójecki";"mazowieckie";"700";"782";"230";"470";"0";"1";"0";"0";"0";"0";"0";"0";"0";"470";"0";"0";"470";"7";"2";"5";"0";"463";"307";"156"
