"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Patryk Damian HAŁACZKIEWICZ";"Stanisław JURCEWICZ";"Aleksander Jakub SZWED"
"3d3c-24a8-0e23-2bf1-d0d8-c886-42eb-6c4f";"020201";"5";"1";"miasto";"stały";"Bielawski Inkubator Przedsiębiorczości Sala Konferencyjna, ul. Wolności 24, 58-260 Bielawa";"m. Bielawa";"dzierżoniowski";"dolnośląskie";"1020";"1113";"425";"595";"0";"1";"0";"0";"0";"0";"0";"0";"0";"595";"0";"0";"595";"21";"6";"15";"0";"574";"180";"166";"228"
"2b78-8307-4385-83f6-d945-812c-44b1-895d";"020201";"5";"2";"miasto";"stały";"Ekologiczna Szkoła Podstawowa nr 7 im. Juliana Tuwima, ul. Brzeżna 48, 58-260 Bielawa";"m. Bielawa";"dzierżoniowski";"dolnośląskie";"1280";"1418";"591";"689";"0";"5";"0";"0";"0";"0";"0";"0";"0";"689";"0";"0";"689";"11";"2";"9";"0";"678";"225";"208";"245"
"8606-699b-05d6-c36a-86ea-4454-9969-d963";"020201";"5";"3";"miasto";"stały";"Zespół Szkół i Placówek Kształcenia Zawodowego, ul. Stefana Żeromskiego 41, 58-260 Bielawa";"m. Bielawa";"dzierżoniowski";"dolnośląskie";"1139";"1251";"491";"648";"1";"4";"0";"0";"0";"0";"0";"0";"0";"648";"0";"0";"648";"11";"3";"8";"0";"637";"181";"205";"251"
"b0b3-dfe0-e667-54c1-d629-4021-522c-6cdc";"020201";"5";"4";"miasto";"stały";"Klub Spółdzielni Mieszkaniowej, Osiedle Włókniarzy 1, 58-260 Bielawa";"m. Bielawa";"dzierżoniowski";"dolnośląskie";"1230";"1328";"474";"756";"0";"3";"0";"0";"0";"0";"0";"0";"0";"756";"0";"0";"756";"11";"11";"0";"0";"745";"212";"226";"307"
"66b5-5cdf-fdf0-6f8b-b11e-2eec-b198-157f";"020201";"5";"5";"miasto";"stały";"Ekologiczna Szkoła Podstawowa nr 7 im. Juliana Tuwima, Osiedle Włókniarzy 10, 58-260 Bielawa";"m. Bielawa";"dzierżoniowski";"dolnośląskie";"950";"1044";"389";"561";"1";"4";"0";"0";"0";"0";"0";"0";"0";"561";"0";"0";"561";"12";"0";"12";"0";"549";"168";"171";"210"
"ccbc-a56c-9e6b-3aae-5622-f58f-9691-5415";"020201";"5";"6";"miasto";"stały";"Szkoła Podstawowa nr 10 z Oddziałami Sportowymi, ul. Parkowa 12, 58-260 Bielawa";"m. Bielawa";"dzierżoniowski";"dolnośląskie";"979";"1070";"379";"598";"0";"4";"0";"0";"0";"0";"0";"0";"0";"600";"0";"0";"600";"8";"0";"8";"0";"592";"225";"181";"186"
"463d-24a8-c11e-cac4-b860-69b7-5c7f-9c5d";"020201";"5";"7";"miasto";"stały";"Szkoła Podstawowa nr 10 z Oddziałami Sportowymi, ul. Parkowa 12, 58-260 Bielawa";"m. Bielawa";"dzierżoniowski";"dolnośląskie";"1230";"1336";"471";"759";"2";"3";"0";"0";"0";"0";"0";"0";"0";"759";"0";"0";"759";"9";"0";"9";"0";"750";"229";"237";"284"
"09b1-8b82-008a-e907-7d84-f2e4-a857-9f09";"020201";"5";"8";"miasto";"stały";"Żłobek Publiczny, ul. Generała Grota Roweckiego 7, 58-260 Bielawa";"m. Bielawa";"dzierżoniowski";"dolnośląskie";"1090";"1185";"365";"725";"0";"7";"0";"0";"0";"0";"0";"0";"0";"725";"0";"0";"725";"15";"4";"11";"0";"710";"235";"218";"257"
"d7fb-3db6-5441-a58c-f11d-30f0-ff7c-2eab";"020201";"5";"9";"miasto";"stały";"Szkoła Podstawowa nr 10 z Oddziałami Sportowymi, ul. Parkowa 12, 58-260 Bielawa";"m. Bielawa";"dzierżoniowski";"dolnośląskie";"1080";"1154";"404";"676";"0";"0";"0";"0";"0";"0";"0";"0";"0";"676";"0";"0";"676";"11";"3";"8";"0";"665";"201";"209";"255"
"7d90-504b-a190-b12e-7c05-406c-24dc-256e";"020201";"5";"10";"miasto";"stały";"Klub ""Sowa"" Spółdzielni Mieszkaniowej, ul. Jana III Sobieskiego 17, 58-260 Bielawa";"m. Bielawa";"dzierżoniowski";"dolnośląskie";"1020";"1088";"323";"697";"0";"0";"0";"0";"0";"0";"0";"0";"0";"697";"0";"0";"697";"21";"5";"16";"0";"676";"238";"217";"221"
