"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Elżbieta Agnieszka KOMOSA";"Marta Ewelina MICHALSKA-WILK";"Wojciech SKURKIEWICZ"
"763a-3557-57b5-ae04-4f63-989e-518d-4f3c";"140901";"50";"1";"wieś";"stały";"Remiza OSP w Białobrzegach, Białobrzegi 18 a, 27-312 Chotcza";"gm. Chotcza";"lipski";"mazowieckie";"420";"454";"208";"212";"1";"0";"0";"0";"0";"0";"0";"0";"0";"212";"0";"0";"212";"4";"0";"4";"0";"208";"24";"42";"142"
"3362-4ac5-4469-9375-ff46-5c72-99cc-0094";"140901";"50";"2";"wieś";"stały";"Remiza OSP w Chotczy, Chotcza-Józefów 55B, 27-312 Chotcza";"gm. Chotcza";"lipski";"mazowieckie";"731";"789";"332";"399";"0";"3";"0";"0";"0";"0";"0";"0";"0";"399";"0";"0";"399";"9";"3";"6";"0";"390";"46";"82";"262"
"6482-d1e7-2fbc-09e0-3190-f2c2-51df-2cfb";"140901";"50";"3";"wieś";"stały";"Publiczna Szkoła Podstawowa w Chotczy Szkoła Filialna w Tymienicy, Tymienica Stara 1, 27-312 Chotcza";"gm. Chotcza";"lipski";"mazowieckie";"640";"695";"331";"309";"0";"1";"0";"0";"0";"0";"0";"0";"0";"309";"0";"0";"309";"9";"0";"9";"0";"300";"43";"52";"205"
"ae16-fdb5-3e1e-5ddf-3778-dab3-df00-7c57";"140902";"50";"1";"wieś";"stały";"Remiza Strażacka w Antoniowie, Antoniów 36, 27-310 Ciepielów";"gm. Ciepielów";"lipski";"mazowieckie";"310";"344";"107";"203";"0";"1";"0";"0";"0";"0";"0";"0";"0";"203";"0";"0";"203";"6";"2";"4";"0";"197";"17";"14";"166"
"199c-18af-5f17-b20c-edd4-b998-6809-33c5";"140902";"50";"2";"wieś";"stały";"Publiczna Szkoła Podstawowa w Bąkowej, Bąkowa 107, 27-310 Ciepielów";"gm. Ciepielów";"lipski";"mazowieckie";"379";"416";"171";"208";"0";"0";"0";"0";"0";"0";"0";"0";"0";"208";"0";"0";"208";"5";"0";"5";"0";"203";"33";"33";"137"
"d480-0338-9f7f-4603-57fa-0281-ca47-59c2";"140902";"50";"3";"wieś";"stały";"Publiczna Szkoła Podstawowa w Ciepielowie, ul. Lekarska 1, 27-310 Ciepielów";"gm. Ciepielów";"lipski";"mazowieckie";"570";"610";"211";"359";"0";"6";"0";"0";"0";"0";"0";"0";"0";"359";"0";"0";"359";"8";"0";"8";"0";"351";"60";"101";"190"
"5437-94cd-3ece-2c5e-b50d-df90-1bb9-d7a1";"140902";"50";"4";"wieś";"stały";"Publiczne Gimnazjum w Ciepielowie, Plac Zwycięstwa 37, 27-310 Ciepielów";"gm. Ciepielów";"lipski";"mazowieckie";"1550";"1709";"648";"902";"3";"12";"0";"0";"0";"0";"0";"0";"0";"902";"0";"1";"901";"28";"7";"21";"0";"873";"83";"209";"581"
"4446-e34f-707a-9225-62e7-8c19-2d4b-1798";"140902";"50";"5";"wieś";"stały";"Dom Ludowy w Wielgiem, Wielgie 213, 27-310 Ciepielów";"gm. Ciepielów";"lipski";"mazowieckie";"660";"723";"279";"381";"0";"0";"0";"0";"0";"0";"0";"0";"0";"381";"0";"0";"381";"11";"0";"11";"0";"370";"65";"61";"244"
"53d4-d842-4fec-e51a-6100-ba72-c274-0f42";"140902";"50";"6";"wieś";"stały";"Dzienny Ośrodek Fizjoterapii w Pcinie, Pcin 39, 27-310 Ciepielów";"gm. Ciepielów";"lipski";"mazowieckie";"372";"402";"189";"183";"0";"0";"0";"0";"0";"0";"0";"0";"0";"183";"0";"0";"183";"6";"0";"6";"0";"177";"20";"27";"130"
"0812-eadf-87d3-941b-b7c6-df27-18c6-aaa1";"140902";"50";"7";"wieś";"stały";"Środowiskowy Dom Samopomocy w Łaziskach, Łaziska 101, 27-310 Ciepielów";"gm. Ciepielów";"lipski";"mazowieckie";"301";"330";"134";"167";"0";"0";"0";"0";"0";"0";"0";"0";"0";"167";"0";"0";"167";"5";"2";"3";"0";"162";"15";"17";"130"
