"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jerzy CZERWIŃSKI";"Adam Józef MAZGUŁA";"Janusz Antoni SANOCKI";"Jan Franciszek WOŹNIAK"
"8952-1a19-91fb-5829-259b-2346-cbf2-3fca";"160101";"51";"1";"miasto";"stały";"Miejski Ośrodek Sportu i Rekreacji (Hala Sportowa), ul. Oławska 2A, 49-300 Brzeg";"m. Brzeg";"brzeski";"opolskie";"1040";"1113";"479";"561";"1";"0";"0";"0";"0";"0";"0";"0";"0";"561";"0";"0";"561";"14";"4";"10";"0";"547";"254";"31";"73";"189"
"ab71-a238-df2e-3c37-b501-00d0-c2d1-07d7";"160101";"51";"2";"miasto";"stały";"Miejski Ośrodek Pomocy Społecznej w Brzegu, ul. Chrobrego 32a, 49-300 Brzeg";"m. Brzeg";"brzeski";"opolskie";"1030";"1210";"452";"578";"0";"5";"0";"0";"0";"0";"0";"0";"0";"578";"0";"0";"578";"19";"7";"12";"0";"559";"251";"34";"82";"192"
"c250-02fc-0003-e78a-6137-ebad-bce4-2975";"160101";"51";"3";"miasto";"stały";"Przedszkole Publiczne nr 6, ul. Wysoka 1, 49-300 Brzeg";"m. Brzeg";"brzeski";"opolskie";"1238";"1353";"583";"655";"0";"1";"0";"0";"0";"0";"0";"0";"0";"655";"0";"0";"655";"10";"1";"9";"0";"645";"305";"38";"73";"229"
"542b-73cb-3469-bf7c-931b-611f-315a-2bfe";"160101";"51";"4";"miasto";"stały";"Urząd Stanu Cywilnego-Ratusz (hol USC-wejście od strony dziedzińca Ratusza), ul. Rynek 1, 49-300 Brzeg";"m. Brzeg";"brzeski";"opolskie";"1006";"1085";"397";"609";"0";"4";"0";"0";"0";"0";"0";"0";"0";"609";"0";"0";"609";"11";"6";"5";"0";"598";"240";"41";"92";"225"
"54cb-2791-33d6-2b4e-5e9a-479c-10f8-1941";"160101";"51";"5";"miasto";"stały";"Publiczna Szkoła Podstawowa nr 8, ul. Lompy 1, 49-300 Brzeg";"m. Brzeg";"brzeski";"opolskie";"1536";"1657";"444";"1092";"3";"2";"1";"1";"0";"0";"0";"0";"1";"1093";"1";"0";"1093";"25";"13";"12";"0";"1068";"373";"46";"148";"501"
"ccf9-5591-ed8b-0f7c-a014-032c-9931-5459";"160101";"51";"6";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 3 (sala gimnastyczna), ul. Kamienna 2, 49-300 Brzeg";"m. Brzeg";"brzeski";"opolskie";"1506";"1630";"665";"841";"3";"2";"0";"0";"0";"0";"0";"0";"0";"841";"0";"0";"841";"23";"4";"19";"0";"818";"409";"54";"89";"266"
"060b-191e-050f-99b8-3169-fa7e-a78d-db57";"160101";"51";"7";"miasto";"stały";"Zespół Szkól Budowalnych, ul. Kamienna 3, 49-300 Brzeg";"m. Brzeg";"brzeski";"opolskie";"1258";"1359";"504";"754";"6";"3";"0";"0";"0";"0";"0";"0";"0";"754";"0";"0";"754";"9";"3";"6";"0";"745";"354";"32";"86";"273"
"5672-3e45-ab35-11ac-7a4f-d0ff-32a9-7437";"160101";"51";"8";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 3 (świetlica), ul. Kamienna 2, 49-300 Brzeg";"m. Brzeg";"brzeski";"opolskie";"710";"772";"304";"406";"0";"0";"0";"0";"0";"0";"0";"0";"0";"406";"0";"0";"406";"5";"0";"5";"0";"401";"153";"31";"44";"173"
"1424-57cc-e38a-b4c5-10c7-5d9b-c9d1-fe57";"160101";"51";"9";"miasto";"stały";"Publiczne Przedszkole Nr 5, ul. Boh. Monte Cassino 1, 49-300 Brzeg";"m. Brzeg";"brzeski";"opolskie";"870";"939";"263";"607";"0";"0";"0";"0";"0";"0";"0";"0";"0";"607";"0";"0";"607";"13";"4";"9";"0";"594";"245";"28";"57";"264"
"f65c-8af5-d921-2f97-8e1a-73a8-5368-2c9f";"160101";"51";"10";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 1, ul. Boh. Monte Cassino 14, 49-300 Brzeg";"m. Brzeg";"brzeski";"opolskie";"1689";"1822";"599";"1090";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1090";"0";"0";"1090";"21";"11";"10";"0";"1069";"403";"79";"119";"468"
