"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Rafał Jan BARTEK";"Danuta JAZŁOWIECKA";"Marek KAWA"
"b57f-e48a-7f15-07a3-3391-91b7-8b46-cbb2";"160901";"52";"1";"wieś";"stały";"Klub Samorządowy, ul. Dworcowa 1, 46-053 Chrząstowice";"gm. Chrząstowice";"opolski";"opolskie";"1031";"1135";"440";"591";"0";"0";"0";"0";"0";"0";"0";"0";"0";"590";"0";"1";"589";"12";"2";"10";"0";"577";"340";"157";"80"
"2329-e9cf-d451-82f7-c4df-78c4-a7eb-a7e9";"160901";"52";"2";"wieś";"stały";"Publiczna Szkoła Podstawowa, Dębska Kuźnia ul. Wiejska 53, 46-053 Chrząstowice";"gm. Chrząstowice";"opolski";"opolskie";"1101";"1206";"476";"625";"1";"5";"0";"0";"0";"0";"0";"0";"0";"624";"0";"0";"624";"17";"7";"10";"0";"607";"333";"181";"93"
"c7b1-e22c-8e06-f8bb-2e06-8ae8-3861-abea";"160901";"52";"3";"wieś";"stały";"Publiczna Szkoła Podstawowa, Dębie ul. Wiejska 18, 46-053 Chrząstowice";"gm. Chrząstowice";"opolski";"opolskie";"790";"875";"423";"367";"1";"2";"0";"0";"0";"0";"0";"0";"0";"367";"0";"0";"367";"4";"1";"3";"0";"363";"194";"100";"69"
"61fd-28ca-35d4-9c30-737a-0656-670c-5761";"160901";"52";"4";"wieś";"stały";"Klub Wiejski, Daniec ul. Dąbrowicka 4, 46-053 Chrząstowice";"gm. Chrząstowice";"opolski";"opolskie";"951";"1040";"555";"396";"1";"0";"0";"0";"0";"0";"0";"0";"0";"396";"0";"0";"396";"12";"3";"9";"0";"384";"212";"93";"79"
"991e-33fe-6af3-1b36-39f1-efdb-f1ba-595a";"160901";"52";"5";"wieś";"stały";"Świetlica Wiejska, Suchy Bór ul. Szkolna 2, 46-053 Chrząstowice";"gm. Chrząstowice";"opolski";"opolskie";"1171";"1278";"389";"782";"0";"2";"0";"0";"0";"0";"0";"0";"0";"782";"0";"0";"782";"15";"5";"10";"0";"767";"201";"419";"147"
"a91c-8a27-7789-83d9-c7b1-309b-43ef-f770";"160902";"52";"1";"wieś";"stały";"Świetlica wiejska, ul. Ks. prof. J. Sztonyka 19a, 49-120 Dąbrowa";"gm. Dąbrowa";"opolski";"opolskie";"969";"1058";"289";"680";"2";"6";"0";"0";"0";"0";"0";"0";"0";"680";"0";"0";"680";"20";"4";"16";"0";"660";"51";"363";"246"
"f84b-e762-c2f8-9b44-80d3-b894-e0d5-5233";"160902";"52";"2";"wieś";"stały";"Publiczna Szkoła Podstawowa w Chróścinie, ul. Niemodlińska 8d, 46-073 Chróścina";"gm. Dąbrowa";"opolski";"opolskie";"1191";"1298";"556";"635";"0";"3";"0";"0";"0";"0";"0";"0";"0";"635";"0";"0";"635";"16";"2";"14";"0";"619";"202";"260";"157"
"7247-0e27-f700-2b98-681d-c0c8-1438-3ae2";"160902";"52";"3";"wieś";"stały";"Publiczna Szkoła Podstawowa w Naroku, ul. Szkolna 19, 49-120 Narok";"gm. Dąbrowa";"opolski";"opolskie";"849";"920";"418";"431";"0";"3";"0";"0";"0";"0";"0";"0";"0";"431";"0";"0";"431";"16";"2";"14";"0";"415";"111";"139";"165"
"18a0-4998-b955-3fba-a9a2-a090-6053-005b";"160902";"52";"4";"wieś";"stały";"Świetlica wiejska, ul. Długa 18a, 49-120 Ciepielowice";"gm. Dąbrowa";"opolski";"opolskie";"339";"369";"78";"261";"2";"1";"0";"0";"0";"0";"0";"0";"0";"261";"0";"0";"261";"6";"0";"6";"0";"255";"12";"150";"93"
"a3d2-e4fa-41aa-670e-702f-9ca6-ab07-f81b";"160902";"52";"5";"wieś";"stały";"Świetlica wiejska, ul. Kwiatowa 25a, 49-120 Nowa Jamka";"gm. Dąbrowa";"opolski";"opolskie";"241";"261";"135";"106";"1";"2";"0";"0";"0";"0";"0";"0";"0";"106";"0";"0";"106";"1";"0";"1";"0";"105";"4";"34";"67"
"9068-caa9-4778-5d89-c916-6d8a-a674-4291";"160902";"52";"6";"wieś";"stały";"Budynek socjalno-administracyjny, ul. Sportowa 18, 49-120 Prądy";"gm. Dąbrowa";"opolski";"opolskie";"320";"351";"123";"197";"1";"1";"0";"0";"0";"0";"0";"0";"0";"197";"0";"0";"197";"5";"0";"5";"0";"192";"18";"92";"82"
"a478-d072-bc82-3d45-34b1-cc82-ce7e-bfc8";"160902";"52";"7";"wieś";"stały";"Pawilon sportowy, ul. Strażacka 6a, 46-073 Mechnice";"gm. Dąbrowa";"opolski";"opolskie";"840";"916";"369";"471";"0";"2";"0";"0";"0";"0";"0";"0";"0";"471";"0";"0";"471";"11";"3";"8";"0";"460";"150";"195";"115"
"c01f-d9ab-d317-d2ec-c9dc-a19c-a65a-77f7";"160902";"52";"8";"wieś";"stały";"Świetlica wiejska, ul. Szkolna 2, 49-120 Karczów";"gm. Dąbrowa";"opolski";"opolskie";"510";"554";"148";"362";"1";"0";"0";"0";"0";"0";"0";"0";"0";"362";"0";"0";"362";"11";"3";"8";"0";"351";"33";"193";"125"
"f7d8-7c40-46e2-3c97-d3c5-3520-fc46-f868";"160902";"52";"9";"wieś";"stały";"Świetlica wiejska, Opolska 52, 49-120 Skarbiszów";"gm. Dąbrowa";"opolski";"opolskie";"290";"313";"116";"174";"0";"1";"0";"0";"0";"0";"0";"0";"0";"174";"0";"0";"174";"4";"0";"4";"0";"170";"12";"49";"109"
"2bf3-12de-3e05-0d2b-cb5e-5d19-ba46-44fa";"160902";"52";"10";"wieś";"stały";"Świetlica wiejska, Opolska 58, 49-120 Żelazna";"gm. Dąbrowa";"opolski";"opolskie";"450";"491";"181";"269";"0";"0";"0";"0";"0";"0";"0";"0";"0";"268";"0";"0";"268";"2";"1";"1";"0";"266";"131";"86";"49"
"6fa8-ff53-de1b-d258-55bd-820e-5f3c-e29b";"160903";"52";"1";"wieś";"stały";"Publiczna Szkoła Podstawowa, ul. Powstańców Śląskich 1, 46-080 Chróścice";"gm. Dobrzeń Wielki";"opolski";"opolskie";"2030";"2292";"1064";"966";"0";"7";"0";"0";"0";"0";"0";"0";"0";"966";"0";"0";"966";"17";"1";"16";"0";"949";"385";"429";"135"
"96a9-a6a7-c92d-0db2-e732-1fda-25e2-68bf";"160903";"52";"2";"wieś";"stały";"Zespół Szkół, Dobrzeń Mały ul. Opolska 87, 46-081 Dobrzeń Wielki";"gm. Dobrzeń Wielki";"opolski";"opolskie";"542";"609";"208";"334";"0";"2";"0";"0";"0";"0";"0";"0";"0";"334";"0";"0";"334";"4";"2";"2";"0";"330";"136";"131";"63"
"45d1-c53e-4f59-2554-25eb-c1ad-fb66-14fd";"160903";"52";"3";"wieś";"stały";"Zespół Szkół, ul. Namysłowska 94, 46-081 Dobrzeń Wielki";"gm. Dobrzeń Wielki";"opolski";"opolskie";"1370";"1529";"553";"817";"0";"3";"0";"0";"0";"0";"0";"0";"0";"816";"0";"0";"816";"23";"5";"18";"0";"793";"252";"380";"161"
"eaf4-4f89-8578-e875-0363-8beb-e30a-6f3e";"160903";"52";"4";"wieś";"stały";"Publiczna Szkoła Podstawowa z Oddziałami Sportowymi, ul. Kościelna 3, 46-081 Dobrzeń Wielki";"gm. Dobrzeń Wielki";"opolski";"opolskie";"1896";"2036";"696";"1200";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1200";"0";"0";"1200";"26";"14";"12";"0";"1174";"301";"605";"268"
"d25d-8d22-6687-0918-c16c-e624-316b-7579";"160903";"52";"5";"wieś";"stały";"Zespół Szkolno-Przedszkolny, ul. 1 Maja 6a, 46-082 Kup";"gm. Dobrzeń Wielki";"opolski";"opolskie";"897";"973";"400";"497";"0";"1";"0";"0";"0";"0";"0";"0";"0";"497";"0";"0";"497";"12";"1";"11";"0";"485";"159";"218";"108"
"768b-c350-66b0-4cd1-07e1-7fe8-c0cc-a403";"160903";"52";"6";"wieś";"zakład leczniczy";"Stobrawskie Centrum Medyczne Sp. z o. o. Szpital w Kup, ul. Miarki 14, 46-082 Kup";"gm. Dobrzeń Wielki";"opolski";"opolskie";"80";"83";"38";"42";"0";"6";"0";"0";"0";"0";"0";"0";"0";"42";"0";"0";"42";"2";"0";"2";"0";"40";"8";"15";"17"
"5aee-fef2-b82b-c90a-a4b2-f504-9292-03aa";"160904";"52";"1";"wieś";"stały";"Urząd Gminy w Komprachcicach, ul. Kolejowa 3, 46-070 Komprachcice";"gm. Komprachcice";"opolski";"opolskie";"2061";"2254";"897";"1164";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1164";"0";"0";"1164";"35";"3";"32";"0";"1129";"356";"529";"244"
"7a40-a4e0-8822-1b0e-70e3-6329-4641-e74b";"160904";"52";"2";"wieś";"stały";"Świetlica w Osinach, Osiny ul. Opolska 20, 46-070 Komprachcice";"gm. Komprachcice";"opolski";"opolskie";"620";"667";"268";"352";"0";"2";"0";"0";"0";"0";"0";"0";"0";"352";"0";"0";"352";"4";"1";"3";"0";"348";"94";"169";"85"
