"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Beniamin Wincenty GODYLA";"Roman Jacek KOLEK";"Bogdan Stanisław TOMASZEK"
"7425-9dcf-207c-a20f-f4ef-d174-89d2-9249";"160201";"53";"1";"miasto";"stały";"Gminny Ośrodek Kultury w Baborowie, ul. Rynek 17, 48-120 Baborów";"gm. Baborów";"głubczycki";"opolskie";"890";"964";"384";"506";"2";"5";"0";"0";"0";"0";"0";"0";"0";"506";"0";"0";"506";"16";"3";"13";"0";"490";"204";"33";"253"
"59e8-cfd0-7a12-a8cb-e1ee-64fd-e9ac-38c2";"160201";"53";"2";"miasto";"stały";"Urząd Miejski w Baborowie, ul. Ratuszowa 2a, 48-120 Baborów";"gm. Baborów";"głubczycki";"opolskie";"950";"1038";"476";"474";"0";"0";"0";"0";"0";"0";"0";"0";"0";"473";"0";"0";"473";"7";"1";"6";"0";"466";"192";"37";"237"
"26e7-13d5-8580-b78a-ef95-c5ad-6785-9640";"160201";"53";"3";"miasto i wieś";"stały";"Zespół Szkolno-Przedszkolny, ul. Wiejska 5a, 48-120 Baborów";"gm. Baborów";"głubczycki";"opolskie";"1180";"1284";"605";"575";"0";"2";"0";"0";"0";"0";"0";"0";"0";"575";"0";"0";"575";"6";"1";"5";"0";"569";"181";"46";"342"
"caa6-0110-5b72-4074-c185-637f-8d82-ea32";"160201";"53";"4";"wieś";"stały";"Strażacki Dom Ludowy, Sucha Psina 28, 48-133 Sucha Psina";"gm. Baborów";"głubczycki";"opolskie";"670";"732";"340";"330";"0";"0";"0";"0";"0";"0";"0";"0";"0";"330";"0";"0";"330";"3";"0";"3";"0";"327";"87";"16";"224"
"185b-ea9d-1fda-876a-1a31-c039-9325-2ee2";"160201";"53";"5";"wieś";"stały";"Świetlica Wiejska, Raków 83B, 48-120 Raków";"gm. Baborów";"głubczycki";"opolskie";"801";"876";"475";"326";"0";"0";"0";"0";"0";"0";"0";"0";"0";"326";"0";"0";"326";"8";"3";"5";"0";"318";"102";"55";"161"
"a5fd-2d9f-3c84-566c-decc-bcba-a8f9-b0ae";"160201";"53";"6";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej ""Spokojna Przystań II"", ul. Powstańców 3, 48-120 Baborów";"gm. Baborów";"głubczycki";"opolskie";"65";"63";"49";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"16";"0";"0";"16";"0";"0";"0";"0";"16";"5";"7";"4"
"76da-0a02-ad8b-a839-4219-6bc8-a2e3-207d";"160202";"53";"1";"wieś";"stały";"Szkoła Podstawowa w Branicach, ul. Szkolna 8, 48-140 Branice";"gm. Branice";"głubczycki";"opolskie";"799";"852";"394";"405";"0";"2";"0";"0";"0";"0";"0";"0";"0";"405";"0";"0";"405";"9";"1";"8";"0";"396";"139";"32";"225"
"8753-d129-aad0-436a-69f6-5346-e39f-5160";"160202";"53";"2";"wieś";"stały";"Świetlica Wiejska w Wysokiej, Wysoka 18, 48-140 Branice";"gm. Branice";"głubczycki";"opolskie";"550";"593";"267";"283";"0";"1";"1";"1";"0";"0";"0";"0";"1";"284";"1";"0";"284";"6";"0";"6";"0";"278";"91";"26";"161"
"5e48-29f8-3ae9-cd3b-1fbe-6089-b91a-5b56";"160202";"53";"3";"wieś";"stały";"Szkoła Podstawowa we Włodzieninie, Włodzienin 50, 48-140 Branice";"gm. Branice";"głubczycki";"opolskie";"669";"752";"348";"321";"0";"0";"0";"0";"0";"0";"0";"0";"0";"321";"0";"0";"321";"9";"4";"5";"0";"312";"91";"14";"207"
"1c17-9cf6-3130-f59d-0463-04fe-ee85-bf9a";"160202";"53";"4";"wieś";"stały";"Budynek po byłej Szkole Podstawowej w Uciechowicach, Jabłonka 46, 48-140 Branice";"gm. Branice";"głubczycki";"opolskie";"629";"684";"334";"295";"0";"0";"0";"0";"0";"0";"0";"0";"0";"295";"0";"0";"295";"11";"1";"10";"0";"284";"106";"32";"146"
