"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Lidia BŁĄDEK";"Marzena KARDASIŃSKA";"Janina Zofia SAGATOWSKA"
"09a3-3b9a-7e15-459b-4550-7857-7d63-eb10";"180801";"54";"1";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Grunwaldzka 1, 37-300 Leżajsk";"m. Leżajsk";"leżajski";"podkarpackie";"1448";"1528";"545";"903";"4";"2";"0";"0";"0";"0";"0";"0";"0";"903";"0";"0";"903";"25";"10";"15";"0";"878";"271";"90";"517"
"6fbd-8d0e-3d71-6304-c3bf-9aa7-d925-2d5e";"180801";"54";"2";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Grunwaldzka 1, 37-300 Leżajsk";"m. Leżajsk";"leżajski";"podkarpackie";"1469";"1561";"573";"896";"3";"2";"0";"0";"0";"0";"0";"0";"0";"895";"0";"0";"895";"13";"3";"10";"0";"882";"287";"83";"512"
"946e-3711-37a7-afd4-abf4-e361-8b55-392b";"180801";"54";"3";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Mickiewicza 51, 37-300 Leżajsk";"m. Leżajsk";"leżajski";"podkarpackie";"1298";"1375";"547";"751";"1";"5";"0";"0";"0";"0";"0";"0";"0";"751";"0";"0";"751";"14";"4";"10";"0";"737";"236";"72";"429"
"b3b6-76b9-f21d-1a41-ac16-0356-17a9-a688";"180801";"54";"4";"miasto";"stały";"Miejskie Centrum Kultury, ul. Mickiewicza 61, 37-300 Leżajsk";"m. Leżajsk";"leżajski";"podkarpackie";"1229";"1306";"512";"717";"3";"10";"0";"0";"0";"0";"0";"0";"0";"717";"0";"0";"717";"14";"5";"9";"0";"703";"267";"65";"371"
"dd4e-47c9-d934-a6e1-69ad-af67-6940-733c";"180801";"54";"5";"miasto";"stały";"Zespół Szkolno-Przedszkolny Nr 2 (dawne Gimnazjum Miejskie), ul. M. C. Skłodowskiej 8, 37-300 Leżajsk";"m. Leżajsk";"leżajski";"podkarpackie";"1252";"1329";"522";"730";"0";"3";"0";"0";"0";"0";"0";"0";"0";"730";"0";"0";"730";"15";"7";"8";"0";"715";"222";"58";"435"
"9326-7e40-91e5-cd43-0bad-5f4a-424c-9db3";"180801";"54";"6";"miasto";"stały";"Zespół Szkół Technicznych im. Tadeusza Kościuszki, ul. Mickiewicza 67, 37-300 Leżajsk";"m. Leżajsk";"leżajski";"podkarpackie";"1445";"1557";"500";"945";"0";"5";"0";"0";"0";"0";"0";"0";"0";"944";"0";"1";"943";"23";"15";"8";"0";"920";"297";"73";"550"
"5f25-1b71-5e46-bb9a-7000-a170-6437-c677";"180801";"54";"7";"miasto";"stały";"Szkoła Podstawowa Nr 3 im. Stefana Wyszyńskiego, ul. 11 - go Listopada 8, 37-300 Leżajsk";"m. Leżajsk";"leżajski";"podkarpackie";"1462";"1580";"549";"913";"4";"24";"0";"0";"0";"0";"0";"0";"0";"913";"0";"0";"913";"24";"4";"20";"0";"889";"207";"107";"575"
"758f-265b-8faf-cfdb-d47e-ef56-3d02-3c88";"180801";"54";"8";"miasto";"stały";"Szkoła Podstawowa Nr 3 im. Stefana Wyszyńskiego, ul. 11 - go Listopada 8, 37-300 Leżajsk";"m. Leżajsk";"leżajski";"podkarpackie";"800";"853";"227";"573";"14";"8";"0";"0";"0";"0";"0";"0";"0";"573";"0";"0";"573";"9";"0";"9";"0";"564";"154";"59";"351"
"fd6f-1e6a-212d-6434-f3b4-77aa-7191-637f";"180801";"54";"9";"miasto";"zakład leczniczy";"Szpital Powiatowy w Leżajsku, ul. Leśna 22, 37-300 Leżajsk";"m. Leżajsk";"leżajski";"podkarpackie";"200";"85";"143";"57";"0";"1";"0";"0";"0";"0";"0";"0";"0";"57";"0";"0";"57";"1";"0";"1";"0";"56";"10";"3";"43"
"602b-008f-1683-6ea9-0283-2f09-c733-e114";"180802";"54";"1";"wieś";"stały";"Zespół Szkół im. Jana Pawła II w Grodzisku Dolnym, Grodzisko Dolne 150, 37-306 Grodzisko Dolne";"gm. Grodzisko Dolne";"leżajski";"podkarpackie";"1217";"1335";"408";"809";"3";"5";"0";"0";"0";"0";"0";"0";"0";"807";"0";"0";"807";"21";"3";"18";"0";"786";"119";"60";"607"
"e0af-693a-c841-1dfb-b6be-fab9-92e6-5647";"180802";"54";"2";"wieś";"stały";"Dom Wiejski w Grodzisku Nowym, Grodzisko Nowe 274, 37-306 Grodzisko Dolne";"gm. Grodzisko Dolne";"leżajski";"podkarpackie";"579";"632";"203";"376";"1";"0";"0";"0";"0";"0";"0";"0";"0";"376";"0";"0";"376";"9";"3";"6";"0";"367";"35";"28";"304"
"8516-8134-5a0d-ecb8-ee19-daef-853a-d585";"180802";"54";"3";"wieś";"stały";"Szkoła Podstawowa w Chodaczowie, Chodaczów 59A, 37-306 Grodzisko Dolne";"gm. Grodzisko Dolne";"leżajski";"podkarpackie";"709";"750";"304";"405";"2";"3";"0";"0";"0";"0";"0";"0";"0";"405";"0";"0";"405";"12";"2";"10";"0";"393";"52";"29";"312"
"220b-c682-7839-5796-c99b-dfb8-95c4-ce3c";"180802";"54";"4";"wieś";"stały";"Szkoła Podstawowa w Opaleniskach, Opaleniska 82A, 37-306 Grodzisko Dolne";"gm. Grodzisko Dolne";"leżajski";"podkarpackie";"880";"959";"336";"544";"0";"1";"0";"0";"0";"0";"0";"0";"0";"544";"0";"0";"544";"5";"1";"4";"0";"539";"72";"50";"417"
"2608-ac84-2061-7240-3dd9-34a3-6869-c9b6";"180802";"54";"5";"wieś";"stały";"Szkoła Podstawowa w Wólce Grodziskiej, Wólka Grodziska 116B, 37-306 Grodzisko Dolne";"gm. Grodzisko Dolne";"leżajski";"podkarpackie";"548";"610";"212";"336";"1";"0";"0";"0";"0";"0";"0";"0";"0";"336";"0";"0";"336";"9";"6";"3";"0";"327";"36";"26";"265"
"0983-d45d-e08e-b693-90db-1b54-ec72-7843";"180802";"54";"6";"wieś";"stały";"Zespół Szkół im. prof. Franciszka Leji w Grodzisku Górnym, Grodzisko Górne 503, 37-306 Grodzisko Dolne";"gm. Grodzisko Dolne";"leżajski";"podkarpackie";"1387";"1502";"578";"809";"2";"1";"0";"0";"0";"0";"0";"0";"0";"809";"0";"0";"809";"17";"0";"17";"0";"792";"96";"51";"645"
"4230-f5ed-cd7f-6d83-f1e5-1c7c-f28c-9bf3";"180802";"54";"7";"wieś";"stały";"Ośrodek Kultury w Grodzisku Dolnym, Grodzisko Dolne, Miasto 332, 37-306 Grodzisko Dolne";"gm. Grodzisko Dolne";"leżajski";"podkarpackie";"599";"649";"187";"412";"3";"3";"0";"0";"0";"0";"0";"0";"0";"412";"0";"0";"412";"20";"10";"10";"0";"392";"85";"25";"282"
"219b-40bc-1ad0-115c-b0b7-bfa1-133a-caba";"180803";"54";"1";"wieś";"stały";"Gminny Ośrodek Kultury w Kuryłówce, Kuryłówka 527, 37-303 Kuryłówka";"gm. Kuryłówka";"leżajski";"podkarpackie";"1697";"1848";"751";"946";"6";"4";"0";"0";"0";"0";"0";"0";"0";"946";"0";"0";"946";"24";"6";"18";"0";"922";"204";"86";"632"
"840e-e95d-c8ac-561f-5b5a-1e1e-9c94-4cac";"180803";"54";"2";"wieś";"stały";"Szkoła Podstawowa w Brzyskiej Woli, Brzyska Wola 169, 37-304 Brzyska Wola";"gm. Kuryłówka";"leżajski";"podkarpackie";"1141";"1254";"412";"729";"2";"11";"0";"0";"0";"0";"0";"0";"0";"729";"0";"0";"729";"9";"6";"3";"0";"720";"81";"56";"583"
"841d-44a0-33c1-91ba-d62d-e0d4-0adb-ba9f";"180803";"54";"3";"wieś";"stały";"Budynek byłej Szkoły Podstawowej w Jastrzębcu, Jastrzębiec 47, 37-304 Brzyska Wola";"gm. Kuryłówka";"leżajski";"podkarpackie";"219";"218";"81";"137";"0";"0";"0";"0";"0";"0";"0";"0";"0";"137";"0";"0";"137";"2";"0";"2";"0";"135";"24";"10";"101"
