"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Zdzisław Stanisław PUPA";"Tadeusz Bronisław URBAN"
"b3f9-7218-3b64-de61-40da-de5b-7c2a-e49c";"180301";"55";"1";"miasto";"stały";"Dom Kultury ""Mors"" MOK w Dębicy, ul. Sportowa 28, 39-200 Dębica";"m. Dębica";"dębicki";"podkarpackie";"1493";"1598";"474";"1019";"1";"5";"0";"0";"0";"0";"0";"0";"0";"1017";"0";"0";"1017";"34";"8";"26";"0";"983";"522";"461"
"29b4-b757-bacc-e662-8bcf-51ee-03b7-15df";"180301";"55";"2";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 5, ul. Paderewskiego 4, 39-200 Dębica";"m. Dębica";"dębicki";"podkarpackie";"1535";"1637";"550";"985";"0";"4";"1";"1";"0";"0";"0";"0";"1";"986";"1";"0";"986";"34";"10";"24";"0";"952";"552";"400"
"f226-b801-57d0-e0ef-ade2-7b42-d7f6-bddb";"180301";"55";"3";"miasto";"stały";"Przedszkole Miejskie Nr 8, ul. Szkolna 4, 39-200 Dębica";"m. Dębica";"dębicki";"podkarpackie";"1342";"1408";"487";"855";"0";"2";"0";"0";"0";"0";"0";"0";"0";"853";"0";"0";"853";"38";"14";"24";"0";"815";"459";"356"
"cd27-26f2-d419-ee21-fb53-fac4-cfed-db55";"180301";"55";"4";"miasto";"stały";"Miejskie Przedsiębiorstwo Energetyki Cieplnej Sp. z o. o., ul. Rzeczna 1A, 39-200 Dębica";"m. Dębica";"dębicki";"podkarpackie";"1911";"2031";"651";"1260";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1260";"0";"0";"1260";"34";"11";"23";"0";"1226";"779";"447"
"3f61-19d5-2d25-2497-5ff1-f71e-9b8f-cfda";"180301";"55";"5";"miasto";"stały";"Przedszkole Miejskie Nr 12, ul. Cmentarna 56, 39-200 Dębica";"m. Dębica";"dębicki";"podkarpackie";"1280";"1379";"424";"856";"0";"6";"0";"0";"0";"0";"0";"0";"0";"856";"0";"0";"856";"20";"9";"11";"0";"836";"509";"327"
"5d5a-a1fc-d5d2-2d24-d1cf-e3f9-af11-1d26";"180301";"55";"6";"miasto";"stały";"Przedszkole Miejskie Nr 9, ul. Sienkiewicza 6B, 39-200 Dębica";"m. Dębica";"dębicki";"podkarpackie";"1313";"1413";"398";"915";"3";"1";"0";"0";"0";"0";"0";"0";"0";"915";"0";"0";"915";"34";"8";"26";"0";"881";"548";"333"
"8634-e6cd-eca2-0078-df2d-be1a-e646-477f";"180301";"55";"7";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. Wyrobka 11, 39-200 Dębica";"m. Dębica";"dębicki";"podkarpackie";"1531";"1611";"537";"994";"3";"2";"0";"0";"0";"0";"0";"0";"0";"994";"0";"0";"994";"26";"6";"20";"0";"968";"572";"396"
"5e25-6518-9b3c-36d1-60c5-bc9c-a779-0266";"180301";"55";"8";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 9, ul. Grottgera 3, 39-200 Dębica";"m. Dębica";"dębicki";"podkarpackie";"1494";"1587";"559";"935";"0";"4";"0";"0";"0";"0";"0";"0";"0";"935";"0";"0";"935";"22";"7";"15";"0";"913";"613";"300"
"414b-5386-a36e-52ef-1b6f-5a1a-7939-1810";"180301";"55";"9";"miasto";"stały";"Miejski Zarząd Oświaty w Dębicy, ul. Cmentarna 1, 39-200 Dębica";"m. Dębica";"dębicki";"podkarpackie";"1299";"1411";"403";"896";"2";"9";"0";"0";"0";"0";"0";"0";"0";"896";"0";"0";"896";"38";"15";"23";"0";"858";"507";"351"
"384c-eb8e-fc9d-cf17-6b3b-62b1-44ed-e2ba";"180301";"55";"10";"miasto";"stały";"I Liceum Ogólnokształcące, ul. Słowackiego 9, 39-200 Dębica";"m. Dębica";"dębicki";"podkarpackie";"1529";"1752";"574";"955";"3";"3";"0";"0";"0";"0";"0";"0";"0";"955";"0";"0";"955";"32";"15";"17";"0";"923";"524";"399"
