"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Maciej Przemysław MASŁOWSKI";"Stanisław OŻÓG"
"655b-b4cf-8b12-1658-b154-fd46-c164-2520";"181001";"56";"1";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Tadeusza Kościuszki 17, 37-100 Łańcut";"m. Łańcut";"łańcucki";"podkarpackie";"1614";"1753";"484";"1130";"4";"11";"0";"0";"0";"0";"0";"0";"0";"1130";"0";"0";"1130";"21";"9";"12";"0";"1109";"502";"607"
"8c30-c946-cf7b-79a3-922f-0376-704e-fc21";"181001";"56";"2";"miasto";"stały";"Miejska Biblioteka Publiczna w Łańcucie, ul. Stanisława Moniuszki 2, 37-100 Łańcut";"m. Łańcut";"łańcucki";"podkarpackie";"926";"1001";"277";"649";"5";"2";"0";"0";"0";"0";"0";"0";"0";"649";"0";"0";"649";"13";"6";"7";"0";"636";"310";"326"
"2beb-5309-109f-6288-8e6c-df1f-e0c8-f5de";"181001";"56";"3";"miasto";"stały";"Miejski Dom Kultury, ul. Tadeusza Kościuszki 15/prawa strona, 37-100 Łańcut";"m. Łańcut";"łańcucki";"podkarpackie";"863";"938";"234";"629";"3";"5";"0";"0";"0";"0";"0";"0";"0";"629";"0";"0";"629";"7";"2";"5";"0";"622";"301";"321"
"d776-6124-5ff2-1594-0cb9-3a17-688b-3fc5";"181001";"56";"4";"miasto";"stały";"Miejski Dom Kultury, ul. Tadeusza Kościuszki 15/lewa strona, 37-100 Łańcut";"m. Łańcut";"łańcucki";"podkarpackie";"940";"1033";"227";"713";"0";"10";"0";"0";"0";"0";"0";"0";"0";"713";"0";"0";"713";"16";"5";"11";"0";"697";"321";"376"
"9ad9-18e7-763e-f8b0-ba70-73b9-0067-fe59";"181001";"56";"5";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Józefa Piłsudskiego 7, 37-100 Łańcut";"m. Łańcut";"łańcucki";"podkarpackie";"900";"967";"330";"570";"1";"2";"0";"0";"0";"0";"0";"0";"0";"570";"0";"0";"570";"17";"6";"11";"0";"553";"276";"277"
"9c93-8f84-c94b-8162-6c8a-79c4-1095-f2a0";"181001";"56";"6";"miasto";"stały";"Powiatowe Centrum Kształcenia Praktycznego i Edukacji Zawodowej, ul. Armii Krajowej 51a, 37-100 Łańcut";"m. Łańcut";"łańcucki";"podkarpackie";"1040";"1130";"293";"747";"0";"0";"0";"0";"0";"0";"0";"0";"0";"747";"0";"0";"747";"6";"1";"5";"0";"741";"313";"428"
"4b3e-984d-1870-a50d-f264-14fa-51a0-0c6b";"181001";"56";"7";"miasto";"stały";"Powiatowe Centrum Kształcenia Praktycznego i Edukacji Zawodowej, ul. Armii Krajowej 51a, 37-100 Łańcut";"m. Łańcut";"łańcucki";"podkarpackie";"988";"1076";"255";"733";"3";"14";"0";"0";"0";"0";"0";"0";"0";"733";"0";"0";"733";"8";"4";"4";"0";"725";"347";"378"
"5b50-c95f-dca8-02d4-15ba-c570-35b4-20ea";"181001";"56";"8";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Józefa Piłsudskiego 7, 37-100 Łańcut";"m. Łańcut";"łańcucki";"podkarpackie";"1451";"1562";"485";"966";"2";"9";"2";"2";"0";"0";"0";"0";"2";"968";"2";"0";"968";"18";"8";"10";"0";"950";"484";"466"
"19c8-e0a1-11ad-8e8c-c01c-af7e-d645-67e2";"181001";"56";"9";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. 29 Listopada 21, 37-100 Łańcut";"m. Łańcut";"łańcucki";"podkarpackie";"909";"988";"265";"644";"2";"3";"0";"0";"0";"0";"0";"0";"0";"644";"0";"0";"644";"10";"4";"6";"0";"634";"276";"358"
"8b05-0ab7-e8d5-45d7-960b-0f32-1f52-2729";"181001";"56";"10";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. 29 Listopada 21, 37-100 Łańcut";"m. Łańcut";"łańcucki";"podkarpackie";"900";"981";"248";"652";"1";"3";"0";"0";"0";"0";"0";"0";"0";"652";"0";"0";"652";"12";"1";"11";"0";"640";"276";"364"
"a70c-3fd4-db79-2ec9-11e6-e5f3-255e-6e7f";"181001";"56";"11";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. Jana Kochanowskiego 6, 37-100 Łańcut";"m. Łańcut";"łańcucki";"podkarpackie";"890";"973";"275";"615";"0";"7";"0";"0";"0";"0";"0";"0";"0";"614";"0";"0";"614";"11";"5";"6";"0";"603";"249";"354"
"1ee7-4edf-b5e4-c58f-05f5-605f-e176-4a09";"181001";"56";"12";"miasto";"stały";"Miejski Dom Kultury, Filia Podzwierzyniec, ul. Podzwierzyniec 74, 37-100 Łańcut";"m. Łańcut";"łańcucki";"podkarpackie";"1380";"1495";"534";"846";"0";"4";"0";"0";"0";"0";"0";"0";"0";"846";"0";"0";"846";"9";"5";"4";"0";"837";"327";"510"
