"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Daria Urszula BALON";"Ryszard Wiesław SKOTNICZNY";"Alicja Maria ZAJĄC"
"6e19-7795-d92a-6a00-c3df-ebfc-72d4-5cd4";"180201";"57";"1";"miasto";"stały";"Urząd Miejski w Brzozowie (sala konferencyjna I p. , nr 117), ul. Armii Krajowej 1, 36-200 Brzozów";"gm. Brzozów";"brzozowski";"podkarpackie";"1969";"2147";"815";"1154";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1155";"1";"0";"1155";"34";"6";"28";"0";"1121";"280";"164";"677"
"797f-2e64-bf60-9c5a-f8e4-d176-db51-2032";"180201";"57";"2";"miasto";"stały";"Ratusz Miejski w Brzozowie, ul. Rynek 10 (I piętro), ul. Rynek 10, 36-200 Brzozów";"gm. Brzozów";"brzozowski";"podkarpackie";"1750";"1879";"724";"1026";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1026";"0";"0";"1026";"21";"5";"16";"0";"1005";"252";"119";"634"
"df54-83d9-2887-fe18-36fa-617c-3097-4c37";"180201";"57";"3";"miasto";"stały";"Budynek administracyjny Szpitala Specjalistycznego w Brzozowie, ul. Ks. J. Bielawskiego 18 (świetlica), ul. Ks. J. Bielawskiego 18, 36-200 Brzozów";"gm. Brzozów";"brzozowski";"podkarpackie";"1760";"1891";"693";"1067";"3";"8";"0";"0";"0";"0";"0";"0";"0";"1067";"0";"0";"1067";"28";"5";"23";"0";"1039";"296";"111";"632"
"8c2e-880e-e151-83bd-304b-1dc6-1cc8-b94d";"180201";"57";"4";"wieś";"stały";"Szkoła Podstawowa Nr 2 w Humniskach, Humniska 877, 36-206 Humniska";"gm. Brzozów";"brzozowski";"podkarpackie";"1190";"1300";"551";"639";"2";"0";"0";"0";"0";"0";"0";"0";"0";"639";"0";"0";"639";"16";"4";"12";"0";"623";"120";"60";"443"
"3af5-f683-8deb-6e70-0a0f-b2f0-ca23-03bc";"180201";"57";"5";"wieś";"stały";"Szkoła Podstawowa Nr 1 w Humniskach, Humniska 264, 36-206 Humniska";"gm. Brzozów";"brzozowski";"podkarpackie";"1110";"1121";"515";"595";"1";"9";"0";"0";"0";"0";"0";"0";"0";"595";"0";"0";"595";"5";"0";"5";"0";"590";"138";"61";"391"
"6661-f72c-7797-4132-2af0-b478-52c2-3a1c";"180201";"57";"6";"wieś";"stały";"Szkoła Podstawowa Nr 1 w Humniskach, Humniska 264, 36-206 Humniska";"gm. Brzozów";"brzozowski";"podkarpackie";"1070";"1143";"476";"594";"2";"0";"0";"0";"0";"0";"0";"0";"0";"594";"0";"0";"594";"18";"0";"18";"0";"576";"108";"69";"399"
"e446-b767-8f9b-2490-c783-7de6-9884-a97e";"180201";"57";"7";"wieś";"stały";"Dom Strażaka w Grabownicy Starzeńskiej (parter), Grabownica Starzeńska 593, 36-207 Grabownica Starzeńska";"gm. Brzozów";"brzozowski";"podkarpackie";"1170";"1257";"474";"696";"1";"2";"0";"0";"0";"0";"0";"0";"0";"696";"0";"0";"696";"11";"5";"6";"0";"685";"142";"92";"451"
"e247-0786-cad5-a93b-5e35-c8e8-480e-389e";"180201";"57";"8";"wieś";"stały";"Dom Strażaka w Grabownicy Starzeńskiej (I piętro), Grabownica Starzeńska 593, 36-207 Grabownica Starzeńska";"gm. Brzozów";"brzozowski";"podkarpackie";"1180";"1273";"512";"668";"0";"2";"0";"0";"0";"0";"0";"0";"0";"667";"0";"0";"667";"6";"0";"6";"0";"661";"118";"67";"476"
"6788-c036-4064-095c-94a1-b3d6-3787-0de8";"180201";"57";"9";"wieś";"stały";"Dom Strażaka w Górkach, Górki 73, 36-200 Brzozów";"gm. Brzozów";"brzozowski";"podkarpackie";"1109";"1217";"457";"652";"2";"8";"1";"1";"0";"0";"0";"0";"1";"653";"1";"0";"653";"15";"3";"12";"0";"638";"92";"48";"498"
"a439-5528-a726-25f8-1aa1-8bec-951f-bb01";"180201";"57";"10";"wieś";"stały";"Szkoła Podstawowa w Turzym Polu, Turze Pole 152, 36-200 Brzozów";"gm. Brzozów";"brzozowski";"podkarpackie";"780";"852";"350";"430";"0";"3";"0";"0";"0";"0";"0";"0";"0";"430";"0";"0";"430";"10";"0";"10";"0";"420";"104";"42";"274"
