"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Zenon Henryk BIAŁOBRZESKI";"Marek Adam KOMOROWSKI";"Janusz WASILEWSKI"
"2b55-7d4e-25db-7dae-9caa-4b1f-d0ec-7767";"200101";"59";"1";"miasto";"stały";"Szkoła Podstawowa Nr 6 w Augustowie, ul. Tartaczna 21, 16-300 Augustów";"m. Augustów";"augustowski";"podlaskie";"794";"884";"289";"505";"0";"11";"0";"0";"0";"0";"0";"0";"0";"505";"0";"0";"505";"10";"3";"7";"0";"495";"178";"235";"82"
"4473-c8c2-1272-dac0-408e-ceb6-e0c8-66ed";"200101";"59";"2";"miasto";"stały";"Augustowskie Towarzystwo Budownictwa Społecznego ""Kodrem"" w Augustowie, ul. Komunalna 2, 16-300 Augustów";"m. Augustów";"augustowski";"podlaskie";"1005";"1067";"465";"540";"1";"7";"0";"0";"0";"0";"0";"0";"0";"540";"0";"0";"540";"12";"3";"9";"0";"528";"199";"238";"91"
"9731-042c-a985-3e98-f3d2-81cd-768d-648e";"200101";"59";"3";"miasto";"stały";"Augustowskie Centrum Edukacyjne w Augustowie, Al. Kardynała Wyszyńskiego 3, 16-300 Augustów";"m. Augustów";"augustowski";"podlaskie";"672";"811";"148";"524";"3";"66";"0";"0";"0";"0";"0";"0";"0";"524";"0";"0";"524";"10";"0";"10";"0";"514";"194";"262";"58"
"a9fb-3d8f-693b-5f81-8091-51ad-f44e-6b6b";"200101";"59";"4";"miasto";"stały";"Kompleks Hotelowy LOGOS w Augustowie, ul. 29 Listopada 9, 16-300 Augustów";"m. Augustów";"augustowski";"podlaskie";"1594";"1734";"725";"869";"5";"11";"0";"0";"0";"0";"0";"0";"0";"869";"0";"0";"869";"18";"3";"15";"0";"851";"262";"454";"135"
"98d2-415d-f2d5-d518-cf5e-95c8-644d-092e";"200101";"59";"5";"miasto";"stały";"Przedszkole Nr 1 w Augustowie, ul. Waryńskiego 57, 16-300 Augustów";"m. Augustów";"augustowski";"podlaskie";"1033";"1118";"441";"592";"0";"5";"0";"0";"0";"0";"0";"0";"0";"592";"0";"0";"592";"8";"3";"5";"0";"584";"216";"291";"77"
"ed8a-e5d4-50b9-5d0d-ca69-0a1a-6aa7-c4b5";"200101";"59";"6";"miasto";"stały";"Siedziba Urzędu Stanu Cywilnego w Augustowie, ul. 3 Maja 49, 16-300 Augustów";"m. Augustów";"augustowski";"podlaskie";"510";"541";"185";"325";"0";"2";"0";"0";"0";"0";"0";"0";"0";"325";"0";"0";"325";"8";"3";"5";"0";"317";"133";"144";"40"
"c688-fb4f-7ca8-ef7d-8505-386f-80fd-7f90";"200101";"59";"7";"miasto";"stały";"Powiatowy Zarząd Dróg w Augustowie, ul. Wojska Polskiego 54, 16-300 Augustów";"m. Augustów";"augustowski";"podlaskie";"2247";"2454";"841";"1406";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1406";"0";"0";"1406";"32";"12";"20";"0";"1374";"571";"585";"218"
"2048-62ea-b7a6-a2d1-2730-f4a9-84dd-d7f1";"200101";"59";"8";"miasto";"stały";"Osiedlowy Dom Kultury w Augustowie, ul. Hoża 2b, 16-300 Augustów";"m. Augustów";"augustowski";"podlaskie";"2309";"2479";"942";"1367";"2";"6";"0";"0";"0";"0";"0";"0";"0";"1367";"0";"0";"1367";"27";"10";"17";"0";"1340";"507";"660";"173"
"7b99-a39b-0528-ad4a-5965-6f06-f865-0328";"200101";"59";"9";"miasto";"stały";"Centrum Sportu i Rekreacji w Augustowie, ul. mjr. H. Sucharskiego 15, 16-300 Augustów";"m. Augustów";"augustowski";"podlaskie";"1344";"1461";"555";"789";"0";"8";"0";"0";"0";"0";"0";"0";"0";"789";"0";"0";"789";"12";"2";"10";"0";"777";"294";"331";"152"
"2bc1-bbf6-46ea-d70f-2b6b-7620-7c2d-7c83";"200101";"59";"10";"miasto";"stały";"Zespół Szkół Ogólnokształcących w Augustowie, ul. Śródmieście 31, 16-300 Augustów";"m. Augustów";"augustowski";"podlaskie";"910";"1020";"319";"591";"2";"38";"0";"0";"0";"0";"0";"0";"0";"591";"0";"0";"591";"13";"3";"10";"0";"578";"229";"296";"53"
