"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jarosław Wojciech OBREMSKI";"Dariusz Paweł STASIAK";"Bogdan Andrzej ZDROJEWSKI"
"f058-e53c-49b1-28e7-9256-892b-3096-bd2d";"020401";"6";"1";"miasto i wieś";"stały";"SPZOZ Ośrodek Rehabilitacji Dzieci Niepełnosprawnych, os. Kazimierza Wielkiego 25, 56-200 Góra";"gm. Góra";"górowski";"dolnośląskie";"2000";"2199";"930";"1069";"0";"8";"0";"0";"0";"0";"0";"0";"0";"1068";"0";"0";"1068";"16";"6";"10";"0";"1052";"491";"145";"416"
"8d27-ed88-1080-197e-2aeb-f61d-f353-9c75";"020401";"6";"2";"miasto";"stały";"Ośrodek Pomocy Społecznej, ul. Poznańska 23, 56-200 Góra";"gm. Góra";"górowski";"dolnośląskie";"1700";"1832";"671";"1029";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1028";"0";"0";"1028";"16";"4";"12";"0";"1012";"368";"148";"496"
"3e42-d27f-3f17-3696-645b-67a0-4c64-ba2e";"020401";"6";"3";"miasto i wieś";"stały";"Szkoła Podstawowa Nr 3, ul. Podwale 20, 56-200 Góra";"gm. Góra";"górowski";"dolnośląskie";"1700";"1840";"840";"860";"2";"3";"0";"0";"0";"0";"0";"0";"0";"860";"0";"0";"860";"27";"4";"23";"0";"833";"409";"137";"287"
"9a86-c7f6-6fdf-a978-172d-ec94-b1d3-8cea";"020401";"6";"4";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Szkolna 2, 56-200 Góra";"gm. Góra";"górowski";"dolnośląskie";"1000";"1072";"377";"623";"0";"4";"1";"1";"0";"0";"0";"0";"1";"624";"1";"0";"624";"11";"2";"9";"0";"613";"234";"68";"311"
"cc4a-3ea5-3a68-ca57-3b3c-5371-a357-de5d";"020401";"6";"5";"miasto";"stały";"Przedszkole Publiczne Nr 1, ul. Stefana Żeromskiego 15, 56-200 Góra";"gm. Góra";"górowski";"dolnośląskie";"1000";"1088";"478";"522";"0";"1";"0";"0";"0";"0";"0";"0";"0";"522";"0";"0";"522";"20";"4";"16";"0";"502";"205";"69";"228"
"1b5d-c989-e2a0-b76b-9089-f35d-1d80-7ceb";"020401";"6";"6";"miasto";"stały";"Zespół Żłobek i Klub Dziecięcy, ul. Piastów 34, 56-200 Góra";"gm. Góra";"górowski";"dolnośląskie";"898";"1017";"346";"551";"0";"1";"0";"0";"0";"0";"0";"0";"0";"552";"0";"0";"552";"12";"3";"9";"0";"540";"230";"80";"230"
"012c-2f27-c26d-96e0-6b7c-8506-00ba-ce27";"020401";"6";"7";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Marii Konopnickiej 2, 56-200 Góra";"gm. Góra";"górowski";"dolnośląskie";"1797";"1946";"580";"1217";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1217";"0";"0";"1217";"24";"4";"20";"0";"1193";"449";"176";"568"
"14f2-9f05-9032-3b2d-796b-d8a9-d864-87c3";"020401";"6";"8";"wieś";"stały";"Filia biblioteczna, Czernina ul. Rynek 8, 56-200 Góra";"gm. Góra";"górowski";"dolnośląskie";"1000";"1080";"549";"451";"1";"4";"0";"0";"0";"0";"0";"0";"0";"451";"0";"0";"451";"5";"1";"4";"0";"446";"247";"83";"116"
"6257-d5ee-0bea-1eb1-95fd-ebda-a552-8213";"020401";"6";"9";"wieś";"stały";"Świetlica Wiejska, Kłoda Górowska 45, 56-200 Góra";"gm. Góra";"górowski";"dolnośląskie";"900";"1012";"423";"477";"0";"0";"0";"0";"0";"0";"0";"0";"0";"477";"0";"0";"477";"8";"6";"2";"0";"469";"258";"80";"131"
"b18b-f38f-1ac1-4aa4-9d79-6716-2b97-ece6";"020401";"6";"10";"wieś";"stały";"Świetlica Wiejska, Stara Góra 33A, 56-200 Góra";"gm. Góra";"górowski";"dolnośląskie";"1100";"1164";"453";"647";"0";"2";"0";"0";"0";"0";"0";"0";"0";"647";"0";"0";"647";"11";"3";"8";"0";"636";"341";"103";"192"
