"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Dorota Irvina ARCISZEWSKA-MIELEWCZYK";"Kazimierz Mariusz KLEINA"
"fbe0-3b54-4555-926e-1e82-a157-9eeb-689b";"220801";"62";"1";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Wojska Polskiego 10, 84-300 Lębork";"m. Lębork";"lęborski";"pomorskie";"1302";"1402";"398";"904";"1";"5";"0";"0";"0";"0";"0";"0";"0";"902";"0";"0";"902";"25";"5";"20";"0";"877";"343";"534"
"54de-93e8-d37c-d22c-68ac-5781-73a1-fca4";"220801";"62";"2";"miasto";"stały";"Państwowa Szkoła Muzyczna I stopnia, ul. Legionów Polskich 35, 84-300 Lębork";"m. Lębork";"lęborski";"pomorskie";"998";"1054";"339";"658";"2";"4";"0";"0";"0";"0";"0";"0";"0";"658";"0";"0";"658";"23";"5";"18";"0";"635";"229";"406"
"71dc-44e5-1662-34ec-e864-f9a1-2f34-ea17";"220801";"62";"3";"miasto";"stały";"Przedszkole Nr 2, ul. Plater 12, 84-300 Lębork";"m. Lębork";"lęborski";"pomorskie";"1000";"1055";"331";"669";"0";"3";"0";"0";"0";"0";"0";"0";"0";"669";"0";"0";"669";"19";"5";"14";"0";"650";"245";"405"
"e76e-efe6-d86a-a261-7cfb-dd50-39af-3fa0";"220801";"62";"4";"miasto";"stały";"Szkoła Podstawowa Nr 8, ul. Plater 13, 84-300 Lębork";"m. Lębork";"lęborski";"pomorskie";"951";"988";"311";"640";"1";"1";"0";"0";"0";"0";"0";"0";"0";"639";"0";"0";"639";"21";"6";"15";"0";"618";"197";"421"
"428c-89cc-6089-2f5d-f83c-9419-a1a6-de2c";"220801";"62";"5";"miasto";"stały";"Szkoła Podstawowa Nr 8, ul. Mireckiego 10, 84-300 Lębork";"m. Lębork";"lęborski";"pomorskie";"1701";"1843";"530";"1171";"1";"6";"0";"0";"0";"0";"0";"0";"0";"1171";"0";"0";"1171";"47";"21";"26";"0";"1124";"362";"762"
"7c32-2c40-a0c5-8910-dfa7-39d7-5db4-d5e2";"220801";"62";"6";"miasto";"stały";"Przedszkole Nr 9, ul. Mireckiego 9, 84-300 Lębork";"m. Lębork";"lęborski";"pomorskie";"851";"900";"213";"638";"0";"4";"0";"0";"0";"0";"0";"0";"0";"636";"0";"0";"636";"20";"5";"15";"0";"616";"193";"423"
"f39d-048d-e891-631a-c111-b633-3b0e-7a2d";"220801";"62";"7";"miasto";"stały";"Starostwo Powiatowe, ul. Czołgistów 5, 84-300 Lębork";"m. Lębork";"lęborski";"pomorskie";"1851";"1990";"574";"1277";"3";"3";"0";"0";"0";"0";"0";"0";"0";"1277";"0";"0";"1277";"48";"21";"27";"0";"1229";"471";"758"
"be4b-11db-54ad-094c-d708-615f-21c6-796e";"220801";"62";"8";"miasto";"stały";"Przedszkole Nr 1, ul. Czołgistów 37, 84-300 Lębork";"m. Lębork";"lęborski";"pomorskie";"853";"918";"245";"608";"1";"4";"0";"0";"0";"0";"0";"0";"0";"608";"0";"0";"608";"26";"10";"16";"0";"582";"212";"370"
"0320-cc5b-504b-a948-b125-5d3d-2759-00bf";"220801";"62";"9";"miasto";"stały";"Specjalny Ośrodek Szkolno-Wychowawczy, Internat, ul. Plac Piastowski 6, 84-300 Lębork";"m. Lębork";"lęborski";"pomorskie";"949";"1029";"380";"569";"2";"3";"0";"0";"0";"0";"0";"0";"0";"569";"0";"0";"569";"16";"3";"13";"0";"553";"237";"316"
"8011-5942-6dcb-ba08-c827-e966-9684-3374";"220801";"62";"10";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. Aleja Wolności 31, 84-300 Lębork";"m. Lębork";"lęborski";"pomorskie";"1050";"1099";"451";"599";"1";"6";"0";"0";"0";"0";"0";"0";"0";"597";"0";"0";"597";"27";"14";"13";"0";"570";"218";"352"
"d07b-691b-e671-6995-bc95-c09c-1fcb-52e1";"220801";"62";"11";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Kossaka 103, 84-300 Lębork";"m. Lębork";"lęborski";"pomorskie";"1248";"1336";"535";"713";"0";"7";"1";"1";"0";"0";"0";"0";"1";"714";"1";"0";"714";"22";"7";"15";"0";"692";"253";"439"
"3e35-8e7b-3340-8d1c-3058-0398-25d3-d77e";"220801";"62";"12";"miasto";"stały";"Przedszkole Nr 6, ul. Kardynała Stefana Wyszyńskiego 7, 84-300 Lębork";"m. Lębork";"lęborski";"pomorskie";"1954";"2050";"693";"1261";"1";"3";"1";"1";"0";"0";"0";"0";"1";"1262";"1";"0";"1262";"47";"12";"35";"0";"1215";"426";"789"
"7601-990c-3f1b-67cd-de90-8648-4751-66c3";"220801";"62";"13";"miasto";"stały";"Urząd Miejski, ul. Armii Krajowej 14, 84-300 Lębork";"m. Lębork";"lęborski";"pomorskie";"1450";"1513";"547";"903";"1";"6";"0";"0";"0";"0";"0";"0";"0";"903";"0";"0";"903";"31";"8";"23";"0";"872";"298";"574"
