"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Waldemar BONKOWSKI";"Dariusz DRELICH";"Stanisław Józef LAMCZYK"
"ac51-8fc0-0dbc-7ce7-b17d-b320-e1a1-fcc5";"220101";"63";"1";"wieś";"stały";"Gminna Biblioteka i Ośrodek Kultury w Borzytuchomiu, ul. Danuty Siedzikówny ""Inki"" 2, 77-141 Borzytuchom";"gm. Borzytuchom";"bytowski";"pomorskie";"1451";"1581";"603";"848";"0";"2";"0";"0";"0";"0";"0";"0";"0";"848";"0";"0";"848";"29";"7";"22";"0";"819";"128";"333";"358"
"620f-ba2d-9a00-5c1d-693c-1ad6-dea2-84e1";"220101";"63";"2";"wieś";"stały";"Sala wiejska, Dąbrówka 22, 77-100 Bytów";"gm. Borzytuchom";"bytowski";"pomorskie";"448";"468";"221";"227";"0";"1";"0";"0";"0";"0";"0";"0";"0";"227";"0";"0";"227";"6";"3";"3";"0";"221";"46";"82";"93"
"9dbf-f3c3-5b92-2665-1a96-ca6f-b6a3-eeda";"220101";"63";"3";"wieś";"stały";"Szkoła Podstawowa, Niedarzyno 21b, 77-141 Borzytuchom";"gm. Borzytuchom";"bytowski";"pomorskie";"400";"424";"165";"235";"0";"0";"0";"0";"0";"0";"0";"0";"0";"235";"0";"0";"235";"9";"2";"7";"0";"226";"43";"88";"95"
"24b4-4557-6791-af92-4391-b20f-bcb6-93ed";"220102";"63";"1";"miasto";"stały";"Zespół Szkół Ogólnokształcących, ul. Gdańska 57, 77-100 Bytów";"gm. Bytów";"bytowski";"pomorskie";"1405";"1519";"425";"980";"1";"3";"0";"0";"0";"0";"0";"0";"0";"980";"0";"0";"980";"16";"4";"12";"0";"964";"86";"448";"430"
"7a00-72d6-7b25-4248-479d-50e9-be6e-e40d";"220102";"63";"2";"miasto";"stały";"Zespół Szkół Ponadgimnazjalnych, ul. Gen. Władysława Sikorskiego 35, 77-100 Bytów";"gm. Bytów";"bytowski";"pomorskie";"1312";"1375";"535";"777";"0";"1";"0";"0";"0";"0";"0";"0";"0";"777";"0";"0";"777";"17";"7";"10";"0";"760";"107";"274";"379"
"96b0-14ee-a92b-f560-1543-3598-29ac-7906";"220102";"63";"3";"miasto";"stały";"Przedszkole Nr 2, ul. Jana Bauera 9, 77-100 Bytów";"gm. Bytów";"bytowski";"pomorskie";"900";"955";"393";"507";"0";"3";"0";"0";"0";"0";"0";"0";"0";"507";"0";"0";"507";"13";"3";"10";"0";"494";"41";"184";"269"
"9986-5aed-409d-9f14-9647-20b0-392f-53fd";"220102";"63";"4";"miasto";"stały";"Szkoła Podstawowa Nr 5, ul. Młyńska 11, 77-100 Bytów";"gm. Bytów";"bytowski";"pomorskie";"1301";"1367";"538";"763";"1";"3";"0";"0";"0";"0";"0";"0";"0";"763";"0";"0";"763";"17";"3";"14";"0";"746";"105";"273";"368"
"a928-f356-b4ab-cd65-8b3a-0058-6539-28c8";"220102";"63";"5";"miasto";"stały";"Zespół Szkół Ekonomiczno-Usługowych, ul. Hieronima Derdowskiego 3, 77-100 Bytów";"gm. Bytów";"bytowski";"pomorskie";"1208";"1291";"465";"743";"0";"4";"1";"1";"0";"1";"0";"0";"0";"743";"0";"0";"743";"18";"7";"11";"0";"725";"105";"281";"339"
"4fd0-bb10-866e-3491-62b1-7883-373c-a80c";"220102";"63";"6";"miasto";"stały";"Szkoła Specjalnego Ośrodka Szkolno-Wychowawczego, ul. Jana Styp-Rekowskiego 2A, 77-100 Bytów";"gm. Bytów";"bytowski";"pomorskie";"1107";"1187";"349";"758";"0";"4";"0";"0";"0";"0";"0";"0";"0";"758";"0";"0";"758";"10";"1";"9";"0";"748";"97";"204";"447"
"ed57-ce94-0045-5e1a-2935-0aec-ee28-9c52";"220102";"63";"7";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Gen. Ludwika Mierosławskiego 7, 77-100 Bytów";"gm. Bytów";"bytowski";"pomorskie";"952";"997";"255";"697";"0";"2";"0";"0";"0";"0";"0";"0";"0";"697";"0";"0";"697";"10";"2";"8";"0";"687";"82";"221";"384"
