"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Bogdan Michał BORUSEWICZ";"Anna Teresa GWIAZDA"
"e92d-45c1-e232-55bf-f531-8a4d-6949-fedb";"226101";"65";"1";"miasto";"stały";"Szkoła Podstawowa Nr 20, Gdańsk ul. Wczasy 3, 80-509 Gdańsk 26";"m. Gdańsk";"Gdańsk";"pomorskie";"1412";"1626";"256";"1156";"2";"52";"0";"0";"0";"0";"0";"0";"0";"1156";"0";"0";"1156";"35";"10";"25";"0";"1121";"731";"390"
"aa69-4811-2219-63c3-c520-65a1-6346-9c9c";"226101";"65";"2";"miasto";"stały";"Projektornia Gdański Archipelag Kultury, Gdańsk ul. Dworska 29A, 80-506 Gdańsk 26";"m. Gdańsk";"Gdańsk";"pomorskie";"1485";"1660";"358";"1127";"0";"18";"1";"1";"0";"0";"0";"0";"1";"1128";"1";"0";"1128";"34";"14";"20";"0";"1094";"760";"334"
"e88d-bb8d-8248-6b03-452b-7d4c-79b4-f6a5";"226101";"65";"3";"miasto";"stały";"STOWARZYSZENIE SZKOŁY GEDANENSIS, Gdańsk ul. Dworska 34, 80-506 Gdańsk 26";"m. Gdańsk";"Gdańsk";"pomorskie";"2859";"3275";"677";"2182";"1";"64";"0";"0";"0";"0";"0";"0";"0";"2182";"0";"0";"2182";"67";"31";"36";"0";"2115";"1348";"767"
"9ec5-3323-e1f8-f17d-8638-18f3-70f8-6e42";"226101";"65";"4";"miasto";"stały";"Zespół Szkół Ogólnokształcących Nr 10, Gdańsk ul. Krasickiego 10, 80-515 Gdańsk 26";"m. Gdańsk";"Gdańsk";"pomorskie";"1619";"1832";"273";"1345";"1";"31";"1";"1";"0";"0";"0";"0";"1";"1347";"1";"0";"1347";"34";"9";"25";"0";"1313";"906";"407"
"839e-5fa4-9cee-806a-ca81-3086-38cd-d56e";"226101";"65";"5";"miasto";"stały";"Zespół Szkół Ogólnokształcących Nr 10, Gdańsk ul. Krasickiego 10, 80-515 Gdańsk 26";"m. Gdańsk";"Gdańsk";"pomorskie";"1530";"1696";"328";"1202";"0";"15";"0";"0";"0";"0";"0";"0";"0";"1202";"0";"0";"1202";"25";"5";"20";"0";"1177";"743";"434"
"4800-e3e3-45d3-5720-4ab5-52f0-59f6-219c";"226101";"65";"6";"miasto";"stały";"Zespół Szkół Morskich, Gdańsk ul. Wyzwolenia 8, 80-537 Gdańsk 4";"m. Gdańsk";"Gdańsk";"pomorskie";"1939";"2120";"448";"1491";"0";"16";"0";"0";"0";"0";"0";"0";"0";"1491";"0";"0";"1491";"36";"10";"26";"0";"1455";"926";"529"
"9dd4-9714-d74e-9e59-ddd8-9a3a-4413-d0cb";"226101";"65";"7";"miasto";"stały";"Zespół Szkół Ogólnokształcących Nr 5, Gdańsk ul. Na Zaspę 31A, 80-546 Gdańsk 4";"m. Gdańsk";"Gdańsk";"pomorskie";"2392";"2658";"695";"1697";"0";"19";"0";"0";"0";"0";"0";"0";"0";"1693";"0";"0";"1693";"54";"10";"44";"0";"1639";"1059";"580"
"6da5-01a4-e1ae-d292-4e67-c6e1-abf5-a6da";"226101";"65";"8";"miasto";"stały";"Szkoła Podstawowa Nr 55, Gdańsk ul. Wolności 6A, 80-538 Gdańsk 4";"m. Gdańsk";"Gdańsk";"pomorskie";"2567";"2824";"930";"1637";"2";"18";"1";"1";"0";"0";"0";"0";"1";"1638";"1";"0";"1638";"71";"15";"56";"0";"1567";"1046";"521"
"66f3-83ed-78c6-83f5-7a32-f56f-8c80-6a86";"226101";"65";"9";"miasto";"stały";"Gdańska Organizacja Turystyczna, Gdańsk ul. Uczniowska 22, 80-530 Gdańsk 4";"m. Gdańsk";"Gdańsk";"pomorskie";"989";"1239";"235";"753";"0";"61";"0";"0";"0";"0";"0";"0";"0";"754";"0";"0";"754";"28";"12";"16";"0";"726";"491";"235"
"7eef-ef9c-7674-eeb9-eefb-0040-6a29-8192";"226101";"65";"10";"miasto";"stały";"Dom Sztuki-Gdański Archipelag Kultury, Gdańsk ul. Stryjewskiego 25, 80-625 Gdańsk 8";"m. Gdańsk";"Gdańsk";"pomorskie";"1660";"1812";"568";"1095";"1";"7";"2";"2";"0";"0";"0";"0";"2";"1097";"2";"0";"1097";"27";"5";"22";"0";"1070";"655";"415"
